UniProtID	UniProtID	score
KLC2_HUMAN	ACTZ_HUMAN	0.6
KLC2_HUMAN	TMED3_HUMAN	0.6
KLC2_HUMAN	ARF3_HUMAN	0.6
KLC2_HUMAN	KLC2_HUMAN	14.399999999999999
KLC2_HUMAN	RAC1_HUMAN	0.6
KLC2_HUMAN	CAZA2_HUMAN	0.6
KLC2_HUMAN	ARF4_HUMAN	0.6
KLC2_HUMAN	DC1L1_HUMAN	0.6
KLC2_HUMAN	COPB2_HUMAN	0.6
KLC2_HUMAN	KIFA3_HUMAN	0.6
KLC2_HUMAN	COPA_HUMAN	0.6
KLC2_HUMAN	KIF2C_HUMAN	0.6
KLC2_HUMAN	LTOR1_HUMAN	0.8
KLC2_HUMAN	KI20B_HUMAN	0.6
KLC2_HUMAN	DC1I1_HUMAN	0.6
KLC2_HUMAN	CSTN1_HUMAN	0.8
KLC2_HUMAN	SH3K1_HUMAN	1.6
KLC2_HUMAN	ACTY_HUMAN	0.6
KLC2_HUMAN	EXOC3_HUMAN	1.6
KLC2_HUMAN	ARF5_HUMAN	0.6
KLC2_HUMAN	CDC42_HUMAN	0.6
KLC2_HUMAN	CAZA1_HUMAN	0.6
KLC2_HUMAN	KCMA1_HUMAN	0.64
KLC2_HUMAN	ARFG2_HUMAN	0.6
KLC2_HUMAN	ACO13_HUMAN	0.8
KLC2_HUMAN	RAB1A_HUMAN	0.6
KLC2_HUMAN	RHOA_HUMAN	0.6
KLC2_HUMAN	1433T_HUMAN	3.2
KLC2_HUMAN	1433E_HUMAN	0.8
KLC2_HUMAN	CADH1_HUMAN	0.8
KLC2_HUMAN	DCTN3_HUMAN	0.6
KLC2_HUMAN	1433B_HUMAN	2.24
KLC2_HUMAN	AP3D1_HUMAN	0.8
KLC2_HUMAN	RAB1B_HUMAN	0.6
KLC2_HUMAN	COPD_HUMAN	0.6
KLC2_HUMAN	DC1L2_HUMAN	0.6
KLC2_HUMAN	ARF1_HUMAN	0.6
KLC2_HUMAN	GRIA2_HUMAN	0.8
KLC2_HUMAN	1433Z_HUMAN	2.4000000000000004
KLC2_HUMAN	KIF2B_HUMAN	0.6
KLC2_HUMAN	LYN_HUMAN	1.6
KLC2_HUMAN	HAP1_HUMAN	0.8
KLC2_HUMAN	1433F_HUMAN	2.4000000000000004
KLC2_HUMAN	DCTN4_HUMAN	0.6
KLC2_HUMAN	PTN23_HUMAN	0.8
KLC2_HUMAN	HSP7C_HUMAN	1.6
KLC2_HUMAN	DTBP1_HUMAN	1.6
KLC2_HUMAN	KIF5C_HUMAN	1.8
KLC2_HUMAN	1433S_HUMAN	1.6
KLC2_HUMAN	SPTN2_HUMAN	0.6
KLC2_HUMAN	HOOK3_HUMAN	0.8
KLC2_HUMAN	ARHG2_HUMAN	0.8
KLC2_HUMAN	A4_HUMAN	1.6
KLC2_HUMAN	DYL1_HUMAN	0.6
KLC2_HUMAN	KIF2A_HUMAN	0.6
KLC2_HUMAN	DYL2_HUMAN	0.6
KLC2_HUMAN	KTN1_HUMAN	0.6
KLC2_HUMAN	NMDE2_HUMAN	0.64
KLC2_HUMAN	KPTN_HUMAN	2.4000000000000004
KLC2_HUMAN	CTNB1_HUMAN	0.8
KLC2_HUMAN	KIF1A_HUMAN	0.6
KLC2_HUMAN	RAB7A_HUMAN	0.6
KLC2_HUMAN	ARFG3_HUMAN	0.6
KLC2_HUMAN	GRIA1_HUMAN	1.6
KLC2_HUMAN	JIP3_HUMAN	9.680000000000001
KLC2_HUMAN	RHOG_HUMAN	0.6
KLC2_HUMAN	NMDZ1_HUMAN	0.64
KLC2_HUMAN	KI21A_HUMAN	0.6
KLC2_HUMAN	SC22B_HUMAN	0.6
KLC2_HUMAN	DYHC1_HUMAN	0.6
KLC2_HUMAN	1433G_HUMAN	3.2
KLC2_HUMAN	DCTN2_HUMAN	0.6
KLC2_HUMAN	ACHA9_HUMAN	2.4000000000000004
KLC2_HUMAN	KIF5A_HUMAN	2.4
KLC2_HUMAN	KINH_HUMAN	11.080000000000002
KLC2_HUMAN	DC1I2_HUMAN	0.6
KLC2_HUMAN	KLC1_HUMAN	6.199999999999999
ACTZ_HUMAN	ACTZ_HUMAN	2.56
ACTZ_HUMAN	TMED3_HUMAN	0.6
ACTZ_HUMAN	ARF3_HUMAN	0.6
ACTZ_HUMAN	CAZA2_HUMAN	5.239999999999999
ACTZ_HUMAN	ARF4_HUMAN	0.6
ACTZ_HUMAN	DC1L1_HUMAN	2.68
ACTZ_HUMAN	COPB2_HUMAN	0.6
ACTZ_HUMAN	KIFA3_HUMAN	0.6
