UniProtID	UniProtID	score
KPCE_HUMAN	PLCG1_HUMAN	2
KPCE_HUMAN	DLG4_HUMAN	1.28
KPCE_HUMAN	SRC_HUMAN	2.24
KPCE_HUMAN	SYUA_HUMAN	3.2
KPCE_HUMAN	MET_HUMAN	0.64
KPCE_HUMAN	NMDE2_HUMAN	0.64
KPCE_HUMAN	ACTN2_HUMAN	0.64
KPCE_HUMAN	NEDD8_HUMAN	1.6
KPCE_HUMAN	LCK_HUMAN	0.64
KPCE_HUMAN	KEAP1_HUMAN	1.6
KPCE_HUMAN	SQSTM_HUMAN	0.64
KPCE_HUMAN	NUMB_HUMAN	1
KPCE_HUMAN	CDC37_HUMAN	3.2
KPCE_HUMAN	RAF1_HUMAN	1
KPCE_HUMAN	SHAN3_HUMAN	1.92
KPCE_HUMAN	DCE1_HUMAN	1.6400000000000001
KPCE_HUMAN	BMX_HUMAN	0.64
KPCE_HUMAN	BAD_HUMAN	2
KPCE_HUMAN	A4_HUMAN	2.4000000000000004
KPCE_HUMAN	TAU_HUMAN	1
KPCE_HUMAN	1433S_HUMAN	2.4000000000000004
KPCE_HUMAN	MK03_HUMAN	0.64
KPCE_HUMAN	MK01_HUMAN	1.6400000000000001
KPCE_HUMAN	1433E_HUMAN	4.0
KPCE_HUMAN	HSP7C_HUMAN	1.6
KPCE_HUMAN	HS90B_HUMAN	5.6
KPCE_HUMAN	1433Z_HUMAN	17.4
KPCE_HUMAN	P3C2A_HUMAN	0.64
KPCE_HUMAN	PR15A_HUMAN	0.8
KPCE_HUMAN	MK14_HUMAN	0.64
KPCE_HUMAN	HNRPK_HUMAN	0.64
KPCE_HUMAN	HSPB1_HUMAN	2.24
KPCE_HUMAN	LMNA_HUMAN	0.64
KPCE_HUMAN	VIME_HUMAN	2.24
KPCE_HUMAN	H4_HUMAN	0.64
KPCE_HUMAN	BRAF_HUMAN	5
KPCE_HUMAN	1433T_HUMAN	1.6
KPCE_HUMAN	MP2K1_HUMAN	0.64
KPCE_HUMAN	FHL2_HUMAN	0.64
KPCE_HUMAN	1433B_HUMAN	5.6
KPCE_HUMAN	ITB1_HUMAN	0.64
KPCE_HUMAN	KPCI_HUMAN	2.8
KPCE_HUMAN	ITB2_HUMAN	1
KPCE_HUMAN	CRYAB_HUMAN	0.64
KPCE_HUMAN	EGFR_HUMAN	4.0
KPCE_HUMAN	HS90A_HUMAN	3.4000000000000004
KPCE_HUMAN	1433G_HUMAN	2.4000000000000004
KPCE_HUMAN	LIMK1_HUMAN	0.8
KPCE_HUMAN	KPCZ_HUMAN	1.6
KPCE_HUMAN	RGAP1_HUMAN	1.6
KPCE_HUMAN	DNJA1_HUMAN	1.6
KPCE_HUMAN	C1QBP_HUMAN	0.8
KPCE_HUMAN	ELAV1_HUMAN	1
KPCE_HUMAN	RS27A_HUMAN	1.6
KPCE_HUMAN	UBC_HUMAN	0.8
KPCE_HUMAN	TBA1B_HUMAN	1.6
KPCE_HUMAN	G3P_HUMAN	0.64
KPCE_HUMAN	KAT5_HUMAN	2
KPCE_HUMAN	ECH1_HUMAN	1.6
KPCE_HUMAN	AKT1_HUMAN	0.64
KPCE_HUMAN	FAK2_HUMAN	2.24
KPCE_HUMAN	CXA1_HUMAN	3.8800000000000003
KPCE_HUMAN	NEMO_HUMAN	1
KPCE_HUMAN	KPYM_HUMAN	0.8
KPCE_HUMAN	C1QA_HUMAN	0.64
KPCE_HUMAN	VINC_HUMAN	0.64
KPCE_HUMAN	ACTB_HUMAN	2.24
KPCE_HUMAN	GOGA2_HUMAN	0.64
KPCE_HUMAN	IRAK1_HUMAN	0.8
KPCE_HUMAN	IKKB_HUMAN	2
KPCE_HUMAN	IKKA_HUMAN	1.6
KPCE_HUMAN	K2C1_HUMAN	2
KPCE_HUMAN	DESP_HUMAN	1.6
KPCE_HUMAN	STAT1_HUMAN	1.6
KPCE_HUMAN	MK08_HUMAN	0.64
KPCE_HUMAN	PDPK1_HUMAN	1.6400000000000001
KPCE_HUMAN	ATPB_HUMAN	0.64
KPCE_HUMAN	G6PD_HUMAN	1.6
KPCE_HUMAN	TPM1_HUMAN	0.64
