UniProtID	UniProtID	score
KPCG_HUMAN	SRC_HUMAN	0.6
KPCG_HUMAN	GNB5_HUMAN	0.6
KPCG_HUMAN	GBRB1_HUMAN	0.8
KPCG_HUMAN	FMR1_HUMAN	0.64
KPCG_HUMAN	KPCD_HUMAN	0.6
KPCG_HUMAN	HS90B_HUMAN	2.4000000000000004
KPCG_HUMAN	PICK1_HUMAN	3.0000000000000004
KPCG_HUMAN	SYUA_HUMAN	0.8
KPCG_HUMAN	MARCS_HUMAN	0.8
KPCG_HUMAN	WNT5A_HUMAN	0.6
KPCG_HUMAN	MK03_HUMAN	0.6
KPCG_HUMAN	ANXA7_HUMAN	0.8
KPCG_HUMAN	EGLN1_HUMAN	0.6
KPCG_HUMAN	STXB3_HUMAN	0.6
KPCG_HUMAN	GNAZ_HUMAN	0.6
KPCG_HUMAN	STXB1_HUMAN	1.44
KPCG_HUMAN	GBRA1_HUMAN	1.0
KPCG_HUMAN	RAF1_HUMAN	0.6
KPCG_HUMAN	GBG3_HUMAN	0.6
KPCG_HUMAN	GBG2_HUMAN	0.6
KPCG_HUMAN	KPCE_HUMAN	0.6
KPCG_HUMAN	KCC2A_HUMAN	0.64
KPCG_HUMAN	GBRA4_HUMAN	1.0
KPCG_HUMAN	PLCD1_HUMAN	0.6
KPCG_HUMAN	ARBK1_HUMAN	0.6
KPCG_HUMAN	UBC_HUMAN	0.64
KPCG_HUMAN	G6PD_HUMAN	1.6
KPCG_HUMAN	CXA1_HUMAN	2.04
KPCG_HUMAN	DNJA1_HUMAN	1.6
KPCG_HUMAN	HD_HUMAN	0.64
KPCG_HUMAN	GBB4_HUMAN	0.6
KPCG_HUMAN	DLG4_HUMAN	1.28
KPCG_HUMAN	PLCG1_HUMAN	0.6
KPCG_HUMAN	NEUG_HUMAN	0.64
KPCG_HUMAN	PEBP1_HUMAN	0.8
KPCG_HUMAN	PLCD3_HUMAN	0.6
KPCG_HUMAN	AGAP2_HUMAN	1.92
KPCG_HUMAN	GBB1_HUMAN	0.6
KPCG_HUMAN	GBG12_HUMAN	0.6
KPCG_HUMAN	AIFM1_HUMAN	1.6
KPCG_HUMAN	SYGP1_HUMAN	3.2
KPCG_HUMAN	GLRB_HUMAN	0.8
KPCG_HUMAN	HS71B_HUMAN	0.8
KPCG_HUMAN	SHAN3_HUMAN	1.92
KPCG_HUMAN	1433B_HUMAN	0.64
KPCG_HUMAN	STX4_HUMAN	0.6
KPCG_HUMAN	CH60_HUMAN	1.6
KPCG_HUMAN	LONM_HUMAN	1.6
KPCG_HUMAN	HS71A_HUMAN	1.6
KPCG_HUMAN	TNIK_HUMAN	1.28
KPCG_HUMAN	GRIA2_HUMAN	0.6
KPCG_HUMAN	1433Z_HUMAN	0.64
KPCG_HUMAN	ADA2C_HUMAN	0.6
KPCG_HUMAN	EF2K_HUMAN	0.6
KPCG_HUMAN	HSPB1_HUMAN	1.6
KPCG_HUMAN	GFAP_HUMAN	1.44
KPCG_HUMAN	TAU_HUMAN	1.6400000000000001
KPCG_HUMAN	FAK1_HUMAN	0.6
KPCG_HUMAN	LYN_HUMAN	0.6
KPCG_HUMAN	ADA2A_HUMAN	0.6
KPCG_HUMAN	HSP7C_HUMAN	1.6
KPCG_HUMAN	RASH_HUMAN	0.6
KPCG_HUMAN	MPCP_HUMAN	1.6
KPCG_HUMAN	MTOR_HUMAN	0.6
KPCG_HUMAN	STIP1_HUMAN	1.6
KPCG_HUMAN	KPCA_HUMAN	4.6
KPCG_HUMAN	GRIA3_HUMAN	0.6
KPCG_HUMAN	FAK2_HUMAN	0.6
KPCG_HUMAN	EZRI_HUMAN	0.6
KPCG_HUMAN	A4_HUMAN	0.8
KPCG_HUMAN	DMXL2_HUMAN	0.64
KPCG_HUMAN	GBB2_HUMAN	0.6
KPCG_HUMAN	DLGP1_HUMAN	1.92
KPCG_HUMAN	CCG7_HUMAN	0.6
KPCG_HUMAN	GBRG2_HUMAN	0.8
KPCG_HUMAN	HS90A_HUMAN	2.4000000000000004
KPCG_HUMAN	CYH2_HUMAN	0.64
KPCG_HUMAN	HSP74_HUMAN	0.8
KPCG_HUMAN	TSC1_HUMAN	1.28
KPCG_HUMAN	NMDE2_HUMAN	2.08
KPCG_HUMAN	HSP76_HUMAN	2.4000000000000004
KPCG_HUMAN	BAG2_HUMAN	1.6
KPCG_HUMAN	AP2A1_HUMAN	0.6
KPCG_HUMAN	CYFP1_HUMAN	1.28
KPCG_HUMAN	CRK_HUMAN	0.6
KPCG_HUMAN	CTNB1_HUMAN	1.0
KPCG_HUMAN	RANB9_HUMAN	1.0
KPCG_HUMAN	EXOC5_HUMAN	1.6
KPCG_HUMAN	GBRR1_HUMAN	0.8
KPCG_HUMAN	ARHG7_HUMAN	1.0
KPCG_HUMAN	ADT2_HUMAN	1.6
KPCG_HUMAN	CNKR2_HUMAN	1.28
KPCG_HUMAN	PRPS1_HUMAN	1.6
KPCG_HUMAN	GRIA1_HUMAN	0.6
KPCG_HUMAN	ITPR1_HUMAN	0.6
KPCG_HUMAN	NMDZ1_HUMAN	3.2
KPCG_HUMAN	TIAM1_HUMAN	1.0
KPCG_HUMAN	1433G_HUMAN	1.0
KPCG_HUMAN	NEB2_HUMAN	0.64
KPCG_HUMAN	KPCG_HUMAN	7.6
KPCG_HUMAN	GBG7_HUMAN	0.6
KPCG_HUMAN	DACT1_HUMAN	0.64
KPCG_HUMAN	GRIA4_HUMAN	3.4
KPCG_HUMAN	SC6A3_HUMAN	0.6
KPCG_HUMAN	GRIP1_HUMAN	0.6
KPCG_HUMAN	MK01_HUMAN	0.6
SRC_HUMAN	SRC_HUMAN	101.28
SRC_HUMAN	KPCD_HUMAN	2.6
SRC_HUMAN	HS90B_HUMAN	3.0000000000000004
SRC_HUMAN	SYUA_HUMAN	1.6
SRC_HUMAN	MK03_HUMAN	2.4
SRC_HUMAN	ANXA7_HUMAN	1.0
SRC_HUMAN	EGLN1_HUMAN	5.0
SRC_HUMAN	GNAZ_HUMAN	0.6
SRC_HUMAN	RAF1_HUMAN	2.6
SRC_HUMAN	GBG2_HUMAN	0.6
SRC_HUMAN	KPCE_HUMAN	2.8400000000000003
SRC_HUMAN	ARBK1_HUMAN	3.24
SRC_HUMAN	UBC_HUMAN	3.4000000000000004
SRC_HUMAN	CXA1_HUMAN	5.76
SRC_HUMAN	DLG4_HUMAN	9.6
SRC_HUMAN	PLCG1_HUMAN	2.24
SRC_HUMAN	PEBP1_HUMAN	0.6
SRC_HUMAN	AGAP2_HUMAN	1.28
SRC_HUMAN	GBB1_HUMAN	0.6
SRC_HUMAN	HS71B_HUMAN	0.8
SRC_HUMAN	SHAN3_HUMAN	2.08
SRC_HUMAN	1433B_HUMAN	1.24
SRC_HUMAN	HS71A_HUMAN	1.6
SRC_HUMAN	GFAP_HUMAN	0.64
SRC_HUMAN	TAU_HUMAN	4.0
SRC_HUMAN	FAK1_HUMAN	33.24000000000001
SRC_HUMAN	LYN_HUMAN	4.2
SRC_HUMAN	HSP7C_HUMAN	2.4000000000000004
SRC_HUMAN	RASH_HUMAN	4.8
SRC_HUMAN	MPCP_HUMAN	1.6
SRC_HUMAN	KPCA_HUMAN	0.6
SRC_HUMAN	FAK2_HUMAN	11.0
SRC_HUMAN	EZRI_HUMAN	0.6
SRC_HUMAN	A4_HUMAN	1.0
SRC_HUMAN	DLGP1_HUMAN	0.8
SRC_HUMAN	HS90A_HUMAN	6.199999999999999
SRC_HUMAN	HSP74_HUMAN	1.6
SRC_HUMAN	NMDE2_HUMAN	2.68
SRC_HUMAN	CRK_HUMAN	3.2
SRC_HUMAN	CTNB1_HUMAN	5.039999999999999
SRC_HUMAN	RANB9_HUMAN	2.0
SRC_HUMAN	ARHG7_HUMAN	0.6
SRC_HUMAN	CNKR2_HUMAN	0.6
SRC_HUMAN	NMDZ1_HUMAN	4.8
SRC_HUMAN	TIAM1_HUMAN	0.6
SRC_HUMAN	MK01_HUMAN	1.6
GNB5_HUMAN	GNB5_HUMAN	1.6
GNB5_HUMAN	KPCD_HUMAN	0.6
GNB5_HUMAN	WNT5A_HUMAN	0.6
GNB5_HUMAN	MK03_HUMAN	0.64
GNB5_HUMAN	ANXA7_HUMAN	1.6
GNB5_HUMAN	GNAZ_HUMAN	0.6
GNB5_HUMAN	GBG3_HUMAN	3.04
GNB5_HUMAN	GBG2_HUMAN	4.64
GNB5_HUMAN	KPCE_HUMAN	0.6
GNB5_HUMAN	ARBK1_HUMAN	0.6
GNB5_HUMAN	UBC_HUMAN	0.64
GNB5_HUMAN	GBB4_HUMAN	0.6
GNB5_HUMAN	GBB1_HUMAN	0.6
GNB5_HUMAN	GBG12_HUMAN	1.24
GNB5_HUMAN	1433B_HUMAN	0.64
GNB5_HUMAN	ADA2C_HUMAN	0.6
GNB5_HUMAN	TAU_HUMAN	0.64
GNB5_HUMAN	ADA2A_HUMAN	0.6
GNB5_HUMAN	MTOR_HUMAN	0.8
GNB5_HUMAN	STIP1_HUMAN	0.8
GNB5_HUMAN	KPCA_HUMAN	0.6
GNB5_HUMAN	A4_HUMAN	1.4
GNB5_HUMAN	GBB2_HUMAN	0.6
GNB5_HUMAN	GRIA1_HUMAN	1.28
GNB5_HUMAN	ITPR1_HUMAN	0.6
GNB5_HUMAN	NEB2_HUMAN	0.8
GNB5_HUMAN	GBG7_HUMAN	4.44
GNB5_HUMAN	MK01_HUMAN	0.64
GBRB1_HUMAN	GBRB1_HUMAN	1.6
GBRB1_HUMAN	GBRA1_HUMAN	6.039999999999999
GBRB1_HUMAN	GBRA4_HUMAN	0.6
GBRB1_HUMAN	HSP7C_HUMAN	1.6
GBRB1_HUMAN	GBRG2_HUMAN	3.0
FMR1_HUMAN	FMR1_HUMAN	29.6
FMR1_HUMAN	PICK1_HUMAN	1.6
FMR1_HUMAN	SYUA_HUMAN	0.8
FMR1_HUMAN	WNT5A_HUMAN	1.6
FMR1_HUMAN	KCC2A_HUMAN	1.44
FMR1_HUMAN	UBC_HUMAN	0.8
FMR1_HUMAN	DLG4_HUMAN	1.28
FMR1_HUMAN	AGAP2_HUMAN	1.28
FMR1_HUMAN	SYGP1_HUMAN	0.64
FMR1_HUMAN	SHAN3_HUMAN	0.64
FMR1_HUMAN	TNIK_HUMAN	1.28
FMR1_HUMAN	STIP1_HUMAN	0.64
FMR1_HUMAN	A4_HUMAN	0.6
FMR1_HUMAN	DLGP1_HUMAN	0.64
FMR1_HUMAN	TSC1_HUMAN	0.64
FMR1_HUMAN	BAG2_HUMAN	0.64
FMR1_HUMAN	CYFP1_HUMAN	12.88
FMR1_HUMAN	CTNB1_HUMAN	5.5200000000000005
FMR1_HUMAN	RANB9_HUMAN	4.4399999999999995
FMR1_HUMAN	EXOC5_HUMAN	0.8
FMR1_HUMAN	MK01_HUMAN	1.28
KPCD_HUMAN	KPCD_HUMAN	22.400000000000013
KPCD_HUMAN	SYUA_HUMAN	2.6
KPCD_HUMAN	MARCS_HUMAN	1.4
KPCD_HUMAN	MK03_HUMAN	0.6
KPCD_HUMAN	GNAZ_HUMAN	0.6
KPCD_HUMAN	GBRA1_HUMAN	1.0
KPCD_HUMAN	RAF1_HUMAN	0.6
KPCD_HUMAN	GBG3_HUMAN	0.6
KPCD_HUMAN	GBG2_HUMAN	0.6
KPCD_HUMAN	KPCE_HUMAN	0.6
KPCD_HUMAN	ARBK1_HUMAN	0.6
KPCD_HUMAN	UBC_HUMAN	1.44
KPCD_HUMAN	CXA1_HUMAN	3.2
KPCD_HUMAN	GBB4_HUMAN	0.6
KPCD_HUMAN	PLCG1_HUMAN	0.6
KPCD_HUMAN	GBB1_HUMAN	0.6
KPCD_HUMAN	GBG12_HUMAN	0.6
KPCD_HUMAN	GLRB_HUMAN	0.8
KPCD_HUMAN	1433Z_HUMAN	1.0
KPCD_HUMAN	ADA2C_HUMAN	0.6
KPCD_HUMAN	HSPB1_HUMAN	4.2
KPCD_HUMAN	LYN_HUMAN	1.4
KPCD_HUMAN	ADA2A_HUMAN	0.6
KPCD_HUMAN	RASH_HUMAN	0.6
KPCD_HUMAN	MTOR_HUMAN	2.0
KPCD_HUMAN	KPCA_HUMAN	0.6
KPCD_HUMAN	FAK2_HUMAN	2.24
KPCD_HUMAN	A4_HUMAN	3.2
KPCD_HUMAN	GBB2_HUMAN	0.6
KPCD_HUMAN	HS90A_HUMAN	1.44
