UniProtID	UniProtID	score
LANC2_HUMAN	AKT1_HUMAN	2.6
LANC2_HUMAN	EPS8_HUMAN	0.8
LANC2_HUMAN	LANC2_HUMAN	10.0
LANC2_HUMAN	DLG4_HUMAN	0.64
LANC2_HUMAN	1433B_HUMAN	0.64
LANC2_HUMAN	GSTM3_HUMAN	2.4000000000000004
LANC2_HUMAN	A4_HUMAN	0.8
LANC2_HUMAN	1433E_HUMAN	0.64
LANC2_HUMAN	A16L1_HUMAN	1.44
LANC2_HUMAN	TAU_HUMAN	0.64
LANC2_HUMAN	DISC1_HUMAN	0.8
LANC2_HUMAN	MTOR_HUMAN	0.8
AKT1_HUMAN	AKT1_HUMAN	26.400000000000002
AKT1_HUMAN	1433B_HUMAN	0.6
AKT1_HUMAN	A4_HUMAN	0.8
AKT1_HUMAN	1433E_HUMAN	1.4
AKT1_HUMAN	TAU_HUMAN	4.24
AKT1_HUMAN	MTOR_HUMAN	21.440000000000005
EPS8_HUMAN	EPS8_HUMAN	12.000000000000004
DLG4_HUMAN	DLG4_HUMAN	91.68000000000002
DLG4_HUMAN	1433B_HUMAN	2.56
DLG4_HUMAN	A4_HUMAN	5.2
DLG4_HUMAN	1433E_HUMAN	2.56
DLG4_HUMAN	DISC1_HUMAN	1.6
1433B_HUMAN	1433B_HUMAN	60.40000000000001
1433B_HUMAN	A4_HUMAN	3.84
1433B_HUMAN	1433E_HUMAN	14.880000000000003
1433B_HUMAN	A16L1_HUMAN	1.44
1433B_HUMAN	TAU_HUMAN	5.68
1433B_HUMAN	DISC1_HUMAN	0.8
1433B_HUMAN	MTOR_HUMAN	0.6
GSTM3_HUMAN	GSTM3_HUMAN	24.00000000000001
GSTM3_HUMAN	1433E_HUMAN	0.8
A4_HUMAN	A4_HUMAN	2360.8
A4_HUMAN	A16L1_HUMAN	0.8
A4_HUMAN	TAU_HUMAN	13.04
1433E_HUMAN	1433E_HUMAN	16.799999999999997
1433E_HUMAN	A16L1_HUMAN	1.44
1433E_HUMAN	TAU_HUMAN	2.2800000000000002
1433E_HUMAN	DISC1_HUMAN	3.84
1433E_HUMAN	MTOR_HUMAN	0.6
A16L1_HUMAN	A16L1_HUMAN	39.68000000000001
TAU_HUMAN	TAU_HUMAN	660.88
DISC1_HUMAN	DISC1_HUMAN	1.6
MTOR_HUMAN	MTOR_HUMAN	59.2
