UniProtID	UniProtID	score
LIN7B_HUMAN	KCNJ4_HUMAN	5.0
LIN7B_HUMAN	CALM1_HUMAN	0.64
LIN7B_HUMAN	NRX2A_HUMAN	0.6
LIN7B_HUMAN	LIPA1_HUMAN	0.6
LIN7B_HUMAN	SYN2_HUMAN	0.6
LIN7B_HUMAN	LIPA4_HUMAN	0.6
LIN7B_HUMAN	SNP25_HUMAN	0.6
LIN7B_HUMAN	CTNB1_HUMAN	0.8
LIN7B_HUMAN	LIN7C_HUMAN	3.0000000000000004
LIN7B_HUMAN	LIPA2_HUMAN	0.6
LIN7B_HUMAN	STX1A_HUMAN	0.6
LIN7B_HUMAN	DLG4_HUMAN	6.4399999999999995
LIN7B_HUMAN	CSKP_HUMAN	7.3599999999999985
LIN7B_HUMAN	MPP2_HUMAN	1.6
LIN7B_HUMAN	SYN3_HUMAN	0.6
LIN7B_HUMAN	NMDZ1_HUMAN	0.8
LIN7B_HUMAN	BAIP2_HUMAN	5.4399999999999995
LIN7B_HUMAN	RHOB_HUMAN	0.6
LIN7B_HUMAN	LIN7B_HUMAN	1.6
LIN7B_HUMAN	RHOA_HUMAN	0.6
LIN7B_HUMAN	NRX3A_HUMAN	0.6
LIN7B_HUMAN	SYT1_HUMAN	0.6
LIN7B_HUMAN	RIMS1_HUMAN	0.6
LIN7B_HUMAN	CALM2_HUMAN	1.28
LIN7B_HUMAN	NRX1A_HUMAN	0.6
LIN7B_HUMAN	MPP3_HUMAN	7.199999999999999
LIN7B_HUMAN	MPP7_HUMAN	3.2
LIN7B_HUMAN	VAMP2_HUMAN	0.6
LIN7B_HUMAN	CPLX1_HUMAN	0.6
LIN7B_HUMAN	SYN1_HUMAN	0.6
LIN7B_HUMAN	1433B_HUMAN	0.64
LIN7B_HUMAN	RAB3A_HUMAN	0.6
LIN7B_HUMAN	CALM3_HUMAN	0.64
LIN7B_HUMAN	LIPA3_HUMAN	0.6
LIN7B_HUMAN	NMDE2_HUMAN	6.0
KCNJ4_HUMAN	LIN7C_HUMAN	2.24
KCNJ4_HUMAN	DLG4_HUMAN	5.72
KCNJ4_HUMAN	CSKP_HUMAN	2.24
CALM1_HUMAN	CALM1_HUMAN	191.2
CALM1_HUMAN	SYN2_HUMAN	1.28
CALM1_HUMAN	CTNB1_HUMAN	1.44
CALM1_HUMAN	LIN7C_HUMAN	0.64
CALM1_HUMAN	DLG4_HUMAN	0.64
CALM1_HUMAN	CSKP_HUMAN	0.64
CALM1_HUMAN	NMDZ1_HUMAN	6.24
CALM1_HUMAN	SYT1_HUMAN	1.6400000000000001
CALM1_HUMAN	CALM2_HUMAN	1.2
CALM1_HUMAN	VAMP2_HUMAN	2.4000000000000004
CALM1_HUMAN	SYN1_HUMAN	1.28
CALM1_HUMAN	1433B_HUMAN	0.8
CALM1_HUMAN	RAB3A_HUMAN	0.64
CALM1_HUMAN	CALM3_HUMAN	3.5999999999999996
CALM1_HUMAN	LIPA3_HUMAN	0.64
CALM1_HUMAN	NMDE2_HUMAN	1.88
NRX2A_HUMAN	LIN7C_HUMAN	0.6
NRX2A_HUMAN	STX1A_HUMAN	0.6
NRX2A_HUMAN	DLG4_HUMAN	0.64
NRX2A_HUMAN	CSKP_HUMAN	1.44
NRX2A_HUMAN	NRX3A_HUMAN	0.6
NRX2A_HUMAN	SYT1_HUMAN	0.6
NRX2A_HUMAN	NRX1A_HUMAN	0.6
LIPA1_HUMAN	LIPA1_HUMAN	4.0
LIPA1_HUMAN	SYN2_HUMAN	0.6
LIPA1_HUMAN	LIPA4_HUMAN	0.6
LIPA1_HUMAN	SNP25_HUMAN	0.6
LIPA1_HUMAN	LIN7C_HUMAN	0.6
LIPA1_HUMAN	LIPA2_HUMAN	2.6
LIPA1_HUMAN	STX1A_HUMAN	0.6
LIPA1_HUMAN	SYN3_HUMAN	0.6
LIPA1_HUMAN	RHOB_HUMAN	0.8
LIPA1_HUMAN	SYT1_HUMAN	0.6
LIPA1_HUMAN	RIMS1_HUMAN	0.6
LIPA1_HUMAN	VAMP2_HUMAN	0.6
LIPA1_HUMAN	CPLX1_HUMAN	0.6
LIPA1_HUMAN	SYN1_HUMAN	0.6
LIPA1_HUMAN	1433B_HUMAN	1.6
LIPA1_HUMAN	RAB3A_HUMAN	0.6
LIPA1_HUMAN	LIPA3_HUMAN	1.4
SYN2_HUMAN	SYN2_HUMAN	21.20000000000001
SYN2_HUMAN	LIPA4_HUMAN	0.6
SYN2_HUMAN	SNP25_HUMAN	0.6
SYN2_HUMAN	LIN7C_HUMAN	0.6
SYN2_HUMAN	LIPA2_HUMAN	0.6
SYN2_HUMAN	STX1A_HUMAN	0.6
SYN2_HUMAN	DLG4_HUMAN	1.28
SYN2_HUMAN	SYN3_HUMAN	1.6
SYN2_HUMAN	SYT1_HUMAN	0.6
SYN2_HUMAN	RIMS1_HUMAN	0.6
SYN2_HUMAN	CALM2_HUMAN	1.92
SYN2_HUMAN	VAMP2_HUMAN	1.24
SYN2_HUMAN	CPLX1_HUMAN	1.24
SYN2_HUMAN	SYN1_HUMAN	4.24
SYN2_HUMAN	1433B_HUMAN	0.64
SYN2_HUMAN	RAB3A_HUMAN	0.6
SYN2_HUMAN	CALM3_HUMAN	1.28
SYN2_HUMAN	LIPA3_HUMAN	0.6
LIPA4_HUMAN	SNP25_HUMAN	0.6
LIPA4_HUMAN	LIN7C_HUMAN	0.6
LIPA4_HUMAN	LIPA2_HUMAN	0.6
LIPA4_HUMAN	STX1A_HUMAN	0.6
LIPA4_HUMAN	SYN3_HUMAN	0.6
