UniProtID	UniProtID	score
LIPA3_HUMAN	VINEX_HUMAN	3.2
LIPA3_HUMAN	LNX1_HUMAN	1.44
LIPA3_HUMAN	ADA10_HUMAN	0.64
LIPA3_HUMAN	CSKP_HUMAN	1.92
LIPA3_HUMAN	TRI25_HUMAN	0.8
LIPA3_HUMAN	LIN7C_HUMAN	0.64
LIPA3_HUMAN	RIMS1_HUMAN	0.8
LIPA3_HUMAN	ICAL_HUMAN	0.64
LIPA3_HUMAN	BRPF3_HUMAN	0.8
LIPA3_HUMAN	P85A_HUMAN	0.8
LIPA3_HUMAN	GRIP1_HUMAN	2.4000000000000004
LIPA3_HUMAN	PP2AA_HUMAN	7.039999999999999
LIPA3_HUMAN	PP2AB_HUMAN	3.2
LIPA3_HUMAN	S10AA_HUMAN	1.6
LIPA3_HUMAN	SRCN1_HUMAN	0.64
LIPA3_HUMAN	2AAA_HUMAN	6.08
LIPA3_HUMAN	CALM3_HUMAN	1.28
LIPA3_HUMAN	FXR1_HUMAN	1.28
LIPA3_HUMAN	MYOME_HUMAN	1.28
LIPA3_HUMAN	HCN1_HUMAN	0.8
LIPA3_HUMAN	ASPP1_HUMAN	3.2
LIPA3_HUMAN	TFP11_HUMAN	3.2
LIPA3_HUMAN	GIT1_HUMAN	2.64
LIPA3_HUMAN	ERC2_HUMAN	2.64
LIPA3_HUMAN	PTPRF_HUMAN	2.4000000000000004
LIPA3_HUMAN	PTPRS_HUMAN	0.8
LIPA3_HUMAN	PTPRD_HUMAN	3.04
LIPA3_HUMAN	LIPA1_HUMAN	0.8
LIPA3_HUMAN	LIPA2_HUMAN	0.8
LIPA3_HUMAN	LIPA3_HUMAN	1.6
LIPA3_HUMAN	LIPB1_HUMAN	0.8
LIPA3_HUMAN	NECD_HUMAN	0.64
LIPA3_HUMAN	DISC1_HUMAN	0.8
LIPA3_HUMAN	CBY2_HUMAN	0.8
LIPA3_HUMAN	1433Z_HUMAN	0.64
LIPA3_HUMAN	CALM2_HUMAN	0.64
LIPA3_HUMAN	CALM1_HUMAN	0.64
LIPA3_HUMAN	GPS2_HUMAN	2.4000000000000004
LIPA3_HUMAN	R3GEF_HUMAN	2.4000000000000004
LIPA3_HUMAN	EMIL1_HUMAN	1.6
LIPA3_HUMAN	RN123_HUMAN	0.8
LIPA3_HUMAN	PINK1_HUMAN	0.8
LIPA3_HUMAN	SC6A4_HUMAN	0.64
LIPA3_HUMAN	TULP3_HUMAN	0.8
LIPA3_HUMAN	TRI67_HUMAN	0.64
LIPA3_HUMAN	TPGS1_HUMAN	0.8
LIPA3_HUMAN	BTNL9_HUMAN	0.8
LIPA3_HUMAN	CC113_HUMAN	0.8
LIPA3_HUMAN	BRK1_HUMAN	0.8
LIPA3_HUMAN	MED4_HUMAN	0.8
LIPA3_HUMAN	TP4A3_HUMAN	0.8
LIPA3_HUMAN	CNKR1_HUMAN	0.8
LIPA3_HUMAN	PPME1_HUMAN	0.64
LIPA3_HUMAN	IGBP1_HUMAN	0.64
LIPA3_HUMAN	CTTB2_HUMAN	0.64
LIPA3_HUMAN	2ABA_HUMAN	0.64
LIPA3_HUMAN	2A5A_HUMAN	0.64
LIPA3_HUMAN	2A5G_HUMAN	0.64
LIPA3_HUMAN	STRN3_HUMAN	0.64
LIPA3_HUMAN	GCR_HUMAN	0.8
LIPA3_HUMAN	DIAP1_HUMAN	1.6
