UniProtID	UniProtID	score
LMAN1_HUMAN	LYN_HUMAN	0.8
LMAN1_HUMAN	YES_HUMAN	0.8
LMAN1_HUMAN	SNX9_HUMAN	1
LMAN1_HUMAN	RAC3_HUMAN	0.8
LMAN1_HUMAN	KCNB2_HUMAN	0.8
LMAN1_HUMAN	FAF2_HUMAN	0.8
LMAN1_HUMAN	NDUB8_HUMAN	0.8
LMAN1_HUMAN	NU155_HUMAN	0.8
LMAN1_HUMAN	STBD1_HUMAN	0.8
LMAN1_HUMAN	RET_HUMAN	1.6
LMAN1_HUMAN	NUMB_HUMAN	0.8
LMAN1_HUMAN	SEC62_HUMAN	0.8
LMAN1_HUMAN	DP13A_HUMAN	0.8
LMAN1_HUMAN	CDC37_HUMAN	0.8
LMAN1_HUMAN	TERA_HUMAN	1.6
LMAN1_HUMAN	RAF1_HUMAN	0.8
LMAN1_HUMAN	TGON2_HUMAN	4.0
LMAN1_HUMAN	VP13A_HUMAN	0.8
LMAN1_HUMAN	BCAR1_HUMAN	2.4000000000000004
LMAN1_HUMAN	A4_HUMAN	0.8
LMAN1_HUMAN	MK03_HUMAN	0.64
LMAN1_HUMAN	HSP7C_HUMAN	2.4000000000000004
LMAN1_HUMAN	4F2_HUMAN	0.8
LMAN1_HUMAN	VAPA_HUMAN	1.6
LMAN1_HUMAN	PTN1_HUMAN	1.6
LMAN1_HUMAN	CDK7_HUMAN	0.8
LMAN1_HUMAN	TOX3_HUMAN	0.8
LMAN1_HUMAN	RAB4A_HUMAN	0.8
LMAN1_HUMAN	LMNA_HUMAN	3.2
LMAN1_HUMAN	LMNB1_HUMAN	1.6
LMAN1_HUMAN	BIP_HUMAN	0.8
LMAN1_HUMAN	RB11A_HUMAN	0.8
LMAN1_HUMAN	RASH_HUMAN	0.8
LMAN1_HUMAN	CTBP1_HUMAN	0.8
LMAN1_HUMAN	ITB1_HUMAN	0.8
LMAN1_HUMAN	YBOX1_HUMAN	0.8
LMAN1_HUMAN	MPRI_HUMAN	0.8
LMAN1_HUMAN	CYBP_HUMAN	0.8
LMAN1_HUMAN	INSR_HUMAN	1.28
