UniProtID	UniProtID	score
LMNB2_HUMAN	RAC3_HUMAN	0.8
LMNB2_HUMAN	IQEC1_HUMAN	0.64
LMNB2_HUMAN	TRI25_HUMAN	0.8
LMNB2_HUMAN	SEC62_HUMAN	0.8
LMNB2_HUMAN	CDC37_HUMAN	3.2
LMNB2_HUMAN	TERA_HUMAN	0.8
LMNB2_HUMAN	KI67_HUMAN	1.6
LMNB2_HUMAN	CUL7_HUMAN	0.8
LMNB2_HUMAN	BRD4_HUMAN	1.6
LMNB2_HUMAN	ASPP2_HUMAN	0.8
LMNB2_HUMAN	TNIK_HUMAN	1.28
LMNB2_HUMAN	XRCC4_HUMAN	0.8
LMNB2_HUMAN	MK03_HUMAN	0.8
LMNB2_HUMAN	MK01_HUMAN	0.8
LMNB2_HUMAN	PTN1_HUMAN	0.8
LMNB2_HUMAN	PRC1_HUMAN	0.8
LMNB2_HUMAN	EZH2_HUMAN	0.8
LMNB2_HUMAN	LMNA_HUMAN	16.520000000000007
LMNB2_HUMAN	LMNB1_HUMAN	10.000000000000002
LMNB2_HUMAN	H4_HUMAN	0.8
LMNB2_HUMAN	RANB9_HUMAN	0.8
LMNB2_HUMAN	MARE1_HUMAN	0.8
LMNB2_HUMAN	GAN_HUMAN	0.8
LMNB2_HUMAN	CDC42_HUMAN	0.8
LMNB2_HUMAN	RAC1_HUMAN	0.8
LMNB2_HUMAN	DNJC1_HUMAN	0.8
LMNB2_HUMAN	IFM1_HUMAN	0.8
LMNB2_HUMAN	ELAV1_HUMAN	0.8
LMNB2_HUMAN	GASP2_HUMAN	0.8
LMNB2_HUMAN	LRIF1_HUMAN	0.8
LMNB2_HUMAN	ING5_HUMAN	0.8
LMNB2_HUMAN	RHOA_HUMAN	0.8
LMNB2_HUMAN	FKBP8_HUMAN	0.8
LMNB2_HUMAN	SPTB2_HUMAN	0.8
LMNB2_HUMAN	PEX6_HUMAN	0.8
LMNB2_HUMAN	PLAK_HUMAN	0.8
LMNB2_HUMAN	STAU1_HUMAN	0.8
LMNB2_HUMAN	ASPP1_HUMAN	3.2
LMNB2_HUMAN	GOGA2_HUMAN	3.2
LMNB2_HUMAN	ARHG1_HUMAN	1.6
LMNB2_HUMAN	DYLT1_HUMAN	0.8
LMNB2_HUMAN	BIRC3_HUMAN	0.8
LMNB2_HUMAN	DNJB6_HUMAN	0.8
LMNB2_HUMAN	RAC2_HUMAN	0.8
LMNB2_HUMAN	TOP2A_HUMAN	0.8
LMNB2_HUMAN	LRC59_HUMAN	0.8
LMNB2_HUMAN	RPN1_HUMAN	0.8
LMNB2_HUMAN	TRIP6_HUMAN	0.8
LMNB2_HUMAN	CIC_HUMAN	0.8
LMNB2_HUMAN	KLC2_HUMAN	0.8
LMNB2_HUMAN	PRIO_HUMAN	1.6
LMNB2_HUMAN	PRKN_HUMAN	1.6
LMNB2_HUMAN	HERC2_HUMAN	0.8
LMNB2_HUMAN	MYOME_HUMAN	1.28
LMNB2_HUMAN	TFP11_HUMAN	3.2
LMNB2_HUMAN	RING2_HUMAN	0.8
LMNB2_HUMAN	MAT1_HUMAN	0.8
LMNB2_HUMAN	ESR2_HUMAN	0.8
LMNB2_HUMAN	TRI27_HUMAN	3.2
LMNB2_HUMAN	UBP14_HUMAN	0.8
LMNB2_HUMAN	FUMH_HUMAN	3.2
LMNB2_HUMAN	CLC4G_HUMAN	0.8
LMNB2_HUMAN	PDE6D_HUMAN	1.8
LMNB2_HUMAN	UBE2H_HUMAN	0.8
LMNB2_HUMAN	EXOS9_HUMAN	0.64
LMNB2_HUMAN	UBC12_HUMAN	0.8
LMNB2_HUMAN	RHEB_HUMAN	0.8
LMNB2_HUMAN	TYY1_HUMAN	0.8
LMNB2_HUMAN	BACD3_HUMAN	0.8
LMNB2_HUMAN	FNTA_HUMAN	0.8
LMNB2_HUMAN	DIP2A_HUMAN	0.8
LMNB2_HUMAN	NTRK1_HUMAN	0.8
LMNB2_HUMAN	OGT1_HUMAN	2
LMNB2_HUMAN	RHG01_HUMAN	0.64
LMNB2_HUMAN	TRIM1_HUMAN	0.8
LMNB2_HUMAN	CCNH_HUMAN	0.8
LMNB2_HUMAN	SFI1_HUMAN	1.6
LMNB2_HUMAN	RPN2_HUMAN	0.8
LMNB2_HUMAN	CCND1_HUMAN	0.8
LMNB2_HUMAN	ARHG5_HUMAN	0.8
LMNB2_HUMAN	ZN363_HUMAN	0.8
LMNB2_HUMAN	JUN_HUMAN	0.8
LMNB2_HUMAN	MYC_HUMAN	1.6
LMNB2_HUMAN	SPOP_HUMAN	0.8
LMNB2_HUMAN	STIP1_HUMAN	0.8
LMNB2_HUMAN	SYNPO_HUMAN	0.8
LMNB2_HUMAN	DCPS_HUMAN	0.8
LMNB2_HUMAN	CHM4C_HUMAN	0.8
LMNB2_HUMAN	WASC3_HUMAN	3.2
LMNB2_HUMAN	SDHA_HUMAN	4.0
LMNB2_HUMAN	VDAC1_HUMAN	2.4000000000000004
LMNB2_HUMAN	SSRA_HUMAN	0.8
LMNB2_HUMAN	EED_HUMAN	0.8
LMNB2_HUMAN	HNRH1_HUMAN	0.8
LMNB2_HUMAN	MFAP1_HUMAN	3.2
LMNB2_HUMAN	KIF23_HUMAN	0.8
LMNB2_HUMAN	GTPB2_HUMAN	0.8
LMNB2_HUMAN	LRRK2_HUMAN	2.4000000000000004
LMNB2_HUMAN	PIBF1_HUMAN	0.8
LMNB2_HUMAN	HYPK_HUMAN	1.6
LMNB2_HUMAN	LOXL2_HUMAN	0.8
LMNB2_HUMAN	CTRO_HUMAN	0.8
LMNB2_HUMAN	NUPR1_HUMAN	0.8
LMNB2_HUMAN	MCM7_HUMAN	0.8
LMNB2_HUMAN	LZTS1_HUMAN	3.2
LMNB2_HUMAN	AKTIP_HUMAN	0.8
LMNB2_HUMAN	CFTR_HUMAN	5.6
LMNB2_HUMAN	TBG1_HUMAN	1.6
LMNB2_HUMAN	RHOG_HUMAN	0.8
LMNB2_HUMAN	ZRAN1_HUMAN	0.8
LMNB2_HUMAN	ODO2_HUMAN	4.0
LMNB2_HUMAN	RAB18_HUMAN	0.64
LMNB2_HUMAN	EMD_HUMAN	0.8
LMNB2_HUMAN	LAP2A_HUMAN	1.8
LMNB2_HUMAN	NOP10_HUMAN	0.8
LMNB2_HUMAN	LEO1_HUMAN	1.6
LMNB2_HUMAN	NSUN2_HUMAN	0.8
LMNB2_HUMAN	RICTR_HUMAN	0.8
LMNB2_HUMAN	BMI1_HUMAN	0.8
LMNB2_HUMAN	SODC_HUMAN	4.640000000000001
LMNB2_HUMAN	CUL4A_HUMAN	0.8
LMNB2_HUMAN	AMOT_HUMAN	0.8
LMNB2_HUMAN	UBP2_HUMAN	3.2
LMNB2_HUMAN	ABCE1_HUMAN	0.8
LMNB2_HUMAN	PAN2_HUMAN	0.8
LMNB2_HUMAN	ULA1_HUMAN	0.8
LMNB2_HUMAN	FACD2_HUMAN	1.44
LMNB2_HUMAN	WDR5_HUMAN	0.8
LMNB2_HUMAN	OBSL1_HUMAN	0.8
LMNB2_HUMAN	SYHM_HUMAN	0.8
LMNB2_HUMAN	PINK1_HUMAN	0.8
LMNB2_HUMAN	STING_HUMAN	0.64
LMNB2_HUMAN	SOX4_HUMAN	1.8
LMNB2_HUMAN	EGLN_HUMAN	1.6
LMNB2_HUMAN	KDM3B_HUMAN	1.6
LMNB2_HUMAN	FNTB_HUMAN	3.2
LMNB2_HUMAN	PRD16_HUMAN	1.28
LMNB2_HUMAN	MECOM_HUMAN	1.28
LMNB2_HUMAN	MYLK2_HUMAN	1.6
LMNB2_HUMAN	ANRA2_HUMAN	1.6
LMNB2_HUMAN	RFXK_HUMAN	1.6
LMNB2_HUMAN	COX15_HUMAN	4.0
LMNB2_HUMAN	ZBTB3_HUMAN	1.6
LMNB2_HUMAN	GP101_HUMAN	1.6
LMNB2_HUMAN	SATB2_HUMAN	0.64
LMNB2_HUMAN	CC120_HUMAN	3.2
LMNB2_HUMAN	CC88B_HUMAN	3.2
LMNB2_HUMAN	LMNB2_HUMAN	6.3999999999999995
LMNB2_HUMAN	CAH8_HUMAN	3.2
LMNB2_HUMAN	THAP1_HUMAN	3.2
LMNB2_HUMAN	EFHC2_HUMAN	3.2
LMNB2_HUMAN	PO6F2_HUMAN	3.2
LMNB2_HUMAN	AMOL2_HUMAN	3.2
LMNB2_HUMAN	T10IP_HUMAN	3.2
LMNB2_HUMAN	OVOL1_HUMAN	3.2
LMNB2_HUMAN	PHC3_HUMAN	1.6
LMNB2_HUMAN	FOXA3_HUMAN	1.6
LMNB2_HUMAN	FOXL1_HUMAN	1.6
LMNB2_HUMAN	SVIL_HUMAN	0.8
LMNB2_HUMAN	ZC21C_HUMAN	0.8
LMNB2_HUMAN	ZFHX3_HUMAN	0.8
LMNB2_HUMAN	BAF_HUMAN	0.8
LMNB2_HUMAN	SIR7_HUMAN	0.8
LMNB2_HUMAN	CCDC8_HUMAN	0.8
LMNB2_HUMAN	SUZ12_HUMAN	0.8
LMNB2_HUMAN	TSAP1_HUMAN	0.8
LMNB2_HUMAN	FOXB1_HUMAN	0.8
LMNB2_HUMAN	ZN598_HUMAN	0.8
LMNB2_HUMAN	RNF4_HUMAN	0.8
LMNB2_HUMAN	RN123_HUMAN	0.8
LMNB2_HUMAN	RECQ4_HUMAN	0.8
LMNB2_HUMAN	VIR_HUMAN	0.8
LMNB2_HUMAN	CLUA1_HUMAN	0.8
LMNB2_HUMAN	LMBRL_HUMAN	0.8
LMNB2_HUMAN	PKHA4_HUMAN	0.8
LMNB2_HUMAN	ZCH18_HUMAN	0.8
LMNB2_HUMAN	ANR55_HUMAN	0.8
LMNB2_HUMAN	DOCK8_HUMAN	0.8
LMNB2_HUMAN	RHG44_HUMAN	0.8
LMNB2_HUMAN	DEP1B_HUMAN	0.8
LMNB2_HUMAN	PKHG3_HUMAN	0.8
LMNB2_HUMAN	ANLN_HUMAN	1.6
LMNB2_HUMAN	KIF14_HUMAN	0.8
LMNB2_HUMAN	KI20A_HUMAN	0.8
LMNB2_HUMAN	MT21E_HUMAN	0.64
LMNB2_HUMAN	MTA70_HUMAN	0.8
LMNB2_HUMAN	REXO5_HUMAN	0.8
LMNB2_HUMAN	DPOA2_HUMAN	0.8
LMNB2_HUMAN	DDX51_HUMAN	0.8
LMNB2_HUMAN	ERCC2_HUMAN	0.8
LMNB2_HUMAN	ADRO_HUMAN	0.8
LMNB2_HUMAN	DDX59_HUMAN	0.8
LMNB2_HUMAN	NSUN5_HUMAN	0.8
LMNB2_HUMAN	TBB8_HUMAN	0.8
LMNB2_HUMAN	DHX40_HUMAN	0.8
LMNB2_HUMAN	DDX28_HUMAN	0.8
LMNB2_HUMAN	TRM2B_HUMAN	0.8
LMNB2_HUMAN	RTEL1_HUMAN	0.8
LMNB2_HUMAN	TSR3_HUMAN	0.8
LMNB2_HUMAN	SEN15_HUMAN	0.8
LMNB2_HUMAN	AFG2B_HUMAN	0.8
LMNB2_HUMAN	PALB2_HUMAN	0.8
LMNB2_HUMAN	SLN11_HUMAN	0.8
LMNB2_HUMAN	TOP3B_HUMAN	1.6
LMNB2_HUMAN	DPP4_HUMAN	0.8
LMNB2_HUMAN	IFM3_HUMAN	1.6
LMNB2_HUMAN	CLC4D_HUMAN	1.6
LMNB2_HUMAN	CLC4E_HUMAN	1.6
LMNB2_HUMAN	RHOF_HUMAN	0.8
LMNB2_HUMAN	RHOJ_HUMAN	0.8
LMNB2_HUMAN	RHOC_HUMAN	0.8
