UniProtID	UniProtID	score
LMO7_HUMAN	CALM1_HUMAN	0.8
LMO7_HUMAN	CTRO_HUMAN	0.8
LMO7_HUMAN	1433Z_HUMAN	0.8
LMO7_HUMAN	FMNL1_HUMAN	0.8
LMO7_HUMAN	CTNB1_HUMAN	0.8
LMO7_HUMAN	ZO1_HUMAN	0.8
LMO7_HUMAN	TMOD1_HUMAN	0.8
LMO7_HUMAN	DREB_HUMAN	0.8
LMO7_HUMAN	MARE1_HUMAN	0.8
LMO7_HUMAN	1433F_HUMAN	1.6
LMO7_HUMAN	MYO1C_HUMAN	0.64
LMO7_HUMAN	FLOT2_HUMAN	1.28
LMO7_HUMAN	CHM4B_HUMAN	0.8
LMO7_HUMAN	CAZA2_HUMAN	1.6
LMO7_HUMAN	RS25_HUMAN	1.6
LMO7_HUMAN	LIMA1_HUMAN	0.64
LMO7_HUMAN	1433S_HUMAN	1.6
LMO7_HUMAN	VIME_HUMAN	0.8
LMO7_HUMAN	SFPQ_HUMAN	0.8
LMO7_HUMAN	RADI_HUMAN	0.8
LMO7_HUMAN	MYH9_HUMAN	1.44
LMO7_HUMAN	GRB2_HUMAN	0.8
LMO7_HUMAN	SRPK2_HUMAN	0.8
LMO7_HUMAN	MYH10_HUMAN	0.64
LMO7_HUMAN	ACTB_HUMAN	2.4400000000000004
LMO7_HUMAN	EZRI_HUMAN	0.8
LMO7_HUMAN	1433G_HUMAN	0.8
LMO7_HUMAN	1433T_HUMAN	0.8
LMO7_HUMAN	1433E_HUMAN	1.6
LMO7_HUMAN	CADH1_HUMAN	0.8
LMO7_HUMAN	CALM2_HUMAN	0.8
LMO7_HUMAN	MY18A_HUMAN	0.8
LMO7_HUMAN	ZO2_HUMAN	0.8
LMO7_HUMAN	PP1G_HUMAN	0.8
LMO7_HUMAN	CTNA1_HUMAN	0.8
LMO7_HUMAN	FLOT1_HUMAN	0.64
LMO7_HUMAN	PP1B_HUMAN	0.8
LMO7_HUMAN	SYNPO_HUMAN	2.4000000000000004
LMO7_HUMAN	1433B_HUMAN	1.6
LMO7_HUMAN	IQGA1_HUMAN	1.6
LMO7_HUMAN	MARE3_HUMAN	0.8
LMO7_HUMAN	DMD_HUMAN	0.64
LMO7_HUMAN	RASK_HUMAN	0.8
LMO7_HUMAN	CALM3_HUMAN	0.8
CALM1_HUMAN	CALM1_HUMAN	191.2
CALM1_HUMAN	CTRO_HUMAN	0.8
CALM1_HUMAN	1433Z_HUMAN	1.28
CALM1_HUMAN	CTNB1_HUMAN	1.44
CALM1_HUMAN	DREB_HUMAN	0.8
CALM1_HUMAN	MARE1_HUMAN	0.8
CALM1_HUMAN	MYO1C_HUMAN	5.24
CALM1_HUMAN	CHM4B_HUMAN	0.8
CALM1_HUMAN	CAZA2_HUMAN	0.64
CALM1_HUMAN	LIMA1_HUMAN	1.44
CALM1_HUMAN	RADI_HUMAN	0.8
CALM1_HUMAN	MYH9_HUMAN	1.44
CALM1_HUMAN	GRB2_HUMAN	0.8
CALM1_HUMAN	MYH10_HUMAN	0.64
CALM1_HUMAN	1433G_HUMAN	0.64
CALM1_HUMAN	1433T_HUMAN	3.24
CALM1_HUMAN	1433E_HUMAN	2.64
CALM1_HUMAN	CALM2_HUMAN	1.2
CALM1_HUMAN	MY18A_HUMAN	0.8
CALM1_HUMAN	PP1G_HUMAN	1.24
CALM1_HUMAN	PP1B_HUMAN	2.04
CALM1_HUMAN	1433B_HUMAN	0.8
CALM1_HUMAN	IQGA1_HUMAN	6.199999999999999
CALM1_HUMAN	RASK_HUMAN	5.3999999999999995
CALM1_HUMAN	CALM3_HUMAN	3.5999999999999996
CTRO_HUMAN	CTRO_HUMAN	1.6
CTRO_HUMAN	CTNB1_HUMAN	0.8
CTRO_HUMAN	ZO1_HUMAN	0.8
CTRO_HUMAN	DREB_HUMAN	0.8
CTRO_HUMAN	MYO1C_HUMAN	0.8
CTRO_HUMAN	FLOT2_HUMAN	0.8
CTRO_HUMAN	CHM4B_HUMAN	0.8
CTRO_HUMAN	CAZA2_HUMAN	0.8
CTRO_HUMAN	RS25_HUMAN	0.8
CTRO_HUMAN	LIMA1_HUMAN	0.8
CTRO_HUMAN	VIME_HUMAN	0.8
CTRO_HUMAN	SFPQ_HUMAN	0.8
CTRO_HUMAN	MYH9_HUMAN	1.4
