UniProtID	UniProtID	score
LONM_HUMAN	SH3G3_HUMAN	1.6
LONM_HUMAN	RAC3_HUMAN	0.8
LONM_HUMAN	MET_HUMAN	1.6
LONM_HUMAN	RPR1B_HUMAN	0.8
LONM_HUMAN	DBNL_HUMAN	0.64
LONM_HUMAN	NGEF_HUMAN	0.8
LONM_HUMAN	TRI25_HUMAN	0.8
LONM_HUMAN	RM43_HUMAN	0.8
LONM_HUMAN	DCTN1_HUMAN	1.6
LONM_HUMAN	TLN1_HUMAN	0.8
LONM_HUMAN	EP15R_HUMAN	0.64
LONM_HUMAN	IRS2_HUMAN	1.6
LONM_HUMAN	SYCM_HUMAN	0.8
LONM_HUMAN	CDC37_HUMAN	2.24
LONM_HUMAN	RBM14_HUMAN	0.8
LONM_HUMAN	SFPQ_HUMAN	0.8
LONM_HUMAN	TERA_HUMAN	0.8
LONM_HUMAN	RAF1_HUMAN	1.6
LONM_HUMAN	NFS1_HUMAN	0.8
LONM_HUMAN	M4K1_HUMAN	1.6
LONM_HUMAN	FLNC_HUMAN	0.8
LONM_HUMAN	HXC8_HUMAN	0.8
LONM_HUMAN	HEXA_HUMAN	0.8
LONM_HUMAN	FOXF2_HUMAN	0.8
LONM_HUMAN	KI67_HUMAN	1.6
LONM_HUMAN	CKAP5_HUMAN	1.28
LONM_HUMAN	CUL7_HUMAN	0.8
LONM_HUMAN	UHMK1_HUMAN	1.6
LONM_HUMAN	BRD4_HUMAN	0.8
LONM_HUMAN	GCDH_HUMAN	0.8
LONM_HUMAN	RIT1_HUMAN	0.8
LONM_HUMAN	TNIK_HUMAN	1.6
LONM_HUMAN	MK01_HUMAN	0.64
LONM_HUMAN	HSP7C_HUMAN	0.8
LONM_HUMAN	TCPH_HUMAN	0.8
LONM_HUMAN	PHAG1_HUMAN	0.64
LONM_HUMAN	XPO5_HUMAN	0.64
LONM_HUMAN	PRC1_HUMAN	0.8
LONM_HUMAN	NEUR4_HUMAN	1.6
LONM_HUMAN	MPPA_HUMAN	0.8
LONM_HUMAN	IF4G2_HUMAN	0.8
LONM_HUMAN	LMNA_HUMAN	0.8
LONM_HUMAN	HCD2_HUMAN	0.8
LONM_HUMAN	TM10C_HUMAN	0.8
LONM_HUMAN	M3K3_HUMAN	0.8
LONM_HUMAN	IGF1R_HUMAN	1.6
LONM_HUMAN	MAST1_HUMAN	1.6
LONM_HUMAN	CALM3_HUMAN	1.28
LONM_HUMAN	INSR_HUMAN	1.28
LONM_HUMAN	EGFR_HUMAN	4.0
LONM_HUMAN	HS90A_HUMAN	0.8
LONM_HUMAN	RND1_HUMAN	0.8
LONM_HUMAN	ATX1_HUMAN	1.28
LONM_HUMAN	CDC42_HUMAN	1.6
LONM_HUMAN	RAC1_HUMAN	0.8
LONM_HUMAN	CLU_HUMAN	0.64
LONM_HUMAN	DNJA1_HUMAN	0.8
LONM_HUMAN	IFM1_HUMAN	1.6
LONM_HUMAN	MIC60_HUMAN	0.8
LONM_HUMAN	C1QBP_HUMAN	2.24
LONM_HUMAN	VATE1_HUMAN	0.8
LONM_HUMAN	RS15A_HUMAN	0.8
LONM_HUMAN	PML_HUMAN	0.8
LONM_HUMAN	PHB2_HUMAN	0.8
LONM_HUMAN	REN3A_HUMAN	0.8
LONM_HUMAN	TCPG_HUMAN	0.8
LONM_HUMAN	GGYF1_HUMAN	0.8
LONM_HUMAN	RHOA_HUMAN	0.8
LONM_HUMAN	CXA1_HUMAN	0.64
LONM_HUMAN	ECSIT_HUMAN	1.6
LONM_HUMAN	GLUT4_HUMAN	0.64
LONM_HUMAN	UBP2_HUMAN	1.6
LONM_HUMAN	ATGA1_HUMAN	1.6
LONM_HUMAN	ICT1_HUMAN	2.24
LONM_HUMAN	LATS2_HUMAN	3.04
LONM_HUMAN	MK06_HUMAN	1.6
LONM_HUMAN	SIR4_HUMAN	0.8
LONM_HUMAN	NDUS7_HUMAN	5.6
LONM_HUMAN	ATLA3_HUMAN	1.6
LONM_HUMAN	ESPL1_HUMAN	1.28
LONM_HUMAN	LPPRC_HUMAN	3.2
LONM_HUMAN	CE162_HUMAN	1.6
LONM_HUMAN	SMIP6_HUMAN	2.4000000000000004
LONM_HUMAN	KLD8A_HUMAN	2.4000000000000004
LONM_HUMAN	DC122_HUMAN	2.4000000000000004
LONM_HUMAN	RT24_HUMAN	3.2
LONM_HUMAN	RSLAB_HUMAN	2.4000000000000004
LONM_HUMAN	DCAF4_HUMAN	2.4000000000000004
LONM_HUMAN	KBL_HUMAN	3.2
LONM_HUMAN	SAXO5_HUMAN	2.4000000000000004
LONM_HUMAN	CISD3_HUMAN	1.6
LONM_HUMAN	NDUA4_HUMAN	0.8
LONM_HUMAN	PRD16_HUMAN	1.28
LONM_HUMAN	PAXI_HUMAN	1.6
LONM_HUMAN	KPCG_HUMAN	1.6
LONM_HUMAN	LONM_HUMAN	361.6
LONM_HUMAN	ZDHC5_HUMAN	1.6
LONM_HUMAN	NCBP2_HUMAN	0.8
LONM_HUMAN	SOX2_HUMAN	1.6
LONM_HUMAN	ZNF3_HUMAN	0.8
LONM_HUMAN	VCAM1_HUMAN	2.4000000000000004
LONM_HUMAN	COQ2_HUMAN	2.4000000000000004
LONM_HUMAN	TBG1_HUMAN	2.4000000000000004
LONM_HUMAN	5NT3A_HUMAN	1.6
LONM_HUMAN	HTRA4_HUMAN	1.6
LONM_HUMAN	MP2K7_HUMAN	1.6
