UniProtID	UniProtID	score
LPPRC_HUMAN	LRC59_HUMAN	0.8
LPPRC_HUMAN	ADRB2_HUMAN	0.8
LPPRC_HUMAN	STAU1_HUMAN	1.44
LPPRC_HUMAN	HSDL2_HUMAN	0.8
LPPRC_HUMAN	CTRO_HUMAN	0.8
LPPRC_HUMAN	PP1A_HUMAN	0.8
LPPRC_HUMAN	NDUS1_HUMAN	1.6
LPPRC_HUMAN	SUCB1_HUMAN	0.8
LPPRC_HUMAN	RAC1_HUMAN	2.4000000000000004
LPPRC_HUMAN	DDX6_HUMAN	0.8
LPPRC_HUMAN	CAZA2_HUMAN	1.6
LPPRC_HUMAN	HS90B_HUMAN	0.8
LPPRC_HUMAN	DHE3_HUMAN	0.8
LPPRC_HUMAN	COX5A_HUMAN	0.8
LPPRC_HUMAN	DDRGK_HUMAN	0.8
LPPRC_HUMAN	NDUA7_HUMAN	0.8
LPPRC_HUMAN	GLYM_HUMAN	2.4000000000000004
LPPRC_HUMAN	MK03_HUMAN	1.6
LPPRC_HUMAN	NDUS6_HUMAN	0.8
LPPRC_HUMAN	NDUS7_HUMAN	1.6
LPPRC_HUMAN	ODO1_HUMAN	0.8
LPPRC_HUMAN	PTN11_HUMAN	1.4
LPPRC_HUMAN	ATD3A_HUMAN	0.8
LPPRC_HUMAN	UBC12_HUMAN	0.8
LPPRC_HUMAN	EPB41_HUMAN	0.8
LPPRC_HUMAN	GBRL2_HUMAN	1.6
LPPRC_HUMAN	NDUA5_HUMAN	0.8
LPPRC_HUMAN	PDPK1_HUMAN	1.6
LPPRC_HUMAN	VDAC3_HUMAN	0.8
LPPRC_HUMAN	NDUAC_HUMAN	0.8
LPPRC_HUMAN	GSTK1_HUMAN	2.4000000000000004
LPPRC_HUMAN	RT36_HUMAN	0.8
LPPRC_HUMAN	DNJA3_HUMAN	0.8
LPPRC_HUMAN	TFAM_HUMAN	0.8
LPPRC_HUMAN	COX41_HUMAN	1.6
LPPRC_HUMAN	ERBB2_HUMAN	1.4
LPPRC_HUMAN	PHB_HUMAN	0.8
LPPRC_HUMAN	STML2_HUMAN	0.8
LPPRC_HUMAN	NDUA2_HUMAN	0.8
LPPRC_HUMAN	MDHM_HUMAN	1.6
LPPRC_HUMAN	CXA1_HUMAN	0.64
LPPRC_HUMAN	PTEN_HUMAN	0.8
LPPRC_HUMAN	SC23A_HUMAN	0.8
LPPRC_HUMAN	LETM1_HUMAN	0.8
LPPRC_HUMAN	DLG4_HUMAN	1.92
LPPRC_HUMAN	SSBP_HUMAN	0.8
LPPRC_HUMAN	ODPX_HUMAN	0.8
LPPRC_HUMAN	TIM16_HUMAN	0.8
LPPRC_HUMAN	THIL_HUMAN	0.8
LPPRC_HUMAN	ETFB_HUMAN	2.4000000000000004
LPPRC_HUMAN	COR1C_HUMAN	0.8
LPPRC_HUMAN	HMOX2_HUMAN	0.8
LPPRC_HUMAN	GRB2_HUMAN	0.6
LPPRC_HUMAN	ACTB_HUMAN	0.8
LPPRC_HUMAN	RAB1A_HUMAN	0.8
LPPRC_HUMAN	ODPA_HUMAN	4.0
LPPRC_HUMAN	VATA_HUMAN	0.8
LPPRC_HUMAN	CADH1_HUMAN	1.92
LPPRC_HUMAN	AIFM1_HUMAN	0.8
LPPRC_HUMAN	QOR_HUMAN	0.8
LPPRC_HUMAN	AT2A2_HUMAN	0.8
LPPRC_HUMAN	TXTP_HUMAN	0.8
LPPRC_HUMAN	1433B_HUMAN	0.64
LPPRC_HUMAN	CMC1_HUMAN	0.8
LPPRC_HUMAN	CH60_HUMAN	1.6
LPPRC_HUMAN	LONM_HUMAN	3.2
LPPRC_HUMAN	C1TM_HUMAN	2.4000000000000004
LPPRC_HUMAN	HCK_HUMAN	1.6
LPPRC_HUMAN	TRAP1_HUMAN	0.8
LPPRC_HUMAN	1433Z_HUMAN	1.44
LPPRC_HUMAN	RBMX_HUMAN	0.8
LPPRC_HUMAN	SFXN1_HUMAN	0.8
LPPRC_HUMAN	C1QBP_HUMAN	2.24
LPPRC_HUMAN	PDK3_HUMAN	0.8
LPPRC_HUMAN	QCR1_HUMAN	0.8
LPPRC_HUMAN	1433F_HUMAN	0.64
LPPRC_HUMAN	ODB2_HUMAN	0.8
LPPRC_HUMAN	NNTM_HUMAN	1.6
LPPRC_HUMAN	ARF6_HUMAN	2.4000000000000004
LPPRC_HUMAN	NDUV1_HUMAN	1.6
LPPRC_HUMAN	A16A1_HUMAN	0.8
LPPRC_HUMAN	HSP7C_HUMAN	0.8
LPPRC_HUMAN	DTBP1_HUMAN	0.8
LPPRC_HUMAN	VDAC2_HUMAN	0.8
LPPRC_HUMAN	TPP1_HUMAN	0.8
LPPRC_HUMAN	NDUS3_HUMAN	1.6
LPPRC_HUMAN	SHC1_HUMAN	0.6
LPPRC_HUMAN	GRP75_HUMAN	0.8
LPPRC_HUMAN	ODO2_HUMAN	0.8
LPPRC_HUMAN	GLSK_HUMAN	0.8
LPPRC_HUMAN	A4_HUMAN	12.000000000000002
LPPRC_HUMAN	MGST3_HUMAN	1.6
LPPRC_HUMAN	DUS3_HUMAN	0.8
LPPRC_HUMAN	IDH3A_HUMAN	0.8
LPPRC_HUMAN	EFTU_HUMAN	0.8
LPPRC_HUMAN	SND1_HUMAN	0.8
LPPRC_HUMAN	DUS4_HUMAN	0.8
LPPRC_HUMAN	ECHA_HUMAN	1.6
LPPRC_HUMAN	AUHM_HUMAN	1.6
LPPRC_HUMAN	HCDH_HUMAN	0.8
LPPRC_HUMAN	HCD2_HUMAN	0.8
LPPRC_HUMAN	P5CR1_HUMAN	0.8
LPPRC_HUMAN	PHB2_HUMAN	0.8
LPPRC_HUMAN	HS90A_HUMAN	0.8
LPPRC_HUMAN	IF4E_HUMAN	6.039999999999999
LPPRC_HUMAN	COMT_HUMAN	0.8
LPPRC_HUMAN	CTNB1_HUMAN	0.8
LPPRC_HUMAN	JAK2_HUMAN	0.6
LPPRC_HUMAN	QCR2_HUMAN	0.8
LPPRC_HUMAN	RAB7A_HUMAN	1.6
LPPRC_HUMAN	CY1_HUMAN	0.8
LPPRC_HUMAN	NIPS1_HUMAN	1.6
LPPRC_HUMAN	DHX30_HUMAN	1.6
LPPRC_HUMAN	AFG32_HUMAN	0.8
LPPRC_HUMAN	PLAK_HUMAN	0.8
LPPRC_HUMAN	ETFD_HUMAN	0.8
LPPRC_HUMAN	TIM14_HUMAN	0.8
LPPRC_HUMAN	CHM4B_HUMAN	0.8
LPPRC_HUMAN	NDUS2_HUMAN	1.6
LPPRC_HUMAN	APOE_HUMAN	0.8
LPPRC_HUMAN	TERA_HUMAN	0.8
LPPRC_HUMAN	ROA1_HUMAN	1.6
LPPRC_HUMAN	CISY_HUMAN	2.4000000000000004
