UniProtID	UniProtID	score
LRRC4_HUMAN	MK03_HUMAN	3
LRRC4_HUMAN	MK01_HUMAN	3
LRRC4_HUMAN	NTNG2_HUMAN	7.8
LRRC4_HUMAN	AGO2_HUMAN	0.8
LRRC4_HUMAN	PAR6A_HUMAN	1.6
LRRC4_HUMAN	KPCZ_HUMAN	1.6
LRRC4_HUMAN	TBCD_HUMAN	1.6
LRRC4_HUMAN	LRC4C_HUMAN	2.4000000000000004
LRRC4_HUMAN	SSR3_HUMAN	0.64
LRRC4_HUMAN	TNPO2_HUMAN	1.6
LRRC4_HUMAN	OSTP_HUMAN	0.8
LRRC4_HUMAN	STX12_HUMAN	0.8
LRRC4_HUMAN	PARD3_HUMAN	1.6
LRRC4_HUMAN	ITB5_HUMAN	1.6
LRRC4_HUMAN	TRI18_HUMAN	1.6
LRRC4_HUMAN	CIP2A_HUMAN	2.4000000000000004
LRRC4_HUMAN	XPO4_HUMAN	2.4000000000000004
LRRC4_HUMAN	F1142_HUMAN	2.4000000000000004
LRRC4_HUMAN	POMT2_HUMAN	2.4000000000000004
LRRC4_HUMAN	NTNG1_HUMAN	2
LRRC4_HUMAN	LCOR_HUMAN	1.6
LRRC4_HUMAN	DPP9_HUMAN	0.8
LRRC4_HUMAN	FXL13_HUMAN	0.8
