UniProtID	UniProtID	score
LRSM1_HUMAN	TRI37_HUMAN	0.6
LRSM1_HUMAN	DDX5_HUMAN	1.44
LRSM1_HUMAN	MTMR2_HUMAN	0.8
LRSM1_HUMAN	UB2V2_HUMAN	0.6
LRSM1_HUMAN	UBC_HUMAN	2.4
LRSM1_HUMAN	TRI32_HUMAN	0.6
LRSM1_HUMAN	FBX31_HUMAN	0.6
LRSM1_HUMAN	RL40_HUMAN	2.4
LRSM1_HUMAN	PJA2_HUMAN	0.6
LRSM1_HUMAN	TRIM9_HUMAN	0.6
LRSM1_HUMAN	UBE2N_HUMAN	5.6
LRSM1_HUMAN	ASB7_HUMAN	0.6
LRSM1_HUMAN	RS27A_HUMAN	2.4
LRSM1_HUMAN	G3BP2_HUMAN	0.64
LRSM1_HUMAN	HNRH1_HUMAN	0.64
LRSM1_HUMAN	VPS11_HUMAN	1.6
LRSM1_HUMAN	GOPC_HUMAN	0.8
LRSM1_HUMAN	FMR1_HUMAN	0.64
LRSM1_HUMAN	UBR4_HUMAN	0.6
LRSM1_HUMAN	FXR1_HUMAN	1.44
LRSM1_HUMAN	NEDD4_HUMAN	0.6
LRSM1_HUMAN	HS90B_HUMAN	1.44
LRSM1_HUMAN	HNRPK_HUMAN	0.64
LRSM1_HUMAN	HSP7C_HUMAN	0.64
LRSM1_HUMAN	RN19A_HUMAN	0.6
LRSM1_HUMAN	UBE4A_HUMAN	0.6
LRSM1_HUMAN	HECW2_HUMAN	0.6
LRSM1_HUMAN	RASH_HUMAN	0.8
LRSM1_HUMAN	SFPQ_HUMAN	0.64
LRSM1_HUMAN	AP3B1_HUMAN	1.0
LRSM1_HUMAN	FBX41_HUMAN	0.6
LRSM1_HUMAN	LRSM1_HUMAN	7.28
LRSM1_HUMAN	RBX1_HUMAN	0.6
LRSM1_HUMAN	FUS_HUMAN	2.4400000000000004
LRSM1_HUMAN	UB2V1_HUMAN	1.4
LRSM1_HUMAN	DBNL_HUMAN	0.8
LRSM1_HUMAN	MYH9_HUMAN	0.64
LRSM1_HUMAN	PRKN_HUMAN	0.6
LRSM1_HUMAN	DDX3X_HUMAN	0.64
LRSM1_HUMAN	FBX2_HUMAN	0.6
LRSM1_HUMAN	CHIP_HUMAN	0.6
LRSM1_HUMAN	UBC12_HUMAN	0.6
LRSM1_HUMAN	CUL3_HUMAN	0.6
LRSM1_HUMAN	PABP1_HUMAN	0.64
LRSM1_HUMAN	GBRL2_HUMAN	0.8
LRSM1_HUMAN	HNRPQ_HUMAN	0.64
LRSM1_HUMAN	UBA1_HUMAN	1.4
LRSM1_HUMAN	CUL5_HUMAN	0.6
LRSM1_HUMAN	EHD4_HUMAN	0.8
LRSM1_HUMAN	RL23A_HUMAN	0.64
LRSM1_HUMAN	DDX1_HUMAN	0.64
LRSM1_HUMAN	GRIK5_HUMAN	0.8
LRSM1_HUMAN	PRDX1_HUMAN	0.64
LRSM1_HUMAN	CAPR1_HUMAN	0.64
LRSM1_HUMAN	UBE3C_HUMAN	0.6
LRSM1_HUMAN	VHL_HUMAN	0.6
LRSM1_HUMAN	TS101_HUMAN	21.800000000000004
LRSM1_HUMAN	HS90A_HUMAN	0.8
LRSM1_HUMAN	UBB_HUMAN	2.4
LRSM1_HUMAN	TSC1_HUMAN	0.8
LRSM1_HUMAN	KLC1_HUMAN	1.6
TRI37_HUMAN	TRI37_HUMAN	9.2
TRI37_HUMAN	UB2V2_HUMAN	0.6
TRI37_HUMAN	UBC_HUMAN	2.4
TRI37_HUMAN	TRI32_HUMAN	0.6
TRI37_HUMAN	FBX31_HUMAN	0.6
TRI37_HUMAN	RL40_HUMAN	2.4
TRI37_HUMAN	PJA2_HUMAN	0.6
TRI37_HUMAN	TRIM9_HUMAN	0.6
TRI37_HUMAN	UBE2N_HUMAN	0.6
TRI37_HUMAN	ASB7_HUMAN	0.6
TRI37_HUMAN	RS27A_HUMAN	3.2
TRI37_HUMAN	HNRH1_HUMAN	0.8
TRI37_HUMAN	UBR4_HUMAN	0.6
TRI37_HUMAN	FXR1_HUMAN	0.8
TRI37_HUMAN	NEDD4_HUMAN	0.6
TRI37_HUMAN	HS90B_HUMAN	1.6
TRI37_HUMAN	HSP7C_HUMAN	1.6
TRI37_HUMAN	RN19A_HUMAN	0.6
TRI37_HUMAN	UBE4A_HUMAN	0.6
TRI37_HUMAN	HECW2_HUMAN	0.6
TRI37_HUMAN	SFPQ_HUMAN	0.8
TRI37_HUMAN	FBX41_HUMAN	0.6
TRI37_HUMAN	RBX1_HUMAN	0.6
TRI37_HUMAN	UB2V1_HUMAN	0.6
TRI37_HUMAN	MYH9_HUMAN	0.8
TRI37_HUMAN	PRKN_HUMAN	0.6
TRI37_HUMAN	FBX2_HUMAN	0.6
TRI37_HUMAN	CHIP_HUMAN	0.6
TRI37_HUMAN	UBC12_HUMAN	0.6
TRI37_HUMAN	CUL3_HUMAN	0.6
TRI37_HUMAN	HNRPQ_HUMAN	0.8
TRI37_HUMAN	UBA1_HUMAN	0.6
TRI37_HUMAN	CUL5_HUMAN	0.6
TRI37_HUMAN	RL23A_HUMAN	0.8
TRI37_HUMAN	PRDX1_HUMAN	0.8
TRI37_HUMAN	UBE3C_HUMAN	0.6
TRI37_HUMAN	VHL_HUMAN	0.6
TRI37_HUMAN	HS90A_HUMAN	1.6
TRI37_HUMAN	UBB_HUMAN	2.4
DDX5_HUMAN	DDX5_HUMAN	5.6
DDX5_HUMAN	HNRH1_HUMAN	4.6
DDX5_HUMAN	HNRPK_HUMAN	3.64
DDX5_HUMAN	HSP7C_HUMAN	0.6
DDX5_HUMAN	RBX1_HUMAN	0.8
DDX5_HUMAN	FUS_HUMAN	6.679999999999999
DDX5_HUMAN	DBNL_HUMAN	0.8
DDX5_HUMAN	PRKN_HUMAN	1.6
DDX5_HUMAN	CUL3_HUMAN	1.6
DDX5_HUMAN	GBRL2_HUMAN	0.8
DDX5_HUMAN	HNRPQ_HUMAN	1.6
DDX5_HUMAN	CUL5_HUMAN	1.6
DDX5_HUMAN	VHL_HUMAN	1.6
MTMR2_HUMAN	MTMR2_HUMAN	7.6
MTMR2_HUMAN	EHD4_HUMAN	1.44
UB2V2_HUMAN	UBC_HUMAN	10.2
UB2V2_HUMAN	TRI32_HUMAN	3.0000000000000004
UB2V2_HUMAN	FBX31_HUMAN	0.6
UB2V2_HUMAN	RL40_HUMAN	2.4
UB2V2_HUMAN	PJA2_HUMAN	0.6
UB2V2_HUMAN	TRIM9_HUMAN	0.6
UB2V2_HUMAN	UBE2N_HUMAN	93.24000000000001
UB2V2_HUMAN	ASB7_HUMAN	0.6
UB2V2_HUMAN	RS27A_HUMAN	2.4
UB2V2_HUMAN	UBR4_HUMAN	0.6
UB2V2_HUMAN	NEDD4_HUMAN	0.6
UB2V2_HUMAN	RN19A_HUMAN	0.6
UB2V2_HUMAN	UBE4A_HUMAN	0.6
UB2V2_HUMAN	HECW2_HUMAN	0.6
UB2V2_HUMAN	FBX41_HUMAN	0.6
UB2V2_HUMAN	RBX1_HUMAN	0.6
UB2V2_HUMAN	UB2V1_HUMAN	2.04
UB2V2_HUMAN	PRKN_HUMAN	0.6
UB2V2_HUMAN	FBX2_HUMAN	0.6
UB2V2_HUMAN	CHIP_HUMAN	2.2
UB2V2_HUMAN	UBC12_HUMAN	1.4
UB2V2_HUMAN	CUL3_HUMAN	0.6
UB2V2_HUMAN	UBA1_HUMAN	0.6
UB2V2_HUMAN	CUL5_HUMAN	0.6
UB2V2_HUMAN	UBE3C_HUMAN	0.6
UB2V2_HUMAN	VHL_HUMAN	0.6
UB2V2_HUMAN	UBB_HUMAN	2.4
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	TRI32_HUMAN	3.04
UBC_HUMAN	FBX31_HUMAN	1.24
UBC_HUMAN	RL40_HUMAN	1.7999999999999998
UBC_HUMAN	PJA2_HUMAN	0.6
UBC_HUMAN	TRIM9_HUMAN	0.6
UBC_HUMAN	UBE2N_HUMAN	36.28
UBC_HUMAN	ASB7_HUMAN	0.6
UBC_HUMAN	RS27A_HUMAN	2.44
UBC_HUMAN	G3BP2_HUMAN	0.8
UBC_HUMAN	HNRH1_HUMAN	0.8
UBC_HUMAN	FMR1_HUMAN	0.8
UBC_HUMAN	UBR4_HUMAN	4.28
UBC_HUMAN	NEDD4_HUMAN	13.4
UBC_HUMAN	HS90B_HUMAN	1.44
UBC_HUMAN	HNRPK_HUMAN	1.44
UBC_HUMAN	HSP7C_HUMAN	2.04
UBC_HUMAN	RN19A_HUMAN	0.6
UBC_HUMAN	UBE4A_HUMAN	0.6
UBC_HUMAN	HECW2_HUMAN	0.6
UBC_HUMAN	RASH_HUMAN	0.6
UBC_HUMAN	SFPQ_HUMAN	3.2
