UniProtID	UniProtID	score
M2OM_HUMAN	CD5R1_HUMAN	2.4000000000000004
M2OM_HUMAN	RPGF2_HUMAN	0.8
M2OM_HUMAN	ADRB2_HUMAN	0.8
M2OM_HUMAN	STAU1_HUMAN	1.44
M2OM_HUMAN	PHB_HUMAN	0.8
M2OM_HUMAN	CTRO_HUMAN	0.8
M2OM_HUMAN	UBL4A_HUMAN	0.8
M2OM_HUMAN	NDUA8_HUMAN	0.64
M2OM_HUMAN	CTNB1_HUMAN	0.8
M2OM_HUMAN	TIP_HUMAN	0.8
M2OM_HUMAN	CY1_HUMAN	0.64
M2OM_HUMAN	TAU_HUMAN	0.64
M2OM_HUMAN	QCR1_HUMAN	0.64
M2OM_HUMAN	SHRPN_HUMAN	0.8
M2OM_HUMAN	RAC1_HUMAN	1.6
M2OM_HUMAN	HD_HUMAN	5.4399999999999995
M2OM_HUMAN	SAHH2_HUMAN	2.4000000000000004
M2OM_HUMAN	SYUA_HUMAN	1.28
M2OM_HUMAN	VDAC2_HUMAN	1.6
M2OM_HUMAN	UCRI_HUMAN	0.64
M2OM_HUMAN	VDAC1_HUMAN	0.8
M2OM_HUMAN	NFM_HUMAN	0.8
M2OM_HUMAN	ARNT_HUMAN	0.8
M2OM_HUMAN	SHC1_HUMAN	1.6
M2OM_HUMAN	DDRGK_HUMAN	0.8
M2OM_HUMAN	ODO2_HUMAN	2.4000000000000004
M2OM_HUMAN	KPCA_HUMAN	0.8
M2OM_HUMAN	COPA_HUMAN	2.24
M2OM_HUMAN	KKCC2_HUMAN	1.44
M2OM_HUMAN	PGRC1_HUMAN	0.64
M2OM_HUMAN	PSN1_HUMAN	0.64
M2OM_HUMAN	DLDH_HUMAN	0.64
M2OM_HUMAN	TBA1A_HUMAN	1.6
M2OM_HUMAN	NDUS7_HUMAN	0.64
M2OM_HUMAN	ODO1_HUMAN	0.6
M2OM_HUMAN	ACTB_HUMAN	1.6
M2OM_HUMAN	NDUAA_HUMAN	0.64
M2OM_HUMAN	PAK1_HUMAN	2.4000000000000004
M2OM_HUMAN	YES_HUMAN	2.4000000000000004
M2OM_HUMAN	MP2K2_HUMAN	2.4000000000000004
M2OM_HUMAN	ATD3A_HUMAN	0.8
M2OM_HUMAN	PRKN_HUMAN	0.8
M2OM_HUMAN	ODPA_HUMAN	0.8
M2OM_HUMAN	CADH1_HUMAN	2.4000000000000004
M2OM_HUMAN	AIFM1_HUMAN	0.8
M2OM_HUMAN	MGST3_HUMAN	0.8
M2OM_HUMAN	LTOR1_HUMAN	0.8
M2OM_HUMAN	NEB2_HUMAN	0.64
M2OM_HUMAN	FYN_HUMAN	0.8
M2OM_HUMAN	ABI1_HUMAN	1.6
M2OM_HUMAN	KAP0_HUMAN	2.4000000000000004
M2OM_HUMAN	AKAP1_HUMAN	0.8
M2OM_HUMAN	RAB5A_HUMAN	2.4000000000000004
M2OM_HUMAN	SH3K1_HUMAN	1.6
M2OM_HUMAN	UBP14_HUMAN	0.8
M2OM_HUMAN	FLOT1_HUMAN	0.8
M2OM_HUMAN	TXTP_HUMAN	0.8
M2OM_HUMAN	RAF1_HUMAN	2.4000000000000004
M2OM_HUMAN	1433B_HUMAN	0.64
M2OM_HUMAN	VDAC3_HUMAN	0.8
M2OM_HUMAN	ACON_HUMAN	0.64
M2OM_HUMAN	NDUA4_HUMAN	4.0
M2OM_HUMAN	KPCE_HUMAN	0.64
M2OM_HUMAN	M2OM_HUMAN	2.0
M2OM_HUMAN	BAD_HUMAN	1.6
M2OM_HUMAN	MIC26_HUMAN	0.64
M2OM_HUMAN	SC6A4_HUMAN	0.64
CD5R1_HUMAN	CTNB1_HUMAN	2.0
CD5R1_HUMAN	RAC1_HUMAN	0.6
CD5R1_HUMAN	PAK1_HUMAN	0.6
CD5R1_HUMAN	CADH1_HUMAN	1.6
CD5R1_HUMAN	NEB2_HUMAN	0.8
CD5R1_HUMAN	FYN_HUMAN	0.6
RPGF2_HUMAN	CTNB1_HUMAN	1.4
RPGF2_HUMAN	HD_HUMAN	1.6
RPGF2_HUMAN	SC6A4_HUMAN	0.64
ADRB2_HUMAN	ADRB2_HUMAN	11.6
ADRB2_HUMAN	PHB_HUMAN	0.8
ADRB2_HUMAN	SYUA_HUMAN	1.6
ADRB2_HUMAN	VDAC2_HUMAN	1.6
ADRB2_HUMAN	VDAC1_HUMAN	0.8
ADRB2_HUMAN	PGRC1_HUMAN	0.8
ADRB2_HUMAN	ODPA_HUMAN	0.8
ADRB2_HUMAN	AIFM1_HUMAN	0.8
ADRB2_HUMAN	KAP0_HUMAN	0.6
ADRB2_HUMAN	RAB5A_HUMAN	0.6
ADRB2_HUMAN	SH3K1_HUMAN	0.6
ADRB2_HUMAN	NDUA4_HUMAN	0.8
STAU1_HUMAN	STAU1_HUMAN	5.6
STAU1_HUMAN	PHB_HUMAN	2.4000000000000004
STAU1_HUMAN	CTNB1_HUMAN	0.8
STAU1_HUMAN	TAU_HUMAN	3.0400000000000005
STAU1_HUMAN	QCR1_HUMAN	0.8
STAU1_HUMAN	RAC1_HUMAN	2.24
STAU1_HUMAN	DDRGK_HUMAN	0.8
STAU1_HUMAN	COPA_HUMAN	2.24
STAU1_HUMAN	TBA1A_HUMAN	2.4000000000000004
STAU1_HUMAN	ACTB_HUMAN	2.24
STAU1_HUMAN	ATD3A_HUMAN	0.8
STAU1_HUMAN	AIFM1_HUMAN	1.44
PHB_HUMAN	PHB_HUMAN	1.6
PHB_HUMAN	CTRO_HUMAN	0.8
PHB_HUMAN	UBL4A_HUMAN	0.8
PHB_HUMAN	NDUA8_HUMAN	0.8
PHB_HUMAN	TIP_HUMAN	0.8
PHB_HUMAN	CY1_HUMAN	1.6
PHB_HUMAN	TAU_HUMAN	0.64
PHB_HUMAN	QCR1_HUMAN	0.8
PHB_HUMAN	RAC1_HUMAN	1.6
PHB_HUMAN	SYUA_HUMAN	1.28
PHB_HUMAN	VDAC2_HUMAN	3.2
PHB_HUMAN	VDAC1_HUMAN	2.2
PHB_HUMAN	DDRGK_HUMAN	0.8
PHB_HUMAN	ODO2_HUMAN	0.8
PHB_HUMAN	COPA_HUMAN	0.8
PHB_HUMAN	PGRC1_HUMAN	0.8
PHB_HUMAN	NDUS7_HUMAN	1.6
PHB_HUMAN	ODO1_HUMAN	0.8
PHB_HUMAN	ACTB_HUMAN	3.2
PHB_HUMAN	NDUAA_HUMAN	0.8
PHB_HUMAN	ATD3A_HUMAN	1.6
PHB_HUMAN	PRKN_HUMAN	0.8
PHB_HUMAN	ODPA_HUMAN	1.6
PHB_HUMAN	AIFM1_HUMAN	4.4799999999999995
PHB_HUMAN	NEB2_HUMAN	0.64
PHB_HUMAN	AKAP1_HUMAN	1.6
PHB_HUMAN	TXTP_HUMAN	0.8
PHB_HUMAN	RAF1_HUMAN	7.199999999999999
PHB_HUMAN	1433B_HUMAN	3.0400000000000005
PHB_HUMAN	VDAC3_HUMAN	1.6
PHB_HUMAN	NDUA4_HUMAN	1.6
PHB_HUMAN	KPCE_HUMAN	0.64
PHB_HUMAN	MIC26_HUMAN	0.8
PHB_HUMAN	SC6A4_HUMAN	0.64
CTRO_HUMAN	CTRO_HUMAN	1.6
CTRO_HUMAN	CTNB1_HUMAN	0.8
CTRO_HUMAN	CY1_HUMAN	0.8
CTRO_HUMAN	QCR1_HUMAN	0.8
CTRO_HUMAN	RAC1_HUMAN	2.4
CTRO_HUMAN	VDAC2_HUMAN	0.8
CTRO_HUMAN	VDAC1_HUMAN	0.8
CTRO_HUMAN	NFM_HUMAN	0.8
CTRO_HUMAN	COPA_HUMAN	0.8
