UniProtID	UniProtID	score
MCAF1_HUMAN	NOMO1_HUMAN	0.8
MCAF1_HUMAN	RRBP1_HUMAN	0.8
MCAF1_HUMAN	FMR1_HUMAN	0.8
MCAF1_HUMAN	MK03_HUMAN	1.6
MCAF1_HUMAN	SPTB2_HUMAN	0.8
MCAF1_HUMAN	MACF1_HUMAN	0.8
MCAF1_HUMAN	ACTG_HUMAN	0.8
MCAF1_HUMAN	RS3A_HUMAN	0.8
MCAF1_HUMAN	EHMT2_HUMAN	1.44
MCAF1_HUMAN	1433B_HUMAN	0.64
MCAF1_HUMAN	PCDH1_HUMAN	0.8
MCAF1_HUMAN	LAMA5_HUMAN	0.8
MCAF1_HUMAN	ACTB_HUMAN	0.8
MCAF1_HUMAN	CADM1_HUMAN	0.8
MCAF1_HUMAN	VHL_HUMAN	1.4
MCAF1_HUMAN	RL8_HUMAN	0.8
MCAF1_HUMAN	DISC1_HUMAN	3.2
RRBP1_HUMAN	RS3A_HUMAN	1.28
RRBP1_HUMAN	RL8_HUMAN	2.88
RRBP1_HUMAN	DISC1_HUMAN	2.4000000000000004
FMR1_HUMAN	FMR1_HUMAN	29.6
FMR1_HUMAN	SPTB2_HUMAN	0.64
FMR1_HUMAN	MACF1_HUMAN	1.44
FMR1_HUMAN	EHMT2_HUMAN	0.64
MK03_HUMAN	MK03_HUMAN	18.48
MK03_HUMAN	1433B_HUMAN	0.6
SPTB2_HUMAN	SPTB2_HUMAN	5.6
SPTB2_HUMAN	RS3A_HUMAN	1.6
SPTB2_HUMAN	1433B_HUMAN	0.64
SPTB2_HUMAN	ACTB_HUMAN	0.64
SPTB2_HUMAN	DISC1_HUMAN	6.24
MACF1_HUMAN	MACF1_HUMAN	6.0
MACF1_HUMAN	1433B_HUMAN	0.64
MACF1_HUMAN	ACTB_HUMAN	0.8
MACF1_HUMAN	DISC1_HUMAN	6.3999999999999995
ACTG_HUMAN	ACTG_HUMAN	79.2
ACTG_HUMAN	ACTB_HUMAN	18.880000000000006
ACTG_HUMAN	DISC1_HUMAN	2.4000000000000004
RS3A_HUMAN	1433B_HUMAN	0.64
RS3A_HUMAN	ACTB_HUMAN	1.44
RS3A_HUMAN	VHL_HUMAN	2.8
RS3A_HUMAN	RL8_HUMAN	3.6400000000000006
EHMT2_HUMAN	EHMT2_HUMAN	67.28
EHMT2_HUMAN	1433B_HUMAN	0.64
1433B_HUMAN	1433B_HUMAN	60.40000000000001
1433B_HUMAN	ACTB_HUMAN	1.28
1433B_HUMAN	DISC1_HUMAN	0.8
PCDH1_HUMAN	PCDH1_HUMAN	6.0
LAMA5_HUMAN	LAMA5_HUMAN	2.0
ACTB_HUMAN	ACTB_HUMAN	98.39999999999999
ACTB_HUMAN	VHL_HUMAN	1.6
ACTB_HUMAN	DISC1_HUMAN	1.44
CADM1_HUMAN	CADM1_HUMAN	2.0
VHL_HUMAN	VHL_HUMAN	153.6
DISC1_HUMAN	DISC1_HUMAN	1.6
