UniProtID	UniProtID	score
MCCB_HUMAN	CBL_HUMAN	2.56
MCCB_HUMAN	EPS15_HUMAN	1.6
MCCB_HUMAN	TRI25_HUMAN	0.8
MCCB_HUMAN	YAP1_HUMAN	0.8
MCCB_HUMAN	P53_HUMAN	0.8
MCCB_HUMAN	MLP3A_HUMAN	0.8
MCCB_HUMAN	GBRL2_HUMAN	0.8
MCCB_HUMAN	DYN2_HUMAN	0.8
MCCB_HUMAN	SHAN3_HUMAN	1.92
MCCB_HUMAN	WNK2_HUMAN	0.64
MCCB_HUMAN	HSP7C_HUMAN	0.8
MCCB_HUMAN	MPPA_HUMAN	0.8
MCCB_HUMAN	HSPB1_HUMAN	0.8
MCCB_HUMAN	H4_HUMAN	0.8
MCCB_HUMAN	HCD2_HUMAN	0.64
MCCB_HUMAN	TERF1_HUMAN	0.8
MCCB_HUMAN	LIS1_HUMAN	0.8
MCCB_HUMAN	TOLIP_HUMAN	0.8
MCCB_HUMAN	TAOK2_HUMAN	0.64
MCCB_HUMAN	C1QBP_HUMAN	3.2
MCCB_HUMAN	ECH1_HUMAN	4.0
MCCB_HUMAN	CXA1_HUMAN	0.64
MCCB_HUMAN	ECSIT_HUMAN	1.6
MCCB_HUMAN	HUWE1_HUMAN	0.8
MCCB_HUMAN	RUFY1_HUMAN	0.8
MCCB_HUMAN	BIRC3_HUMAN	0.8
MCCB_HUMAN	ATPB_HUMAN	0.8
MCCB_HUMAN	PAF1_HUMAN	1.6
MCCB_HUMAN	CP135_HUMAN	1.6
MCCB_HUMAN	RAVR1_HUMAN	0.8
MCCB_HUMAN	HNRPL_HUMAN	0.8
MCCB_HUMAN	DYHC1_HUMAN	0.8
MCCB_HUMAN	HSPB2_HUMAN	2.8800000000000003
MCCB_HUMAN	PTEN_HUMAN	0.8
MCCB_HUMAN	ACACA_HUMAN	0.8
MCCB_HUMAN	PRIO_HUMAN	0.8
MCCB_HUMAN	PRKN_HUMAN	2.4000000000000004
MCCB_HUMAN	HNRPD_HUMAN	0.8
MCCB_HUMAN	BICD1_HUMAN	0.8
MCCB_HUMAN	DNJC7_HUMAN	0.8
MCCB_HUMAN	TPP1_HUMAN	0.8
MCCB_HUMAN	PCCB_HUMAN	0.8
MCCB_HUMAN	NFKB1_HUMAN	0.8
MCCB_HUMAN	NDUBA_HUMAN	0.8
MCCB_HUMAN	DVL2_HUMAN	0.8
MCCB_HUMAN	ESR2_HUMAN	0.8
MCCB_HUMAN	NDUB9_HUMAN	0.8
MCCB_HUMAN	UBE2H_HUMAN	0.8
MCCB_HUMAN	RBX1_HUMAN	0.8
MCCB_HUMAN	SHIP2_HUMAN	1.6
MCCB_HUMAN	NTRK1_HUMAN	0.8
MCCB_HUMAN	LEG3_HUMAN	0.8
MCCB_HUMAN	RFA1_HUMAN	0.8
MCCB_HUMAN	RFA2_HUMAN	0.8
MCCB_HUMAN	RFA3_HUMAN	0.8
MCCB_HUMAN	OGT1_HUMAN	0.8
MCCB_HUMAN	SSBP2_HUMAN	0.8
MCCB_HUMAN	TRI23_HUMAN	0.8
MCCB_HUMAN	FBXW5_HUMAN	0.8
MCCB_HUMAN	GLYM_HUMAN	1.6
MCCB_HUMAN	CH60_HUMAN	0.8
MCCB_HUMAN	EP300_HUMAN	0.8
MCCB_HUMAN	NR4A1_HUMAN	0.8
MCCB_HUMAN	PDIA1_HUMAN	0.8
MCCB_HUMAN	RXRA_HUMAN	0.8
MCCB_HUMAN	GRP75_HUMAN	2.4000000000000004
MCCB_HUMAN	JUN_HUMAN	1.6
MCCB_HUMAN	MMSA_HUMAN	0.64
MCCB_HUMAN	MYC_HUMAN	1.6
MCCB_HUMAN	CUL3_HUMAN	3.0400000000000005
MCCB_HUMAN	SYNPO_HUMAN	0.8
MCCB_HUMAN	COR1B_HUMAN	0.8
MCCB_HUMAN	ESRP2_HUMAN	0.8
MCCB_HUMAN	GEPH_HUMAN	0.64
MCCB_HUMAN	THIO_HUMAN	0.8
MCCB_HUMAN	OTUB1_HUMAN	2.4000000000000004
MCCB_HUMAN	AT1B1_HUMAN	0.64
MCCB_HUMAN	FBW1A_HUMAN	0.8
MCCB_HUMAN	HMGCL_HUMAN	0.8
MCCB_HUMAN	MK11_HUMAN	0.64
MCCB_HUMAN	NPS3A_HUMAN	0.8
MCCB_HUMAN	PDIP2_HUMAN	0.8
MCCB_HUMAN	EED_HUMAN	0.8
MCCB_HUMAN	PER2_HUMAN	0.8
MCCB_HUMAN	KDM1A_HUMAN	0.8
MCCB_HUMAN	NDUS1_HUMAN	0.8
MCCB_HUMAN	LRRK2_HUMAN	1.6
MCCB_HUMAN	DNJC4_HUMAN	0.8
MCCB_HUMAN	STK4_HUMAN	1.6
MCCB_HUMAN	MYPC3_HUMAN	0.64
MCCB_HUMAN	ROA3_HUMAN	0.8
MCCB_HUMAN	GLUT4_HUMAN	0.64
MCCB_HUMAN	2ABB_HUMAN	1.6
MCCB_HUMAN	ICT1_HUMAN	1.6
MCCB_HUMAN	IFIT1_HUMAN	2.4000000000000004
MCCB_HUMAN	HDA11_HUMAN	1.6
MCCB_HUMAN	SIR4_HUMAN	0.8
MCCB_HUMAN	MCCA_HUMAN	7.799999999999999
MCCB_HUMAN	CYB5B_HUMAN	2.4000000000000004
MCCB_HUMAN	DHRS4_HUMAN	0.8
MCCB_HUMAN	AL1L1_HUMAN	1.6
MCCB_HUMAN	AGR2_HUMAN	2.4000000000000004
MCCB_HUMAN	FXRD1_HUMAN	0.8
MCCB_HUMAN	SIM43_HUMAN	0.64
MCCB_HUMAN	CAV3_HUMAN	0.64
MCCB_HUMAN	LITD1_HUMAN	0.8
MCCB_HUMAN	HCN1_HUMAN	3.2
MCCB_HUMAN	TLK2_HUMAN	0.8
MCCB_HUMAN	CFTR_HUMAN	4.8
MCCB_HUMAN	UBS3B_HUMAN	2.24
MCCB_HUMAN	FAKD3_HUMAN	0.8
MCCB_HUMAN	FXL19_HUMAN	1.6
MCCB_HUMAN	CMBL_HUMAN	0.8
MCCB_HUMAN	KATIP_HUMAN	0.8
MCCB_HUMAN	DYRK2_HUMAN	1.6
MCCB_HUMAN	VSX1_HUMAN	1.6
MCCB_HUMAN	TERF2_HUMAN	0.8
MCCB_HUMAN	ADRB2_HUMAN	0.8
MCCB_HUMAN	NANOG_HUMAN	0.8
MCCB_HUMAN	PO5F1_HUMAN	0.8
MCCB_HUMAN	MCCB_HUMAN	1.6
MCCB_HUMAN	ATP5E_HUMAN	0.8
MCCB_HUMAN	MPPB_HUMAN	0.8
MCCB_HUMAN	ATPG_HUMAN	0.8
MCCB_HUMAN	WWP2_HUMAN	0.8
MCCB_HUMAN	RECK_HUMAN	1.6
MCCB_HUMAN	FACD2_HUMAN	0.64
MCCB_HUMAN	EGLN3_HUMAN	0.8
MCCB_HUMAN	PIHD1_HUMAN	0.8
MCCB_HUMAN	LARP7_HUMAN	0.8
MCCB_HUMAN	WWOX_HUMAN	0.8
MCCB_HUMAN	RECQ4_HUMAN	0.8
MCCB_HUMAN	PHB1_HUMAN	0.8
MCCB_HUMAN	NR2C2_HUMAN	0.8
MCCB_HUMAN	PKHA4_HUMAN	0.8
MCCB_HUMAN	EMC2_HUMAN	0.8
MCCB_HUMAN	CFAD_HUMAN	0.64
MCCB_HUMAN	FNDC5_HUMAN	0.64
MCCB_HUMAN	PCCA_HUMAN	0.8
MCCB_HUMAN	PYC_HUMAN	0.8
MCCB_HUMAN	NP1L5_HUMAN	0.8
MCCB_HUMAN	KBL_HUMAN	0.8
MCCB_HUMAN	NDUS7_HUMAN	0.8
MCCB_HUMAN	RT24_HUMAN	0.8
MCCB_HUMAN	SPRTN_HUMAN	0.8
MCCB_HUMAN	NALP7_HUMAN	0.8
MCCB_HUMAN	TLS1_HUMAN	0.8
MCCB_HUMAN	ZRAN1_HUMAN	0.8
MCCB_HUMAN	CCNF_HUMAN	2.24
MCCB_HUMAN	TRI67_HUMAN	0.8
MCCB_HUMAN	PHKG2_HUMAN	0.8
MCCB_HUMAN	CL16A_HUMAN	0.8
MCCB_HUMAN	NDUBB_HUMAN	0.8
MCCB_HUMAN	NDUA5_HUMAN	0.8
MCCB_HUMAN	NDUS8_HUMAN	0.8
MCCB_HUMAN	3HIDH_HUMAN	0.64
MCCB_HUMAN	HUTH_HUMAN	0.64
MCCB_HUMAN	RIPL1_HUMAN	0.64
MCCB_HUMAN	MUTA_HUMAN	0.64
MCCB_HUMAN	C1TC_HUMAN	0.8
MCCB_HUMAN	NAGAB_HUMAN	0.8
MCCB_HUMAN	E2AK2_HUMAN	0.8
MCCB_HUMAN	PPCE_HUMAN	0.8
MCCB_HUMAN	SYCC_HUMAN	0.8
MCCB_HUMAN	TAF6_HUMAN	0.8
MCCB_HUMAN	YTHD2_HUMAN	0.8
MCCB_HUMAN	R113A_HUMAN	0.8
MCCB_HUMAN	DCA15_HUMAN	0.8
MCCB_HUMAN	HOOK1_HUMAN	0.8
MCCB_HUMAN	ODPA_HUMAN	0.8
MCCB_HUMAN	SLN11_HUMAN	0.8
MCCB_HUMAN	ARL5A_HUMAN	0.8
MCCB_HUMAN	BRSK2_HUMAN	0.64
MCCB_HUMAN	HDAC1_HUMAN	0.8
MCCB_HUMAN	PF21A_HUMAN	0.8
MCCB_HUMAN	RCOR1_HUMAN	0.8
MCCB_HUMAN	KBTB4_HUMAN	0.8
MCCB_HUMAN	DCAF4_HUMAN	0.8
MCCB_HUMAN	DCA10_HUMAN	0.8
MCCB_HUMAN	DET1_HUMAN	0.8
MCCB_HUMAN	KTNB1_HUMAN	0.8
MCCB_HUMAN	NLE1_HUMAN	0.8
MCCB_HUMAN	NUP43_HUMAN	0.8
MCCB_HUMAN	SMU1_HUMAN	0.8
MCCB_HUMAN	WDR5_HUMAN	0.8
MCCB_HUMAN	WDR76_HUMAN	0.8
MCCB_HUMAN	WDTC1_HUMAN	0.8
MCCB_HUMAN	WSB2_HUMAN	0.8
MCCB_HUMAN	WWTR1_HUMAN	0.8
