UniProtID	UniProtID	score
MECR_HUMAN	GPDM_HUMAN	0.64
MECR_HUMAN	MECR_HUMAN	4.0
MECR_HUMAN	ECHA_HUMAN	0.6
MECR_HUMAN	TBC17_HUMAN	0.64
MECR_HUMAN	1433B_HUMAN	0.64
MECR_HUMAN	RENR_HUMAN	0.8
MECR_HUMAN	AURKA_HUMAN	1.6
MECR_HUMAN	ECHB_HUMAN	0.6
MECR_HUMAN	RASK_HUMAN	0.8
MECR_HUMAN	RAB7A_HUMAN	0.8
GPDM_HUMAN	1433B_HUMAN	0.64
ECHA_HUMAN	ECHA_HUMAN	16.0
ECHA_HUMAN	1433B_HUMAN	0.64
ECHA_HUMAN	ECHB_HUMAN	37.04
ECHA_HUMAN	RAB7A_HUMAN	0.8
TBC17_HUMAN	RAB7A_HUMAN	0.6
1433B_HUMAN	1433B_HUMAN	60.40000000000001
1433B_HUMAN	ECHB_HUMAN	0.64
1433B_HUMAN	RASK_HUMAN	1.4
RENR_HUMAN	RENR_HUMAN	4.0
RENR_HUMAN	RASK_HUMAN	0.8
RENR_HUMAN	RAB7A_HUMAN	1.6
AURKA_HUMAN	AURKA_HUMAN	104.0
ECHB_HUMAN	ECHB_HUMAN	12.0
ECHB_HUMAN	RAB7A_HUMAN	0.8
RASK_HUMAN	RASK_HUMAN	676.0
RASK_HUMAN	RAB7A_HUMAN	0.8
RAB7A_HUMAN	RAB7A_HUMAN	24.0
