UniProtID	UniProtID	score
MIC19_HUMAN	RAC3_HUMAN	0.8
MIC19_HUMAN	SYUA_HUMAN	1.28
MIC19_HUMAN	NGEF_HUMAN	0.8
MIC19_HUMAN	ARHG4_HUMAN	0.8
MIC19_HUMAN	TRI25_HUMAN	0.8
MIC19_HUMAN	RNF11_HUMAN	0.8
MIC19_HUMAN	SCC4_HUMAN	1.28
MIC19_HUMAN	SQSTM_HUMAN	2.4000000000000004
MIC19_HUMAN	ATG2A_HUMAN	0.8
MIC19_HUMAN	OPTN_HUMAN	0.8
MIC19_HUMAN	NPM_HUMAN	0.8
MIC19_HUMAN	ABR_HUMAN	0.64
MIC19_HUMAN	SHAN3_HUMAN	2.4000000000000004
MIC19_HUMAN	CUL7_HUMAN	0.8
MIC19_HUMAN	ECT2_HUMAN	1.6
MIC19_HUMAN	KCNQ1_HUMAN	0.64
MIC19_HUMAN	VAPA_HUMAN	1.6
MIC19_HUMAN	ABCD1_HUMAN	0.8
MIC19_HUMAN	TOM40_HUMAN	2.4000000000000004
MIC19_HUMAN	PRC1_HUMAN	1.6
MIC19_HUMAN	ADCK5_HUMAN	0.8
MIC19_HUMAN	EZH2_HUMAN	1.6
MIC19_HUMAN	HSPB1_HUMAN	0.8
MIC19_HUMAN	LMNB1_HUMAN	0.8
MIC19_HUMAN	FMNL1_HUMAN	0.8
MIC19_HUMAN	BIP_HUMAN	0.8
MIC19_HUMAN	RASH_HUMAN	2.4000000000000004
MIC19_HUMAN	PP1A_HUMAN	2.24
MIC19_HUMAN	HD_HUMAN	5.4399999999999995
MIC19_HUMAN	EGFR_HUMAN	0.8
MIC19_HUMAN	AKAP1_HUMAN	0.8
MIC19_HUMAN	NUCL_HUMAN	0.8
MIC19_HUMAN	1433G_HUMAN	2.4000000000000004
MIC19_HUMAN	GCR_HUMAN	0.8
MIC19_HUMAN	CDC42_HUMAN	0.8
MIC19_HUMAN	RAC1_HUMAN	0.8
MIC19_HUMAN	DNJC1_HUMAN	0.8
MIC19_HUMAN	MIC60_HUMAN	6.039999999999999
MIC19_HUMAN	PHB2_HUMAN	0.8
MIC19_HUMAN	UBC_HUMAN	0.8
MIC19_HUMAN	GASP2_HUMAN	0.8
MIC19_HUMAN	KAT5_HUMAN	2.4000000000000004
MIC19_HUMAN	ARMX2_HUMAN	0.8
MIC19_HUMAN	RHOA_HUMAN	0.8
MIC19_HUMAN	MUC18_HUMAN	0.8
MIC19_HUMAN	ACTB_HUMAN	1.28
MIC19_HUMAN	PP1B_HUMAN	3.2
MIC19_HUMAN	MIRO2_HUMAN	0.8
MIC19_HUMAN	GOGA2_HUMAN	3.2
MIC19_HUMAN	TRAF1_HUMAN	3.2
MIC19_HUMAN	STAT1_HUMAN	0.8
MIC19_HUMAN	BIRC3_HUMAN	0.8
MIC19_HUMAN	RAC2_HUMAN	0.8
MIC19_HUMAN	LRC59_HUMAN	0.8
MIC19_HUMAN	RASN_HUMAN	2.4000000000000004
MIC19_HUMAN	RBM11_HUMAN	1.6
MIC19_HUMAN	EXOC5_HUMAN	0.8
MIC19_HUMAN	RASK_HUMAN	3.2
MIC19_HUMAN	PRKN_HUMAN	3.2
MIC19_HUMAN	RAB8A_HUMAN	2.4000000000000004
MIC19_HUMAN	DNJC7_HUMAN	0.8
MIC19_HUMAN	DPYL2_HUMAN	1.28
MIC19_HUMAN	HERC2_HUMAN	0.8
MIC19_HUMAN	MYOME_HUMAN	3.2
MIC19_HUMAN	RING2_HUMAN	0.8
MIC19_HUMAN	TFE2_HUMAN	0.8
MIC19_HUMAN	HTRA2_HUMAN	1.6
MIC19_HUMAN	KANK2_HUMAN	3.2
MIC19_HUMAN	ESR2_HUMAN	0.8
MIC19_HUMAN	PDE2A_HUMAN	1.6
MIC19_HUMAN	TRI27_HUMAN	3.2
MIC19_HUMAN	RAB3I_HUMAN	3.2
MIC19_HUMAN	CHM4B_HUMAN	0.8
MIC19_HUMAN	UBE2H_HUMAN	0.8
MIC19_HUMAN	GO45_HUMAN	6.3999999999999995
MIC19_HUMAN	LZTS2_HUMAN	3.2
MIC19_HUMAN	RHOB_HUMAN	1.6
MIC19_HUMAN	SERA_HUMAN	1
MIC19_HUMAN	HNRPF_HUMAN	1.28
MIC19_HUMAN	OPA1_HUMAN	0.8
MIC19_HUMAN	HDAC4_HUMAN	1.6
MIC19_HUMAN	NTRK1_HUMAN	0.8
MIC19_HUMAN	AIFM1_HUMAN	4.48
MIC19_HUMAN	ACON_HUMAN	1.44
MIC19_HUMAN	RMD3_HUMAN	2.08
MIC19_HUMAN	DNJB5_HUMAN	0.8
MIC19_HUMAN	CRTP1_HUMAN	5.6
MIC19_HUMAN	USBP1_HUMAN	2.4000000000000004
MIC19_HUMAN	CACO2_HUMAN	3.2
MIC19_HUMAN	TRI29_HUMAN	1.6
MIC19_HUMAN	RAB2A_HUMAN	1.6
MIC19_HUMAN	ODP2_HUMAN	0.8
MIC19_HUMAN	JUN_HUMAN	0.8
MIC19_HUMAN	MYC_HUMAN	2.4000000000000004
MIC19_HUMAN	STIP1_HUMAN	0.8
MIC19_HUMAN	SYNPO_HUMAN	0.8
MIC19_HUMAN	ADIP_HUMAN	3.2
MIC19_HUMAN	MYO5C_HUMAN	1.6
MIC19_HUMAN	CHM4C_HUMAN	0.8
MIC19_HUMAN	CC90B_HUMAN	0.8
MIC19_HUMAN	ODPB_HUMAN	0.64
MIC19_HUMAN	SDHA_HUMAN	4.640000000000001
MIC19_HUMAN	VDAC1_HUMAN	4.640000000000001
MIC19_HUMAN	DBLOH_HUMAN	0.8
MIC19_HUMAN	WFS1_HUMAN	3.2
MIC19_HUMAN	NUDT3_HUMAN	2.24
MIC19_HUMAN	HDAC8_HUMAN	1.6
MIC19_HUMAN	RAB5C_HUMAN	2.8800000000000003
MIC19_HUMAN	MYO1C_HUMAN	1.6
MIC19_HUMAN	MYO19_HUMAN	1.6
MIC19_HUMAN	RAB7A_HUMAN	1.6
MIC19_HUMAN	ATPA_HUMAN	1.28
MIC19_HUMAN	CALL3_HUMAN	1.28
MIC19_HUMAN	MTX2_HUMAN	6.88
MIC19_HUMAN	SAM50_HUMAN	12.480000000000002
MIC19_HUMAN	DJC11_HUMAN	4.32
MIC19_HUMAN	EMC5_HUMAN	1.6
MIC19_HUMAN	TOIP1_HUMAN	1.6
MIC19_HUMAN	GOT1B_HUMAN	1.6
MIC19_HUMAN	ADCK1_HUMAN	2.4000000000000004
MIC19_HUMAN	MIC27_HUMAN	4.0
MIC19_HUMAN	NMES1_HUMAN	2.4000000000000004
MIC19_HUMAN	NDUF4_HUMAN	0.8
MIC19_HUMAN	NDUA4_HUMAN	2.4000000000000004
MIC19_HUMAN	OCAD1_HUMAN	4.0
MIC19_HUMAN	OPA3_HUMAN	1.6
MIC19_HUMAN	MIC13_HUMAN	4.0
MIC19_HUMAN	PRD16_HUMAN	1.28
MIC19_HUMAN	MECOM_HUMAN	1.28
MIC19_HUMAN	FA13B_HUMAN	1.6
MIC19_HUMAN	ZDHC5_HUMAN	0.8
MIC19_HUMAN	SIM26_HUMAN	0.8
MIC19_HUMAN	VCAM1_HUMAN	2.4000000000000004
MIC19_HUMAN	COQ2_HUMAN	3.04
MIC19_HUMAN	ODO2_HUMAN	5.28
MIC19_HUMAN	ODPA_HUMAN	1.6
MIC19_HUMAN	MIC25_HUMAN	3.8400000000000007
MIC19_HUMAN	CLCN3_HUMAN	1.6
MIC19_HUMAN	TR64C_HUMAN	0.8
MIC19_HUMAN	RGL3_HUMAN	1.6
MIC19_HUMAN	CFTR_HUMAN	4.8
MIC19_HUMAN	CC85B_HUMAN	3.2
MIC19_HUMAN	TBCK_HUMAN	1.6
MIC19_HUMAN	KPCE_HUMAN	0.64
MIC19_HUMAN	CAV3_HUMAN	0.64
MIC19_HUMAN	EGLN_HUMAN	1.6
MIC19_HUMAN	BMI1_HUMAN	0.8
MIC19_HUMAN	K1C40_HUMAN	3.2
MIC19_HUMAN	NT2NA_HUMAN	4.0
MIC19_HUMAN	CBY2_HUMAN	3.2
MIC19_HUMAN	GMCL2_HUMAN	2.4000000000000004
MIC19_HUMAN	RPGR1_HUMAN	3.2
MIC19_HUMAN	SPAG5_HUMAN	3.2
MIC19_HUMAN	FANCL_HUMAN	6.3999999999999995
MIC19_HUMAN	NT2NC_HUMAN	2.4000000000000004
MIC19_HUMAN	CEP72_HUMAN	3.2
MIC19_HUMAN	NTAQ1_HUMAN	3.2
MIC19_HUMAN	EFHC1_HUMAN	3.2
MIC19_HUMAN	NTF2_HUMAN	3.2
MIC19_HUMAN	ENKD1_HUMAN	3.2
MIC19_HUMAN	CTSRT_HUMAN	3.2
MIC19_HUMAN	ARMC7_HUMAN	3.2
MIC19_HUMAN	RBTN1_HUMAN	3.2
MIC19_HUMAN	R3GEF_HUMAN	0.8
MIC19_HUMAN	KR412_HUMAN	1.6
MIC19_HUMAN	ERH_HUMAN	1.28
MIC19_HUMAN	RECQ4_HUMAN	2.08
MIC19_HUMAN	CHC10_HUMAN	1.8
MIC19_HUMAN	COX41_HUMAN	2.4000000000000004
MIC19_HUMAN	COX14_HUMAN	1.6
MIC19_HUMAN	MGST3_HUMAN	1.6
MIC19_HUMAN	PLRKT_HUMAN	1.6
MIC19_HUMAN	SCO1_HUMAN	1.6
MIC19_HUMAN	SFXN1_HUMAN	2.4000000000000004
MIC19_HUMAN	TOM20_HUMAN	1.6
MIC19_HUMAN	TOM22_HUMAN	1.6
MIC19_HUMAN	IMP2L_HUMAN	1.6
MIC19_HUMAN	IMP1L_HUMAN	1.6
MIC19_HUMAN	LACTB_HUMAN	1.6
MIC19_HUMAN	OMA1_HUMAN	1.6
MIC19_HUMAN	PARL_HUMAN	1.6
MIC19_HUMAN	YMEL1_HUMAN	1.6
MIC19_HUMAN	FHI2B_HUMAN	0.8
MIC19_HUMAN	CCD33_HUMAN	0.8
MIC19_HUMAN	AMOL2_HUMAN	0.8
MIC19_HUMAN	ANS1A_HUMAN	0.8
MIC19_HUMAN	NUTM1_HUMAN	0.8
MIC19_HUMAN	MIC10_HUMAN	1.6
MIC19_HUMAN	MDC1_HUMAN	0.8
MIC19_HUMAN	PAN2_HUMAN	0.8
MIC19_HUMAN	OBSL1_HUMAN	0.8
MIC19_HUMAN	CCDC8_HUMAN	0.8
MIC19_HUMAN	SUZ12_HUMAN	0.8
MIC19_HUMAN	EED_HUMAN	0.64
MIC19_HUMAN	WDTC1_HUMAN	0.64
MIC19_HUMAN	S2546_HUMAN	3.4000000000000004
MIC19_HUMAN	DUS22_HUMAN	0.8
MIC19_HUMAN	FACD2_HUMAN	1.44
MIC19_HUMAN	G3BP1_HUMAN	0.8
MIC19_HUMAN	EGLN3_HUMAN	0.8
MIC19_HUMAN	AAR2_HUMAN	0.8
MIC19_HUMAN	HEXI1_HUMAN	0.8
MIC19_HUMAN	VIR_HUMAN	0.8
MIC19_HUMAN	PHB1_HUMAN	0.8
MIC19_HUMAN	MTM1_HUMAN	0.8
MIC19_HUMAN	PTPRM_HUMAN	0.8
MIC19_HUMAN	LMBRL_HUMAN	0.8
MIC19_HUMAN	TIF1B_HUMAN	0.8
MIC19_HUMAN	PKHA4_HUMAN	0.8
MIC19_HUMAN	RHG20_HUMAN	0.8
MIC19_HUMAN	RHG35_HUMAN	0.8
MIC19_HUMAN	RHG36_HUMAN	0.8
MIC19_HUMAN	ARGAL_HUMAN	0.8
MIC19_HUMAN	DEP1B_HUMAN	0.8
MIC19_HUMAN	ANLN_HUMAN	1.6
MIC19_HUMAN	KIF14_HUMAN	0.8
MIC19_HUMAN	KI20A_HUMAN	0.8
MIC19_HUMAN	KIF23_HUMAN	0.8
MIC19_HUMAN	CFAD_HUMAN	0.64
MIC19_HUMAN	FNDC5_HUMAN	0.64
MIC19_HUMAN	MT21E_HUMAN	0.64
MIC19_HUMAN	DNJB8_HUMAN	0.8
MIC19_HUMAN	UFL1_HUMAN	0.8
MIC19_HUMAN	PAGE4_HUMAN	0.8
MIC19_HUMAN	TRAK1_HUMAN	0.8
MIC19_HUMAN	FAXC_HUMAN	0.8
MIC19_HUMAN	MTX3_HUMAN	0.8
MIC19_HUMAN	TRAK2_HUMAN	0.8
MIC19_HUMAN	CAR19_HUMAN	0.8
MIC19_HUMAN	SPRTN_HUMAN	0.8
MIC19_HUMAN	TOP3B_HUMAN	0.8
MIC19_HUMAN	FURIN_HUMAN	0.8
MIC19_HUMAN	IFM3_HUMAN	0.8
MIC19_HUMAN	ACE2_HUMAN	1.6
MIC19_HUMAN	RHOG_HUMAN	0.8
MIC19_HUMAN	RHOJ_HUMAN	0.8
MIC19_HUMAN	RHOQ_HUMAN	0.8
MIC19_HUMAN	RHOD_HUMAN	0.8
MIC19_HUMAN	RHOF_HUMAN	0.8
MIC19_HUMAN	RHOH_HUMAN	0.8
MIC19_HUMAN	RND2_HUMAN	0.8
MIC19_HUMAN	CAPZB_HUMAN	0.8
MIC19_HUMAN	SMUF1_HUMAN	0.8
MIC19_HUMAN	ZRAN1_HUMAN	0.8
MIC19_HUMAN	R113A_HUMAN	0.8
MIC19_HUMAN	TRI67_HUMAN	0.8
MIC19_HUMAN	MIDN_HUMAN	0.8
MIC19_HUMAN	ESYT1_HUMAN	0.8
MIC19_HUMAN	SMC5_HUMAN	0.8
MIC19_HUMAN	B3GN2_HUMAN	0.8
MIC19_HUMAN	SPRNG_HUMAN	0.8
MIC19_HUMAN	OTUD4_HUMAN	0.64
MIC19_HUMAN	CLPP_HUMAN	1.8
MIC19_HUMAN	SMD3_HUMAN	0.8
MIC19_HUMAN	NDUA8_HUMAN	1.44
MIC19_HUMAN	ATPO_HUMAN	0.8
MIC19_HUMAN	TBL2_HUMAN	0.8
MIC19_HUMAN	NDUS4_HUMAN	1.44
MIC19_HUMAN	PGAM5_HUMAN	0.8
MIC19_HUMAN	MIC26_HUMAN	1.44
MIC19_HUMAN	CPNE3_HUMAN	0.64
MIC19_HUMAN	ECI1_HUMAN	0.64
MIC19_HUMAN	KGD4_HUMAN	0.64
MIC19_HUMAN	UCRI_HUMAN	0.64
MIC19_HUMAN	PGM1_HUMAN	0.64
MIC19_HUMAN	NDUS1_HUMAN	0.64
MIC19_HUMAN	NDUV3_HUMAN	0.64
MIC19_HUMAN	SDHB_HUMAN	0.64
MIC19_HUMAN	CY1_HUMAN	0.64
MIC19_HUMAN	IDH3A_HUMAN	0.64
MIC19_HUMAN	NDUS3_HUMAN	0.64
MIC19_HUMAN	NDUS7_HUMAN	0.64
MIC19_HUMAN	NDUV2_HUMAN	0.64
MIC19_HUMAN	SUCA_HUMAN	0.64
MIC19_HUMAN	TRI14_HUMAN	0.8
MIC19_HUMAN	CLPB_HUMAN	0.8
MIC19_HUMAN	COX15_HUMAN	0.8
MIC19_HUMAN	MTCH1_HUMAN	0.8
MIC19_HUMAN	MTCH2_HUMAN	0.8
MIC19_HUMAN	RMND1_HUMAN	0.8
MIC19_HUMAN	S2512_HUMAN	0.8
MIC19_HUMAN	S2551_HUMAN	0.8
MIC19_HUMAN	SURF1_HUMAN	0.8
MIC19_HUMAN	TIM29_HUMAN	0.8
MIC19_HUMAN	TMM70_HUMAN	0.8
MIC19_HUMAN	SC61B_HUMAN	0.8
MIC19_HUMAN	DNJA2_HUMAN	0.8
MIC19_HUMAN	DJC30_HUMAN	0.8
MIC19_HUMAN	DNJC4_HUMAN	0.8
MIC19_HUMAN	DNJC5_HUMAN	0.8
MIC19_HUMAN	B3GA1_HUMAN	0.8
MIC19_HUMAN	LAMP2_HUMAN	0.8
MIC19_HUMAN	LAMP3_HUMAN	0.8
MIC19_HUMAN	MARCS_HUMAN	0.8
MIC19_HUMAN	TM11B_HUMAN	0.8
MIC19_HUMAN	NUP35_HUMAN	0.8
MIC19_HUMAN	STING_HUMAN	0.64
MIC19_HUMAN	ETFB_HUMAN	0.64
MIC19_HUMAN	HAPR1_HUMAN	0.8
MIC19_HUMAN	DDX6_HUMAN	0.64
