UniProtID	UniProtID	score
MPP3_HUMAN	DLG1_HUMAN	0.8
MPP3_HUMAN	ERBIN_HUMAN	0.8
MPP3_HUMAN	TRI25_HUMAN	0.8
MPP3_HUMAN	LIN7C_HUMAN	8.799999999999999
MPP3_HUMAN	LIN7A_HUMAN	5.6
MPP3_HUMAN	LIN7B_HUMAN	7.999999999999999
MPP3_HUMAN	P2RX7_HUMAN	1.28
MPP3_HUMAN	A4_HUMAN	0.8
MPP3_HUMAN	SCN2A_HUMAN	0.8
MPP3_HUMAN	HAP1_HUMAN	1.6
MPP3_HUMAN	MTMR2_HUMAN	0.8
MPP3_HUMAN	CADM1_HUMAN	3
MPP3_HUMAN	EZRI_HUMAN	1.6
MPP3_HUMAN	TRAF2_HUMAN	0.8
MPP3_HUMAN	PLK2_HUMAN	1.6
MPP3_HUMAN	SRPK2_HUMAN	1.6
MPP3_HUMAN	RS2_HUMAN	1.6
MPP3_HUMAN	MDHC_HUMAN	1.6
MPP3_HUMAN	SF3B3_HUMAN	0.8
MPP3_HUMAN	NOA1_HUMAN	1.6
MPP3_HUMAN	ZN655_HUMAN	3.2
MPP3_HUMAN	TRI41_HUMAN	0.8
MPP3_HUMAN	RRAGC_HUMAN	1.6
MPP3_HUMAN	TIRAP_HUMAN	1.6
MPP3_HUMAN	GBG7_HUMAN	1.6
MPP3_HUMAN	FBX7_HUMAN	0.8
MPP3_HUMAN	CC137_HUMAN	1.6
MPP3_HUMAN	RAB31_HUMAN	0.8
MPP3_HUMAN	TOP3B_HUMAN	0.8
MPP3_HUMAN	BTBD1_HUMAN	3.2
MPP3_HUMAN	MCM2_HUMAN	1.6
MPP3_HUMAN	LMBL2_HUMAN	1.6
MPP3_HUMAN	F171B_HUMAN	1.6
MPP3_HUMAN	ZPR1_HUMAN	1.6
MPP3_HUMAN	AR2BP_HUMAN	1.6
MPP3_HUMAN	HSH2D_HUMAN	1.6
MPP3_HUMAN	CCGL_HUMAN	1.6
MPP3_HUMAN	PKNX1_HUMAN	3.2
MPP3_HUMAN	B3GNL_HUMAN	0.8
MPP3_HUMAN	RABP1_HUMAN	0.8
MPP3_HUMAN	IDUA_HUMAN	0.8
MPP3_HUMAN	INSM1_HUMAN	0.8
MPP3_HUMAN	KBTB4_HUMAN	0.8
MPP3_HUMAN	MORN2_HUMAN	0.8
MPP3_HUMAN	SNTG2_HUMAN	0.8
MPP3_HUMAN	KR103_HUMAN	0.8
