UniProtID	UniProtID	score
MRCKA_HUMAN	LYN_HUMAN	0.8
MRCKA_HUMAN	RAC3_HUMAN	0.8
MRCKA_HUMAN	ESR1_HUMAN	1.6
MRCKA_HUMAN	MET_HUMAN	0.64
MRCKA_HUMAN	LCK_HUMAN	0.8
MRCKA_HUMAN	UBP7_HUMAN	0.8
MRCKA_HUMAN	GPC5B_HUMAN	0.8
MRCKA_HUMAN	SP1_HUMAN	1.6
MRCKA_HUMAN	RAF1_HUMAN	0.8
MRCKA_HUMAN	MYPT1_HUMAN	0.64
MRCKA_HUMAN	1433S_HUMAN	3.2
MRCKA_HUMAN	1433E_HUMAN	2.4000000000000004
MRCKA_HUMAN	1433Z_HUMAN	2.4000000000000004
MRCKA_HUMAN	RYBP_HUMAN	0.8
MRCKA_HUMAN	RB11A_HUMAN	0.8
MRCKA_HUMAN	1433F_HUMAN	4.0
MRCKA_HUMAN	1433T_HUMAN	2.4000000000000004
MRCKA_HUMAN	RASH_HUMAN	1.6
MRCKA_HUMAN	AFAD_HUMAN	0.8
MRCKA_HUMAN	1433B_HUMAN	1.6
MRCKA_HUMAN	1433G_HUMAN	4.0
MRCKA_HUMAN	RND1_HUMAN	0.8
MRCKA_HUMAN	STX4_HUMAN	0.8
MRCKA_HUMAN	LIMK1_HUMAN	1.44
MRCKA_HUMAN	CDC42_HUMAN	7.199999999999999
MRCKA_HUMAN	RAC1_HUMAN	0.8
MRCKA_HUMAN	CE152_HUMAN	2.4000000000000004
MRCKA_HUMAN	CSK2B_HUMAN	0.8
MRCKA_HUMAN	ANDR_HUMAN	0.8
MRCKA_HUMAN	STX6_HUMAN	0.8
MRCKA_HUMAN	SNAPN_HUMAN	1.6
MRCKA_HUMAN	RHOA_HUMAN	0.8
MRCKA_HUMAN	CXA1_HUMAN	0.8
MRCKA_HUMAN	DISC1_HUMAN	0.8
MRCKA_HUMAN	CXAR_HUMAN	0.8
MRCKA_HUMAN	MUC18_HUMAN	0.8
MRCKA_HUMAN	RL28_HUMAN	0.8
MRCKA_HUMAN	ARF6_HUMAN	1.6
MRCKA_HUMAN	MY18A_HUMAN	2.44
MRCKA_HUMAN	RUFY1_HUMAN	0.8
MRCKA_HUMAN	RAC2_HUMAN	0.8
MRCKA_HUMAN	KI20B_HUMAN	0.8
MRCKA_HUMAN	EZRI_HUMAN	0.8
MRCKA_HUMAN	CP135_HUMAN	2.4000000000000004
MRCKA_HUMAN	RASN_HUMAN	2.4000000000000004
MRCKA_HUMAN	HNRPL_HUMAN	0.8
MRCKA_HUMAN	FMR1_HUMAN	1.6
MRCKA_HUMAN	PTEN_HUMAN	0.64
MRCKA_HUMAN	OCLN_HUMAN	0.8
MRCKA_HUMAN	RASK_HUMAN	2.4000000000000004
MRCKA_HUMAN	DNJC7_HUMAN	0.8
MRCKA_HUMAN	NFM_HUMAN	0.8
MRCKA_HUMAN	K1C18_HUMAN	0.8
MRCKA_HUMAN	ZFPL1_HUMAN	0.8
MRCKA_HUMAN	RHOU_HUMAN	0.8
MRCKA_HUMAN	FLOT1_HUMAN	0.8
MRCKA_HUMAN	RBM8A_HUMAN	0.8
MRCKA_HUMAN	STXB1_HUMAN	0.64
MRCKA_HUMAN	UBE2H_HUMAN	0.8
MRCKA_HUMAN	RHOB_HUMAN	1.6
MRCKA_HUMAN	SERB1_HUMAN	1.6
MRCKA_HUMAN	NTRK1_HUMAN	0.8
MRCKA_HUMAN	MRCKB_HUMAN	3.2
MRCKA_HUMAN	PP12C_HUMAN	0.64
MRCKA_HUMAN	TEBP_HUMAN	0.8
MRCKA_HUMAN	STX7_HUMAN	0.8
MRCKA_HUMAN	RAB2A_HUMAN	0.8
MRCKA_HUMAN	TGM2_HUMAN	0.8
MRCKA_HUMAN	H12_HUMAN	1.6
MRCKA_HUMAN	MYC_HUMAN	0.8
MRCKA_HUMAN	RL7A_HUMAN	0.8
MRCKA_HUMAN	RABE2_HUMAN	0.64
MRCKA_HUMAN	ARBK1_HUMAN	0.8
MRCKA_HUMAN	RU17_HUMAN	0.8
MRCKA_HUMAN	CTBL1_HUMAN	0.64
MRCKA_HUMAN	HNRPU_HUMAN	1.6
MRCKA_HUMAN	RAB35_HUMAN	0.8
MRCKA_HUMAN	VP33A_HUMAN	0.8
MRCKA_HUMAN	CAV1_HUMAN	0.8
MRCKA_HUMAN	SEPT9_HUMAN	0.8
MRCKA_HUMAN	RAB7A_HUMAN	0.8
MRCKA_HUMAN	B2L12_HUMAN	0.8
MRCKA_HUMAN	CFTR_HUMAN	4.8
MRCKA_HUMAN	PARD3_HUMAN	0.8
MRCKA_HUMAN	ARHG2_HUMAN	1.44
MRCKA_HUMAN	RHOG_HUMAN	0.8
MRCKA_HUMAN	STK38_HUMAN	0.8
MRCKA_HUMAN	MRCKA_HUMAN	22.400000000000006
MRCKA_HUMAN	LURA1_HUMAN	7.199999999999999
MRCKA_HUMAN	RHOQ_HUMAN	1.8
MRCKA_HUMAN	STING_HUMAN	0.64
MRCKA_HUMAN	MD13L_HUMAN	0.8
MRCKA_HUMAN	ML12A_HUMAN	1.6400000000000001
MRCKA_HUMAN	LIMK2_HUMAN	0.8
MRCKA_HUMAN	TAF1_HUMAN	1.6
MRCKA_HUMAN	PTPRM_HUMAN	1.6
MRCKA_HUMAN	LGR4_HUMAN	0.8
MRCKA_HUMAN	KCD17_HUMAN	2.4000000000000004
MRCKA_HUMAN	INKA2_HUMAN	2.4000000000000004
MRCKA_HUMAN	LUR1L_HUMAN	2.4000000000000004
MRCKA_HUMAN	HDAC1_HUMAN	0.8
MRCKA_HUMAN	CTSL2_HUMAN	0.8
MRCKA_HUMAN	CENPQ_HUMAN	0.8
MRCKA_HUMAN	SKA3_HUMAN	0.8
MRCKA_HUMAN	RUVB2_HUMAN	0.64
MRCKA_HUMAN	SNUT1_HUMAN	0.64
MRCKA_HUMAN	SHCAF_HUMAN	0.64
MRCKA_HUMAN	SPIR2_HUMAN	0.64
MRCKA_HUMAN	F167A_HUMAN	1.6
MRCKA_HUMAN	FCGR1_HUMAN	1.6
MRCKA_HUMAN	IN80B_HUMAN	0.8
MRCKA_HUMAN	CDK9_HUMAN	0.8
MRCKA_HUMAN	VIR_HUMAN	0.8
MRCKA_HUMAN	PKHA4_HUMAN	0.8
MRCKA_HUMAN	LRC31_HUMAN	0.8
MRCKA_HUMAN	HAVR2_HUMAN	0.8
MRCKA_HUMAN	PRPS2_HUMAN	0.8
MRCKA_HUMAN	MTLR_HUMAN	0.8
MRCKA_HUMAN	CDN2D_HUMAN	0.8
MRCKA_HUMAN	COPT1_HUMAN	0.8
MRCKA_HUMAN	RHOJ_HUMAN	0.8
MRCKA_HUMAN	RHOD_HUMAN	0.8
MRCKA_HUMAN	RHOF_HUMAN	0.8
MRCKA_HUMAN	RHOV_HUMAN	0.8
MRCKA_HUMAN	RHOH_HUMAN	0.8
MRCKA_HUMAN	RND2_HUMAN	0.8
MRCKA_HUMAN	RND3_HUMAN	0.8
MRCKA_HUMAN	PLK4_HUMAN	0.8
MRCKA_HUMAN	SOX2_HUMAN	0.8
MRCKA_HUMAN	EPIPL_HUMAN	0.8
MRCKA_HUMAN	DOT1L_HUMAN	0.8
MRCKA_HUMAN	MEN1_HUMAN	0.8
MRCKA_HUMAN	TBX5_HUMAN	0.8
MRCKA_HUMAN	TRI67_HUMAN	0.8
MRCKA_HUMAN	GCSP_HUMAN	0.8
MRCKA_HUMAN	TOP3B_HUMAN	0.8
MRCKA_HUMAN	OTU7A_HUMAN	0.64
MRCKA_HUMAN	ST38L_HUMAN	0.8
MRCKA_HUMAN	PPM1A_HUMAN	1
MRCKA_HUMAN	MRCKG_HUMAN	0.64
MRCKA_HUMAN	PYGB_HUMAN	0.8
MRCKA_HUMAN	DNJ5B_HUMAN	0.8
MRCKA_HUMAN	DNJC5_HUMAN	0.8
MRCKA_HUMAN	CK052_HUMAN	0.8
MRCKA_HUMAN	DIRA3_HUMAN	0.8
MRCKA_HUMAN	RCAS1_HUMAN	0.8
MRCKA_HUMAN	E41LA_HUMAN	0.8
MRCKA_HUMAN	CXD3_HUMAN	0.8
MRCKA_HUMAN	LAMP1_HUMAN	0.8
MRCKA_HUMAN	LAMP2_HUMAN	0.8
MRCKA_HUMAN	LTOR1_HUMAN	0.8
MRCKA_HUMAN	MARCS_HUMAN	0.8
MRCKA_HUMAN	SEP10_HUMAN	0.8
MRCKA_HUMAN	DPP4_HUMAN	0.8
MRCKA_HUMAN	ARL4C_HUMAN	0.8
MRCKA_HUMAN	ARL14_HUMAN	0.8
MRCKA_HUMAN	ARL15_HUMAN	0.8
