UniProtID	UniProtID	score
MRP_HUMAN	LYN_HUMAN	0.8
MRP_HUMAN	ESR1_HUMAN	2.4000000000000004
MRP_HUMAN	CTNB1_HUMAN	0.8
MRP_HUMAN	TERA_HUMAN	0.8
MRP_HUMAN	RAF1_HUMAN	0.8
MRP_HUMAN	TGON2_HUMAN	1.6
MRP_HUMAN	SHAN3_HUMAN	0.64
MRP_HUMAN	CKAP5_HUMAN	0.8
MRP_HUMAN	BCAR1_HUMAN	1.6
MRP_HUMAN	TBK1_HUMAN	0.8
MRP_HUMAN	HSP7C_HUMAN	0.8
MRP_HUMAN	KAP1_HUMAN	0.64
MRP_HUMAN	PTN1_HUMAN	0.8
MRP_HUMAN	MK14_HUMAN	1.6
MRP_HUMAN	PAX6_HUMAN	1.6
MRP_HUMAN	LMNA_HUMAN	0.8
MRP_HUMAN	EPS8_HUMAN	0.8
MRP_HUMAN	RASH_HUMAN	2.4000000000000004
MRP_HUMAN	BRCA1_HUMAN	0.8
MRP_HUMAN	RALB_HUMAN	0.8
MRP_HUMAN	RALA_HUMAN	0.8
MRP_HUMAN	KCNK3_HUMAN	0.8
MRP_HUMAN	STX4_HUMAN	0.8
MRP_HUMAN	CDC42_HUMAN	1.6
MRP_HUMAN	RAC1_HUMAN	0.8
MRP_HUMAN	KPCZ_HUMAN	1.6
MRP_HUMAN	ELAV1_HUMAN	0.8
MRP_HUMAN	RHOA_HUMAN	0.8
MRP_HUMAN	KAPCA_HUMAN	0.8
MRP_HUMAN	MUC18_HUMAN	0.8
MRP_HUMAN	ACTB_HUMAN	1.44
MRP_HUMAN	VIGLN_HUMAN	0.8
MRP_HUMAN	ARF6_HUMAN	1.6
MRP_HUMAN	RAC2_HUMAN	0.8
MRP_HUMAN	ACTC_HUMAN	0.8
MRP_HUMAN	RASN_HUMAN	2.4000000000000004
MRP_HUMAN	KS6A2_HUMAN	0.8
MRP_HUMAN	HS71B_HUMAN	0.8
MRP_HUMAN	HS71A_HUMAN	0.8
MRP_HUMAN	RASK_HUMAN	4.0
MRP_HUMAN	PRKN_HUMAN	0.8
MRP_HUMAN	VPP2_HUMAN	2.4000000000000004
MRP_HUMAN	DCTN2_HUMAN	4.64
MRP_HUMAN	ESR2_HUMAN	0.8
MRP_HUMAN	RHOU_HUMAN	0.8
MRP_HUMAN	RET4_HUMAN	2.4000000000000004
MRP_HUMAN	SSR3_HUMAN	0.64
MRP_HUMAN	BASI_HUMAN	0.8
MRP_HUMAN	UBE2H_HUMAN	0.8
MRP_HUMAN	RHOB_HUMAN	0.8
MRP_HUMAN	NTRK1_HUMAN	0.8
MRP_HUMAN	STX7_HUMAN	0.8
MRP_HUMAN	CACO2_HUMAN	0.8
MRP_HUMAN	RAB2A_HUMAN	0.8
MRP_HUMAN	EWS_HUMAN	0.8
MRP_HUMAN	UBQL2_HUMAN	0.8
MRP_HUMAN	MYC_HUMAN	0.8
MRP_HUMAN	TNIP2_HUMAN	0.8
MRP_HUMAN	OTUB1_HUMAN	0.8
MRP_HUMAN	VATA_HUMAN	0.8
MRP_HUMAN	NMT2_HUMAN	2.4000000000000004
MRP_HUMAN	BCCIP_HUMAN	1.6
MRP_HUMAN	KBTB7_HUMAN	1.6
MRP_HUMAN	M3K7_HUMAN	1.6
MRP_HUMAN	RMI1_HUMAN	2.4000000000000004
MRP_HUMAN	CCAR1_HUMAN	0.8
MRP_HUMAN	STB5L_HUMAN	0.64
MRP_HUMAN	LOXL2_HUMAN	4
MRP_HUMAN	SPHK1_HUMAN	0.8
MRP_HUMAN	SNX21_HUMAN	2.4000000000000004
MRP_HUMAN	P4R3A_HUMAN	2.4000000000000004
MRP_HUMAN	SCRN2_HUMAN	2.4000000000000004
MRP_HUMAN	PP4R2_HUMAN	1.6
MRP_HUMAN	VATD_HUMAN	1.6
MRP_HUMAN	SH2D3_HUMAN	1.6
MRP_HUMAN	SOAT1_HUMAN	1.6
MRP_HUMAN	SODC_HUMAN	1.6
MRP_HUMAN	RIPK4_HUMAN	0.8
MRP_HUMAN	MYLK4_HUMAN	1.6
MRP_HUMAN	HASP_HUMAN	1.6
MRP_HUMAN	PKHA7_HUMAN	0.8
MRP_HUMAN	TIF1A_HUMAN	1.6
MRP_HUMAN	TMM17_HUMAN	1.6
MRP_HUMAN	TM216_HUMAN	1.6
MRP_HUMAN	LAMP1_HUMAN	2.4000000000000004
MRP_HUMAN	EPHA1_HUMAN	1.6
MRP_HUMAN	CFTR_HUMAN	5.6
MRP_HUMAN	GPSM1_HUMAN	0.8
MRP_HUMAN	CDK2_HUMAN	0.8
MRP_HUMAN	PAN2_HUMAN	0.8
MRP_HUMAN	NMT1_HUMAN	1.6
MRP_HUMAN	TOP3A_HUMAN	1.6
MRP_HUMAN	AT11C_HUMAN	0.8
MRP_HUMAN	FACD2_HUMAN	0.64
MRP_HUMAN	RECQ4_HUMAN	0.8
MRP_HUMAN	WDR5_HUMAN	0.8
MRP_HUMAN	ZBTB2_HUMAN	0.8
MRP_HUMAN	CSCL2_HUMAN	0.8
MRP_HUMAN	VPP1_HUMAN	1.6
MRP_HUMAN	RHOG_HUMAN	0.8
MRP_HUMAN	RHOQ_HUMAN	0.8
MRP_HUMAN	ZRAN1_HUMAN	0.8
MRP_HUMAN	BAP1_HUMAN	0.8
MRP_HUMAN	TRI67_HUMAN	0.8
MRP_HUMAN	RM16_HUMAN	0.8
MRP_HUMAN	ZBT43_HUMAN	0.8
MRP_HUMAN	NDUB5_HUMAN	0.8
MRP_HUMAN	RM46_HUMAN	0.8
MRP_HUMAN	MRM3_HUMAN	0.8
MRP_HUMAN	RM30_HUMAN	0.8
MRP_HUMAN	PCDH7_HUMAN	0.8
MRP_HUMAN	RM22_HUMAN	0.8
MRP_HUMAN	CNBP_HUMAN	0.64
MRP_HUMAN	PTMA_HUMAN	0.8
MRP_HUMAN	TAF6_HUMAN	0.8
MRP_HUMAN	SET_HUMAN	0.8
MRP_HUMAN	RN183_HUMAN	0.64
MRP_HUMAN	DNJ5B_HUMAN	0.8
MRP_HUMAN	DNJC5_HUMAN	0.8
MRP_HUMAN	SEC63_HUMAN	0.8
MRP_HUMAN	DJB14_HUMAN	0.8
MRP_HUMAN	CAV1_HUMAN	0.8
MRP_HUMAN	LAMP2_HUMAN	0.8
MRP_HUMAN	LAMP3_HUMAN	0.8
MRP_HUMAN	MARCS_HUMAN	0.8
MRP_HUMAN	RAB5C_HUMAN	0.8
MRP_HUMAN	NRP1_HUMAN	0.8
MRP_HUMAN	STING_HUMAN	0.64
MRP_HUMAN	ARL4C_HUMAN	0.8
MRP_HUMAN	ARL5A_HUMAN	0.8
MRP_HUMAN	ARL14_HUMAN	0.8
MRP_HUMAN	ARL15_HUMAN	0.8
