UniProtID	UniProtID	score
MTCH2_HUMAN	ESR1_HUMAN	3.2
MTCH2_HUMAN	DNM1L_HUMAN	0.8
MTCH2_HUMAN	SYUA_HUMAN	1.28
MTCH2_HUMAN	FAF2_HUMAN	0.8
MTCH2_HUMAN	NDUB8_HUMAN	1.6
MTCH2_HUMAN	CLH1_HUMAN	1.6
MTCH2_HUMAN	MLP3B_HUMAN	1.8
MTCH2_HUMAN	STBD1_HUMAN	0.8
MTCH2_HUMAN	ATG2A_HUMAN	0.8
MTCH2_HUMAN	OPTN_HUMAN	1.6
MTCH2_HUMAN	MAVS_HUMAN	0.8
MTCH2_HUMAN	DYN2_HUMAN	0.8
MTCH2_HUMAN	TGON2_HUMAN	0.8
MTCH2_HUMAN	VP13A_HUMAN	0.8
MTCH2_HUMAN	FLNA_HUMAN	0.8
MTCH2_HUMAN	AGRE5_HUMAN	1.6
MTCH2_HUMAN	ECT2_HUMAN	0.8
MTCH2_HUMAN	ASXL1_HUMAN	0.8
MTCH2_HUMAN	HSP7C_HUMAN	1.6
MTCH2_HUMAN	HS90B_HUMAN	0.8
MTCH2_HUMAN	1433Z_HUMAN	0.8
MTCH2_HUMAN	TOM40_HUMAN	1.6
MTCH2_HUMAN	PTN1_HUMAN	0.8
MTCH2_HUMAN	PRC1_HUMAN	0.8
MTCH2_HUMAN	MK14_HUMAN	0.8
MTCH2_HUMAN	RYBP_HUMAN	2.4000000000000004
MTCH2_HUMAN	HSPB1_HUMAN	1.6
MTCH2_HUMAN	FMNL1_HUMAN	0.8
MTCH2_HUMAN	BIP_HUMAN	0.8
MTCH2_HUMAN	BAG6_HUMAN	0.8
MTCH2_HUMAN	PCBP1_HUMAN	0.8
MTCH2_HUMAN	FHL2_HUMAN	0.8
MTCH2_HUMAN	B2CL1_HUMAN	0.8
MTCH2_HUMAN	AKAP1_HUMAN	1.6
MTCH2_HUMAN	ATX1_HUMAN	0.64
MTCH2_HUMAN	UBB_HUMAN	0.8
MTCH2_HUMAN	ABCD3_HUMAN	0.8
MTCH2_HUMAN	RAC1_HUMAN	1.6
MTCH2_HUMAN	VP13D_HUMAN	0.8
MTCH2_HUMAN	DNJA1_HUMAN	0.8
MTCH2_HUMAN	MIC60_HUMAN	1.6
MTCH2_HUMAN	DX39B_HUMAN	0.8
MTCH2_HUMAN	DDB1_HUMAN	0.8
MTCH2_HUMAN	PML_HUMAN	0.8
MTCH2_HUMAN	XRN1_HUMAN	0.8
MTCH2_HUMAN	PHB2_HUMAN	1.6
MTCH2_HUMAN	RAB5A_HUMAN	1.6
MTCH2_HUMAN	UBC_HUMAN	0.8
MTCH2_HUMAN	NFL_HUMAN	0.8
MTCH2_HUMAN	RHOA_HUMAN	0.8
MTCH2_HUMAN	KAPCA_HUMAN	0.8
MTCH2_HUMAN	FKBP8_HUMAN	0.8
MTCH2_HUMAN	RL40_HUMAN	0.8
MTCH2_HUMAN	RRBP1_HUMAN	0.8
MTCH2_HUMAN	ACTB_HUMAN	0.8
MTCH2_HUMAN	MIRO2_HUMAN	0.8
MTCH2_HUMAN	TACC1_HUMAN	0.8
MTCH2_HUMAN	HAX1_HUMAN	0.8
MTCH2_HUMAN	DDX5_HUMAN	0.8
MTCH2_HUMAN	MIRO1_HUMAN	0.8
MTCH2_HUMAN	BIRC3_HUMAN	0.8
MTCH2_HUMAN	ATPB_HUMAN	2.4000000000000004
MTCH2_HUMAN	TOM70_HUMAN	0.8
MTCH2_HUMAN	RL7_HUMAN	0.8
MTCH2_HUMAN	PPT1_HUMAN	0.8
MTCH2_HUMAN	KAP2_HUMAN	0.8
MTCH2_HUMAN	PLIN3_HUMAN	0.8
MTCH2_HUMAN	RBM39_HUMAN	0.8
MTCH2_HUMAN	CAC1C_HUMAN	0.64
MTCH2_HUMAN	RPN1_HUMAN	0.8
MTCH2_HUMAN	RS27_HUMAN	0.8
MTCH2_HUMAN	ECHB_HUMAN	0.8
MTCH2_HUMAN	HSPB2_HUMAN	1.28
