UniProtID	UniProtID	score
MTOR_HUMAN	TRI37_HUMAN	1.0
MTOR_HUMAN	CKAP5_HUMAN	1.28
MTOR_HUMAN	STAU1_HUMAN	0.8
MTOR_HUMAN	KS6B1_HUMAN	31.000000000000004
MTOR_HUMAN	USP9X_HUMAN	1.6
MTOR_HUMAN	GNB5_HUMAN	0.8
MTOR_HUMAN	RS16_HUMAN	1.6
MTOR_HUMAN	KPCD_HUMAN	2.0
MTOR_HUMAN	ABL1_HUMAN	2.0
MTOR_HUMAN	LIMA1_HUMAN	0.64
MTOR_HUMAN	RASN_HUMAN	4.3999999999999995
MTOR_HUMAN	GLYM_HUMAN	0.8
MTOR_HUMAN	MK03_HUMAN	0.6
MTOR_HUMAN	PGRC1_HUMAN	0.8
MTOR_HUMAN	FKBP4_HUMAN	1.6
MTOR_HUMAN	LTOR1_HUMAN	1.6
MTOR_HUMAN	PREX1_HUMAN	15.0
MTOR_HUMAN	RL23A_HUMAN	2.4000000000000004
MTOR_HUMAN	RS6_HUMAN	3.48
MTOR_HUMAN	PDPK1_HUMAN	1.4
MTOR_HUMAN	GSK3B_HUMAN	1.6
MTOR_HUMAN	GBG2_HUMAN	1.6
MTOR_HUMAN	CDC42_HUMAN	0.6
MTOR_HUMAN	XPO1_HUMAN	1.44
MTOR_HUMAN	RASK_HUMAN	5.6
MTOR_HUMAN	FKB1B_HUMAN	0.6
MTOR_HUMAN	KPCZ_HUMAN	0.64
MTOR_HUMAN	M3K12_HUMAN	1.28
MTOR_HUMAN	RL7A_HUMAN	1.44
MTOR_HUMAN	ERBB2_HUMAN	0.6
MTOR_HUMAN	UBC_HUMAN	0.8
MTOR_HUMAN	NDUA8_HUMAN	0.8
MTOR_HUMAN	IGF1R_HUMAN	0.8
MTOR_HUMAN	IRS1_HUMAN	5.3999999999999995
MTOR_HUMAN	PTEN_HUMAN	1.4
MTOR_HUMAN	STK38_HUMAN	1.6
MTOR_HUMAN	RL7_HUMAN	4.8
MTOR_HUMAN	BASI_HUMAN	1.6
MTOR_HUMAN	HD_HUMAN	1.0
MTOR_HUMAN	ATX10_HUMAN	0.64
MTOR_HUMAN	NGDN_HUMAN	0.6
MTOR_HUMAN	RS9_HUMAN	0.8
MTOR_HUMAN	PP2AA_HUMAN	0.6
MTOR_HUMAN	TBA1A_HUMAN	0.8
MTOR_HUMAN	GRB2_HUMAN	0.6
MTOR_HUMAN	TSC2_HUMAN	0.6
MTOR_HUMAN	GBB1_HUMAN	2.6
MTOR_HUMAN	RAB1A_HUMAN	6.0
MTOR_HUMAN	GEPH_HUMAN	4.04
MTOR_HUMAN	VPS16_HUMAN	1.6
MTOR_HUMAN	1433T_HUMAN	1.4
MTOR_HUMAN	1433E_HUMAN	0.6
MTOR_HUMAN	SYGP1_HUMAN	1.28
MTOR_HUMAN	RAP2A_HUMAN	1.0
MTOR_HUMAN	GIT1_HUMAN	1.92
MTOR_HUMAN	1433B_HUMAN	0.6
MTOR_HUMAN	NTRK3_HUMAN	0.8
MTOR_HUMAN	AKT2_HUMAN	0.6
MTOR_HUMAN	FKBP8_HUMAN	4.6
MTOR_HUMAN	CLIP1_HUMAN	4.6
MTOR_HUMAN	XRP2_HUMAN	2.4000000000000004
MTOR_HUMAN	AKT1_HUMAN	21.440000000000005
MTOR_HUMAN	5NTD_HUMAN	2.4000000000000004
MTOR_HUMAN	1433Z_HUMAN	3.2
MTOR_HUMAN	RHEB_HUMAN	16.200000000000003
MTOR_HUMAN	1433F_HUMAN	0.6
MTOR_HUMAN	RL5_HUMAN	1.6
MTOR_HUMAN	TBK1_HUMAN	0.8
MTOR_HUMAN	1433S_HUMAN	0.6
MTOR_HUMAN	RASH_HUMAN	4.999999999999999
MTOR_HUMAN	TF65_HUMAN	0.6
MTOR_HUMAN	MTOR_HUMAN	59.2
MTOR_HUMAN	SHC1_HUMAN	0.6
MTOR_HUMAN	KPCA_HUMAN	1.6
MTOR_HUMAN	BCR_HUMAN	0.6
MTOR_HUMAN	PRKDC_HUMAN	2.8
MTOR_HUMAN	KAP0_HUMAN	2.0
MTOR_HUMAN	HNRPQ_HUMAN	1.6
MTOR_HUMAN	GBB2_HUMAN	0.8
MTOR_HUMAN	LANC2_HUMAN	0.8
MTOR_HUMAN	BAG6_HUMAN	1.6
MTOR_HUMAN	MP2K1_HUMAN	0.8
MTOR_HUMAN	HS90A_HUMAN	0.6
MTOR_HUMAN	IF4E_HUMAN	3.8000000000000003
MTOR_HUMAN	HSP74_HUMAN	1.6
MTOR_HUMAN	TSC1_HUMAN	0.6
MTOR_HUMAN	PDIA3_HUMAN	3.0
MTOR_HUMAN	ARHG7_HUMAN	1.28
MTOR_HUMAN	STAT1_HUMAN	6.6
MTOR_HUMAN	TERA_HUMAN	0.8
MTOR_HUMAN	RL26_HUMAN	9.44
MTOR_HUMAN	MYCB2_HUMAN	1.28
MTOR_HUMAN	PK3CA_HUMAN	0.6
MTOR_HUMAN	2A5D_HUMAN	0.6
MTOR_HUMAN	HNRPD_HUMAN	1.6
MTOR_HUMAN	PRKN_HUMAN	1.0
MTOR_HUMAN	1433G_HUMAN	0.6
MTOR_HUMAN	NDUA9_HUMAN	0.8
MTOR_HUMAN	KPCG_HUMAN	0.6
MTOR_HUMAN	4EBP1_HUMAN	40.04
MTOR_HUMAN	RAP1A_HUMAN	1.0
MTOR_HUMAN	ITB1_HUMAN	1.28
MTOR_HUMAN	4EBP2_HUMAN	2.24
MTOR_HUMAN	EIF3C_HUMAN	0.8
MTOR_HUMAN	RL23_HUMAN	3.04
MTOR_HUMAN	MK01_HUMAN	1.4
MTOR_HUMAN	STAT3_HUMAN	5.3999999999999995
TRI37_HUMAN	TRI37_HUMAN	9.2
TRI37_HUMAN	STAU1_HUMAN	0.8
TRI37_HUMAN	RS16_HUMAN	0.8
TRI37_HUMAN	LIMA1_HUMAN	0.8
TRI37_HUMAN	RL23A_HUMAN	0.8
TRI37_HUMAN	CDC42_HUMAN	0.8
TRI37_HUMAN	XPO1_HUMAN	2.24
TRI37_HUMAN	RL7A_HUMAN	0.8
TRI37_HUMAN	UBC_HUMAN	2.4
TRI37_HUMAN	PTEN_HUMAN	0.8
TRI37_HUMAN	RL7_HUMAN	1.6
TRI37_HUMAN	TBA1A_HUMAN	0.8
TRI37_HUMAN	GBB1_HUMAN	0.8
TRI37_HUMAN	RAB1A_HUMAN	0.8
TRI37_HUMAN	1433T_HUMAN	0.8
TRI37_HUMAN	5NTD_HUMAN	0.8
TRI37_HUMAN	1433Z_HUMAN	0.8
TRI37_HUMAN	RL5_HUMAN	0.8
TRI37_HUMAN	PRKDC_HUMAN	0.8
TRI37_HUMAN	HNRPQ_HUMAN	0.8
TRI37_HUMAN	HS90A_HUMAN	1.6
TRI37_HUMAN	PDIA3_HUMAN	0.8
TRI37_HUMAN	RL26_HUMAN	0.8
TRI37_HUMAN	HNRPD_HUMAN	0.8
TRI37_HUMAN	PRKN_HUMAN	0.6
TRI37_HUMAN	ITB1_HUMAN	0.8
TRI37_HUMAN	RL23_HUMAN	0.8
CKAP5_HUMAN	CKAP5_HUMAN	9.36
CKAP5_HUMAN	RS16_HUMAN	1.6
CKAP5_HUMAN	ABL1_HUMAN	0.8
CKAP5_HUMAN	CDC42_HUMAN	0.6
CKAP5_HUMAN	XPO1_HUMAN	0.6
CKAP5_HUMAN	PP2AA_HUMAN	0.6
CKAP5_HUMAN	TBA1A_HUMAN	3.8000000000000003
CKAP5_HUMAN	GRB2_HUMAN	0.8
CKAP5_HUMAN	1433E_HUMAN	0.6
CKAP5_HUMAN	CLIP1_HUMAN	0.6
CKAP5_HUMAN	1433F_HUMAN	0.8
CKAP5_HUMAN	HS90A_HUMAN	0.6
CKAP5_HUMAN	2A5D_HUMAN	0.6
CKAP5_HUMAN	1433G_HUMAN	1.4
CKAP5_HUMAN	ITB1_HUMAN	0.64
STAU1_HUMAN	STAU1_HUMAN	5.6
STAU1_HUMAN	USP9X_HUMAN	0.8
STAU1_HUMAN	KPCD_HUMAN	0.8
STAU1_HUMAN	RS6_HUMAN	9.64
STAU1_HUMAN	CDC42_HUMAN	3.0400000000000005
STAU1_HUMAN	XPO1_HUMAN	3.2
STAU1_HUMAN	RL7A_HUMAN	5.8
STAU1_HUMAN	RL7_HUMAN	1.6
STAU1_HUMAN	RS9_HUMAN	1.6
STAU1_HUMAN	TBA1A_HUMAN	2.4000000000000004
STAU1_HUMAN	1433T_HUMAN	0.8
STAU1_HUMAN	1433Z_HUMAN	0.8
STAU1_HUMAN	RL5_HUMAN	1.6
STAU1_HUMAN	TBK1_HUMAN	0.8
STAU1_HUMAN	PRKDC_HUMAN	0.8
STAU1_HUMAN	HNRPQ_HUMAN	3.04
STAU1_HUMAN	IF4E_HUMAN	0.64
STAU1_HUMAN	STAT1_HUMAN	0.8
STAU1_HUMAN	2A5D_HUMAN	0.8
STAU1_HUMAN	HNRPD_HUMAN	2.24
STAU1_HUMAN	EIF3C_HUMAN	0.8
KS6B1_HUMAN	KS6B1_HUMAN	15.2
KS6B1_HUMAN	ABL1_HUMAN	0.8
KS6B1_HUMAN	MK03_HUMAN	1.4
KS6B1_HUMAN	LTOR1_HUMAN	0.6
KS6B1_HUMAN	RS6_HUMAN	6.84
KS6B1_HUMAN	PDPK1_HUMAN	2.4
KS6B1_HUMAN	GSK3B_HUMAN	0.6
KS6B1_HUMAN	CDC42_HUMAN	1.4
KS6B1_HUMAN	XPO1_HUMAN	1.8
KS6B1_HUMAN	KPCZ_HUMAN	1.0
KS6B1_HUMAN	IRS1_HUMAN	4.3999999999999995
KS6B1_HUMAN	PTEN_HUMAN	0.6
KS6B1_HUMAN	HD_HUMAN	1.0
KS6B1_HUMAN	PP2AA_HUMAN	0.6
KS6B1_HUMAN	GRB2_HUMAN	0.6
KS6B1_HUMAN	TSC2_HUMAN	2.2
KS6B1_HUMAN	1433B_HUMAN	0.6
KS6B1_HUMAN	AKT2_HUMAN	0.6
KS6B1_HUMAN	AKT1_HUMAN	4.0
KS6B1_HUMAN	RHEB_HUMAN	1.6
KS6B1_HUMAN	TBK1_HUMAN	3.4000000000000004
KS6B1_HUMAN	SHC1_HUMAN	0.6
KS6B1_HUMAN	KPCA_HUMAN	0.6
KS6B1_HUMAN	BCR_HUMAN	0.6
KS6B1_HUMAN	HS90A_HUMAN	1.4
KS6B1_HUMAN	IF4E_HUMAN	4.6
KS6B1_HUMAN	TSC1_HUMAN	2.2
KS6B1_HUMAN	STAT1_HUMAN	1.0
KS6B1_HUMAN	PK3CA_HUMAN	0.6
KS6B1_HUMAN	2A5D_HUMAN	0.6
KS6B1_HUMAN	4EBP1_HUMAN	1.24
KS6B1_HUMAN	ITB1_HUMAN	0.6
KS6B1_HUMAN	EIF3C_HUMAN	0.8
KS6B1_HUMAN	MK01_HUMAN	1.4
USP9X_HUMAN	USP9X_HUMAN	12.0
USP9X_HUMAN	PGRC1_HUMAN	0.8
USP9X_HUMAN	XPO1_HUMAN	1.44
USP9X_HUMAN	UBC_HUMAN	6.2799999999999985
USP9X_HUMAN	IGF1R_HUMAN	1.0
USP9X_HUMAN	IRS1_HUMAN	2.0
USP9X_HUMAN	PTEN_HUMAN	1.8
USP9X_HUMAN	HD_HUMAN	7.199999999999999
USP9X_HUMAN	ATX10_HUMAN	1.0
USP9X_HUMAN	SHC1_HUMAN	4.0
USP9X_HUMAN	TSC1_HUMAN	1.28
GNB5_HUMAN	GNB5_HUMAN	1.6
GNB5_HUMAN	KPCD_HUMAN	0.6
GNB5_HUMAN	MK03_HUMAN	0.64
GNB5_HUMAN	PDPK1_HUMAN	0.6
GNB5_HUMAN	GBG2_HUMAN	4.64
GNB5_HUMAN	UBC_HUMAN	0.64
GNB5_HUMAN	GBB1_HUMAN	0.6
GNB5_HUMAN	1433B_HUMAN	0.64
GNB5_HUMAN	AKT2_HUMAN	0.6
GNB5_HUMAN	AKT1_HUMAN	0.6
GNB5_HUMAN	KPCA_HUMAN	0.6
GNB5_HUMAN	GBB2_HUMAN	0.6
GNB5_HUMAN	PK3CA_HUMAN	0.6
GNB5_HUMAN	KPCG_HUMAN	0.6
GNB5_HUMAN	MK01_HUMAN	0.64
RS16_HUMAN	RL23A_HUMAN	2.8400000000000003
RS16_HUMAN	RS6_HUMAN	3.6400000000000006
RS16_HUMAN	XPO1_HUMAN	1.44
RS16_HUMAN	RL7A_HUMAN	2.8400000000000003
RS16_HUMAN	UBC_HUMAN	1.2
RS16_HUMAN	IGF1R_HUMAN	0.8
RS16_HUMAN	RL7_HUMAN	2.8400000000000003
RS16_HUMAN	RS9_HUMAN	3.6400000000000006
RS16_HUMAN	PP2AA_HUMAN	0.6
RS16_HUMAN	GRB2_HUMAN	0.8
RS16_HUMAN	1433Z_HUMAN	0.64
RS16_HUMAN	RL5_HUMAN	2.8400000000000003
RS16_HUMAN	1433S_HUMAN	0.8
RS16_HUMAN	HS90A_HUMAN	0.8
RS16_HUMAN	IF4E_HUMAN	0.6
RS16_HUMAN	RL26_HUMAN	2.8400000000000003
RS16_HUMAN	PRKN_HUMAN	1.6
RS16_HUMAN	EIF3C_HUMAN	0.6
RS16_HUMAN	RL23_HUMAN	2.8400000000000003
