UniProtID	UniProtID	score
MY18A_HUMAN	CYBR1_HUMAN	1.6
MY18A_HUMAN	TRI37_HUMAN	0.8
MY18A_HUMAN	FGF2_HUMAN	0.6
MY18A_HUMAN	CALM1_HUMAN	0.8
MY18A_HUMAN	CTRO_HUMAN	0.8
MY18A_HUMAN	PP1A_HUMAN	1.6
MY18A_HUMAN	TPM3_HUMAN	0.8
MY18A_HUMAN	MYO1E_HUMAN	1.6
MY18A_HUMAN	CAZA2_HUMAN	3.2
MY18A_HUMAN	LIMA1_HUMAN	2.8800000000000003
MY18A_HUMAN	WDR1_HUMAN	1.6
MY18A_HUMAN	SRC8_HUMAN	1.6
MY18A_HUMAN	MPRIP_HUMAN	0.8
MY18A_HUMAN	MYO5B_HUMAN	1.6
MY18A_HUMAN	DDRGK_HUMAN	2.4000000000000004
MY18A_HUMAN	GLYM_HUMAN	0.8
MY18A_HUMAN	MYH9_HUMAN	5.119999999999999
MY18A_HUMAN	GELS_HUMAN	0.8
MY18A_HUMAN	TPM1_HUMAN	1.6
MY18A_HUMAN	FYN_HUMAN	1.6
MY18A_HUMAN	COF2_HUMAN	1.6
MY18A_HUMAN	ZO2_HUMAN	1.6
MY18A_HUMAN	STXB1_HUMAN	0.8
MY18A_HUMAN	UBP14_HUMAN	0.8
MY18A_HUMAN	SPTB2_HUMAN	1.6
MY18A_HUMAN	EFHD2_HUMAN	1.6
MY18A_HUMAN	MYO1B_HUMAN	0.8
MY18A_HUMAN	IQGA1_HUMAN	1.6
MY18A_HUMAN	RASK_HUMAN	0.8
MY18A_HUMAN	FLII_HUMAN	1.6
MY18A_HUMAN	CAZA1_HUMAN	1.6
MY18A_HUMAN	ARPC4_HUMAN	1.6
MY18A_HUMAN	RGS14_HUMAN	0.64
MY18A_HUMAN	QCR7_HUMAN	1.6
MY18A_HUMAN	ARP2_HUMAN	1.6
MY18A_HUMAN	LIMC1_HUMAN	1.6
MY18A_HUMAN	TMOD1_HUMAN	1.6
MY18A_HUMAN	DREB_HUMAN	3.2
MY18A_HUMAN	COR2A_HUMAN	1.6
MY18A_HUMAN	MYO5A_HUMAN	0.8
MY18A_HUMAN	ITA5_HUMAN	1.28
MY18A_HUMAN	ACTG_HUMAN	1.6
MY18A_HUMAN	PICAL_HUMAN	0.8
MY18A_HUMAN	MRCKB_HUMAN	2.6
MY18A_HUMAN	MYPT1_HUMAN	1.6
MY18A_HUMAN	PLCG1_HUMAN	0.6
MY18A_HUMAN	RL15_HUMAN	0.8
MY18A_HUMAN	COR1C_HUMAN	2.8800000000000003
MY18A_HUMAN	GRB2_HUMAN	1.6
MY18A_HUMAN	ACTB_HUMAN	2.8800000000000003
MY18A_HUMAN	COF1_HUMAN	1.6
MY18A_HUMAN	DCTN3_HUMAN	1.28
MY18A_HUMAN	MY18A_HUMAN	2.0
MY18A_HUMAN	MRCKA_HUMAN	2.44
MY18A_HUMAN	CLH1_HUMAN	0.8
MY18A_HUMAN	INF2_HUMAN	0.8
MY18A_HUMAN	1433B_HUMAN	0.64
MY18A_HUMAN	LRFN4_HUMAN	0.8
MY18A_HUMAN	CALM3_HUMAN	0.8
MY18A_HUMAN	SC6A4_HUMAN	0.64
MY18A_HUMAN	ACTN4_HUMAN	1.6
MY18A_HUMAN	MYL6_HUMAN	1.6
MY18A_HUMAN	FLNA_HUMAN	2.4000000000000004
MY18A_HUMAN	SPTN1_HUMAN	1.6
MY18A_HUMAN	1433Z_HUMAN	0.64
MY18A_HUMAN	RAB2A_HUMAN	0.8
MY18A_HUMAN	CLCB_HUMAN	0.8
MY18A_HUMAN	DEST_HUMAN	1.6
MY18A_HUMAN	CLCA_HUMAN	0.8
MY18A_HUMAN	ABLM1_HUMAN	0.8
MY18A_HUMAN	SPTN2_HUMAN	1.6
MY18A_HUMAN	ENOA_HUMAN	0.8
MY18A_HUMAN	RAGP1_HUMAN	1.6
MY18A_HUMAN	MYO5C_HUMAN	3.2
MY18A_HUMAN	ODO2_HUMAN	3.8400000000000007
MY18A_HUMAN	BCR_HUMAN	0.6
MY18A_HUMAN	CYFP2_HUMAN	0.64
MY18A_HUMAN	MYL6B_HUMAN	1.6
MY18A_HUMAN	COR1B_HUMAN	1.6
MY18A_HUMAN	TPM2_HUMAN	1.6
MY18A_HUMAN	FLOT1_HUMAN	1.28
MY18A_HUMAN	SYNPO_HUMAN	2.4000000000000004
MY18A_HUMAN	CYTSB_HUMAN	1.6
MY18A_HUMAN	PLEC_HUMAN	1.6
MY18A_HUMAN	AP2A1_HUMAN	0.8
MY18A_HUMAN	MYO6_HUMAN	0.8
MY18A_HUMAN	TPM4_HUMAN	1.6
MY18A_HUMAN	ARPC3_HUMAN	1.6
MY18A_HUMAN	RHG21_HUMAN	1.6
MY18A_HUMAN	STAT1_HUMAN	0.6
MY18A_HUMAN	MYO1C_HUMAN	2.8800000000000003
MY18A_HUMAN	ZDHC5_HUMAN	0.8
MY18A_HUMAN	SRBS2_HUMAN	1.6
MY18A_HUMAN	PK3CA_HUMAN	0.6
MY18A_HUMAN	AP2M1_HUMAN	0.8
MY18A_HUMAN	BASP1_HUMAN	1.6
MY18A_HUMAN	MYH10_HUMAN	1.28
MY18A_HUMAN	ARP5L_HUMAN	1.6
MY18A_HUMAN	DCTN2_HUMAN	1.6
MY18A_HUMAN	CALM2_HUMAN	1.6
MY18A_HUMAN	LMO7_HUMAN	0.8
MY18A_HUMAN	CAPZB_HUMAN	0.8
MY18A_HUMAN	PP1B_HUMAN	3.68
MY18A_HUMAN	TWF1_HUMAN	1.6
MY18A_HUMAN	ANXA2_HUMAN	1.6
MY18A_HUMAN	DYST_HUMAN	0.8
MY18A_HUMAN	ARP3_HUMAN	1.6
MY18A_HUMAN	STAT3_HUMAN	0.6
CYBR1_HUMAN	CYBR1_HUMAN	4.0
CYBR1_HUMAN	LIMA1_HUMAN	1.6
CYBR1_HUMAN	MYH9_HUMAN	2.8800000000000003
CYBR1_HUMAN	TPM1_HUMAN	1.28
CYBR1_HUMAN	IQGA1_HUMAN	1.6
CYBR1_HUMAN	ARP2_HUMAN	1.6
CYBR1_HUMAN	DREB_HUMAN	1.6
CYBR1_HUMAN	COR1C_HUMAN	1.28
CYBR1_HUMAN	ACTB_HUMAN	1.28
CYBR1_HUMAN	FLNA_HUMAN	1.6
CYBR1_HUMAN	FLOT1_HUMAN	1.28
CYBR1_HUMAN	SYNPO_HUMAN	1.6
CYBR1_HUMAN	ZDHC5_HUMAN	0.8
CYBR1_HUMAN	MYH10_HUMAN	1.28
TRI37_HUMAN	TRI37_HUMAN	9.2
TRI37_HUMAN	CALM1_HUMAN	0.8
TRI37_HUMAN	TPM3_HUMAN	0.8
TRI37_HUMAN	MYO1E_HUMAN	0.8
TRI37_HUMAN	LIMA1_HUMAN	0.8
TRI37_HUMAN	MYH9_HUMAN	0.8
TRI37_HUMAN	GELS_HUMAN	0.8
TRI37_HUMAN	TPM1_HUMAN	0.8
TRI37_HUMAN	SPTB2_HUMAN	0.8
TRI37_HUMAN	MYO1B_HUMAN	0.8
TRI37_HUMAN	IQGA1_HUMAN	0.8
TRI37_HUMAN	FLII_HUMAN	0.8
TRI37_HUMAN	CAZA1_HUMAN	0.8
TRI37_HUMAN	ARPC4_HUMAN	0.8
TRI37_HUMAN	ARP2_HUMAN	0.8
TRI37_HUMAN	DREB_HUMAN	0.8
TRI37_HUMAN	MYO5A_HUMAN	0.8
TRI37_HUMAN	COR1C_HUMAN	0.8
TRI37_HUMAN	ACTB_HUMAN	0.8
TRI37_HUMAN	COF1_HUMAN	0.8
TRI37_HUMAN	CLH1_HUMAN	0.8
TRI37_HUMAN	CALM3_HUMAN	0.8
TRI37_HUMAN	ACTN4_HUMAN	0.8
TRI37_HUMAN	MYL6_HUMAN	0.8
TRI37_HUMAN	SPTN1_HUMAN	0.8
TRI37_HUMAN	1433Z_HUMAN	0.8
TRI37_HUMAN	DEST_HUMAN	0.8
TRI37_HUMAN	ENOA_HUMAN	0.8
TRI37_HUMAN	MYO5C_HUMAN	0.8
TRI37_HUMAN	MYL6B_HUMAN	0.8
TRI37_HUMAN	COR1B_HUMAN	0.8
TRI37_HUMAN	TPM2_HUMAN	0.8
TRI37_HUMAN	PLEC_HUMAN	0.8
TRI37_HUMAN	MYO6_HUMAN	0.8
TRI37_HUMAN	TPM4_HUMAN	0.8
TRI37_HUMAN	ARPC3_HUMAN	0.8
TRI37_HUMAN	MYO1C_HUMAN	0.8
TRI37_HUMAN	BASP1_HUMAN	0.8
TRI37_HUMAN	MYH10_HUMAN	0.8
TRI37_HUMAN	CALM2_HUMAN	0.8
TRI37_HUMAN	CAPZB_HUMAN	0.8
TRI37_HUMAN	ANXA2_HUMAN	0.8
TRI37_HUMAN	ARP3_HUMAN	0.8
FGF2_HUMAN	FGF2_HUMAN	2.0
FGF2_HUMAN	CTRO_HUMAN	0.8
FGF2_HUMAN	RASK_HUMAN	0.6
FGF2_HUMAN	PLCG1_HUMAN	0.6
FGF2_HUMAN	BCR_HUMAN	0.6
FGF2_HUMAN	PK3CA_HUMAN	0.6
FGF2_HUMAN	STAT3_HUMAN	0.6
CALM1_HUMAN	CALM1_HUMAN	191.2
CALM1_HUMAN	CTRO_HUMAN	0.8
CALM1_HUMAN	PP1A_HUMAN	0.6
CALM1_HUMAN	TPM3_HUMAN	0.8
CALM1_HUMAN	CAZA2_HUMAN	0.64
CALM1_HUMAN	LIMA1_HUMAN	1.44
CALM1_HUMAN	DDRGK_HUMAN	0.8
CALM1_HUMAN	MYH9_HUMAN	1.44
CALM1_HUMAN	STXB1_HUMAN	0.64
CALM1_HUMAN	SPTB2_HUMAN	0.64
CALM1_HUMAN	MYO1B_HUMAN	2.4000000000000004
CALM1_HUMAN	IQGA1_HUMAN	6.199999999999999
CALM1_HUMAN	RASK_HUMAN	5.3999999999999995
CALM1_HUMAN	RGS14_HUMAN	0.8
CALM1_HUMAN	QCR7_HUMAN	0.8
CALM1_HUMAN	DREB_HUMAN	0.8
CALM1_HUMAN	MYO5A_HUMAN	3.0
CALM1_HUMAN	COR1C_HUMAN	0.64
CALM1_HUMAN	GRB2_HUMAN	0.8
CALM1_HUMAN	1433B_HUMAN	0.8
CALM1_HUMAN	CALM3_HUMAN	3.5999999999999996
CALM1_HUMAN	SC6A4_HUMAN	0.8
CALM1_HUMAN	MYL6_HUMAN	0.8
CALM1_HUMAN	FLNA_HUMAN	0.8
CALM1_HUMAN	SPTN1_HUMAN	0.64
CALM1_HUMAN	1433Z_HUMAN	1.28
CALM1_HUMAN	CLCB_HUMAN	0.64
CALM1_HUMAN	ENOA_HUMAN	0.8
CALM1_HUMAN	ODO2_HUMAN	2.4000000000000004
CALM1_HUMAN	MYL6B_HUMAN	0.8
CALM1_HUMAN	PLEC_HUMAN	0.8
CALM1_HUMAN	MYO6_HUMAN	0.8
CALM1_HUMAN	MYO1C_HUMAN	5.24
CALM1_HUMAN	PK3CA_HUMAN	0.8
CALM1_HUMAN	BASP1_HUMAN	1.44
CALM1_HUMAN	MYH10_HUMAN	0.64
CALM1_HUMAN	ARP5L_HUMAN	0.64
CALM1_HUMAN	DCTN2_HUMAN	1.0
CALM1_HUMAN	CALM2_HUMAN	1.2
CALM1_HUMAN	LMO7_HUMAN	0.8
CALM1_HUMAN	CAPZB_HUMAN	0.64
CALM1_HUMAN	PP1B_HUMAN	2.04
CALM1_HUMAN	ANXA2_HUMAN	0.64
CALM1_HUMAN	DYST_HUMAN	0.8
CTRO_HUMAN	CTRO_HUMAN	1.6
CTRO_HUMAN	PP1A_HUMAN	0.8
CTRO_HUMAN	TPM3_HUMAN	0.8
CTRO_HUMAN	MYO1E_HUMAN	0.8
CTRO_HUMAN	CAZA2_HUMAN	0.8
CTRO_HUMAN	LIMA1_HUMAN	0.8
CTRO_HUMAN	WDR1_HUMAN	0.8
CTRO_HUMAN	MPRIP_HUMAN	0.8
CTRO_HUMAN	MYH9_HUMAN	1.4
CTRO_HUMAN	GELS_HUMAN	0.8
CTRO_HUMAN	COF2_HUMAN	0.8
CTRO_HUMAN	ZO2_HUMAN	0.8
CTRO_HUMAN	SPTB2_HUMAN	0.8
CTRO_HUMAN	MYO1B_HUMAN	0.8
CTRO_HUMAN	IQGA1_HUMAN	0.8
CTRO_HUMAN	CAZA1_HUMAN	0.8
CTRO_HUMAN	ARP2_HUMAN	0.8
CTRO_HUMAN	DREB_HUMAN	0.8
CTRO_HUMAN	PICAL_HUMAN	0.8
CTRO_HUMAN	MYPT1_HUMAN	0.8
CTRO_HUMAN	RL15_HUMAN	0.8
CTRO_HUMAN	COR1C_HUMAN	0.8
CTRO_HUMAN	ACTB_HUMAN	2.4000000000000004
CTRO_HUMAN	COF1_HUMAN	0.8
CTRO_HUMAN	CLH1_HUMAN	0.8
CTRO_HUMAN	INF2_HUMAN	0.8
CTRO_HUMAN	1433B_HUMAN	0.64
CTRO_HUMAN	CALM3_HUMAN	0.8
CTRO_HUMAN	ACTN4_HUMAN	0.8
CTRO_HUMAN	MYL6_HUMAN	1.4
CTRO_HUMAN	FLNA_HUMAN	0.8
CTRO_HUMAN	SPTN1_HUMAN	0.8
CTRO_HUMAN	CLCA_HUMAN	0.8
CTRO_HUMAN	ABLM1_HUMAN	0.8
CTRO_HUMAN	SPTN2_HUMAN	0.8
CTRO_HUMAN	RAGP1_HUMAN	0.8
CTRO_HUMAN	MYL6B_HUMAN	0.8
CTRO_HUMAN	COR1B_HUMAN	0.8
CTRO_HUMAN	FLOT1_HUMAN	0.8
CTRO_HUMAN	SYNPO_HUMAN	0.8
CTRO_HUMAN	CYTSB_HUMAN	0.8
