UniProtID	UniProtID	score
MYCB2_HUMAN	SRBS2_HUMAN	1.28
MYCB2_HUMAN	SRBS1_HUMAN	1.28
MYCB2_HUMAN	DLG2_HUMAN	1.28
MYCB2_HUMAN	SCRIB_HUMAN	1.28
MYCB2_HUMAN	LNX1_HUMAN	0.8
MYCB2_HUMAN	SPTN1_HUMAN	0.64
MYCB2_HUMAN	TRI25_HUMAN	0.8
MYCB2_HUMAN	DOCK5_HUMAN	1.6
MYCB2_HUMAN	DCTN1_HUMAN	1.28
MYCB2_HUMAN	LRRF1_HUMAN	1.28
MYCB2_HUMAN	MLP3A_HUMAN	0.8
MYCB2_HUMAN	TITIN_HUMAN	1.6
MYCB2_HUMAN	NEUL4_HUMAN	1.6
MYCB2_HUMAN	DP13A_HUMAN	1.6
MYCB2_HUMAN	TERA_HUMAN	0.8
MYCB2_HUMAN	TGON2_HUMAN	0.8
MYCB2_HUMAN	RIMS1_HUMAN	0.8
MYCB2_HUMAN	ARHGB_HUMAN	0.64
MYCB2_HUMAN	G3BP2_HUMAN	1.28
MYCB2_HUMAN	PCDA3_HUMAN	0.8
MYCB2_HUMAN	MYPT1_HUMAN	1.28
MYCB2_HUMAN	ECT2_HUMAN	0.8
MYCB2_HUMAN	ANK2_HUMAN	1.28
MYCB2_HUMAN	SMRC1_HUMAN	1.28
MYCB2_HUMAN	SMRC2_HUMAN	1.28
MYCB2_HUMAN	MAP4_HUMAN	0.8
MYCB2_HUMAN	TNIK_HUMAN	2.56
MYCB2_HUMAN	DDX3X_HUMAN	1.28
MYCB2_HUMAN	1433S_HUMAN	4.8
MYCB2_HUMAN	1433E_HUMAN	3.2
MYCB2_HUMAN	PP1G_HUMAN	0.8
MYCB2_HUMAN	HS90B_HUMAN	1.6
MYCB2_HUMAN	MBB1A_HUMAN	1.28
MYCB2_HUMAN	1433Z_HUMAN	6.079999999999999
MYCB2_HUMAN	HDAC2_HUMAN	1.28
MYCB2_HUMAN	ROBO2_HUMAN	1
MYCB2_HUMAN	HUNK_HUMAN	1.6
MYCB2_HUMAN	NMB_HUMAN	0.8
MYCB2_HUMAN	LMNB1_HUMAN	1.28
MYCB2_HUMAN	PCM1_HUMAN	1.28
MYCB2_HUMAN	STK3_HUMAN	1
MYCB2_HUMAN	H4_HUMAN	1.28
MYCB2_HUMAN	1433F_HUMAN	6.3999999999999995
