UniProtID	UniProtID	score
NDKA_HUMAN	DLG4_HUMAN	0.64
NDKA_HUMAN	DNM1L_HUMAN	1.6
NDKA_HUMAN	SYUA_HUMAN	0.64
NDKA_HUMAN	LNX1_HUMAN	3.2
NDKA_HUMAN	AP2B1_HUMAN	0.8
NDKA_HUMAN	DUX4_HUMAN	1.28
NDKA_HUMAN	MLP3A_HUMAN	0.8
NDKA_HUMAN	GBRL1_HUMAN	0.8
NDKA_HUMAN	DYN1_HUMAN	1
NDKA_HUMAN	DYN2_HUMAN	1
NDKA_HUMAN	TERA_HUMAN	0.8
NDKA_HUMAN	ATX3_HUMAN	0.8
NDKA_HUMAN	RAF1_HUMAN	0.8
NDKA_HUMAN	TGON2_HUMAN	0.8
NDKA_HUMAN	RIN3_HUMAN	1.6
NDKA_HUMAN	SMRD1_HUMAN	1.6
NDKA_HUMAN	F16P1_HUMAN	0.8
NDKA_HUMAN	BAG1_HUMAN	0.8
NDKA_HUMAN	HSP7C_HUMAN	2.4000000000000004
NDKA_HUMAN	DYL1_HUMAN	0.8
NDKA_HUMAN	TCPH_HUMAN	2.4000000000000004
NDKA_HUMAN	HS90B_HUMAN	1.6
NDKA_HUMAN	1433Z_HUMAN	2.4000000000000004
NDKA_HUMAN	ARAF_HUMAN	0.8
NDKA_HUMAN	RARA_HUMAN	0.64
NDKA_HUMAN	MK14_HUMAN	0.8
NDKA_HUMAN	HSPB1_HUMAN	2.4000000000000004
NDKA_HUMAN	BIP_HUMAN	2.4000000000000004
NDKA_HUMAN	1433T_HUMAN	2.4000000000000004
NDKA_HUMAN	BRCA1_HUMAN	0.8
NDKA_HUMAN	ITB1_HUMAN	2
NDKA_HUMAN	KSR1_HUMAN	5.6
NDKA_HUMAN	NDKB_HUMAN	10.640000000000002
NDKA_HUMAN	RANB9_HUMAN	0.8
NDKA_HUMAN	AKAP1_HUMAN	0.8
NDKA_HUMAN	TERF1_HUMAN	3
NDKA_HUMAN	PRUN1_HUMAN	4.64
NDKA_HUMAN	NDKA_HUMAN	385.20000000000107
NDKA_HUMAN	STRAP_HUMAN	11.64
NDKA_HUMAN	CCND3_HUMAN	1.6
NDKA_HUMAN	RPAC1_HUMAN	12.000000000000002
NDKA_HUMAN	MCF2_HUMAN	4
NDKA_HUMAN	UBP18_HUMAN	1.6
NDKA_HUMAN	ATPA_HUMAN	2.4000000000000004
NDKA_HUMAN	GAL3A_HUMAN	1.6
NDKA_HUMAN	SUCHY_HUMAN	1.6
NDKA_HUMAN	FMC1_HUMAN	1.6
NDKA_HUMAN	COQ6_HUMAN	2.4000000000000004
NDKA_HUMAN	LYRM2_HUMAN	1.6
NDKA_HUMAN	NDUA4_HUMAN	1.6
NDKA_HUMAN	NDUS3_HUMAN	1.6
NDKA_HUMAN	NDKM_HUMAN	12.000000000000002
NDKA_HUMAN	OPA3_HUMAN	1.6
NDKA_HUMAN	PTPM1_HUMAN	1.6
NDKA_HUMAN	PPA6_HUMAN	0.8
NDKA_HUMAN	NIT1_HUMAN	0.8
NDKA_HUMAN	XPP3_HUMAN	0.8
NDKA_HUMAN	FL2D_HUMAN	1.6
NDKA_HUMAN	LRRK2_HUMAN	2.4000000000000004
NDKA_HUMAN	RUVB1_HUMAN	1.6
NDKA_HUMAN	GID8_HUMAN	1.6
NDKA_HUMAN	PGAM5_HUMAN	2.4000000000000004
NDKA_HUMAN	RBP10_HUMAN	1.6
NDKA_HUMAN	TIF1B_HUMAN	1.6
NDKA_HUMAN	PRDX1_HUMAN	2.4000000000000004
NDKA_HUMAN	DSG1_HUMAN	1.6
NDKA_HUMAN	TCPB_HUMAN	2.4000000000000004
NDKA_HUMAN	SYRC_HUMAN	1.6
NDKA_HUMAN	TCPD_HUMAN	2.4000000000000004
NDKA_HUMAN	TCPQ_HUMAN	2.4000000000000004
NDKA_HUMAN	TCPG_HUMAN	2.4000000000000004
NDKA_HUMAN	FAS_HUMAN	2.4000000000000004
NDKA_HUMAN	TCPE_HUMAN	2.4000000000000004
NDKA_HUMAN	SYIC_HUMAN	1.6
NDKA_HUMAN	TCPZ_HUMAN	2.4000000000000004
NDKA_HUMAN	GRP75_HUMAN	2.4000000000000004
NDKA_HUMAN	PRDX6_HUMAN	2.4000000000000004
NDKA_HUMAN	PTN6_HUMAN	2.4000000000000004
NDKA_HUMAN	SYVC_HUMAN	1.6
NDKA_HUMAN	NDK8_HUMAN	1.6
NDKA_HUMAN	TCPA_HUMAN	2.4000000000000004
NDKA_HUMAN	DESP_HUMAN	1.6
NDKA_HUMAN	EF2_HUMAN	2.4000000000000004
NDKA_HUMAN	IMDH2_HUMAN	1.6
NDKA_HUMAN	CH60_HUMAN	2.4000000000000004
NDKA_HUMAN	TBB5_HUMAN	2.24
NDKA_HUMAN	H90B3_HUMAN	0.8
NDKA_HUMAN	S10A6_HUMAN	1.6
NDKA_HUMAN	HLAA_HUMAN	0.8
NDKA_HUMAN	SOAT1_HUMAN	1.6
NDKA_HUMAN	AATC_HUMAN	2.08
NDKA_HUMAN	KLF16_HUMAN	1.6
NDKA_HUMAN	TGM2_HUMAN	2
NDKA_HUMAN	CFTR_HUMAN	7.199999999999999
NDKA_HUMAN	NTAQ1_HUMAN	8.799999999999999
NDKA_HUMAN	NIF3L_HUMAN	2.4000000000000004
NDKA_HUMAN	FXR2_HUMAN	4.8
NDKA_HUMAN	SOX30_HUMAN	1.6
NDKA_HUMAN	TNPO2_HUMAN	3.2
NDKA_HUMAN	NDK3_HUMAN	8.84
NDKA_HUMAN	PCLI1_HUMAN	3.2
NDKA_HUMAN	SR1IP_HUMAN	3.2
NDKA_HUMAN	TNPO3_HUMAN	3.2
NDKA_HUMAN	NTF2_HUMAN	3.2
NDKA_HUMAN	GORS2_HUMAN	2.24
NDKA_HUMAN	FXR1_HUMAN	1.6
NDKA_HUMAN	KC1E_HUMAN	0.64
NDKA_HUMAN	CK068_HUMAN	0.64
NDKA_HUMAN	FOXP4_HUMAN	1.6
