UniProtID	UniProtID	score
NDRG1_HUMAN	LYN_HUMAN	0.8
NDRG1_HUMAN	RAC3_HUMAN	0.8
NDRG1_HUMAN	NDRG2_HUMAN	2.4000000000000004
NDRG1_HUMAN	PRAF1_HUMAN	1.8
NDRG1_HUMAN	CTNB1_HUMAN	4.8
NDRG1_HUMAN	LNX1_HUMAN	0.64
NDRG1_HUMAN	PABP1_HUMAN	1.6
NDRG1_HUMAN	TRI25_HUMAN	0.8
NDRG1_HUMAN	YAP1_HUMAN	0.8
NDRG1_HUMAN	CLH1_HUMAN	1.6
NDRG1_HUMAN	TS101_HUMAN	0.8
NDRG1_HUMAN	AP2M1_HUMAN	1.6
NDRG1_HUMAN	OPTN_HUMAN	0.8
NDRG1_HUMAN	TERA_HUMAN	2.4000000000000004
NDRG1_HUMAN	TGON2_HUMAN	1.6
NDRG1_HUMAN	SYDC_HUMAN	1.6
NDRG1_HUMAN	MED28_HUMAN	2.4000000000000004
NDRG1_HUMAN	MK01_HUMAN	0.64
NDRG1_HUMAN	RYBP_HUMAN	2.4000000000000004
NDRG1_HUMAN	CDK15_HUMAN	1.6
NDRG1_HUMAN	RS6_HUMAN	1.6
NDRG1_HUMAN	RAB4A_HUMAN	5
NDRG1_HUMAN	BIP_HUMAN	1.6
NDRG1_HUMAN	RB11A_HUMAN	1.6
NDRG1_HUMAN	1433F_HUMAN	4.8
NDRG1_HUMAN	RASH_HUMAN	1.6
NDRG1_HUMAN	KINH_HUMAN	1.6
NDRG1_HUMAN	HS90A_HUMAN	2.6
NDRG1_HUMAN	NUCL_HUMAN	1.6
NDRG1_HUMAN	APBB1_HUMAN	0.8
NDRG1_HUMAN	KCNK3_HUMAN	0.8
NDRG1_HUMAN	1433G_HUMAN	4.0
NDRG1_HUMAN	STX4_HUMAN	0.8
NDRG1_HUMAN	SC23A_HUMAN	1.6
NDRG1_HUMAN	CNTP2_HUMAN	0.64
NDRG1_HUMAN	RL4_HUMAN	1.6
NDRG1_HUMAN	EIF3E_HUMAN	1.6
NDRG1_HUMAN	DX39B_HUMAN	0.8
NDRG1_HUMAN	ANDR_HUMAN	0.8
NDRG1_HUMAN	RENT1_HUMAN	2.24
NDRG1_HUMAN	RS20_HUMAN	1.6
NDRG1_HUMAN	6PGD_HUMAN	0.8
NDRG1_HUMAN	RL24_HUMAN	1.6
NDRG1_HUMAN	LDHA_HUMAN	2.4000000000000004
NDRG1_HUMAN	GSK3B_HUMAN	2
NDRG1_HUMAN	STX6_HUMAN	0.8
NDRG1_HUMAN	RAB5A_HUMAN	2.4000000000000004
NDRG1_HUMAN	KCMA1_HUMAN	1.28
NDRG1_HUMAN	XRCC6_HUMAN	3.2
NDRG1_HUMAN	EF1G_HUMAN	1.6
NDRG1_HUMAN	FAS_HUMAN	2.24
NDRG1_HUMAN	KPYM_HUMAN	1.6
NDRG1_HUMAN	CALX_HUMAN	3.8400000000000003
NDRG1_HUMAN	MUC18_HUMAN	0.8
NDRG1_HUMAN	ACTG_HUMAN	1.6
NDRG1_HUMAN	GOGA2_HUMAN	0.8
NDRG1_HUMAN	ARF6_HUMAN	0.8
NDRG1_HUMAN	DDX5_HUMAN	1.6
NDRG1_HUMAN	HIP1R_HUMAN	0.8
NDRG1_HUMAN	DNJB6_HUMAN	0.8
NDRG1_HUMAN	G6PD_HUMAN	0.8
NDRG1_HUMAN	EZRI_HUMAN	1.6
NDRG1_HUMAN	RASN_HUMAN	1.6
NDRG1_HUMAN	HNRPL_HUMAN	0.8
NDRG1_HUMAN	APOA1_HUMAN	2.8
NDRG1_HUMAN	OCLN_HUMAN	0.8
NDRG1_HUMAN	BACH_HUMAN	0.8
NDRG1_HUMAN	PRS6A_HUMAN	1.6
NDRG1_HUMAN	S100B_HUMAN	1
NDRG1_HUMAN	AT1A1_HUMAN	2.4000000000000004
NDRG1_HUMAN	RASK_HUMAN	2.4000000000000004
NDRG1_HUMAN	PRKN_HUMAN	1.6
NDRG1_HUMAN	EF2_HUMAN	1.6
NDRG1_HUMAN	MYOME_HUMAN	1.6
NDRG1_HUMAN	NAMPT_HUMAN	1.44
NDRG1_HUMAN	ZFPL1_HUMAN	0.8
NDRG1_HUMAN	DC1I2_HUMAN	0.8
NDRG1_HUMAN	IGBP1_HUMAN	0.8
NDRG1_HUMAN	UBP14_HUMAN	0.8
NDRG1_HUMAN	CUTA_HUMAN	0.64
NDRG1_HUMAN	SSR3_HUMAN	0.64
NDRG1_HUMAN	UBE2H_HUMAN	0.8
NDRG1_HUMAN	RHOB_HUMAN	1.6
