UniProtID	UniProtID	score
NDUBA_HUMAN	LRC59_HUMAN	0.8
NDUBA_HUMAN	NEGR1_HUMAN	0.64
NDUBA_HUMAN	MYPR_HUMAN	0.64
NDUBA_HUMAN	CNTN1_HUMAN	0.64
NDUBA_HUMAN	NDUS1_HUMAN	3.6400000000000006
NDUBA_HUMAN	SUCB1_HUMAN	0.64
NDUBA_HUMAN	TPM3_HUMAN	0.8
NDUBA_HUMAN	CX6B1_HUMAN	0.64
NDUBA_HUMAN	SYUA_HUMAN	1.28
NDUBA_HUMAN	VDAC1_HUMAN	0.8
NDUBA_HUMAN	COX5B_HUMAN	0.6
NDUBA_HUMAN	COX5A_HUMAN	2.04
NDUBA_HUMAN	NDUA7_HUMAN	2.04
NDUBA_HUMAN	CISD1_HUMAN	0.64
NDUBA_HUMAN	ALDOC_HUMAN	0.64
NDUBA_HUMAN	NDUS6_HUMAN	3.6400000000000006
NDUBA_HUMAN	NDUS7_HUMAN	2.04
NDUBA_HUMAN	ATD3A_HUMAN	0.8
NDUBA_HUMAN	TPM1_HUMAN	0.8
NDUBA_HUMAN	GPM6A_HUMAN	0.64
NDUBA_HUMAN	NDUA5_HUMAN	2.04
NDUBA_HUMAN	NDUAC_HUMAN	3.0000000000000004
NDUBA_HUMAN	SYT2_HUMAN	0.64
NDUBA_HUMAN	MTCH2_HUMAN	0.8
NDUBA_HUMAN	DNJA3_HUMAN	0.8
NDUBA_HUMAN	COX41_HUMAN	2.04
NDUBA_HUMAN	MIC26_HUMAN	0.8
NDUBA_HUMAN	QCR7_HUMAN	0.6
NDUBA_HUMAN	COX6C_HUMAN	2.04
NDUBA_HUMAN	PHB_HUMAN	0.8
NDUBA_HUMAN	SYPH_HUMAN	0.64
NDUBA_HUMAN	NDUB4_HUMAN	3.24
NDUBA_HUMAN	NDUA8_HUMAN	2.04
NDUBA_HUMAN	NDUA2_HUMAN	3.6400000000000006
NDUBA_HUMAN	MDHM_HUMAN	0.64
NDUBA_HUMAN	HGS_HUMAN	3.2
NDUBA_HUMAN	SNP25_HUMAN	0.64
NDUBA_HUMAN	NDUB9_HUMAN	2.2
NDUBA_HUMAN	MDHC_HUMAN	0.64
NDUBA_HUMAN	HD_HUMAN	10.4
NDUBA_HUMAN	DLDH_HUMAN	0.64
NDUBA_HUMAN	ODPB_HUMAN	1.44
NDUBA_HUMAN	ACTB_HUMAN	0.8
NDUBA_HUMAN	NDUAA_HUMAN	1.24
NDUBA_HUMAN	AIFM1_HUMAN	3.2
NDUBA_HUMAN	NDUB6_HUMAN	3.24
NDUBA_HUMAN	CMC1_HUMAN	0.8
NDUBA_HUMAN	SUCA_HUMAN	0.64
NDUBA_HUMAN	PARK7_HUMAN	0.64
NDUBA_HUMAN	FKBP8_HUMAN	0.8
NDUBA_HUMAN	SFXN1_HUMAN	0.8
NDUBA_HUMAN	TIP_HUMAN	0.8
NDUBA_HUMAN	QCR1_HUMAN	1.24
NDUBA_HUMAN	NDUV1_HUMAN	2.04
NDUBA_HUMAN	NPTN_HUMAN	0.64
NDUBA_HUMAN	NDUS3_HUMAN	6.839999999999999
NDUBA_HUMAN	MPCP_HUMAN	0.8
NDUBA_HUMAN	ODO2_HUMAN	0.64
NDUBA_HUMAN	PGK1_HUMAN	0.64
NDUBA_HUMAN	COR1B_HUMAN	0.8
NDUBA_HUMAN	TPM2_HUMAN	0.8
NDUBA_HUMAN	IDH3A_HUMAN	0.64
NDUBA_HUMAN	EFTU_HUMAN	0.8
NDUBA_HUMAN	NU2M_HUMAN	0.6
NDUBA_HUMAN	HCDH_HUMAN	0.64
NDUBA_HUMAN	SODM_HUMAN	0.64
NDUBA_HUMAN	GNAO_HUMAN	0.64
NDUBA_HUMAN	NDUB7_HUMAN	4.84
NDUBA_HUMAN	PHB2_HUMAN	0.8
NDUBA_HUMAN	NDUA4_HUMAN	5.239999999999999
NDUBA_HUMAN	TSC1_HUMAN	0.8
NDUBA_HUMAN	RENT1_HUMAN	1.44
NDUBA_HUMAN	TPM4_HUMAN	0.8
NDUBA_HUMAN	QCR2_HUMAN	2.04
NDUBA_HUMAN	NDUB8_HUMAN	2.6
NDUBA_HUMAN	CY1_HUMAN	2.8400000000000003
NDUBA_HUMAN	NIPS1_HUMAN	0.8
NDUBA_HUMAN	VATB2_HUMAN	0.8
NDUBA_HUMAN	NDUS2_HUMAN	1.24
NDUBA_HUMAN	UCRI_HUMAN	1.24
NDUBA_HUMAN	CALX_HUMAN	0.8
NDUBA_HUMAN	CISY_HUMAN	0.64
NDUBA_HUMAN	TRPV1_HUMAN	0.64
NDUBA_HUMAN	NDUAD_HUMAN	0.6
NDUBA_HUMAN	MCCB_HUMAN	0.8
NDUBA_HUMAN	NDUA9_HUMAN	3.6400000000000006
NDUBA_HUMAN	NDUV2_HUMAN	2.04
NDUBA_HUMAN	CYC_HUMAN	0.64
NDUBA_HUMAN	SC6A1_HUMAN	0.64
NDUBA_HUMAN	ACON_HUMAN	0.64
NDUBA_HUMAN	ODP2_HUMAN	0.64
NDUBA_HUMAN	ECHB_HUMAN	0.8
NDUBA_HUMAN	5HT2A_HUMAN	0.8
LRC59_HUMAN	LRC59_HUMAN	3.2
LRC59_HUMAN	NDUS1_HUMAN	0.8
LRC59_HUMAN	CX6B1_HUMAN	0.8
LRC59_HUMAN	NDUS7_HUMAN	0.8
LRC59_HUMAN	PHB_HUMAN	1.6
LRC59_HUMAN	NDUA8_HUMAN	0.8
LRC59_HUMAN	NDUA2_HUMAN	0.8
LRC59_HUMAN	ODPB_HUMAN	0.8
LRC59_HUMAN	PARK7_HUMAN	0.64
LRC59_HUMAN	FKBP8_HUMAN	1.6
LRC59_HUMAN	SFXN1_HUMAN	0.8
LRC59_HUMAN	TIP_HUMAN	0.8
LRC59_HUMAN	QCR1_HUMAN	0.8
LRC59_HUMAN	NDUV1_HUMAN	0.8
LRC59_HUMAN	NDUS3_HUMAN	0.8
LRC59_HUMAN	COR1B_HUMAN	0.8
LRC59_HUMAN	EFTU_HUMAN	0.8
LRC59_HUMAN	PHB2_HUMAN	0.8
LRC59_HUMAN	RENT1_HUMAN	0.8
LRC59_HUMAN	QCR2_HUMAN	0.8
LRC59_HUMAN	CY1_HUMAN	0.8
LRC59_HUMAN	NIPS1_HUMAN	0.8
LRC59_HUMAN	CALX_HUMAN	5.6
