UniProtID	UniProtID	score
NECA2_HUMAN	SDCB1_HUMAN	1.6
NECA2_HUMAN	SMCA2_HUMAN	1.6
NECA2_HUMAN	LNX1_HUMAN	4.8
NECA2_HUMAN	DTBP1_HUMAN	0.8
NECA2_HUMAN	UBP7_HUMAN	1.6
NECA2_HUMAN	CDC37_HUMAN	0.8
NECA2_HUMAN	MED14_HUMAN	0.8
NECA2_HUMAN	SMRD1_HUMAN	0.8
NECA2_HUMAN	IF4E2_HUMAN	0.8
NECA2_HUMAN	INADL_HUMAN	0.8
NECA2_HUMAN	PCM1_HUMAN	3.2
NECA2_HUMAN	DAXX_HUMAN	1.6
NECA2_HUMAN	PICK1_HUMAN	0.8
NECA2_HUMAN	IMA1_HUMAN	1.6
NECA2_HUMAN	SNAPN_HUMAN	0.8
NECA2_HUMAN	MS18B_HUMAN	0.8
NECA2_HUMAN	INT10_HUMAN	0.8
NECA2_HUMAN	GOGA2_HUMAN	0.8
NECA2_HUMAN	GOGA4_HUMAN	0.8
NECA2_HUMAN	FMR1_HUMAN	1.6
NECA2_HUMAN	GRM5_HUMAN	4.8
NECA2_HUMAN	PRIO_HUMAN	2.4000000000000004
NECA2_HUMAN	AA2AR_HUMAN	11.4
NECA2_HUMAN	RPB3_HUMAN	1.6
NECA2_HUMAN	ISCU_HUMAN	3.0400000000000005
NECA2_HUMAN	USBP1_HUMAN	2.4000000000000004
NECA2_HUMAN	CC121_HUMAN	1.6
NECA2_HUMAN	ATL2_HUMAN	0.8
NECA2_HUMAN	ZY11B_HUMAN	2.4000000000000004
NECA2_HUMAN	NECA1_HUMAN	3.2
NECA2_HUMAN	ECHP_HUMAN	1.6
NECA2_HUMAN	SH24A_HUMAN	2.4000000000000004
NECA2_HUMAN	NEK6_HUMAN	3.2
NECA2_HUMAN	FXR1_HUMAN	1.6
NECA2_HUMAN	FXR2_HUMAN	2.4000000000000004
NECA2_HUMAN	TSC1_HUMAN	1.6
NECA2_HUMAN	CCNK_HUMAN	0.8
NECA2_HUMAN	DFFA_HUMAN	1.44
NECA2_HUMAN	PSA1_HUMAN	0.8
NECA2_HUMAN	CENPO_HUMAN	2.24
NECA2_HUMAN	NTAQ1_HUMAN	3.8400000000000003
NECA2_HUMAN	VTA1_HUMAN	0.8
NECA2_HUMAN	DGC6L_HUMAN	1.6
NECA2_HUMAN	TEX11_HUMAN	1.6
NECA2_HUMAN	GTPBA_HUMAN	0.8
NECA2_HUMAN	NECA2_HUMAN	7.999999999999999
NECA2_HUMAN	RCOR3_HUMAN	2.4000000000000004
NECA2_HUMAN	KANL1_HUMAN	1.6
NECA2_HUMAN	MTG8_HUMAN	2.4000000000000004
NECA2_HUMAN	CAN3_HUMAN	0.8
NECA2_HUMAN	CCD33_HUMAN	0.8
NECA2_HUMAN	NOC4L_HUMAN	0.8
NECA2_HUMAN	KDM1A_HUMAN	1.6
NECA2_HUMAN	DGCR6_HUMAN	0.8
NECA2_HUMAN	INPP_HUMAN	1.44
NECA2_HUMAN	BYST_HUMAN	1.6
NECA2_HUMAN	KIFC3_HUMAN	1.6
NECA2_HUMAN	AAPK2_HUMAN	0.8
NECA2_HUMAN	TTHY_HUMAN	1.44
NECA2_HUMAN	AIMP2_HUMAN	0.8
NECA2_HUMAN	RT27_HUMAN	1.44
NECA2_HUMAN	BEX3_HUMAN	1.6
NECA2_HUMAN	NIP7_HUMAN	0.8
NECA2_HUMAN	AIRIM_HUMAN	1.6
NECA2_HUMAN	CC146_HUMAN	1.6
NECA2_HUMAN	RIC8A_HUMAN	1.44
NECA2_HUMAN	CARD9_HUMAN	0.8
NECA2_HUMAN	LENG1_HUMAN	0.8
NECA2_HUMAN	GCC1_HUMAN	0.8
NECA2_HUMAN	ODAD4_HUMAN	0.8
NECA2_HUMAN	F161A_HUMAN	0.8
NECA2_HUMAN	BEX2_HUMAN	0.8
NECA2_HUMAN	KLC4_HUMAN	1.6
NECA2_HUMAN	HAUS1_HUMAN	0.8
NECA2_HUMAN	ODAD3_HUMAN	0.8
NECA2_HUMAN	KLC3_HUMAN	0.8
NECA2_HUMAN	CC153_HUMAN	0.8
NECA2_HUMAN	SRCRL_HUMAN	1.6
NECA2_HUMAN	CPEB2_HUMAN	0.8
NECA2_HUMAN	FANCG_HUMAN	0.8
NECA2_HUMAN	EAF2_HUMAN	0.8
NECA2_HUMAN	EMIL1_HUMAN	0.8
NECA2_HUMAN	DC1I2_HUMAN	0.8
NECA2_HUMAN	MTMR9_HUMAN	0.8
NECA2_HUMAN	CS025_HUMAN	0.8
NECA2_HUMAN	CA216_HUMAN	0.8
NECA2_HUMAN	MTCL2_HUMAN	0.8
NECA2_HUMAN	MSGN1_HUMAN	0.8
NECA2_HUMAN	F161B_HUMAN	0.8
NECA2_HUMAN	PUS10_HUMAN	0.8
NECA2_HUMAN	CAGE1_HUMAN	0.8
NECA2_HUMAN	PRP18_HUMAN	0.8
NECA2_HUMAN	TCEA2_HUMAN	0.8
NECA2_HUMAN	MYPOP_HUMAN	0.8
NECA2_HUMAN	TRIMM_HUMAN	0.8
NECA2_HUMAN	KANK2_HUMAN	0.8
NECA2_HUMAN	ZN655_HUMAN	0.8
NECA2_HUMAN	TRI59_HUMAN	0.8
NECA2_HUMAN	NECA3_HUMAN	1.6
NECA2_HUMAN	ACBD5_HUMAN	1.6
NECA2_HUMAN	DCA10_HUMAN	1.6
NECA2_HUMAN	DX39A_HUMAN	0.8
