UniProtID	UniProtID	score
NED4L_HUMAN	DLG3_HUMAN	0.8
NED4L_HUMAN	DLG4_HUMAN	0.64
NED4L_HUMAN	ABL1_HUMAN	0.8
NED4L_HUMAN	SYUA_HUMAN	2.6
NED4L_HUMAN	CTNB1_HUMAN	1
NED4L_HUMAN	EREP3_HUMAN	2.4000000000000004
NED4L_HUMAN	SCN5A_HUMAN	3
NED4L_HUMAN	MARH3_HUMAN	0.8
NED4L_HUMAN	WNK1_HUMAN	4.8
NED4L_HUMAN	ACK1_HUMAN	4.8
NED4L_HUMAN	TRI25_HUMAN	0.8
NED4L_HUMAN	NEDD4_HUMAN	0.8
NED4L_HUMAN	LRAD4_HUMAN	2.4000000000000004
NED4L_HUMAN	KLF5_HUMAN	0.8
NED4L_HUMAN	EREP1_HUMAN	3.2
NED4L_HUMAN	TM252_HUMAN	0.8
NED4L_HUMAN	M4A10_HUMAN	0.8
NED4L_HUMAN	TMG4_HUMAN	3.2
NED4L_HUMAN	RNF11_HUMAN	2.4000000000000004
NED4L_HUMAN	XIRP2_HUMAN	0.8
NED4L_HUMAN	UBP7_HUMAN	2
NED4L_HUMAN	MLP3A_HUMAN	1.6
NED4L_HUMAN	SP1_HUMAN	3
NED4L_HUMAN	MED28_HUMAN	1.6
NED4L_HUMAN	SMAD2_HUMAN	4.4
NED4L_HUMAN	LAPM5_HUMAN	2.4000000000000004
NED4L_HUMAN	ARRD3_HUMAN	6.799999999999999
NED4L_HUMAN	AMOT_HUMAN	13.2
NED4L_HUMAN	FXL15_HUMAN	1.6
NED4L_HUMAN	TOLIP_HUMAN	1.6
NED4L_HUMAN	ARRD4_HUMAN	1.6
NED4L_HUMAN	1433G_HUMAN	24.4
NED4L_HUMAN	1433F_HUMAN	13.8
NED4L_HUMAN	SCNNB_HUMAN	9.399999999999999
NED4L_HUMAN	SGK1_HUMAN	6.8
NED4L_HUMAN	RAF1_HUMAN	4.8
NED4L_HUMAN	1433E_HUMAN	9.0
NED4L_HUMAN	1433B_HUMAN	6.0
NED4L_HUMAN	1433T_HUMAN	6.0
