UniProtID	UniProtID	score
NETO1_HUMAN	NMDE1_HUMAN	5.0
NETO1_HUMAN	BAG3_HUMAN	0.8
NETO1_HUMAN	DLG2_HUMAN	0.8
NETO1_HUMAN	NMDZ1_HUMAN	5.48
NETO1_HUMAN	DLG4_HUMAN	7.3599999999999985
NETO1_HUMAN	A4_HUMAN	1.0
NETO1_HUMAN	DLG3_HUMAN	0.8
NETO1_HUMAN	NMDE2_HUMAN	3.56
NMDE1_HUMAN	NMDE1_HUMAN	57.19999999999999
NMDE1_HUMAN	DLG2_HUMAN	3.64
NMDE1_HUMAN	NMDZ1_HUMAN	163.51999999999973
NMDE1_HUMAN	DLG4_HUMAN	53.03999999999997
NMDE1_HUMAN	A4_HUMAN	3.0
NMDE1_HUMAN	DLG3_HUMAN	8.84
NMDE1_HUMAN	NMDE2_HUMAN	14.440000000000001
BAG3_HUMAN	BAG3_HUMAN	3.2
BAG3_HUMAN	DLG3_HUMAN	0.8
DLG2_HUMAN	DLG2_HUMAN	11.6
DLG2_HUMAN	NMDZ1_HUMAN	5.08
DLG2_HUMAN	DLG4_HUMAN	6.92
DLG2_HUMAN	DLG3_HUMAN	1.24
DLG2_HUMAN	NMDE2_HUMAN	7.199999999999999
NMDZ1_HUMAN	NMDZ1_HUMAN	53.359999999999985
NMDZ1_HUMAN	DLG4_HUMAN	27.880000000000013
NMDZ1_HUMAN	A4_HUMAN	6.4
NMDZ1_HUMAN	DLG3_HUMAN	7.479999999999999
NMDZ1_HUMAN	NMDE2_HUMAN	93.63999999999982
DLG4_HUMAN	DLG4_HUMAN	91.68000000000002
DLG4_HUMAN	A4_HUMAN	5.2
DLG4_HUMAN	DLG3_HUMAN	10.28
DLG4_HUMAN	NMDE2_HUMAN	54.399999999999984
A4_HUMAN	A4_HUMAN	2360.8
A4_HUMAN	NMDE2_HUMAN	3.0
DLG3_HUMAN	DLG3_HUMAN	9.6
DLG3_HUMAN	NMDE2_HUMAN	19.920000000000005
NMDE2_HUMAN	NMDE2_HUMAN	44.56
