UniProtID	UniProtID	score
NF1_HUMAN	SH3R3_HUMAN	1.6
NF1_HUMAN	SPD2A_HUMAN	1.6
NF1_HUMAN	LYN_HUMAN	0.8
NF1_HUMAN	SRGP2_HUMAN	1.6
NF1_HUMAN	RAC3_HUMAN	0.8
NF1_HUMAN	RPR1B_HUMAN	0.8
NF1_HUMAN	NMDE2_HUMAN	0.64
NF1_HUMAN	LCK_HUMAN	2.4000000000000004
NF1_HUMAN	CSKP_HUMAN	1.6
NF1_HUMAN	F110B_HUMAN	1.6
NF1_HUMAN	CNKR2_HUMAN	0.8
NF1_HUMAN	FAF2_HUMAN	5.2
NF1_HUMAN	DCTN1_HUMAN	0.8
NF1_HUMAN	SUMO1_HUMAN	1
NF1_HUMAN	ATG9A_HUMAN	0.8
NF1_HUMAN	TERA_HUMAN	4.6
NF1_HUMAN	MAGI1_HUMAN	1.6
NF1_HUMAN	RAF1_HUMAN	0.8
NF1_HUMAN	TGON2_HUMAN	1.6
NF1_HUMAN	SHAN3_HUMAN	1.28
NF1_HUMAN	KI67_HUMAN	1.6
NF1_HUMAN	EFS_HUMAN	1.6
NF1_HUMAN	A4_HUMAN	4
NF1_HUMAN	1433S_HUMAN	0.8
NF1_HUMAN	MK03_HUMAN	1.28
NF1_HUMAN	1433E_HUMAN	3.84
NF1_HUMAN	1433Z_HUMAN	3.6799999999999997
NF1_HUMAN	EFNB2_HUMAN	0.8
NF1_HUMAN	IF4E2_HUMAN	1.6
NF1_HUMAN	PRC1_HUMAN	0.8
NF1_HUMAN	UBP21_HUMAN	1.6
NF1_HUMAN	EZH2_HUMAN	0.8
NF1_HUMAN	GAB2_HUMAN	1.6
NF1_HUMAN	1433F_HUMAN	7.6
NF1_HUMAN	1433T_HUMAN	1.6
NF1_HUMAN	RASH_HUMAN	5.3999999999999995
NF1_HUMAN	BRCA1_HUMAN	0.8
NF1_HUMAN	1433B_HUMAN	5.6
NF1_HUMAN	KSR1_HUMAN	1.6
