UniProtID	UniProtID	score
NRX2A_HUMAN	MAGI2_HUMAN	0.64
NRX2A_HUMAN	DLGP3_HUMAN	0.6
NRX2A_HUMAN	LRRT2_HUMAN	1.4
NRX2A_HUMAN	GRM1_HUMAN	0.6
NRX2A_HUMAN	UBC_HUMAN	0.64
NRX2A_HUMAN	CSKI1_HUMAN	1.28
NRX2A_HUMAN	LIN7C_HUMAN	0.6
NRX2A_HUMAN	SHAN2_HUMAN	0.6
NRX2A_HUMAN	GRM5_HUMAN	0.6
NRX2A_HUMAN	LRRT4_HUMAN	0.6
NRX2A_HUMAN	LIN7A_HUMAN	0.6
NRX2A_HUMAN	DLG2_HUMAN	0.6
NRX2A_HUMAN	STX1A_HUMAN	0.6
NRX2A_HUMAN	PTPRT_HUMAN	1.28
NRX2A_HUMAN	DLG4_HUMAN	0.64
NRX2A_HUMAN	NLGNX_HUMAN	0.6
NRX2A_HUMAN	NLGN1_HUMAN	1.6
NRX2A_HUMAN	DLG3_HUMAN	0.6
NRX2A_HUMAN	HOME3_HUMAN	0.6
NRX2A_HUMAN	CSKP_HUMAN	1.44
NRX2A_HUMAN	HOME2_HUMAN	0.6
NRX2A_HUMAN	E41L1_HUMAN	0.6
NRX2A_HUMAN	E41L3_HUMAN	0.6
NRX2A_HUMAN	DBNL_HUMAN	0.6
NRX2A_HUMAN	NLGN3_HUMAN	0.6
NRX2A_HUMAN	SYT7_HUMAN	0.6
NRX2A_HUMAN	LIN7B_HUMAN	0.6
NRX2A_HUMAN	NRX3A_HUMAN	0.6
NRX2A_HUMAN	SYT1_HUMAN	0.6
NRX2A_HUMAN	NLGN2_HUMAN	2.24
NRX2A_HUMAN	EPB41_HUMAN	0.6
NRX2A_HUMAN	NRX1A_HUMAN	0.6
NRX2A_HUMAN	STXB1_HUMAN	0.6
NRX2A_HUMAN	LRRT3_HUMAN	0.6
NRX2A_HUMAN	MACF1_HUMAN	0.8
NRX2A_HUMAN	E41L2_HUMAN	0.6
NRX2A_HUMAN	DLGP4_HUMAN	0.6
NRX2A_HUMAN	DLGP1_HUMAN	0.6
NRX2A_HUMAN	LRRT1_HUMAN	0.6
NRX2A_HUMAN	SYT2_HUMAN	0.6
NRX2A_HUMAN	SHAN1_HUMAN	0.6
NRX2A_HUMAN	DLGP2_HUMAN	0.6
NRX2A_HUMAN	HOME1_HUMAN	0.6
MAGI2_HUMAN	MAGI2_HUMAN	3.2
MAGI2_HUMAN	DLGP3_HUMAN	1.6
MAGI2_HUMAN	UBC_HUMAN	0.64
MAGI2_HUMAN	GRM5_HUMAN	0.8
MAGI2_HUMAN	PTPRT_HUMAN	0.64
MAGI2_HUMAN	DLG4_HUMAN	1.6
MAGI2_HUMAN	NLGN1_HUMAN	8.639999999999999
MAGI2_HUMAN	NLGN2_HUMAN	12.480000000000002
MAGI2_HUMAN	DLGP4_HUMAN	0.8
MAGI2_HUMAN	DLGP1_HUMAN	3.2
MAGI2_HUMAN	DLGP2_HUMAN	1.6
DLGP3_HUMAN	GRM1_HUMAN	0.6
DLGP3_HUMAN	SHAN2_HUMAN	1.6
DLGP3_HUMAN	GRM5_HUMAN	0.6
DLGP3_HUMAN	DLG2_HUMAN	3.8000000000000003
DLGP3_HUMAN	DLG4_HUMAN	5.64
DLGP3_HUMAN	NLGNX_HUMAN	0.6
DLGP3_HUMAN	NLGN1_HUMAN	0.6
DLGP3_HUMAN	DLG3_HUMAN	1.24
DLGP3_HUMAN	HOME3_HUMAN	0.6
DLGP3_HUMAN	HOME2_HUMAN	0.6
DLGP3_HUMAN	DBNL_HUMAN	0.6
DLGP3_HUMAN	NLGN3_HUMAN	0.6
DLGP3_HUMAN	NRX3A_HUMAN	0.6
DLGP3_HUMAN	NLGN2_HUMAN	0.6
DLGP3_HUMAN	NRX1A_HUMAN	0.6
DLGP3_HUMAN	DLGP4_HUMAN	0.6
DLGP3_HUMAN	DLGP1_HUMAN	2.52
DLGP3_HUMAN	SHAN1_HUMAN	0.6
DLGP3_HUMAN	DLGP2_HUMAN	0.6
DLGP3_HUMAN	HOME1_HUMAN	0.6
LRRT2_HUMAN	LRRT2_HUMAN	8.0
LRRT2_HUMAN	NRX3A_HUMAN	1.4
LRRT2_HUMAN	SYT1_HUMAN	0.8
LRRT2_HUMAN	NRX1A_HUMAN	1.4
GRM1_HUMAN	GRM1_HUMAN	23.200000000000006
GRM1_HUMAN	UBC_HUMAN	0.8
GRM1_HUMAN	SHAN2_HUMAN	0.6
GRM1_HUMAN	GRM5_HUMAN	1.24
GRM1_HUMAN	DLG2_HUMAN	0.6
GRM1_HUMAN	DLG4_HUMAN	0.8
GRM1_HUMAN	NLGNX_HUMAN	0.6
GRM1_HUMAN	NLGN1_HUMAN	0.6
GRM1_HUMAN	DLG3_HUMAN	0.6
GRM1_HUMAN	HOME3_HUMAN	2.8400000000000003
GRM1_HUMAN	HOME2_HUMAN	2.8400000000000003
GRM1_HUMAN	NLGN3_HUMAN	0.6
GRM1_HUMAN	NRX3A_HUMAN	0.6
GRM1_HUMAN	NLGN2_HUMAN	0.6
GRM1_HUMAN	NRX1A_HUMAN	0.6
GRM1_HUMAN	E41L2_HUMAN	2.0
GRM1_HUMAN	DLGP4_HUMAN	0.6
GRM1_HUMAN	DLGP1_HUMAN	0.6
GRM1_HUMAN	SHAN1_HUMAN	0.6
GRM1_HUMAN	DLGP2_HUMAN	0.6
GRM1_HUMAN	HOME1_HUMAN	8.159999999999998
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	LIN7A_HUMAN	0.64
UBC_HUMAN	DLG2_HUMAN	0.64
UBC_HUMAN	STX1A_HUMAN	0.64
UBC_HUMAN	DLG4_HUMAN	1.44
UBC_HUMAN	DLG3_HUMAN	0.64
UBC_HUMAN	CSKP_HUMAN	0.64
UBC_HUMAN	SYT1_HUMAN	1.24
UBC_HUMAN	NLGN2_HUMAN	0.64
UBC_HUMAN	STXB1_HUMAN	0.64
UBC_HUMAN	MACF1_HUMAN	0.8
