UniProtID	UniProtID	score
NTRK3_HUMAN	CD5R1_HUMAN	0.64
NTRK3_HUMAN	CRKL_HUMAN	0.6
NTRK3_HUMAN	SRC_HUMAN	0.6
NTRK3_HUMAN	ERBB2_HUMAN	0.8
NTRK3_HUMAN	CDK5_HUMAN	1.44
NTRK3_HUMAN	CRK_HUMAN	0.6
NTRK3_HUMAN	IRS1_HUMAN	0.6
NTRK3_HUMAN	TBC24_HUMAN	0.8
NTRK3_HUMAN	PTPRS_HUMAN	2.6
NTRK3_HUMAN	GBB4_HUMAN	0.8
NTRK3_HUMAN	HS90B_HUMAN	0.8
NTRK3_HUMAN	PLCG1_HUMAN	2.2
NTRK3_HUMAN	ABL1_HUMAN	0.6
NTRK3_HUMAN	TNR16_HUMAN	2.2
NTRK3_HUMAN	RASH_HUMAN	1.4
NTRK3_HUMAN	RASN_HUMAN	0.6
NTRK3_HUMAN	EFR3A_HUMAN	0.8
NTRK3_HUMAN	MTOR_HUMAN	0.8
NTRK3_HUMAN	SHC1_HUMAN	2.2
NTRK3_HUMAN	PK3CA_HUMAN	0.6
NTRK3_HUMAN	TIAM1_HUMAN	0.6
NTRK3_HUMAN	GRB2_HUMAN	0.6
NTRK3_HUMAN	A4_HUMAN	1.6
NTRK3_HUMAN	PTN11_HUMAN	0.6
NTRK3_HUMAN	PTPRO_HUMAN	0.6
NTRK3_HUMAN	SHC4_HUMAN	0.6
NTRK3_HUMAN	SYGP1_HUMAN	0.64
NTRK3_HUMAN	GBB2_HUMAN	0.8
NTRK3_HUMAN	EHD4_HUMAN	1.4
NTRK3_HUMAN	HS90A_HUMAN	0.8
NTRK3_HUMAN	RASK_HUMAN	0.6
NTRK3_HUMAN	STAT3_HUMAN	0.6
NTRK3_HUMAN	NTRK3_HUMAN	6.0
NTRK3_HUMAN	5HT2A_HUMAN	0.8
CD5R1_HUMAN	CDK5_HUMAN	45.440000000000005
CD5R1_HUMAN	TIAM1_HUMAN	0.6
CD5R1_HUMAN	A4_HUMAN	0.8
CD5R1_HUMAN	HS90A_HUMAN	1.0
CRKL_HUMAN	CRKL_HUMAN	10.0
CRKL_HUMAN	SRC_HUMAN	0.6
CRKL_HUMAN	ERBB2_HUMAN	3.2
CRKL_HUMAN	CRK_HUMAN	0.6
CRKL_HUMAN	IRS1_HUMAN	0.6
CRKL_HUMAN	ABL1_HUMAN	20.8
CRKL_HUMAN	SHC1_HUMAN	1.0
CRKL_HUMAN	PK3CA_HUMAN	1.4
CRKL_HUMAN	GRB2_HUMAN	1.6
CRKL_HUMAN	PTN11_HUMAN	5.039999999999999
CRKL_HUMAN	EHD4_HUMAN	0.64
SRC_HUMAN	SRC_HUMAN	101.28
SRC_HUMAN	ERBB2_HUMAN	19.840000000000003
SRC_HUMAN	CRK_HUMAN	3.2
SRC_HUMAN	IRS1_HUMAN	0.6
SRC_HUMAN	HS90B_HUMAN	3.0000000000000004
SRC_HUMAN	PLCG1_HUMAN	2.24
SRC_HUMAN	ABL1_HUMAN	3.4
SRC_HUMAN	RASH_HUMAN	4.8
SRC_HUMAN	RASN_HUMAN	1.4
SRC_HUMAN	SHC1_HUMAN	6.3999999999999995
SRC_HUMAN	PK3CA_HUMAN	0.6
SRC_HUMAN	TIAM1_HUMAN	0.6
SRC_HUMAN	GRB2_HUMAN	2.6
SRC_HUMAN	A4_HUMAN	1.0
SRC_HUMAN	PTN11_HUMAN	4.5200000000000005
SRC_HUMAN	SHC4_HUMAN	0.6
SRC_HUMAN	EHD4_HUMAN	0.64
SRC_HUMAN	HS90A_HUMAN	6.199999999999999
SRC_HUMAN	RASK_HUMAN	3.0000000000000004
SRC_HUMAN	STAT3_HUMAN	13.4
ERBB2_HUMAN	ERBB2_HUMAN	75.19999999999999
ERBB2_HUMAN	CRK_HUMAN	2.4000000000000004
ERBB2_HUMAN	IRS1_HUMAN	3.0000000000000004
ERBB2_HUMAN	GBB4_HUMAN	0.8
ERBB2_HUMAN	HS90B_HUMAN	4.4
ERBB2_HUMAN	PLCG1_HUMAN	8.2
ERBB2_HUMAN	ABL1_HUMAN	6.2
ERBB2_HUMAN	RASH_HUMAN	1.4
ERBB2_HUMAN	RASN_HUMAN	0.6
ERBB2_HUMAN	MTOR_HUMAN	0.6
ERBB2_HUMAN	SHC1_HUMAN	22.400000000000006
ERBB2_HUMAN	PK3CA_HUMAN	1.4
ERBB2_HUMAN	GRB2_HUMAN	15.600000000000001
ERBB2_HUMAN	PTN11_HUMAN	8.639999999999999
ERBB2_HUMAN	PTPRO_HUMAN	1.6
ERBB2_HUMAN	SHC4_HUMAN	1.4
ERBB2_HUMAN	GBB2_HUMAN	0.8
ERBB2_HUMAN	HS90A_HUMAN	16.400000000000002
ERBB2_HUMAN	RASK_HUMAN	1.4
ERBB2_HUMAN	STAT3_HUMAN	13.240000000000002
CDK5_HUMAN	CDK5_HUMAN	7.6
CDK5_HUMAN	HS90B_HUMAN	1.6
CDK5_HUMAN	ABL1_HUMAN	0.6
CDK5_HUMAN	RASN_HUMAN	0.8
CDK5_HUMAN	PK3CA_HUMAN	0.8
CDK5_HUMAN	TIAM1_HUMAN	0.6
CDK5_HUMAN	A4_HUMAN	3.8000000000000003
CDK5_HUMAN	HS90A_HUMAN	1.6
CRK_HUMAN	CRK_HUMAN	6.3999999999999995
CRK_HUMAN	IRS1_HUMAN	2.2
CRK_HUMAN	HS90B_HUMAN	0.8
CRK_HUMAN	ABL1_HUMAN	21.240000000000006
CRK_HUMAN	SHC1_HUMAN	6.0
CRK_HUMAN	PK3CA_HUMAN	1.4
CRK_HUMAN	GRB2_HUMAN	7.239999999999999
CRK_HUMAN	PTN11_HUMAN	4.319999999999999
CRK_HUMAN	EHD4_HUMAN	0.64
CRK_HUMAN	HS90A_HUMAN	0.6
IRS1_HUMAN	IRS1_HUMAN	4.0
IRS1_HUMAN	HS90B_HUMAN	0.64
IRS1_HUMAN	RASH_HUMAN	0.6
IRS1_HUMAN	RASN_HUMAN	0.6
IRS1_HUMAN	MTOR_HUMAN	5.3999999999999995
IRS1_HUMAN	SHC1_HUMAN	1.88
IRS1_HUMAN	PK3CA_HUMAN	24.800000000000004
IRS1_HUMAN	GRB2_HUMAN	20.080000000000002
IRS1_HUMAN	A4_HUMAN	0.8
IRS1_HUMAN	PTN11_HUMAN	13.4
IRS1_HUMAN	RASK_HUMAN	0.6
TBC24_HUMAN	RASH_HUMAN	0.8
PTPRS_HUMAN	PTPRS_HUMAN	6.8
GBB4_HUMAN	PK3CA_HUMAN	0.6
GBB4_HUMAN	A4_HUMAN	0.6
GBB4_HUMAN	GBB2_HUMAN	0.6
GBB4_HUMAN	5HT2A_HUMAN	0.6
HS90B_HUMAN	HS90B_HUMAN	72.8
