UniProtID	UniProtID	score
ODP2_HUMAN	ARHGG_HUMAN	1.6
ODP2_HUMAN	CBL_HUMAN	0.8
ODP2_HUMAN	TRI25_HUMAN	0.8
ODP2_HUMAN	YAP1_HUMAN	0.8
ODP2_HUMAN	LATS1_HUMAN	0.8
ODP2_HUMAN	MDM2_HUMAN	0.8
ODP2_HUMAN	TS101_HUMAN	1.44
ODP2_HUMAN	MLP3B_HUMAN	0.8
ODP2_HUMAN	MLP3A_HUMAN	0.8
ODP2_HUMAN	GBRL1_HUMAN	0.8
ODP2_HUMAN	RAF1_HUMAN	0.8
ODP2_HUMAN	TGON2_HUMAN	1.6
ODP2_HUMAN	SHAN3_HUMAN	0.8
ODP2_HUMAN	KI67_HUMAN	1.6
ODP2_HUMAN	TAL1_HUMAN	1.6
ODP2_HUMAN	CUL9_HUMAN	0.8
ODP2_HUMAN	HDAC6_HUMAN	2.8800000000000003
ODP2_HUMAN	TAU_HUMAN	1.28
ODP2_HUMAN	HSP7C_HUMAN	0.8
ODP2_HUMAN	1433Z_HUMAN	1.28
ODP2_HUMAN	SCN2A_HUMAN	0.8
ODP2_HUMAN	HUNK_HUMAN	1.6
ODP2_HUMAN	EZH2_HUMAN	0.8
ODP2_HUMAN	MPPA_HUMAN	0.8
ODP2_HUMAN	HCD2_HUMAN	0.64
ODP2_HUMAN	PP1A_HUMAN	0.64
ODP2_HUMAN	HD_HUMAN	0.64
ODP2_HUMAN	CSK_HUMAN	0.8
ODP2_HUMAN	EGFR_HUMAN	0.64
ODP2_HUMAN	ATX1_HUMAN	0.64
ODP2_HUMAN	GCR_HUMAN	0.8
ODP2_HUMAN	NEB2_HUMAN	0.64
ODP2_HUMAN	CLU_HUMAN	0.64
ODP2_HUMAN	IFM1_HUMAN	0.8
ODP2_HUMAN	C1QBP_HUMAN	3
ODP2_HUMAN	PML_HUMAN	0.8
ODP2_HUMAN	MIF_HUMAN	0.8
ODP2_HUMAN	RAB5A_HUMAN	1.6
ODP2_HUMAN	UBC_HUMAN	0.64
ODP2_HUMAN	XRCC6_HUMAN	0.8
ODP2_HUMAN	PARP1_HUMAN	0.8
ODP2_HUMAN	DHX9_HUMAN	0.8
ODP2_HUMAN	CXA1_HUMAN	0.64
ODP2_HUMAN	CSN5_HUMAN	1.6
ODP2_HUMAN	CALX_HUMAN	1.6
ODP2_HUMAN	RYR2_HUMAN	0.64
ODP2_HUMAN	MERL_HUMAN	0.8
