UniProtID	UniProtID	score
OPA1_HUMAN	UNK_HUMAN	1.44
OPA1_HUMAN	UBP7_HUMAN	0.64
OPA1_HUMAN	TPTE_HUMAN	0.8
OPA1_HUMAN	TPTE2_HUMAN	0.8
OPA1_HUMAN	OPTN_HUMAN	0.8
OPA1_HUMAN	NPM_HUMAN	1.6
OPA1_HUMAN	MAVS_HUMAN	1.6
OPA1_HUMAN	SMAD3_HUMAN	1.6
OPA1_HUMAN	GPR45_HUMAN	0.8
OPA1_HUMAN	SHAN3_HUMAN	0.64
OPA1_HUMAN	KI67_HUMAN	1.6
OPA1_HUMAN	KCNQ1_HUMAN	0.64
OPA1_HUMAN	A4_HUMAN	1.6
OPA1_HUMAN	HSP7C_HUMAN	1.6
OPA1_HUMAN	1433Z_HUMAN	0.64
OPA1_HUMAN	TOM40_HUMAN	0.8
OPA1_HUMAN	PTN1_HUMAN	0.8
OPA1_HUMAN	MK14_HUMAN	0.64
OPA1_HUMAN	LMNB1_HUMAN	0.8
OPA1_HUMAN	HD_HUMAN	0.64
OPA1_HUMAN	EGFR_HUMAN	0.8
OPA1_HUMAN	AKAP1_HUMAN	1.6
OPA1_HUMAN	NEB2_HUMAN	0.64
OPA1_HUMAN	MED23_HUMAN	0.8
OPA1_HUMAN	CLU_HUMAN	1.44
OPA1_HUMAN	MIC60_HUMAN	0.8
OPA1_HUMAN	PML_HUMAN	0.8
OPA1_HUMAN	ELAV1_HUMAN	0.8
OPA1_HUMAN	XRN2_HUMAN	0.8
OPA1_HUMAN	PHB2_HUMAN	0.8
OPA1_HUMAN	ECH1_HUMAN	0.8
OPA1_HUMAN	DYR1A_HUMAN	0.8
OPA1_HUMAN	RHOA_HUMAN	0.8
OPA1_HUMAN	FKBP8_HUMAN	0.8
OPA1_HUMAN	CXA1_HUMAN	0.64
OPA1_HUMAN	DISC1_HUMAN	1.44
OPA1_HUMAN	MYH10_HUMAN	0.8
OPA1_HUMAN	SMAD2_HUMAN	1.6
OPA1_HUMAN	STAU1_HUMAN	0.8
OPA1_HUMAN	ARF6_HUMAN	0.8
OPA1_HUMAN	HAX1_HUMAN	0.8
OPA1_HUMAN	RUFY1_HUMAN	0.8
OPA1_HUMAN	TOM70_HUMAN	0.8
OPA1_HUMAN	MTX1_HUMAN	0.8
OPA1_HUMAN	TPM1_HUMAN	0.8
OPA1_HUMAN	ECHB_HUMAN	0.8
OPA1_HUMAN	HSPB2_HUMAN	1.28
OPA1_HUMAN	BNIP3_HUMAN	13
OPA1_HUMAN	SYGP1_HUMAN	1.28
OPA1_HUMAN	S10A6_HUMAN	0.8
OPA1_HUMAN	RASK_HUMAN	0.8
OPA1_HUMAN	PRKN_HUMAN	2.4000000000000004
OPA1_HUMAN	RHG24_HUMAN	0.8
OPA1_HUMAN	NDC80_HUMAN	0.8
OPA1_HUMAN	EF2_HUMAN	0.8
OPA1_HUMAN	PHIP_HUMAN	0.8
OPA1_HUMAN	HTRA2_HUMAN	2.4000000000000004
OPA1_HUMAN	CYFP1_HUMAN	1.28
OPA1_HUMAN	ESR2_HUMAN	0.8
OPA1_HUMAN	STXB1_HUMAN	0.8
OPA1_HUMAN	NUDC_HUMAN	0.8
OPA1_HUMAN	UBE2H_HUMAN	0.8
OPA1_HUMAN	RHOB_HUMAN	1.6
OPA1_HUMAN	GRN_HUMAN	0.8
OPA1_HUMAN	GLUT4_HUMAN	0.64
OPA1_HUMAN	LRRK2_HUMAN	6.0
OPA1_HUMAN	SIR3_HUMAN	4.6
OPA1_HUMAN	CCN1_HUMAN	1.28
OPA1_HUMAN	XRCC3_HUMAN	1.6
OPA1_HUMAN	WRP73_HUMAN	0.64
OPA1_HUMAN	HEMH_HUMAN	0.64
OPA1_HUMAN	PGRC1_HUMAN	0.64
OPA1_HUMAN	PGRC2_HUMAN	0.64
OPA1_HUMAN	NMES1_HUMAN	0.8
OPA1_HUMAN	COQ9_HUMAN	1.6
OPA1_HUMAN	PIT1_HUMAN	1.6
OPA1_HUMAN	CSF1_HUMAN	0.64
OPA1_HUMAN	DAPK3_HUMAN	1.6
OPA1_HUMAN	TP4A3_HUMAN	0.8
OPA1_HUMAN	MYC_HUMAN	2.4000000000000004
OPA1_HUMAN	PARL_HUMAN	2.4000000000000004
OPA1_HUMAN	CAV3_HUMAN	0.64
OPA1_HUMAN	ITM2B_HUMAN	1.28
OPA1_HUMAN	CAND1_HUMAN	1.6
OPA1_HUMAN	CUL3_HUMAN	3.0400000000000005
OPA1_HUMAN	GID8_HUMAN	3.2
OPA1_HUMAN	CTDP1_HUMAN	1.6
OPA1_HUMAN	KAT2B_HUMAN	1
OPA1_HUMAN	CHP3_HUMAN	0.8
OPA1_HUMAN	SOX4_HUMAN	0.64
OPA1_HUMAN	NR4A2_HUMAN	0.8
OPA1_HUMAN	AIFM1_HUMAN	2.4000000000000004
OPA1_HUMAN	COX41_HUMAN	3.2
OPA1_HUMAN	PLRKT_HUMAN	2.4000000000000004
OPA1_HUMAN	SCO1_HUMAN	1.6
OPA1_HUMAN	SFXN1_HUMAN	2.4000000000000004
OPA1_HUMAN	IMP2L_HUMAN	1.6
OPA1_HUMAN	IMP1L_HUMAN	1.6
OPA1_HUMAN	LACTB_HUMAN	1.6
OPA1_HUMAN	OMA1_HUMAN	1.6
OPA1_HUMAN	YMEL1_HUMAN	2.4000000000000004
OPA1_HUMAN	CFTR_HUMAN	4.0
OPA1_HUMAN	NEP_HUMAN	0.8
OPA1_HUMAN	PRDX3_HUMAN	2.4000000000000004
OPA1_HUMAN	SEGN_HUMAN	2.4000000000000004
OPA1_HUMAN	SCN2B_HUMAN	2.4000000000000004
OPA1_HUMAN	NTRK1_HUMAN	0.8
OPA1_HUMAN	MCM2_HUMAN	0.8
OPA1_HUMAN	S2546_HUMAN	1.6
OPA1_HUMAN	PTN7_HUMAN	0.8
OPA1_HUMAN	VIPR2_HUMAN	1.6
OPA1_HUMAN	INSY2_HUMAN	0.8
OPA1_HUMAN	NPY2R_HUMAN	0.8
OPA1_HUMAN	PTH1R_HUMAN	0.8
OPA1_HUMAN	F174A_HUMAN	1.6
OPA1_HUMAN	EPHA1_HUMAN	0.8
OPA1_HUMAN	CDK9_HUMAN	0.8
OPA1_HUMAN	KC1A_HUMAN	0.8
OPA1_HUMAN	EGLN3_HUMAN	0.8
OPA1_HUMAN	U5S1_HUMAN	0.8
OPA1_HUMAN	AAR2_HUMAN	0.8
OPA1_HUMAN	PIHD1_HUMAN	0.8
OPA1_HUMAN	RECQ4_HUMAN	0.8
OPA1_HUMAN	VIR_HUMAN	0.8
OPA1_HUMAN	PHB1_HUMAN	0.8
OPA1_HUMAN	NR2C2_HUMAN	0.8
OPA1_HUMAN	DUS22_HUMAN	0.8
OPA1_HUMAN	PTPRU_HUMAN	0.8
OPA1_HUMAN	LMBRL_HUMAN	0.8
OPA1_HUMAN	RGS14_HUMAN	0.64
OPA1_HUMAN	PKHA4_HUMAN	0.8
OPA1_HUMAN	PINK1_HUMAN	0.8
OPA1_HUMAN	EMC5_HUMAN	0.8
OPA1_HUMAN	KIF14_HUMAN	0.8
OPA1_HUMAN	KIF23_HUMAN	0.8
OPA1_HUMAN	CLPB_HUMAN	1.8
OPA1_HUMAN	MKRN2_HUMAN	0.8
OPA1_HUMAN	TLR4_HUMAN	1
OPA1_HUMAN	CML1_HUMAN	0.8
OPA1_HUMAN	S10A2_HUMAN	0.8
OPA1_HUMAN	MIA40_HUMAN	0.8
OPA1_HUMAN	NPTN_HUMAN	0.8
