UniProtID	UniProtID	score
P2RX2_HUMAN	HEAT1_HUMAN	0.8
P2RX2_HUMAN	BIP_HUMAN	0.8
P2RX2_HUMAN	ACHA4_HUMAN	1
P2RX2_HUMAN	ASIC1_HUMAN	0.8
P2RX2_HUMAN	CSTN1_HUMAN	0.8
P2RX2_HUMAN	NOMO1_HUMAN	0.8
P2RX2_HUMAN	CALX_HUMAN	1.6
P2RX2_HUMAN	AT1A3_HUMAN	0.8
P2RX2_HUMAN	WDFY3_HUMAN	1.6
P2RX2_HUMAN	JAG2_HUMAN	0.8
P2RX2_HUMAN	TBB3_HUMAN	1.6
P2RX2_HUMAN	WFS1_HUMAN	1.6
P2RX2_HUMAN	LDLR_HUMAN	0.8
P2RX2_HUMAN	LRP11_HUMAN	1.6
P2RX2_HUMAN	GPN3_HUMAN	0.8
P2RX2_HUMAN	CLPT1_HUMAN	0.8
P2RX2_HUMAN	CCD47_HUMAN	0.8
P2RX2_HUMAN	LRP6_HUMAN	0.8
P2RX2_HUMAN	E2AK3_HUMAN	1.6
P2RX2_HUMAN	P2RX6_HUMAN	3.2
P2RX2_HUMAN	P2RX4_HUMAN	3.2
P2RX2_HUMAN	P2RX2_HUMAN	4.8
P2RX2_HUMAN	K1586_HUMAN	1.6
P2RX2_HUMAN	C1QRF_HUMAN	1.6
P2RX2_HUMAN	EVI5L_HUMAN	1.6
P2RX2_HUMAN	D2HDH_HUMAN	0.8
P2RX2_HUMAN	STAR3_HUMAN	1.6
P2RX2_HUMAN	GXLT1_HUMAN	1.6
P2RX2_HUMAN	FKBP7_HUMAN	1.6
P2RX2_HUMAN	HS2ST_HUMAN	1.6
P2RX2_HUMAN	EPHB4_HUMAN	1.6
P2RX2_HUMAN	GLT11_HUMAN	1.6
P2RX2_HUMAN	SPPL3_HUMAN	1.6
P2RX2_HUMAN	TBB8_HUMAN	1.6
P2RX2_HUMAN	S2546_HUMAN	0.8
P2RX2_HUMAN	DUSTY_HUMAN	1.6
P2RX2_HUMAN	S26A6_HUMAN	0.8
P2RX2_HUMAN	ACHB2_HUMAN	2
P2RX2_HUMAN	ACHA3_HUMAN	2
P2RX2_HUMAN	HFE_HUMAN	0.8
P2RX2_HUMAN	MBRL_HUMAN	0.8
P2RX2_HUMAN	FIRRM_HUMAN	0.8
P2RX2_HUMAN	PLCA_HUMAN	0.8
P2RX2_HUMAN	AMY1B_HUMAN	0.8
P2RX2_HUMAN	AMY1A_HUMAN	0.8
P2RX2_HUMAN	AMY1C_HUMAN	0.8
P2RX2_HUMAN	SGCB_HUMAN	0.8
P2RX2_HUMAN	TF_HUMAN	0.8
P2RX2_HUMAN	S39A6_HUMAN	0.8
P2RX2_HUMAN	PVR_HUMAN	0.8
P2RX2_HUMAN	IPRI_HUMAN	0.8
P2RX2_HUMAN	PTSS2_HUMAN	0.8
P2RX2_HUMAN	GPI8_HUMAN	0.8
P2RX2_HUMAN	AT133_HUMAN	0.8
P2RX2_HUMAN	T131L_HUMAN	0.8
P2RX2_HUMAN	AGRF1_HUMAN	0.8
P2RX2_HUMAN	ZNG1A_HUMAN	0.8
P2RX2_HUMAN	FNTB_HUMAN	0.8
P2RX2_HUMAN	METL9_HUMAN	0.8
P2RX2_HUMAN	ST14_HUMAN	0.8
P2RX2_HUMAN	TFB2M_HUMAN	0.8
P2RX2_HUMAN	AT2C1_HUMAN	0.8
P2RX2_HUMAN	IDD_HUMAN	0.8
P2RX2_HUMAN	TMX3_HUMAN	0.8
P2RX2_HUMAN	GLBL2_HUMAN	0.8
P2RX2_HUMAN	CHID1_HUMAN	0.8
P2RX2_HUMAN	ACHA5_HUMAN	0.8
P2RX2_HUMAN	ADPGK_HUMAN	0.8
P2RX2_HUMAN	TPC_HUMAN	0.8
P2RX2_HUMAN	CSTN3_HUMAN	0.8
P2RX2_HUMAN	C1QL4_HUMAN	0.8
