UniProtID	UniProtID	score
P2RY1_HUMAN	DLG4_HUMAN	1.6
P2RY1_HUMAN	OSBL5_HUMAN	0.8
P2RY1_HUMAN	AGRE5_HUMAN	0.8
P2RY1_HUMAN	DERL2_HUMAN	0.8
P2RY1_HUMAN	FZD2_HUMAN	0.8
P2RY1_HUMAN	GPC5C_HUMAN	0.8
P2RY1_HUMAN	NMDE1_HUMAN	1.6
P2RY1_HUMAN	ATPB_HUMAN	0.8
P2RY1_HUMAN	YIF1B_HUMAN	0.8
P2RY1_HUMAN	NHRF1_HUMAN	3
P2RY1_HUMAN	AT5F1_HUMAN	0.8
P2RY1_HUMAN	SAC1_HUMAN	0.8
P2RY1_HUMAN	GPM6A_HUMAN	2.4000000000000004
P2RY1_HUMAN	VP26A_HUMAN	0.8
P2RY1_HUMAN	ATPG_HUMAN	0.8
P2RY1_HUMAN	ATPA_HUMAN	0.8
P2RY1_HUMAN	ATPO_HUMAN	0.8
P2RY1_HUMAN	CMIP_HUMAN	2.4000000000000004
P2RY1_HUMAN	AA1R_HUMAN	2.6
P2RY1_HUMAN	UN93B_HUMAN	0.8
P2RY1_HUMAN	MIB2_HUMAN	2.4000000000000004
P2RY1_HUMAN	DHC24_HUMAN	0.8
P2RY1_HUMAN	ATP5H_HUMAN	0.8
P2RY1_HUMAN	CERS2_HUMAN	0.8
P2RY1_HUMAN	B3A2_HUMAN	0.8
P2RY1_HUMAN	GNA11_HUMAN	0.8
P2RY1_HUMAN	S12A9_HUMAN	0.8
P2RY1_HUMAN	T161A_HUMAN	0.8
P2RY1_HUMAN	SCAM2_HUMAN	0.8
P2RY1_HUMAN	RETR3_HUMAN	0.8
P2RY1_HUMAN	S19A2_HUMAN	2.4000000000000004
P2RY1_HUMAN	CERS6_HUMAN	0.8
P2RY1_HUMAN	TM87A_HUMAN	0.8
P2RY1_HUMAN	YIPF3_HUMAN	0.8
P2RY1_HUMAN	GPHRB_HUMAN	0.8
P2RY1_HUMAN	AT11C_HUMAN	1.6
P2RY1_HUMAN	GPHRA_HUMAN	0.8
P2RY1_HUMAN	OSBL8_HUMAN	0.8
P2RY1_HUMAN	SC5D_HUMAN	0.8
P2RY1_HUMAN	MSMO1_HUMAN	0.8
P2RY1_HUMAN	GP180_HUMAN	0.8
P2RY1_HUMAN	EI24_HUMAN	0.8
P2RY1_HUMAN	SERC3_HUMAN	0.8
P2RY1_HUMAN	PTSS2_HUMAN	0.8
P2RY1_HUMAN	TM9S3_HUMAN	0.8
P2RY1_HUMAN	VKORL_HUMAN	0.8
