UniProtID	UniProtID	score
PABP4_HUMAN	SRC_HUMAN	1.6
PABP4_HUMAN	ESR1_HUMAN	3.2
PABP4_HUMAN	EF1A1_HUMAN	0.8
PABP4_HUMAN	CTNB1_HUMAN	0.8
PABP4_HUMAN	DCNL1_HUMAN	1.6
PABP4_HUMAN	ACTN4_HUMAN	0.8
PABP4_HUMAN	IF4G3_HUMAN	0.8
PABP4_HUMAN	PABP1_HUMAN	4.4799999999999995
PABP4_HUMAN	ERF3B_HUMAN	1.6
PABP4_HUMAN	LAR4B_HUMAN	1.6
PABP4_HUMAN	UNK_HUMAN	0.8
PABP4_HUMAN	TRI25_HUMAN	0.8
PABP4_HUMAN	DUX4_HUMAN	2.4000000000000004
PABP4_HUMAN	ARRB2_HUMAN	1.6
PABP4_HUMAN	P53_HUMAN	0.8
PABP4_HUMAN	TS101_HUMAN	0.8
PABP4_HUMAN	SQSTM_HUMAN	0.8
PABP4_HUMAN	TLN1_HUMAN	0.8
PABP4_HUMAN	GBRAP_HUMAN	0.8
PABP4_HUMAN	GBRL1_HUMAN	0.8
PABP4_HUMAN	GBRL2_HUMAN	0.8
PABP4_HUMAN	NPM_HUMAN	1.6
PABP4_HUMAN	RAF1_HUMAN	0.8
PABP4_HUMAN	HNRPR_HUMAN	1.6
PABP4_HUMAN	SHAN3_HUMAN	0.8
PABP4_HUMAN	CDC27_HUMAN	2
PABP4_HUMAN	RIMS1_HUMAN	0.8
PABP4_HUMAN	RIN3_HUMAN	0.8
PABP4_HUMAN	G3BP2_HUMAN	1.6
PABP4_HUMAN	CUL7_HUMAN	0.8
PABP4_HUMAN	CUL9_HUMAN	0.8
PABP4_HUMAN	HDAC6_HUMAN	0.8
PABP4_HUMAN	ECT2_HUMAN	0.8
PABP4_HUMAN	FUBP3_HUMAN	0.8
PABP4_HUMAN	SH3K1_HUMAN	0.8
PABP4_HUMAN	F16P1_HUMAN	0.8
PABP4_HUMAN	DDX3X_HUMAN	1.6
PABP4_HUMAN	MK03_HUMAN	0.64
PABP4_HUMAN	1433E_HUMAN	0.8
PABP4_HUMAN	PP1G_HUMAN	2.4000000000000004
PABP4_HUMAN	BAG1_HUMAN	0.8
PABP4_HUMAN	HSP7C_HUMAN	1.6
PABP4_HUMAN	1433Z_HUMAN	2.4000000000000004
PABP4_HUMAN	ARAF_HUMAN	0.8
PABP4_HUMAN	RC3H1_HUMAN	2.24
PABP4_HUMAN	HDAC2_HUMAN	0.8
PABP4_HUMAN	SCN2A_HUMAN	0.8
PABP4_HUMAN	PTN1_HUMAN	0.8
PABP4_HUMAN	KLF4_HUMAN	1.6
PABP4_HUMAN	ATX2_HUMAN	4.0
PABP4_HUMAN	PRC1_HUMAN	0.8
PABP4_HUMAN	TBX3_HUMAN	0.8
PABP4_HUMAN	YTHD1_HUMAN	0.8
PABP4_HUMAN	EZH2_HUMAN	2.4000000000000004
PABP4_HUMAN	HSPB1_HUMAN	0.8
PABP4_HUMAN	BIP_HUMAN	0.8
PABP4_HUMAN	AGO2_HUMAN	0.8
PABP4_HUMAN	H4_HUMAN	0.8
PABP4_HUMAN	1433T_HUMAN	1.6
PABP4_HUMAN	BRCA1_HUMAN	0.8
PABP4_HUMAN	1433B_HUMAN	0.8
PABP4_HUMAN	PP1A_HUMAN	0.8
PABP4_HUMAN	HD_HUMAN	0.8
PABP4_HUMAN	YBOX1_HUMAN	3.84
PABP4_HUMAN	PAIP1_HUMAN	3.2
PABP4_HUMAN	SYQ_HUMAN	0.8
PABP4_HUMAN	SYMC_HUMAN	0.8
PABP4_HUMAN	KAP0_HUMAN	0.8
PABP4_HUMAN	AKAP1_HUMAN	1.6
PABP4_HUMAN	NUCL_HUMAN	0.8
PABP4_HUMAN	TERF1_HUMAN	0.8
PABP4_HUMAN	MARE1_HUMAN	0.8
PABP4_HUMAN	1433G_HUMAN	0.8
PABP4_HUMAN	GAN_HUMAN	0.8
PABP4_HUMAN	CDC42_HUMAN	0.8
PABP4_HUMAN	UBP2L_HUMAN	0.8
PABP4_HUMAN	RL4_HUMAN	0.8
PABP4_HUMAN	CSK21_HUMAN	0.8
PABP4_HUMAN	RL5_HUMAN	1.6
PABP4_HUMAN	PRC2A_HUMAN	0.8
PABP4_HUMAN	DX39B_HUMAN	1.6
PABP4_HUMAN	ELAV1_HUMAN	1.6
PABP4_HUMAN	RS20_HUMAN	0.8
PABP4_HUMAN	WDR1_HUMAN	0.8
PABP4_HUMAN	XRN1_HUMAN	1.6
PABP4_HUMAN	SMAD9_HUMAN	1.6
PABP4_HUMAN	PHLA1_HUMAN	4
PABP4_HUMAN	AGO4_HUMAN	1.6
PABP4_HUMAN	IFIT1_HUMAN	2.4000000000000004
PABP4_HUMAN	IFIT2_HUMAN	1.6
PABP4_HUMAN	IFIT3_HUMAN	1.6
PABP4_HUMAN	OAS3_HUMAN	1.6
PABP4_HUMAN	E2AK2_HUMAN	1.6
PABP4_HUMAN	SREK1_HUMAN	1.44
PABP4_HUMAN	RC3H2_HUMAN	2.24
PABP4_HUMAN	LORF1_HUMAN	0.8
