UniProtID	UniProtID	score
PARK7_HUMAN	DLG4_HUMAN	1.92
PARK7_HUMAN	ABL1_HUMAN	1
PARK7_HUMAN	SH3G3_HUMAN	1.6
PARK7_HUMAN	DNM1L_HUMAN	1.6
PARK7_HUMAN	MYL6_HUMAN	0.64
PARK7_HUMAN	EF1A1_HUMAN	0.64
PARK7_HUMAN	SYUA_HUMAN	7.28
PARK7_HUMAN	CTNB1_HUMAN	0.8
PARK7_HUMAN	KIF1B_HUMAN	1
PARK7_HUMAN	ACTN1_HUMAN	3.04
PARK7_HUMAN	PABP1_HUMAN	3.2
PARK7_HUMAN	UNK_HUMAN	1.44
PARK7_HUMAN	LMTK3_HUMAN	3.2
PARK7_HUMAN	NEDD4_HUMAN	1.6
PARK7_HUMAN	CNKR2_HUMAN	1.28
PARK7_HUMAN	SUMO1_HUMAN	1
PARK7_HUMAN	CLH1_HUMAN	1.28
PARK7_HUMAN	P53_HUMAN	4.6
PARK7_HUMAN	SQSTM_HUMAN	2
PARK7_HUMAN	RET_HUMAN	0.64
PARK7_HUMAN	OPTN_HUMAN	0.8
PARK7_HUMAN	NPM_HUMAN	1.44
PARK7_HUMAN	SFPQ_HUMAN	2
PARK7_HUMAN	TERA_HUMAN	2.24
PARK7_HUMAN	GOPC_HUMAN	3.2
PARK7_HUMAN	PEBP1_HUMAN	0.8
PARK7_HUMAN	M4K1_HUMAN	0.8
PARK7_HUMAN	RIN3_HUMAN	0.8
PARK7_HUMAN	BRD4_HUMAN	0.8
PARK7_HUMAN	MYPT1_HUMAN	1
PARK7_HUMAN	M4K5_HUMAN	0.8
PARK7_HUMAN	ECT2_HUMAN	0.8
PARK7_HUMAN	ASXL1_HUMAN	0.8
PARK7_HUMAN	A4_HUMAN	3.0400000000000005
PARK7_HUMAN	TAU_HUMAN	0.8
PARK7_HUMAN	M3K5_HUMAN	3.8
PARK7_HUMAN	BAG1_HUMAN	2.8
PARK7_HUMAN	1433Z_HUMAN	4.48
PARK7_HUMAN	PHAG1_HUMAN	0.64
PARK7_HUMAN	HDAC2_HUMAN	1.6
PARK7_HUMAN	PTBP1_HUMAN	1
PARK7_HUMAN	RNPS1_HUMAN	4.640000000000001
PARK7_HUMAN	EZH2_HUMAN	0.8
PARK7_HUMAN	HNRPK_HUMAN	0.64
PARK7_HUMAN	RS6_HUMAN	0.64
PARK7_HUMAN	RAB4A_HUMAN	0.8
PARK7_HUMAN	BIP_HUMAN	3
PARK7_HUMAN	GAB2_HUMAN	1.6
PARK7_HUMAN	HCD2_HUMAN	1.6
PARK7_HUMAN	1433T_HUMAN	3.8400000000000007
PARK7_HUMAN	MP2K2_HUMAN	1.6
PARK7_HUMAN	BRCA1_HUMAN	0.8
PARK7_HUMAN	1433B_HUMAN	4.640000000000001
PARK7_HUMAN	B2CL1_HUMAN	3.64
PARK7_HUMAN	HD_HUMAN	4.8
PARK7_HUMAN	JIP1_HUMAN	1.8
PARK7_HUMAN	DAXX_HUMAN	7.3999999999999995
PARK7_HUMAN	RANB9_HUMAN	0.8
PARK7_HUMAN	CALM3_HUMAN	0.8
PARK7_HUMAN	1433G_HUMAN	0.64
PARK7_HUMAN	MAP1B_HUMAN	4.640000000000001
PARK7_HUMAN	COF1_HUMAN	1.44
PARK7_HUMAN	ENPL_HUMAN	1.28
PARK7_HUMAN	NEB2_HUMAN	0.64
PARK7_HUMAN	UBC9_HUMAN	2
PARK7_HUMAN	KPCZ_HUMAN	1.6
PARK7_HUMAN	CLU_HUMAN	0.64
PARK7_HUMAN	RL4_HUMAN	0.64
PARK7_HUMAN	DX39B_HUMAN	0.8
PARK7_HUMAN	ANDR_HUMAN	9
PARK7_HUMAN	PML_HUMAN	1
PARK7_HUMAN	RS20_HUMAN	0.64
PARK7_HUMAN	GRHPR_HUMAN	0.8
PARK7_HUMAN	TALDO_HUMAN	0.8
PARK7_HUMAN	RL24_HUMAN	0.64
PARK7_HUMAN	LDHA_HUMAN	0.8
PARK7_HUMAN	ROA1_HUMAN	0.64
PARK7_HUMAN	RS25_HUMAN	0.64
PARK7_HUMAN	MIF_HUMAN	1.6
PARK7_HUMAN	RAB5B_HUMAN	0.8
PARK7_HUMAN	ARF1_HUMAN	2.4000000000000004
PARK7_HUMAN	KCMA1_HUMAN	1.28
PARK7_HUMAN	TBA1B_HUMAN	0.64
PARK7_HUMAN	EF1G_HUMAN	4.0
PARK7_HUMAN	G3P_HUMAN	0.64
PARK7_HUMAN	SUMO2_HUMAN	0.8
PARK7_HUMAN	TCPG_HUMAN	0.64
PARK7_HUMAN	KAPCA_HUMAN	3.8
PARK7_HUMAN	TRAF6_HUMAN	2
PARK7_HUMAN	KPYM_HUMAN	0.8
PARK7_HUMAN	VHL_HUMAN	2
PARK7_HUMAN	2AAA_HUMAN	1.6
PARK7_HUMAN	KPCD2_HUMAN	1.6
PARK7_HUMAN	CALX_HUMAN	0.64
PARK7_HUMAN	DEST_HUMAN	0.8
PARK7_HUMAN	PROF1_HUMAN	0.8
PARK7_HUMAN	PRDX6_HUMAN	3.2
PARK7_HUMAN	CALR_HUMAN	1.44
PARK7_HUMAN	NACAM_HUMAN	0.8
PARK7_HUMAN	IQGA1_HUMAN	1
PARK7_HUMAN	BIRC3_HUMAN	0.8
PARK7_HUMAN	ATPB_HUMAN	0.64
PARK7_HUMAN	RAC2_HUMAN	0.8
PARK7_HUMAN	TBA1A_HUMAN	0.64
PARK7_HUMAN	LRC59_HUMAN	0.64
PARK7_HUMAN	MYCBP_HUMAN	1.6
PARK7_HUMAN	TPM1_HUMAN	4.0
PARK7_HUMAN	GLRX5_HUMAN	0.8
PARK7_HUMAN	ACTC_HUMAN	1.44
PARK7_HUMAN	ITPA_HUMAN	0.8
PARK7_HUMAN	GDIR1_HUMAN	0.64
PARK7_HUMAN	NONO_HUMAN	3
PARK7_HUMAN	CALM2_HUMAN	0.8
PARK7_HUMAN	PPIA_HUMAN	4.8
PARK7_HUMAN	PTEN_HUMAN	5.8
PARK7_HUMAN	GLU2B_HUMAN	0.8
PARK7_HUMAN	LRC4C_HUMAN	0.64
PARK7_HUMAN	ENOA_HUMAN	2.4000000000000004
PARK7_HUMAN	AN32A_HUMAN	0.8
PARK7_HUMAN	WBP11_HUMAN	3.2
PARK7_HUMAN	SEP11_HUMAN	0.64
PARK7_HUMAN	PRKN_HUMAN	11.8
PARK7_HUMAN	RAB1A_HUMAN	2.4000000000000004
PARK7_HUMAN	ARI2_HUMAN	0.8
PARK7_HUMAN	KKCC2_HUMAN	4
PARK7_HUMAN	DPYL2_HUMAN	0.64
PARK7_HUMAN	EF2_HUMAN	5.28
PARK7_HUMAN	TBB5_HUMAN	0.64
PARK7_HUMAN	PGK1_HUMAN	0.8
PARK7_HUMAN	PARK7_HUMAN	113.28
PARK7_HUMAN	SAE2_HUMAN	2
PARK7_HUMAN	BBS1_HUMAN	5.8
PARK7_HUMAN	GLUT4_HUMAN	0.64
PARK7_HUMAN	2AAB_HUMAN	1.6
PARK7_HUMAN	SLX4_HUMAN	0.8
PARK7_HUMAN	UBP19_HUMAN	1.6
PARK7_HUMAN	BABA1_HUMAN	1.6
PARK7_HUMAN	MTA2_HUMAN	4.2
PARK7_HUMAN	CLCF1_HUMAN	1.8
PARK7_HUMAN	OTU7B_HUMAN	6.8
PARK7_HUMAN	MTEF1_HUMAN	0.8
PARK7_HUMAN	FADD_HUMAN	13
PARK7_HUMAN	RACK1_HUMAN	5.6
PARK7_HUMAN	P5CR1_HUMAN	5
PARK7_HUMAN	OTUB1_HUMAN	3.2
PARK7_HUMAN	LRRK2_HUMAN	2.4000000000000004
PARK7_HUMAN	TR150_HUMAN	4.0
PARK7_HUMAN	THOC4_HUMAN	4.0
PARK7_HUMAN	SPNDC_HUMAN	1.6
PARK7_HUMAN	BCLF1_HUMAN	4.640000000000001
PARK7_HUMAN	BOLA2_HUMAN	4.0
PARK7_HUMAN	H2A1B_HUMAN	4.8
PARK7_HUMAN	DREB_HUMAN	4.640000000000001
PARK7_HUMAN	SERB1_HUMAN	3.2
PARK7_HUMAN	THIO_HUMAN	2.4000000000000004
PARK7_HUMAN	TMOD3_HUMAN	3.2
PARK7_HUMAN	ML12A_HUMAN	4.0
PARK7_HUMAN	PPM1B_HUMAN	1.6
PARK7_HUMAN	ACTBM_HUMAN	2.4000000000000004
PARK7_HUMAN	TPIS_HUMAN	3.6800000000000006
PARK7_HUMAN	CHTOP_HUMAN	4.640000000000001
PARK7_HUMAN	LIMA1_HUMAN	3.2
PARK7_HUMAN	TRAP1_HUMAN	2.4000000000000004
PARK7_HUMAN	OAT_HUMAN	2.4000000000000004
PARK7_HUMAN	TAB1_HUMAN	1.6
PARK7_HUMAN	ILF2_HUMAN	4.0
PARK7_HUMAN	HNRDL_HUMAN	4.640000000000001
PARK7_HUMAN	DKC1_HUMAN	3.2
PARK7_HUMAN	MDHM_HUMAN	1.6
PARK7_HUMAN	PRDX3_HUMAN	2.4000000000000004
PARK7_HUMAN	TPM3_HUMAN	6.08
PARK7_HUMAN	HORN_HUMAN	2.4000000000000004
PARK7_HUMAN	TCPQ_HUMAN	4.0
PARK7_HUMAN	IMDH2_HUMAN	1.6
PARK7_HUMAN	EIF3B_HUMAN	3.2
PARK7_HUMAN	RA1L2_HUMAN	4.0
PARK7_HUMAN	RT18B_HUMAN	1.6
PARK7_HUMAN	HDGR2_HUMAN	2.24
PARK7_HUMAN	ODPA_HUMAN	1.6
PARK7_HUMAN	SSBP_HUMAN	3.2
PARK7_HUMAN	PRP4_HUMAN	3.2
PARK7_HUMAN	TMOD2_HUMAN	3.8400000000000007
PARK7_HUMAN	GEMI4_HUMAN	1.6
PARK7_HUMAN	ECHA_HUMAN	1.6
PARK7_HUMAN	PININ_HUMAN	4.0
PARK7_HUMAN	SAP18_HUMAN	4.0
PARK7_HUMAN	DLDH_HUMAN	2.24
PARK7_HUMAN	ODPB_HUMAN	3.8400000000000007
PARK7_HUMAN	PDIA6_HUMAN	3.2
PARK7_HUMAN	CPSF6_HUMAN	4.0
PARK7_HUMAN	HS905_HUMAN	1.6
PARK7_HUMAN	TIF1B_HUMAN	4.8
PARK7_HUMAN	RT09_HUMAN	3.2
PARK7_HUMAN	MYH11_HUMAN	3.8400000000000007
PARK7_HUMAN	C1TC_HUMAN	2.4000000000000004
PARK7_HUMAN	SODC_HUMAN	6.4799999999999995
PARK7_HUMAN	PPM1D_HUMAN	1.6
PARK7_HUMAN	PPTC7_HUMAN	1.6
PARK7_HUMAN	PHOP1_HUMAN	1.6
PARK7_HUMAN	CFTR_HUMAN	13.600000000000003
PARK7_HUMAN	M3K7_HUMAN	1.6
PARK7_HUMAN	RIPK4_HUMAN	0.8
PARK7_HUMAN	MYLK4_HUMAN	1.6
PARK7_HUMAN	CDKL3_HUMAN	1.6
PARK7_HUMAN	NEK7_HUMAN	1.6
PARK7_HUMAN	LIN37_HUMAN	0.8
PARK7_HUMAN	LIN54_HUMAN	0.8
PARK7_HUMAN	P66B_HUMAN	1.6
PARK7_HUMAN	RBBP7_HUMAN	1.6
PARK7_HUMAN	CHD2_HUMAN	0.8
PARK7_HUMAN	HDAC1_HUMAN	5.8
PARK7_HUMAN	MBD3_HUMAN	1.6
PARK7_HUMAN	MTA1_HUMAN	4.6
PARK7_HUMAN	RBBP4_HUMAN	1.6
PARK7_HUMAN	TR10A_HUMAN	1
PARK7_HUMAN	VATA_HUMAN	0.64
PARK7_HUMAN	IKBE_HUMAN	0.64
PARK7_HUMAN	ITM2B_HUMAN	1.28
