UniProtID	UniProtID	score
PCDH1_HUMAN	ITPI2_HUMAN	1.6
PCDH1_HUMAN	SMAD3_HUMAN	1.6
PCDH1_HUMAN	NXPH3_HUMAN	0.8
PCDH1_HUMAN	DKKL1_HUMAN	0.8
PCDH1_HUMAN	PCDAB_HUMAN	0.8
PCDH1_HUMAN	RASH_HUMAN	0.8
PCDH1_HUMAN	CD4_HUMAN	0.8
PCDH1_HUMAN	MCAF1_HUMAN	0.8
PCDH1_HUMAN	ABCA2_HUMAN	1.6
PCDH1_HUMAN	TRIB1_HUMAN	1.6
PCDH1_HUMAN	C19L2_HUMAN	1.6
PCDH1_HUMAN	TF3C3_HUMAN	1.6
PCDH1_HUMAN	ZNFX1_HUMAN	1.6
PCDH1_HUMAN	DCAF4_HUMAN	0.8
PCDH1_HUMAN	ALBU_HUMAN	1.6
PCDH1_HUMAN	CAC1C_HUMAN	0.8
PCDH1_HUMAN	VKOR1_HUMAN	0.8
PCDH1_HUMAN	ACBP_HUMAN	0.8
PCDH1_HUMAN	HNRPL_HUMAN	0.8
PCDH1_HUMAN	VIR_HUMAN	0.8
PCDH1_HUMAN	SPSB4_HUMAN	0.8
PCDH1_HUMAN	GPM6A_HUMAN	0.8
PCDH1_HUMAN	RYK_HUMAN	0.8
PCDH1_HUMAN	CORT_HUMAN	0.8
PCDH1_HUMAN	LY86_HUMAN	0.8
PCDH1_HUMAN	CRLF1_HUMAN	0.8
PCDH1_HUMAN	SPSB2_HUMAN	0.8
PCDH1_HUMAN	ARL4D_HUMAN	0.8
PCDH1_HUMAN	SGCA_HUMAN	0.8
PCDH1_HUMAN	FCGRN_HUMAN	0.8
PCDH1_HUMAN	GPX7_HUMAN	0.8
PCDH1_HUMAN	I13R2_HUMAN	0.8
PCDH1_HUMAN	MO2R1_HUMAN	0.8
PCDH1_HUMAN	PVR_HUMAN	0.8
PCDH1_HUMAN	CLC4A_HUMAN	0.8
PCDH1_HUMAN	PD1L2_HUMAN	0.8
PCDH1_HUMAN	NXPH1_HUMAN	0.8
PCDH1_HUMAN	NXPH2_HUMAN	0.8
PCDH1_HUMAN	KI3L1_HUMAN	0.8
PCDH1_HUMAN	SDF2L_HUMAN	0.8
PCDH1_HUMAN	BSSP4_HUMAN	0.8
PCDH1_HUMAN	IFNE_HUMAN	0.8
PCDH1_HUMAN	VSIG4_HUMAN	0.8
PCDH1_HUMAN	BY55_HUMAN	0.8
PCDH1_HUMAN	SRP14_HUMAN	0.8
PCDH1_HUMAN	IL20_HUMAN	0.8
PCDH1_HUMAN	ICAM2_HUMAN	0.8
PCDH1_HUMAN	PLPR2_HUMAN	0.8
PCDH1_HUMAN	CD48_HUMAN	0.8
PCDH1_HUMAN	CD70_HUMAN	0.8
PCDH1_HUMAN	PCDG4_HUMAN	0.8
PCDH1_HUMAN	UPK2_HUMAN	0.8
PCDH1_HUMAN	LIRB4_HUMAN	0.8
PCDH1_HUMAN	ICOS_HUMAN	0.8
PCDH1_HUMAN	SIA8B_HUMAN	0.8
PCDH1_HUMAN	PCDB7_HUMAN	0.8
PCDH1_HUMAN	CADH8_HUMAN	0.8
PCDH1_HUMAN	CEA21_HUMAN	0.8
PCDH1_HUMAN	FLRT1_HUMAN	0.8
PCDH1_HUMAN	CAD12_HUMAN	0.8
PCDH1_HUMAN	CBLN4_HUMAN	0.8
PCDH1_HUMAN	ITA5_HUMAN	0.8
PCDH1_HUMAN	RAE1E_HUMAN	0.8
PCDH1_HUMAN	MICA_HUMAN	0.8
PCDH1_HUMAN	SACA1_HUMAN	0.8
PCDH1_HUMAN	PCD20_HUMAN	0.8
PCDH1_HUMAN	IL1R2_HUMAN	0.8
PCDH1_HUMAN	TM11A_HUMAN	0.8
PCDH1_HUMAN	LRN4L_HUMAN	0.8
PCDH1_HUMAN	FCGR1_HUMAN	0.8
PCDH1_HUMAN	PRG2_HUMAN	0.8
PCDH1_HUMAN	CADH1_HUMAN	0.8
PCDH1_HUMAN	RASN_HUMAN	0.8
PCDH1_HUMAN	MUC18_HUMAN	0.8
