UniProtID	UniProtID	score
PDK3_HUMAN	ESR1_HUMAN	2.4000000000000004
PDK3_HUMAN	HNRPM_HUMAN	0.8
PDK3_HUMAN	TERA_HUMAN	1.6
PDK3_HUMAN	A4_HUMAN	0.8
PDK3_HUMAN	TCPH_HUMAN	3.2
PDK3_HUMAN	HS90B_HUMAN	1.6
PDK3_HUMAN	MPPA_HUMAN	0.8
PDK3_HUMAN	EGFR_HUMAN	3.84
PDK3_HUMAN	HS90A_HUMAN	1.6
PDK3_HUMAN	C1QBP_HUMAN	0.8
PDK3_HUMAN	TCPE_HUMAN	3.2
PDK3_HUMAN	MIF_HUMAN	0.8
PDK3_HUMAN	TCPG_HUMAN	3.2
PDK3_HUMAN	LONM_HUMAN	0.8
PDK3_HUMAN	DHX30_HUMAN	0.8
PDK3_HUMAN	UTRN_HUMAN	1.6
PDK3_HUMAN	CDC73_HUMAN	1.28
PDK3_HUMAN	CIC_HUMAN	0.8
PDK3_HUMAN	CYLD_HUMAN	0.8
PDK3_HUMAN	PRKN_HUMAN	1.6
PDK3_HUMAN	IF2M_HUMAN	0.8
PDK3_HUMAN	DVL2_HUMAN	0.8
PDK3_HUMAN	ESR2_HUMAN	0.8
PDK3_HUMAN	CHIP_HUMAN	1.6
PDK3_HUMAN	TCPA_HUMAN	3.2
PDK3_HUMAN	TCPB_HUMAN	3.2
PDK3_HUMAN	RFA1_HUMAN	0.8
PDK3_HUMAN	RFA2_HUMAN	0.8
PDK3_HUMAN	RFA3_HUMAN	0.8
PDK3_HUMAN	ODPX_HUMAN	2.4000000000000004
PDK3_HUMAN	CH60_HUMAN	4.8
PDK3_HUMAN	STA5A_HUMAN	2.4000000000000004
PDK3_HUMAN	ODP2_HUMAN	32.04
PDK3_HUMAN	JUN_HUMAN	0.8
PDK3_HUMAN	CUL3_HUMAN	0.8
PDK3_HUMAN	STIP1_HUMAN	1.6
PDK3_HUMAN	SYNPO_HUMAN	0.8
PDK3_HUMAN	TNIP2_HUMAN	0.8
PDK3_HUMAN	CC90B_HUMAN	0.8
PDK3_HUMAN	ODPB_HUMAN	2.4000000000000004
PDK3_HUMAN	PGRC1_HUMAN	0.8
PDK3_HUMAN	MRM1_HUMAN	0.8
PDK3_HUMAN	TCPD_HUMAN	3.2
PDK3_HUMAN	SC6A4_HUMAN	0.64
PDK3_HUMAN	AICDA_HUMAN	0.64
PDK3_HUMAN	HSC20_HUMAN	2.4000000000000004
PDK3_HUMAN	CFTR_HUMAN	3.2
PDK3_HUMAN	MDHM_HUMAN	0.8
PDK3_HUMAN	CISY_HUMAN	1.6
PDK3_HUMAN	AT2A2_HUMAN	1.6
PDK3_HUMAN	DLDH_HUMAN	3.2
PDK3_HUMAN	SSBP_HUMAN	0.8
PDK3_HUMAN	HSF1_HUMAN	2
PDK3_HUMAN	LPPRC_HUMAN	0.8
PDK3_HUMAN	HERC5_HUMAN	0.8
PDK3_HUMAN	TCPZ_HUMAN	3.2
PDK3_HUMAN	TCPQ_HUMAN	3.2
PDK3_HUMAN	EFTU_HUMAN	0.8
PDK3_HUMAN	ODPA_HUMAN	4.84
PDK3_HUMAN	CUL4A_HUMAN	1.6
PDK3_HUMAN	TRAP1_HUMAN	0.8
PDK3_HUMAN	FACD2_HUMAN	0.64
PDK3_HUMAN	GRSF1_HUMAN	0.8
PDK3_HUMAN	ICT1_HUMAN	3.04
PDK3_HUMAN	UCRI_HUMAN	0.8
PDK3_HUMAN	TFAM_HUMAN	0.8
PDK3_HUMAN	UBR7_HUMAN	1.6
PDK3_HUMAN	HLTF_HUMAN	1.6
PDK3_HUMAN	ECD_HUMAN	1.6
PDK3_HUMAN	ACAP2_HUMAN	1.6
PDK3_HUMAN	PDK1_HUMAN	5.6
PDK3_HUMAN	ACAD9_HUMAN	3.2
PDK3_HUMAN	FOXD4_HUMAN	2.4000000000000004
PDK3_HUMAN	NDUS7_HUMAN	2.4000000000000004
PDK3_HUMAN	PDK4_HUMAN	5.6
PDK3_HUMAN	ODPAT_HUMAN	2.4000000000000004
PDK3_HUMAN	IF1AX_HUMAN	1.6
PDK3_HUMAN	PDK2_HUMAN	4.0
PDK3_HUMAN	DNLZ_HUMAN	2.4000000000000004
PDK3_HUMAN	SYT12_HUMAN	2.4000000000000004
PDK3_HUMAN	HDHD5_HUMAN	4.0
PDK3_HUMAN	SIM26_HUMAN	1.6
PDK3_HUMAN	HMGA2_HUMAN	0.64
PDK3_HUMAN	FDFT_HUMAN	1.6
PDK3_HUMAN	ACPM_HUMAN	0.8
PDK3_HUMAN	CLPP_HUMAN	3.2
PDK3_HUMAN	MGST3_HUMAN	0.8
PDK3_HUMAN	TR61B_HUMAN	1.6
PDK3_HUMAN	FHI2B_HUMAN	0.8
PDK3_HUMAN	WDTC1_HUMAN	0.64
PDK3_HUMAN	WWOX_HUMAN	0.8
PDK3_HUMAN	RECQ4_HUMAN	0.8
PDK3_HUMAN	VIR_HUMAN	0.8
PDK3_HUMAN	PKHA4_HUMAN	0.8
PDK3_HUMAN	INS_HUMAN	0.8
PDK3_HUMAN	CFAD_HUMAN	0.64
PDK3_HUMAN	FNDC5_HUMAN	0.64
PDK3_HUMAN	TULP3_HUMAN	0.8
