UniProtID	UniProtID	score
PDLI5_HUMAN	SRBS2_HUMAN	0.64
PDLI5_HUMAN	GRB2_HUMAN	0.64
PDLI5_HUMAN	ARHG7_HUMAN	0.64
PDLI5_HUMAN	SRBS1_HUMAN	0.64
PDLI5_HUMAN	SRGP2_HUMAN	0.64
PDLI5_HUMAN	RBP1_HUMAN	1.92
PDLI5_HUMAN	CTNB1_HUMAN	0.8
PDLI5_HUMAN	EXOC4_HUMAN	0.64
PDLI5_HUMAN	ACTN1_HUMAN	0.8
PDLI5_HUMAN	SH3G1_HUMAN	0.64
PDLI5_HUMAN	NGEF_HUMAN	0.64
PDLI5_HUMAN	CBL_HUMAN	0.8
PDLI5_HUMAN	DOCK1_HUMAN	0.64
PDLI5_HUMAN	TRI25_HUMAN	0.8
PDLI5_HUMAN	YAP1_HUMAN	1.6
PDLI5_HUMAN	PIAS3_HUMAN	0.64
PDLI5_HUMAN	PLEC_HUMAN	0.64
PDLI5_HUMAN	GLI2_HUMAN	0.64
PDLI5_HUMAN	SQSTM_HUMAN	0.8
PDLI5_HUMAN	SMAD3_HUMAN	1.6
PDLI5_HUMAN	PROF2_HUMAN	0.8
PDLI5_HUMAN	RAF1_HUMAN	0.8
PDLI5_HUMAN	TRI39_HUMAN	1.6
PDLI5_HUMAN	FLNC_HUMAN	0.8
PDLI5_HUMAN	CKAP5_HUMAN	0.8
PDLI5_HUMAN	RIN3_HUMAN	1.6
PDLI5_HUMAN	DLGP4_HUMAN	0.64
PDLI5_HUMAN	SOS1_HUMAN	0.64
PDLI5_HUMAN	HDAC6_HUMAN	0.8
PDLI5_HUMAN	HSP7C_HUMAN	1.6
PDLI5_HUMAN	ARAF_HUMAN	0.8
PDLI5_HUMAN	RPGF2_HUMAN	0.64
PDLI5_HUMAN	HNRPK_HUMAN	0.8
PDLI5_HUMAN	HSPB1_HUMAN	0.8
PDLI5_HUMAN	LMNA_HUMAN	0.8
PDLI5_HUMAN	VIME_HUMAN	0.8
PDLI5_HUMAN	RB11A_HUMAN	0.8
PDLI5_HUMAN	MP2K1_HUMAN	0.8
PDLI5_HUMAN	MP2K2_HUMAN	0.8
PDLI5_HUMAN	BRCA1_HUMAN	1.6
PDLI5_HUMAN	1433B_HUMAN	0.8
PDLI5_HUMAN	DMD_HUMAN	0.64
PDLI5_HUMAN	MKNK1_HUMAN	0.64
PDLI5_HUMAN	PP1A_HUMAN	1.6
PDLI5_HUMAN	HD_HUMAN	7.199999999999999
PDLI5_HUMAN	CYBP_HUMAN	0.8
PDLI5_HUMAN	KINH_HUMAN	0.8
PDLI5_HUMAN	RANB9_HUMAN	0.8
PDLI5_HUMAN	NUCL_HUMAN	0.8
PDLI5_HUMAN	ATX1_HUMAN	4.8
PDLI5_HUMAN	UBC_HUMAN	0.8
PDLI5_HUMAN	ZYX_HUMAN	4.640000000000001
PDLI5_HUMAN	STA13_HUMAN	0.64
PDLI5_HUMAN	DYR1A_HUMAN	1.6
PDLI5_HUMAN	CSN5_HUMAN	0.8
PDLI5_HUMAN	DISC1_HUMAN	1.44
PDLI5_HUMAN	KPYM_HUMAN	0.8
PDLI5_HUMAN	SPTB2_HUMAN	0.8
PDLI5_HUMAN	TM1L2_HUMAN	0.64
PDLI5_HUMAN	PSD11_HUMAN	0.8
PDLI5_HUMAN	TPM2_HUMAN	1.6
PDLI5_HUMAN	PDLI7_HUMAN	4.8
PDLI5_HUMAN	VINC_HUMAN	0.8
PDLI5_HUMAN	MED4_HUMAN	1.6
PDLI5_HUMAN	TTC3_HUMAN	1.28
PDLI5_HUMAN	ACTB_HUMAN	0.8
PDLI5_HUMAN	DEST_HUMAN	0.8
PDLI5_HUMAN	STAU1_HUMAN	0.8
PDLI5_HUMAN	STAM1_HUMAN	0.64
PDLI5_HUMAN	ARFP2_HUMAN	0.8
PDLI5_HUMAN	GNAI3_HUMAN	0.64
PDLI5_HUMAN	FHL1_HUMAN	0.64
PDLI5_HUMAN	PROF1_HUMAN	0.8
PDLI5_HUMAN	RHDF2_HUMAN	0.8
PDLI5_HUMAN	TOM70_HUMAN	0.64
PDLI5_HUMAN	TPM1_HUMAN	0.8
PDLI5_HUMAN	MIB1_HUMAN	0.8
PDLI5_HUMAN	PLIN3_HUMAN	0.8
PDLI5_HUMAN	E41L2_HUMAN	0.8
PDLI5_HUMAN	SLMAP_HUMAN	0.64
PDLI5_HUMAN	PREX1_HUMAN	0.64
PDLI5_HUMAN	SYT11_HUMAN	1.6
PDLI5_HUMAN	HNRPL_HUMAN	0.8
PDLI5_HUMAN	DYHC1_HUMAN	0.8
PDLI5_HUMAN	AKA12_HUMAN	0.64
PDLI5_HUMAN	PSA4_HUMAN	0.8
PDLI5_HUMAN	PSA7_HUMAN	0.8
PDLI5_HUMAN	GBF1_HUMAN	0.8
PDLI5_HUMAN	TPD52_HUMAN	0.8
