UniProtID	UniProtID	score
PESC_HUMAN	RL19_HUMAN	0.6
PESC_HUMAN	STAU1_HUMAN	0.8
PESC_HUMAN	CTRO_HUMAN	0.8
PESC_HUMAN	FAS_HUMAN	0.8
PESC_HUMAN	RL6_HUMAN	0.6
PESC_HUMAN	ARRB1_HUMAN	1.6
PESC_HUMAN	RL13_HUMAN	0.6
PESC_HUMAN	DDRGK_HUMAN	0.8
PESC_HUMAN	RL37A_HUMAN	0.6
PESC_HUMAN	RL9_HUMAN	0.6
PESC_HUMAN	RL32_HUMAN	0.6
PESC_HUMAN	MYH9_HUMAN	0.8
PESC_HUMAN	RL35_HUMAN	0.6
PESC_HUMAN	RL3_HUMAN	0.6
PESC_HUMAN	RL23A_HUMAN	0.6
PESC_HUMAN	RS6_HUMAN	3.0000000000000004
PESC_HUMAN	RL18A_HUMAN	1.4
PESC_HUMAN	PARP1_HUMAN	0.8
PESC_HUMAN	RL10A_HUMAN	0.6
PESC_HUMAN	RL7A_HUMAN	1.4
PESC_HUMAN	RL29_HUMAN	0.6
PESC_HUMAN	PHB_HUMAN	0.8
PESC_HUMAN	UBC_HUMAN	0.6
PESC_HUMAN	RL27_HUMAN	1.4
PESC_HUMAN	RL7_HUMAN	1.4
PESC_HUMAN	HD_HUMAN	2.4000000000000004
PESC_HUMAN	HNRPK_HUMAN	0.64
PESC_HUMAN	AP3B1_HUMAN	1.6
PESC_HUMAN	RL34_HUMAN	0.6
PESC_HUMAN	NGDN_HUMAN	0.6
PESC_HUMAN	RL15_HUMAN	0.6
PESC_HUMAN	RS9_HUMAN	0.6
PESC_HUMAN	RLA1_HUMAN	0.6
PESC_HUMAN	PESC_HUMAN	3.5999999999999996
PESC_HUMAN	CUL3_HUMAN	1.6
PESC_HUMAN	NP1L4_HUMAN	2.2
PESC_HUMAN	RL31_HUMAN	2.2
PESC_HUMAN	RS14_HUMAN	0.6
PESC_HUMAN	RL12_HUMAN	0.6
PESC_HUMAN	RS24_HUMAN	0.8
PESC_HUMAN	RL18_HUMAN	0.6
PESC_HUMAN	RLA2_HUMAN	0.6
PESC_HUMAN	LYN_HUMAN	0.8
PESC_HUMAN	ARRB2_HUMAN	1.6
PESC_HUMAN	EIF3E_HUMAN	0.6
PESC_HUMAN	RL5_HUMAN	0.6
PESC_HUMAN	RL11_HUMAN	0.6
PESC_HUMAN	DNJB6_HUMAN	0.8
PESC_HUMAN	RL28_HUMAN	0.6
PESC_HUMAN	RL4_HUMAN	1.4
PESC_HUMAN	RL30_HUMAN	0.6
PESC_HUMAN	CAND1_HUMAN	1.6
PESC_HUMAN	RL21_HUMAN	0.6
PESC_HUMAN	A4_HUMAN	0.8
PESC_HUMAN	CAPR1_HUMAN	1.6
PESC_HUMAN	KIF2A_HUMAN	0.8
PESC_HUMAN	RL24_HUMAN	0.6
PESC_HUMAN	RS2_HUMAN	0.6
PESC_HUMAN	FKB15_HUMAN	0.6
PESC_HUMAN	UBB_HUMAN	0.6
PESC_HUMAN	CSK21_HUMAN	1.6
PESC_HUMAN	PDIA3_HUMAN	0.8
PESC_HUMAN	RL40_HUMAN	1.4
PESC_HUMAN	RS27A_HUMAN	0.6
PESC_HUMAN	RL36_HUMAN	2.2
PESC_HUMAN	RL27A_HUMAN	1.4
PESC_HUMAN	NP1L1_HUMAN	2.2
PESC_HUMAN	RL26_HUMAN	0.6
PESC_HUMAN	RL8_HUMAN	1.4
PESC_HUMAN	MAP1B_HUMAN	1.6
PESC_HUMAN	RRBP1_HUMAN	1.44
PESC_HUMAN	RL38_HUMAN	1.4
PESC_HUMAN	GNL1_HUMAN	1.4
PESC_HUMAN	RL22_HUMAN	0.6
PESC_HUMAN	RL37_HUMAN	0.6
PESC_HUMAN	RL13A_HUMAN	0.6
PESC_HUMAN	RL23_HUMAN	1.4
PESC_HUMAN	RLA0_HUMAN	0.6
PESC_HUMAN	RL14_HUMAN	0.6
RL19_HUMAN	STAU1_HUMAN	0.8
RL19_HUMAN	CTRO_HUMAN	0.8
RL19_HUMAN	RL6_HUMAN	2.8400000000000003
