UniProtID	UniProtID	score
PFKAL_HUMAN	ESR1_HUMAN	2.4000000000000004
PFKAL_HUMAN	EF1A1_HUMAN	1.44
PFKAL_HUMAN	LNX1_HUMAN	0.64
PFKAL_HUMAN	NMDE2_HUMAN	0.64
PFKAL_HUMAN	LCK_HUMAN	0.8
PFKAL_HUMAN	PABP1_HUMAN	0.8
PFKAL_HUMAN	FAF2_HUMAN	2.4000000000000004
PFKAL_HUMAN	LRRF1_HUMAN	0.8
PFKAL_HUMAN	RELB_HUMAN	0.8
PFKAL_HUMAN	HNRL1_HUMAN	0.8
PFKAL_HUMAN	SFPQ_HUMAN	1.44
PFKAL_HUMAN	SHAN3_HUMAN	2.24
PFKAL_HUMAN	CUL7_HUMAN	0.8
PFKAL_HUMAN	HDAC6_HUMAN	0.8
PFKAL_HUMAN	A4_HUMAN	0.8
PFKAL_HUMAN	TAU_HUMAN	0.64
PFKAL_HUMAN	MK01_HUMAN	0.64
PFKAL_HUMAN	HSP7C_HUMAN	1.6
PFKAL_HUMAN	1433Z_HUMAN	1.28
PFKAL_HUMAN	KAP1_HUMAN	0.64
PFKAL_HUMAN	HDAC2_HUMAN	0.8
PFKAL_HUMAN	PRC1_HUMAN	0.8
PFKAL_HUMAN	RYBP_HUMAN	0.8
PFKAL_HUMAN	EZH2_HUMAN	0.8
PFKAL_HUMAN	HNRPK_HUMAN	0.64
PFKAL_HUMAN	ATN1_HUMAN	1.6
PFKAL_HUMAN	SNW1_HUMAN	2.4000000000000004
PFKAL_HUMAN	BIP_HUMAN	0.8
PFKAL_HUMAN	1433T_HUMAN	0.8
PFKAL_HUMAN	BRCA1_HUMAN	0.8
PFKAL_HUMAN	M3K3_HUMAN	0.8
PFKAL_HUMAN	TESK1_HUMAN	1.6
PFKAL_HUMAN	CYBP_HUMAN	0.8
PFKAL_HUMAN	DDR2_HUMAN	1.6
PFKAL_HUMAN	EGFR_HUMAN	1.6
PFKAL_HUMAN	ATX1_HUMAN	0.64
PFKAL_HUMAN	NEB2_HUMAN	0.64
PFKAL_HUMAN	IFM1_HUMAN	0.8
PFKAL_HUMAN	DDB1_HUMAN	1.44
PFKAL_HUMAN	PML_HUMAN	0.8
PFKAL_HUMAN	UBC_HUMAN	0.64
PFKAL_HUMAN	EF1G_HUMAN	1.44
PFKAL_HUMAN	G3P_HUMAN	0.8
PFKAL_HUMAN	PR40A_HUMAN	1.6
PFKAL_HUMAN	SUMO2_HUMAN	0.8
PFKAL_HUMAN	CSN6_HUMAN	1.6
PFKAL_HUMAN	ANGI_HUMAN	0.8
PFKAL_HUMAN	DISC1_HUMAN	1.6
PFKAL_HUMAN	KPYM_HUMAN	0.8
PFKAL_HUMAN	PFKAM_HUMAN	8.84
PFKAL_HUMAN	MD2L1_HUMAN	1.28
PFKAL_HUMAN	TSNAX_HUMAN	1.6
PFKAL_HUMAN	SCAI_HUMAN	1.28
PFKAL_HUMAN	TMEDA_HUMAN	1.28
PFKAL_HUMAN	CE162_HUMAN	1.6
PFKAL_HUMAN	PFKAP_HUMAN	3.2
PFKAL_HUMAN	NEK4_HUMAN	1.6
PFKAL_HUMAN	PRD16_HUMAN	2.08
PFKAL_HUMAN	MECOM_HUMAN	2.08
PFKAL_HUMAN	LRRK2_HUMAN	2.24
PFKAL_HUMAN	ZDHC5_HUMAN	0.8
PFKAL_HUMAN	VCAM1_HUMAN	2.4000000000000004
PFKAL_HUMAN	FINC_HUMAN	1.6
PFKAL_HUMAN	HMGA2_HUMAN	0.64
