UniProtID	UniProtID	score
PFKAM_HUMAN	PFKAM_HUMAN	9.2
PFKAM_HUMAN	CKAP5_HUMAN	1.6
PFKAM_HUMAN	CALM1_HUMAN	1.28
PFKAM_HUMAN	CTRO_HUMAN	0.8
PFKAM_HUMAN	PHB_HUMAN	0.8
PFKAM_HUMAN	PP1A_HUMAN	0.64
PFKAM_HUMAN	AKT1_HUMAN	0.6
PFKAM_HUMAN	UBC_HUMAN	0.8
PFKAM_HUMAN	LCK_HUMAN	0.8
PFKAM_HUMAN	1433Z_HUMAN	1.28
PFKAM_HUMAN	HGS_HUMAN	0.8
PFKAM_HUMAN	CXA1_HUMAN	0.64
PFKAM_HUMAN	NDUS1_HUMAN	0.64
PFKAM_HUMAN	CALM3_HUMAN	1.28
PFKAM_HUMAN	CY1_HUMAN	0.64
PFKAM_HUMAN	TAU_HUMAN	2.08
PFKAM_HUMAN	EF1A1_HUMAN	0.8
PFKAM_HUMAN	CAP2_HUMAN	0.64
PFKAM_HUMAN	NOS1_HUMAN	2.24
PFKAM_HUMAN	ZDHC5_HUMAN	1.6
PFKAM_HUMAN	PICAL_HUMAN	0.8
PFKAM_HUMAN	IDH3G_HUMAN	0.64
PFKAM_HUMAN	CAZA2_HUMAN	1.6
PFKAM_HUMAN	DLG4_HUMAN	0.64
PFKAM_HUMAN	TKT_HUMAN	0.6
PFKAM_HUMAN	HSP7C_HUMAN	0.8
PFKAM_HUMAN	ADT1_HUMAN	0.64
PFKAM_HUMAN	TBG1_HUMAN	1.28
PFKAM_HUMAN	ENOA_HUMAN	0.6
PFKAM_HUMAN	SFPQ_HUMAN	0.8
PFKAM_HUMAN	ARNT_HUMAN	0.8
PFKAM_HUMAN	TRPV1_HUMAN	0.64
PFKAM_HUMAN	KPYR_HUMAN	0.6
PFKAM_HUMAN	MK03_HUMAN	1.6
PFKAM_HUMAN	ALDOC_HUMAN	0.6
PFKAM_HUMAN	PGRC1_HUMAN	0.8
PFKAM_HUMAN	PTPRF_HUMAN	0.8
PFKAM_HUMAN	TBA1A_HUMAN	1.6
PFKAM_HUMAN	TBB2B_HUMAN	0.64
PFKAM_HUMAN	NBEA_HUMAN	2.0
PFKAM_HUMAN	TPIS_HUMAN	0.6
PFKAM_HUMAN	TALDO_HUMAN	0.6
