UniProtID	UniProtID	score
PGAM5_HUMAN	DLG4_HUMAN	1.92
PGAM5_HUMAN	HCK_HUMAN	1.6
PGAM5_HUMAN	ESR1_HUMAN	2.4000000000000004
PGAM5_HUMAN	CBL_HUMAN	0.8
PGAM5_HUMAN	TRI25_HUMAN	0.8
PGAM5_HUMAN	YAP1_HUMAN	0.8
PGAM5_HUMAN	KEAP1_HUMAN	8.8
PGAM5_HUMAN	SQSTM_HUMAN	0.8
PGAM5_HUMAN	MAVS_HUMAN	1
PGAM5_HUMAN	ATX3_HUMAN	0.8
PGAM5_HUMAN	RAF1_HUMAN	0.8
PGAM5_HUMAN	NKX21_HUMAN	0.8
PGAM5_HUMAN	TGON2_HUMAN	1.6
PGAM5_HUMAN	DPOD1_HUMAN	0.8
PGAM5_HUMAN	CD2AP_HUMAN	1.28
PGAM5_HUMAN	BRD4_HUMAN	0.8
PGAM5_HUMAN	HDAC6_HUMAN	0.8
PGAM5_HUMAN	ECT2_HUMAN	1.6
PGAM5_HUMAN	ASXL1_HUMAN	1.6
PGAM5_HUMAN	ANK2_HUMAN	0.8
PGAM5_HUMAN	FUBP2_HUMAN	0.8
PGAM5_HUMAN	F16P1_HUMAN	0.8
PGAM5_HUMAN	1433E_HUMAN	0.64
PGAM5_HUMAN	PP1G_HUMAN	0.8
PGAM5_HUMAN	M3K5_HUMAN	2.8
PGAM5_HUMAN	CDK7_HUMAN	0.8
PGAM5_HUMAN	PRC1_HUMAN	0.8
PGAM5_HUMAN	RNPS1_HUMAN	0.8
PGAM5_HUMAN	EZH2_HUMAN	0.8
PGAM5_HUMAN	LMNA_HUMAN	1.6
PGAM5_HUMAN	H4_HUMAN	0.8
PGAM5_HUMAN	BRCA1_HUMAN	0.8
PGAM5_HUMAN	B2CL1_HUMAN	1.6400000000000001
PGAM5_HUMAN	KSR1_HUMAN	0.64
PGAM5_HUMAN	VAV_HUMAN	1.6
PGAM5_HUMAN	RANB9_HUMAN	0.8
PGAM5_HUMAN	KAP0_HUMAN	1.6
PGAM5_HUMAN	NDKA_HUMAN	2.4000000000000004
PGAM5_HUMAN	MAP1B_HUMAN	0.8
PGAM5_HUMAN	ATX1_HUMAN	0.64
PGAM5_HUMAN	PAK1_HUMAN	1.6
PGAM5_HUMAN	SETB1_HUMAN	1.6
PGAM5_HUMAN	RNF5_HUMAN	3
PGAM5_HUMAN	ANDR_HUMAN	0.8
PGAM5_HUMAN	PHB2_HUMAN	3.5999999999999996
PGAM5_HUMAN	BARD1_HUMAN	0.8
PGAM5_HUMAN	CHD3_HUMAN	0.8
PGAM5_HUMAN	BRD7_HUMAN	0.8
PGAM5_HUMAN	DYR1A_HUMAN	1.6
PGAM5_HUMAN	CSN5_HUMAN	1.6
PGAM5_HUMAN	DISC1_HUMAN	0.64
PGAM5_HUMAN	RRBP1_HUMAN	0.8
PGAM5_HUMAN	CALX_HUMAN	1.6
PGAM5_HUMAN	LC7L2_HUMAN	0.8
PGAM5_HUMAN	VIGLN_HUMAN	0.8
PGAM5_HUMAN	SNIP1_HUMAN	0.8
PGAM5_HUMAN	HUWE1_HUMAN	1.44
PGAM5_HUMAN	MERL_HUMAN	0.8
PGAM5_HUMAN	PAXI_HUMAN	3.2
PGAM5_HUMAN	BIRC3_HUMAN	0.8
PGAM5_HUMAN	DNJB6_HUMAN	0.8
PGAM5_HUMAN	NF2L2_HUMAN	1
PGAM5_HUMAN	TBA1A_HUMAN	1.6
PGAM5_HUMAN	LRC59_HUMAN	0.8
PGAM5_HUMAN	MYCN_HUMAN	0.8
PGAM5_HUMAN	MIB1_HUMAN	0.8
PGAM5_HUMAN	EZRI_HUMAN	1.6
PGAM5_HUMAN	CP135_HUMAN	0.8
PGAM5_HUMAN	CP110_HUMAN	1.6
PGAM5_HUMAN	SHRPN_HUMAN	0.8
PGAM5_HUMAN	KS6A3_HUMAN	1.6
PGAM5_HUMAN	CEP63_HUMAN	2.4000000000000004
PGAM5_HUMAN	SYGP1_HUMAN	0.8
PGAM5_HUMAN	HS71B_HUMAN	2.24
PGAM5_HUMAN	HS71A_HUMAN	2.24
PGAM5_HUMAN	CIC_HUMAN	0.8
PGAM5_HUMAN	CYLD_HUMAN	0.8
PGAM5_HUMAN	PRKN_HUMAN	2.4000000000000004
PGAM5_HUMAN	ZBT16_HUMAN	1.6
PGAM5_HUMAN	NDC80_HUMAN	0.8
PGAM5_HUMAN	MYOME_HUMAN	1.28
PGAM5_HUMAN	RING2_HUMAN	0.8
PGAM5_HUMAN	DVL2_HUMAN	0.8
PGAM5_HUMAN	RECQ1_HUMAN	0.8
PGAM5_HUMAN	RBM8A_HUMAN	1.28
PGAM5_HUMAN	FINC_HUMAN	1.6
PGAM5_HUMAN	CHM4B_HUMAN	0.8
PGAM5_HUMAN	UB2R1_HUMAN	0.8
PGAM5_HUMAN	UBE2H_HUMAN	0.8
PGAM5_HUMAN	RBX1_HUMAN	1.6400000000000001
PGAM5_HUMAN	HABP4_HUMAN	0.8
PGAM5_HUMAN	SERB1_HUMAN	0.8
PGAM5_HUMAN	UBE4B_HUMAN	0.8
PGAM5_HUMAN	RON_HUMAN	1.6
PGAM5_HUMAN	HDAC5_HUMAN	0.8
PGAM5_HUMAN	NTRK1_HUMAN	0.8
PGAM5_HUMAN	AIFM1_HUMAN	4.0
PGAM5_HUMAN	PAXI1_HUMAN	0.8
PGAM5_HUMAN	GLI1_HUMAN	0.8
PGAM5_HUMAN	RFA1_HUMAN	0.8
PGAM5_HUMAN	RFA2_HUMAN	0.8
PGAM5_HUMAN	RFA3_HUMAN	0.8
PGAM5_HUMAN	RPB3_HUMAN	0.8
PGAM5_HUMAN	LRC8E_HUMAN	1.6
PGAM5_HUMAN	TNIP1_HUMAN	0.8
PGAM5_HUMAN	BIRC2_HUMAN	3
PGAM5_HUMAN	EP300_HUMAN	0.8
PGAM5_HUMAN	DHB4_HUMAN	0.8
PGAM5_HUMAN	TMED2_HUMAN	1.28
PGAM5_HUMAN	FGR_HUMAN	2.4000000000000004
PGAM5_HUMAN	JUN_HUMAN	0.8
PGAM5_HUMAN	MYC_HUMAN	2.4000000000000004
PGAM5_HUMAN	SOCS6_HUMAN	1.6
PGAM5_HUMAN	CUL3_HUMAN	3.4000000000000004
PGAM5_HUMAN	STIP1_HUMAN	0.8
PGAM5_HUMAN	SYNPO_HUMAN	0.8
PGAM5_HUMAN	TENS2_HUMAN	4.0
PGAM5_HUMAN	TTL12_HUMAN	1.28
PGAM5_HUMAN	DCPS_HUMAN	0.8
PGAM5_HUMAN	COR1B_HUMAN	0.8
PGAM5_HUMAN	TNIP2_HUMAN	0.8
PGAM5_HUMAN	CHM4C_HUMAN	0.8
PGAM5_HUMAN	MIA40_HUMAN	0.8
PGAM5_HUMAN	FBW1A_HUMAN	0.8
PGAM5_HUMAN	DBLOH_HUMAN	0.8
PGAM5_HUMAN	ZN746_HUMAN	0.8
PGAM5_HUMAN	U5S1_HUMAN	0.8
PGAM5_HUMAN	MIC19_HUMAN	0.8
PGAM5_HUMAN	OSGEP_HUMAN	1.28
PGAM5_HUMAN	CAPZB_HUMAN	0.8
PGAM5_HUMAN	RU17_HUMAN	0.8
PGAM5_HUMAN	ILF3_HUMAN	0.8
PGAM5_HUMAN	PRP8_HUMAN	0.8
PGAM5_HUMAN	IF4A3_HUMAN	1.6
PGAM5_HUMAN	SC6A4_HUMAN	0.64
PGAM5_HUMAN	KIF23_HUMAN	0.8
PGAM5_HUMAN	ANM1_HUMAN	0.8
PGAM5_HUMAN	LRRK2_HUMAN	1.6
PGAM5_HUMAN	KTN1_HUMAN	0.8
PGAM5_HUMAN	STB5L_HUMAN	0.64
PGAM5_HUMAN	A16A1_HUMAN	0.8
PGAM5_HUMAN	CTRO_HUMAN	0.8
PGAM5_HUMAN	TBA1C_HUMAN	1.6
PGAM5_HUMAN	NUPR1_HUMAN	0.8
PGAM5_HUMAN	RNF31_HUMAN	0.8
PGAM5_HUMAN	EMC7_HUMAN	0.8
PGAM5_HUMAN	WWP2_HUMAN	0.8
PGAM5_HUMAN	CFTR_HUMAN	4.0
PGAM5_HUMAN	SMUF1_HUMAN	0.8
PGAM5_HUMAN	ZRAN1_HUMAN	2.4000000000000004
PGAM5_HUMAN	MGN_HUMAN	2.24
PGAM5_HUMAN	G3BP1_HUMAN	0.8
PGAM5_HUMAN	ZO2_HUMAN	2.4000000000000004
PGAM5_HUMAN	COX41_HUMAN	0.8
PGAM5_HUMAN	SFXN1_HUMAN	0.8
PGAM5_HUMAN	STRN3_HUMAN	1.6
PGAM5_HUMAN	PHB1_HUMAN	1
PGAM5_HUMAN	HSF1_HUMAN	0.8
PGAM5_HUMAN	XIAP_HUMAN	3.8
PGAM5_HUMAN	STRN_HUMAN	1.6
PGAM5_HUMAN	NDUA4_HUMAN	1.6
PGAM5_HUMAN	LIMA1_HUMAN	0.8
PGAM5_HUMAN	LAP2A_HUMAN	0.8
PGAM5_HUMAN	ERF1_HUMAN	0.8
PGAM5_HUMAN	NCBP1_HUMAN	0.8
PGAM5_HUMAN	UBXN4_HUMAN	0.8
PGAM5_HUMAN	BMI1_HUMAN	1.6
PGAM5_HUMAN	AGO4_HUMAN	2.24
PGAM5_HUMAN	SLX4_HUMAN	5.6
PGAM5_HUMAN	UBP11_HUMAN	1.6
PGAM5_HUMAN	OSB10_HUMAN	1.6
PGAM5_HUMAN	FTM_HUMAN	0.64
PGAM5_HUMAN	RIPK3_HUMAN	2.6
PGAM5_HUMAN	MYH7B_HUMAN	1.6
PGAM5_HUMAN	ZSC26_HUMAN	1.6
PGAM5_HUMAN	CDK2_HUMAN	1.6
PGAM5_HUMAN	SMC1A_HUMAN	1.28
PGAM5_HUMAN	RRP1B_HUMAN	0.8
PGAM5_HUMAN	ZCH18_HUMAN	4.0
PGAM5_HUMAN	NEK4_HUMAN	1.6
PGAM5_HUMAN	PRD16_HUMAN	1.28
PGAM5_HUMAN	MECOM_HUMAN	1.28
PGAM5_HUMAN	SH3L1_HUMAN	1.6
PGAM5_HUMAN	BLK_HUMAN	1.6
PGAM5_HUMAN	NCBP3_HUMAN	1.6
PGAM5_HUMAN	VCAM1_HUMAN	2.4000000000000004
PGAM5_HUMAN	T2FB_HUMAN	1.6
PGAM5_HUMAN	MICA3_HUMAN	0.8
PGAM5_HUMAN	SCRB2_HUMAN	1.6
PGAM5_HUMAN	SP7_HUMAN	1.6
PGAM5_HUMAN	KLF16_HUMAN	1.6
PGAM5_HUMAN	SOX6_HUMAN	1.6
PGAM5_HUMAN	LITD1_HUMAN	0.8
PGAM5_HUMAN	ITM2B_HUMAN	1.28
PGAM5_HUMAN	CNDD3_HUMAN	0.8
PGAM5_HUMAN	HCN1_HUMAN	0.8
PGAM5_HUMAN	CK5P2_HUMAN	1.6
PGAM5_HUMAN	CE192_HUMAN	2.4000000000000004
PGAM5_HUMAN	ODFP2_HUMAN	1.6
PGAM5_HUMAN	POC5_HUMAN	1.6
PGAM5_HUMAN	TOP3A_HUMAN	0.64
PGAM5_HUMAN	MD2L2_HUMAN	0.64
PGAM5_HUMAN	HDGF_HUMAN	2.24
PGAM5_HUMAN	CUL4B_HUMAN	2.24
PGAM5_HUMAN	BAP1_HUMAN	1.6
PGAM5_HUMAN	KATIP_HUMAN	0.8
PGAM5_HUMAN	PHS_HUMAN	0.8
PGAM5_HUMAN	ICT1_HUMAN	1.44
PGAM5_HUMAN	SIR7_HUMAN	0.8
PGAM5_HUMAN	PINK1_HUMAN	4.4
PGAM5_HUMAN	MDC1_HUMAN	0.8
PGAM5_HUMAN	ASB3_HUMAN	0.8
PGAM5_HUMAN	ASB10_HUMAN	0.8
PGAM5_HUMAN	ASB14_HUMAN	0.8
PGAM5_HUMAN	ASB18_HUMAN	0.8
PGAM5_HUMAN	HAUS1_HUMAN	0.8
PGAM5_HUMAN	CCDC8_HUMAN	0.8
PGAM5_HUMAN	SUZ12_HUMAN	0.8
PGAM5_HUMAN	PGAM5_HUMAN	289.6
PGAM5_HUMAN	FACD2_HUMAN	1.44
PGAM5_HUMAN	CLC14_HUMAN	0.8
PGAM5_HUMAN	ZN598_HUMAN	0.8
PGAM5_HUMAN	EGLN3_HUMAN	0.8
PGAM5_HUMAN	RMD5A_HUMAN	0.8
