UniProtID	UniProtID	score
PGCB_HUMAN	PTPRZ_HUMAN	0.6
PGCB_HUMAN	TENR_HUMAN	2.04
PGCB_HUMAN	TENA_HUMAN	0.6
PGCB_HUMAN	GPC4_HUMAN	0.6
PGCB_HUMAN	CSPG5_HUMAN	0.6
PGCB_HUMAN	GPC6_HUMAN	0.6
PGCB_HUMAN	CSPG2_HUMAN	2.2
PGCB_HUMAN	1433B_HUMAN	0.64
PGCB_HUMAN	A4_HUMAN	2.4000000000000004
PGCB_HUMAN	PRIO_HUMAN	2.4000000000000004
PGCB_HUMAN	AGRIN_HUMAN	0.6
PGCB_HUMAN	NCAN_HUMAN	0.6
PGCB_HUMAN	B3GA3_HUMAN	0.6
PGCB_HUMAN	GPC1_HUMAN	0.6
PGCB_HUMAN	LYN_HUMAN	2.4000000000000004
PTPRZ_HUMAN	PTPRZ_HUMAN	7.2
PTPRZ_HUMAN	TENR_HUMAN	1.6400000000000001
PTPRZ_HUMAN	PRIO_HUMAN	2.4000000000000004
PTPRZ_HUMAN	NCAN_HUMAN	0.6
TENR_HUMAN	CSPG2_HUMAN	0.6
TENR_HUMAN	1433B_HUMAN	0.64
TENR_HUMAN	PRIO_HUMAN	2.4000000000000004
TENR_HUMAN	NCAN_HUMAN	2.24
TENA_HUMAN	TENA_HUMAN	10.8
TENA_HUMAN	CSPG2_HUMAN	0.6
TENA_HUMAN	A4_HUMAN	0.6
TENA_HUMAN	PRIO_HUMAN	2.4000000000000004
TENA_HUMAN	NCAN_HUMAN	2.24
GPC4_HUMAN	CSPG5_HUMAN	0.6
GPC4_HUMAN	GPC6_HUMAN	2.2
GPC4_HUMAN	CSPG2_HUMAN	0.6
GPC4_HUMAN	AGRIN_HUMAN	0.6
GPC4_HUMAN	NCAN_HUMAN	0.6
GPC4_HUMAN	B3GA3_HUMAN	0.6
GPC4_HUMAN	GPC1_HUMAN	0.6
CSPG5_HUMAN	GPC6_HUMAN	0.6
CSPG5_HUMAN	CSPG2_HUMAN	0.6
CSPG5_HUMAN	1433B_HUMAN	0.64
CSPG5_HUMAN	AGRIN_HUMAN	0.6
CSPG5_HUMAN	NCAN_HUMAN	0.6
CSPG5_HUMAN	B3GA3_HUMAN	0.6
CSPG5_HUMAN	GPC1_HUMAN	0.6
GPC6_HUMAN	CSPG2_HUMAN	0.6
GPC6_HUMAN	AGRIN_HUMAN	0.6
GPC6_HUMAN	NCAN_HUMAN	0.6
GPC6_HUMAN	B3GA3_HUMAN	0.6
GPC6_HUMAN	GPC1_HUMAN	0.6
CSPG2_HUMAN	1433B_HUMAN	0.64
CSPG2_HUMAN	A4_HUMAN	0.6
CSPG2_HUMAN	AGRIN_HUMAN	0.6
CSPG2_HUMAN	NCAN_HUMAN	0.6
CSPG2_HUMAN	B3GA3_HUMAN	0.6
CSPG2_HUMAN	GPC1_HUMAN	0.6
1433B_HUMAN	1433B_HUMAN	60.40000000000001
1433B_HUMAN	A4_HUMAN	3.84
1433B_HUMAN	PRIO_HUMAN	0.64
1433B_HUMAN	NCAN_HUMAN	0.64
A4_HUMAN	A4_HUMAN	2360.8
A4_HUMAN	PRIO_HUMAN	7.279999999999999
A4_HUMAN	GPC1_HUMAN	0.6
A4_HUMAN	LYN_HUMAN	2.4000000000000004
PRIO_HUMAN	PRIO_HUMAN	461.2799999999998
PRIO_HUMAN	GPC1_HUMAN	0.6
AGRIN_HUMAN	AGRIN_HUMAN	6.3999999999999995
AGRIN_HUMAN	NCAN_HUMAN	0.6
AGRIN_HUMAN	B3GA3_HUMAN	0.6
AGRIN_HUMAN	GPC1_HUMAN	0.6
NCAN_HUMAN	B3GA3_HUMAN	0.6
NCAN_HUMAN	GPC1_HUMAN	0.6
B3GA3_HUMAN	B3GA3_HUMAN	8.0
B3GA3_HUMAN	GPC1_HUMAN	0.6
GPC1_HUMAN	GPC1_HUMAN	16.0
GPC1_HUMAN	LYN_HUMAN	0.6
LYN_HUMAN	LYN_HUMAN	8.799999999999999
