UniProtID	UniProtID	score
PGRC1_HUMAN	LRC59_HUMAN	0.8
PGRC1_HUMAN	REEP5_HUMAN	0.8
PGRC1_HUMAN	ADRB2_HUMAN	0.8
PGRC1_HUMAN	PP1A_HUMAN	0.8
PGRC1_HUMAN	USP9X_HUMAN	0.8
PGRC1_HUMAN	DPP6_HUMAN	0.64
PGRC1_HUMAN	SUCB1_HUMAN	1.28
PGRC1_HUMAN	OST48_HUMAN	1.6
PGRC1_HUMAN	VDAC1_HUMAN	2.4000000000000004
PGRC1_HUMAN	MARCS_HUMAN	0.8
PGRC1_HUMAN	MPRIP_HUMAN	0.8
PGRC1_HUMAN	DDRGK_HUMAN	0.8
PGRC1_HUMAN	RPN1_HUMAN	0.8
PGRC1_HUMAN	PGRC1_HUMAN	9.84
PGRC1_HUMAN	ACHB4_HUMAN	0.6
PGRC1_HUMAN	STOM_HUMAN	0.6
PGRC1_HUMAN	RPN2_HUMAN	0.8
PGRC1_HUMAN	LTOR1_HUMAN	0.6
PGRC1_HUMAN	STX12_HUMAN	0.64
PGRC1_HUMAN	UBA1_HUMAN	0.8
PGRC1_HUMAN	UBE3C_HUMAN	0.8
PGRC1_HUMAN	KCRB_HUMAN	0.8
PGRC1_HUMAN	RASK_HUMAN	0.8
PGRC1_HUMAN	ADA10_HUMAN	0.6
PGRC1_HUMAN	PHB_HUMAN	0.8
PGRC1_HUMAN	ST38L_HUMAN	3.2
PGRC1_HUMAN	SSRA_HUMAN	0.8
PGRC1_HUMAN	SNP25_HUMAN	0.6
PGRC1_HUMAN	RAB35_HUMAN	0.8
PGRC1_HUMAN	UBR4_HUMAN	1.4
PGRC1_HUMAN	PTPRS_HUMAN	0.8
PGRC1_HUMAN	ACTG_HUMAN	1.28
PGRC1_HUMAN	AP1M1_HUMAN	0.6
PGRC1_HUMAN	TIM16_HUMAN	1.6
PGRC1_HUMAN	NDKB_HUMAN	0.8
PGRC1_HUMAN	ANO6_HUMAN	0.6
PGRC1_HUMAN	AT8A1_HUMAN	0.6
PGRC1_HUMAN	CD59_HUMAN	0.6
PGRC1_HUMAN	RAB4A_HUMAN	0.8
PGRC1_HUMAN	MP2K2_HUMAN	0.8
PGRC1_HUMAN	CUL3_HUMAN	1.6
PGRC1_HUMAN	UBP5_HUMAN	0.8
PGRC1_HUMAN	KAPCA_HUMAN	1.6
PGRC1_HUMAN	NCDN_HUMAN	0.8
PGRC1_HUMAN	1433B_HUMAN	0.64
PGRC1_HUMAN	STX4_HUMAN	0.8
PGRC1_HUMAN	MIC27_HUMAN	0.64
PGRC1_HUMAN	KCAB2_HUMAN	0.6
PGRC1_HUMAN	M2OM_HUMAN	0.64
PGRC1_HUMAN	FKBP8_HUMAN	0.8
PGRC1_HUMAN	LMNB1_HUMAN	0.8
PGRC1_HUMAN	CDK5_HUMAN	0.8
PGRC1_HUMAN	UBL4A_HUMAN	0.8
PGRC1_HUMAN	SFXN1_HUMAN	1.6
PGRC1_HUMAN	DNJB4_HUMAN	0.8
PGRC1_HUMAN	HNRH1_HUMAN	0.8
PGRC1_HUMAN	PDK3_HUMAN	0.8
PGRC1_HUMAN	PTN23_HUMAN	0.8
PGRC1_HUMAN	ARF6_HUMAN	0.8
PGRC1_HUMAN	MP2K7_HUMAN	0.8
PGRC1_HUMAN	ADT1_HUMAN	0.64
PGRC1_HUMAN	VDAC2_HUMAN	0.64
PGRC1_HUMAN	MTOR_HUMAN	0.8
PGRC1_HUMAN	PSN1_HUMAN	1.6
PGRC1_HUMAN	P2RX1_HUMAN	0.6
PGRC1_HUMAN	PTPRO_HUMAN	0.8
PGRC1_HUMAN	SNP23_HUMAN	0.6
PGRC1_HUMAN	PFKAP_HUMAN	0.8
PGRC1_HUMAN	HCD2_HUMAN	1.6
PGRC1_HUMAN	VHL_HUMAN	0.8
PGRC1_HUMAN	UBB_HUMAN	0.8
PGRC1_HUMAN	MAGF1_HUMAN	0.8
PGRC1_HUMAN	PFKAM_HUMAN	0.8
PGRC1_HUMAN	PGAM1_HUMAN	0.8
PGRC1_HUMAN	ABCD3_HUMAN	1.6
PGRC1_HUMAN	VATD_HUMAN	0.6
PGRC1_HUMAN	MIC60_HUMAN	1.28
PGRC1_HUMAN	RAB7A_HUMAN	0.64
PGRC1_HUMAN	ADT2_HUMAN	0.64
PGRC1_HUMAN	TIM14_HUMAN	0.8
PGRC1_HUMAN	AT2A1_HUMAN	0.8
PGRC1_HUMAN	DNJB1_HUMAN	0.8
PGRC1_HUMAN	CALX_HUMAN	4.84
PGRC1_HUMAN	2A5D_HUMAN	0.8
PGRC1_HUMAN	RS20_HUMAN	0.8
PGRC1_HUMAN	NCPR_HUMAN	7.04
PGRC1_HUMAN	AGRIN_HUMAN	0.8
PGRC1_HUMAN	RAB5C_HUMAN	0.8
