UniProtID	UniProtID	score
PHB1_HUMAN	GRB2_HUMAN	1.6
PHB1_HUMAN	SNX9_HUMAN	0.8
PHB1_HUMAN	ESR1_HUMAN	1
PHB1_HUMAN	EF1A1_HUMAN	2.08
PHB1_HUMAN	SYUA_HUMAN	1.28
PHB1_HUMAN	SMCA2_HUMAN	4
PHB1_HUMAN	ACTN1_HUMAN	1
PHB1_HUMAN	ADA10_HUMAN	0.8
PHB1_HUMAN	HNRPM_HUMAN	0.8
PHB1_HUMAN	IRS4_HUMAN	0.8
PHB1_HUMAN	CBL_HUMAN	0.8
PHB1_HUMAN	PABP1_HUMAN	0.8
PHB1_HUMAN	LAR4B_HUMAN	0.8
PHB1_HUMAN	TRI25_HUMAN	0.8
PHB1_HUMAN	KLF5_HUMAN	1.6
PHB1_HUMAN	RNF11_HUMAN	0.8
PHB1_HUMAN	YAP1_HUMAN	0.8
PHB1_HUMAN	MAGD1_HUMAN	0.8
PHB1_HUMAN	PP6R3_HUMAN	0.8
PHB1_HUMAN	CLH1_HUMAN	1.6
PHB1_HUMAN	P53_HUMAN	9
PHB1_HUMAN	PLEC_HUMAN	0.8
PHB1_HUMAN	IMB1_HUMAN	0.8
PHB1_HUMAN	NU155_HUMAN	0.8
PHB1_HUMAN	MLP3B_HUMAN	0.8
PHB1_HUMAN	MLP3A_HUMAN	3
PHB1_HUMAN	SQSTM_HUMAN	0.8
PHB1_HUMAN	ATG2A_HUMAN	0.8
PHB1_HUMAN	TITIN_HUMAN	0.8
PHB1_HUMAN	TPTE_HUMAN	2.4000000000000004
PHB1_HUMAN	HNRL1_HUMAN	0.8
PHB1_HUMAN	NCOR1_HUMAN	1
PHB1_HUMAN	GBRL1_HUMAN	0.8
PHB1_HUMAN	GBRL2_HUMAN	0.8
PHB1_HUMAN	RM49_HUMAN	0.8
PHB1_HUMAN	NPM_HUMAN	1.6
PHB1_HUMAN	ITCH_HUMAN	0.8
PHB1_HUMAN	RBM14_HUMAN	0.8
PHB1_HUMAN	DYN2_HUMAN	0.8
PHB1_HUMAN	SFPQ_HUMAN	0.8
PHB1_HUMAN	TERA_HUMAN	1.6
PHB1_HUMAN	ATX3_HUMAN	0.8
PHB1_HUMAN	RAF1_HUMAN	6.6
PHB1_HUMAN	M4K1_HUMAN	1.6
PHB1_HUMAN	HNRPR_HUMAN	0.8
PHB1_HUMAN	NKX21_HUMAN	0.8
PHB1_HUMAN	FLNC_HUMAN	0.8
PHB1_HUMAN	SF3B4_HUMAN	0.8
PHB1_HUMAN	DPOD1_HUMAN	0.8
PHB1_HUMAN	RIMS1_HUMAN	0.8
PHB1_HUMAN	RIN3_HUMAN	0.8
PHB1_HUMAN	G3BP2_HUMAN	1.44
PHB1_HUMAN	CUL7_HUMAN	0.8
PHB1_HUMAN	FLNA_HUMAN	0.8
PHB1_HUMAN	BRD4_HUMAN	1.6
PHB1_HUMAN	RL13_HUMAN	0.8
PHB1_HUMAN	HDAC6_HUMAN	0.8
PHB1_HUMAN	ECT2_HUMAN	0.8
PHB1_HUMAN	SYDC_HUMAN	0.8
PHB1_HUMAN	FUBP2_HUMAN	0.8
PHB1_HUMAN	RIT1_HUMAN	0.8
PHB1_HUMAN	MAP4_HUMAN	0.8
PHB1_HUMAN	TAU_HUMAN	0.64
PHB1_HUMAN	DDX3X_HUMAN	0.8
PHB1_HUMAN	MK01_HUMAN	0.8
PHB1_HUMAN	1433E_HUMAN	0.8
PHB1_HUMAN	BAG1_HUMAN	0.8
PHB1_HUMAN	HSP7C_HUMAN	0.8
PHB1_HUMAN	TCPH_HUMAN	0.8
PHB1_HUMAN	4F2_HUMAN	0.8
PHB1_HUMAN	VAPA_HUMAN	1.6
PHB1_HUMAN	HS90B_HUMAN	2.4000000000000004
PHB1_HUMAN	1433Z_HUMAN	2.24
PHB1_HUMAN	IF2A_HUMAN	0.8
PHB1_HUMAN	PTBP1_HUMAN	0.8
PHB1_HUMAN	TOM40_HUMAN	0.8
PHB1_HUMAN	PTN1_HUMAN	1.6
PHB1_HUMAN	ATX2_HUMAN	0.8
PHB1_HUMAN	CDK7_HUMAN	0.8
PHB1_HUMAN	PRC1_HUMAN	0.8
PHB1_HUMAN	TF3C1_HUMAN	1.6
PHB1_HUMAN	PHF8_HUMAN	0.8
PHB1_HUMAN	KLF8_HUMAN	1.6
PHB1_HUMAN	SF3B2_HUMAN	0.8
PHB1_HUMAN	ZFR_HUMAN	0.8
PHB1_HUMAN	EZH2_HUMAN	0.8
PHB1_HUMAN	REPI1_HUMAN	0.8
PHB1_HUMAN	MPPA_HUMAN	0.8
PHB1_HUMAN	HNRPK_HUMAN	0.8
PHB1_HUMAN	RS6_HUMAN	0.8
PHB1_HUMAN	HSPB1_HUMAN	0.8
PHB1_HUMAN	RAB4A_HUMAN	0.8
PHB1_HUMAN	LMNA_HUMAN	1.6
PHB1_HUMAN	FGFR1_HUMAN	0.8
PHB1_HUMAN	BIP_HUMAN	2.4000000000000004
PHB1_HUMAN	TNR6B_HUMAN	0.8
PHB1_HUMAN	AGO2_HUMAN	1.6
PHB1_HUMAN	RAPH1_HUMAN	0.8
PHB1_HUMAN	IRS1_HUMAN	1.44
PHB1_HUMAN	RB11A_HUMAN	2.8800000000000003
PHB1_HUMAN	H4_HUMAN	1.6
PHB1_HUMAN	HCD2_HUMAN	1.6
PHB1_HUMAN	BRAF_HUMAN	1.44
PHB1_HUMAN	1433T_HUMAN	0.8
PHB1_HUMAN	DTNA_HUMAN	0.8
PHB1_HUMAN	PCBP2_HUMAN	0.8
PHB1_HUMAN	PCBP1_HUMAN	0.8
PHB1_HUMAN	1433B_HUMAN	1.8
PHB1_HUMAN	RB_HUMAN	5
