UniProtID	UniProtID	score
PICAL_HUMAN	PLCG1_HUMAN	1
PICAL_HUMAN	RAC3_HUMAN	0.8
PICAL_HUMAN	EF1A1_HUMAN	1.6
PICAL_HUMAN	RBP1_HUMAN	1.6
PICAL_HUMAN	ITSN1_HUMAN	1.44
PICAL_HUMAN	WNK1_HUMAN	0.8
PICAL_HUMAN	CBL_HUMAN	0.8
PICAL_HUMAN	TEN1_HUMAN	0.8
PICAL_HUMAN	UNK_HUMAN	1.44
PICAL_HUMAN	EPS15_HUMAN	4.0
PICAL_HUMAN	PELI2_HUMAN	1.6
PICAL_HUMAN	FHL2_HUMAN	8
PICAL_HUMAN	GLUT4_HUMAN	0.64
PICAL_HUMAN	YBOX1_HUMAN	0.8
PICAL_HUMAN	BMP2K_HUMAN	3.2
PICAL_HUMAN	P3C2A_HUMAN	3.2
PICAL_HUMAN	AP2B1_HUMAN	3.84
PICAL_HUMAN	GTSE1_HUMAN	4.0
PICAL_HUMAN	DEN1A_HUMAN	1.6
PICAL_HUMAN	PRC2B_HUMAN	1.6
PICAL_HUMAN	MICA3_HUMAN	1.6
PICAL_HUMAN	SC16A_HUMAN	1.6
PICAL_HUMAN	SEC13_HUMAN	1.6
PICAL_HUMAN	STON2_HUMAN	1.6
PICAL_HUMAN	CLH2_HUMAN	3.2
PICAL_HUMAN	DAB2_HUMAN	1.6
PICAL_HUMAN	GAK_HUMAN	2.4000000000000004
PICAL_HUMAN	HIP1R_HUMAN	3.2
PICAL_HUMAN	FCHO2_HUMAN	1.6
PICAL_HUMAN	OCRL_HUMAN	0.8
PICAL_HUMAN	KI67_HUMAN	1.6
PICAL_HUMAN	ZDHC5_HUMAN	0.8
PICAL_HUMAN	VCAM1_HUMAN	3.2
PICAL_HUMAN	FINC_HUMAN	1.6
PICAL_HUMAN	ODO2_HUMAN	3.8400000000000007
PICAL_HUMAN	CFTR_HUMAN	6.3999999999999995
PICAL_HUMAN	NECP1_HUMAN	0.64
PICAL_HUMAN	VAMP8_HUMAN	3.2
PICAL_HUMAN	VAMP2_HUMAN	1.6
PICAL_HUMAN	VAMP3_HUMAN	1.6
PICAL_HUMAN	XPO1_HUMAN	1.44
PICAL_HUMAN	SCRB2_HUMAN	1.6
PICAL_HUMAN	VMP1_HUMAN	1.6
PICAL_HUMAN	SNW1_HUMAN	1.6
PICAL_HUMAN	CDC5L_HUMAN	1.6
PICAL_HUMAN	ANGI_HUMAN	0.8
PICAL_HUMAN	CYFP1_HUMAN	1.28
PICAL_HUMAN	LITD1_HUMAN	0.8
PICAL_HUMAN	BMI1_HUMAN	0.8
PICAL_HUMAN	PICAL_HUMAN	7.999999999999999
PICAL_HUMAN	SCG1_HUMAN	0.8
PICAL_HUMAN	EPN2_HUMAN	0.8
PICAL_HUMAN	SNX33_HUMAN	0.8
PICAL_HUMAN	ZN521_HUMAN	0.8
PICAL_HUMAN	ANK3_HUMAN	0.8
PICAL_HUMAN	ANK2_HUMAN	0.8
PICAL_HUMAN	EPN1_HUMAN	0.8
PICAL_HUMAN	BAZ2B_HUMAN	0.8
PICAL_HUMAN	NECA1_HUMAN	0.8
PICAL_HUMAN	RU17_HUMAN	0.8
PICAL_HUMAN	TGON2_HUMAN	2.4000000000000004
PICAL_HUMAN	EGFR_HUMAN	2.4000000000000004
PICAL_HUMAN	EPHA5_HUMAN	1.6
PICAL_HUMAN	FGFR1_HUMAN	1.6
PICAL_HUMAN	NTRK1_HUMAN	2.4000000000000004
PICAL_HUMAN	NTRK3_HUMAN	1.6
PICAL_HUMAN	ROR1_HUMAN	1.6
