UniProtID	UniProtID	score
PIN1_HUMAN	PAK2_HUMAN	0.8
PIN1_HUMAN	SPN90_HUMAN	0.8
PIN1_HUMAN	SYUA_HUMAN	3
PIN1_HUMAN	CTNB1_HUMAN	2.6
PIN1_HUMAN	RPR1B_HUMAN	0.8
PIN1_HUMAN	PABP1_HUMAN	0.8
PIN1_HUMAN	WEE1_HUMAN	2.8
PIN1_HUMAN	AF17_HUMAN	3.2
PIN1_HUMAN	P73_HUMAN	2
PIN1_HUMAN	EGR1_HUMAN	0.8
PIN1_HUMAN	P63_HUMAN	5.0
PIN1_HUMAN	YAP1_HUMAN	0.8
PIN1_HUMAN	CENPB_HUMAN	1.6
PIN1_HUMAN	P53_HUMAN	22.200000000000003
PIN1_HUMAN	KEAP1_HUMAN	0.8
PIN1_HUMAN	PRRC1_HUMAN	4.64
PIN1_HUMAN	SP1_HUMAN	2
PIN1_HUMAN	FOSL1_HUMAN	3.2
PIN1_HUMAN	GGA2_HUMAN	1.6
PIN1_HUMAN	SMAD3_HUMAN	7.6
PIN1_HUMAN	AJUBA_HUMAN	3.2
PIN1_HUMAN	SFPQ_HUMAN	0.8
PIN1_HUMAN	RAF1_HUMAN	3.8
PIN1_HUMAN	TGON2_HUMAN	0.8
PIN1_HUMAN	KMT2B_HUMAN	1.6
PIN1_HUMAN	SNX12_HUMAN	0.8
PIN1_HUMAN	CDC27_HUMAN	2.8
PIN1_HUMAN	EFS_HUMAN	0.8
PIN1_HUMAN	SNX3_HUMAN	0.8
PIN1_HUMAN	G3BP2_HUMAN	0.8
PIN1_HUMAN	CUL7_HUMAN	0.8
PIN1_HUMAN	BRD4_HUMAN	0.8
PIN1_HUMAN	DAB2_HUMAN	2
PIN1_HUMAN	LEPR_HUMAN	1.6
PIN1_HUMAN	A4_HUMAN	4.84
PIN1_HUMAN	TAU_HUMAN	9.4
PIN1_HUMAN	DDX3X_HUMAN	0.8
PIN1_HUMAN	1433S_HUMAN	44
PIN1_HUMAN	TF65_HUMAN	1
PIN1_HUMAN	CDN1B_HUMAN	3.8
PIN1_HUMAN	DIDO1_HUMAN	0.8
PIN1_HUMAN	RUNX3_HUMAN	1
PIN1_HUMAN	RARA_HUMAN	1
PIN1_HUMAN	RNPS1_HUMAN	0.8
PIN1_HUMAN	CD11A_HUMAN	0.8
PIN1_HUMAN	TOX3_HUMAN	0.8
PIN1_HUMAN	PAX6_HUMAN	3.2
PIN1_HUMAN	HNRPK_HUMAN	0.8
PIN1_HUMAN	ATN1_HUMAN	0.8
PIN1_HUMAN	RAB4A_HUMAN	1
PIN1_HUMAN	BAG6_HUMAN	0.8
PIN1_HUMAN	STK3_HUMAN	3
PIN1_HUMAN	MP2K1_HUMAN	7.72
PIN1_HUMAN	MP2K2_HUMAN	8.32
PIN1_HUMAN	BRCA1_HUMAN	8.0
PIN1_HUMAN	PCBP2_HUMAN	0.8
PIN1_HUMAN	CTIP_HUMAN	2.4000000000000004
PIN1_HUMAN	RB_HUMAN	0.8
PIN1_HUMAN	KSR1_HUMAN	0.8
PIN1_HUMAN	ZO1_HUMAN	0.8
PIN1_HUMAN	NDKB_HUMAN	0.8
PIN1_HUMAN	DAXX_HUMAN	2
PIN1_HUMAN	KIF5A_HUMAN	2.24
PIN1_HUMAN	SYQ_HUMAN	1.6
PIN1_HUMAN	EIF3G_HUMAN	1.6
PIN1_HUMAN	TSC2_HUMAN	1.6
PIN1_HUMAN	DAB1_HUMAN	4.0
PIN1_HUMAN	CD11B_HUMAN	0.8
PIN1_HUMAN	COF1_HUMAN	0.8
PIN1_HUMAN	BTG2_HUMAN	1
PIN1_HUMAN	RL4_HUMAN	0.8
PIN1_HUMAN	CSK22_HUMAN	2
PIN1_HUMAN	CSK21_HUMAN	4
PIN1_HUMAN	DDB1_HUMAN	0.8
PIN1_HUMAN	ANDR_HUMAN	0.8
PIN1_HUMAN	PML_HUMAN	8.8
PIN1_HUMAN	BARD1_HUMAN	5.4
PIN1_HUMAN	XRCC6_HUMAN	0.8
PIN1_HUMAN	LRIF1_HUMAN	1.6
PIN1_HUMAN	ABI2_HUMAN	6.3999999999999995
PIN1_HUMAN	BCL2_HUMAN	1
PIN1_HUMAN	TRAF6_HUMAN	0.8
PIN1_HUMAN	KPYM_HUMAN	6.4
