UniProtID	UniProtID	score
PKHA1_HUMAN	CRKL_HUMAN	2.24
PKHA1_HUMAN	LYN_HUMAN	0.8
PKHA1_HUMAN	RAC3_HUMAN	0.8
PKHA1_HUMAN	SH3B4_HUMAN	3.6
PKHA1_HUMAN	LATS1_HUMAN	0.8
PKHA1_HUMAN	ATG9A_HUMAN	0.8
PKHA1_HUMAN	LIN7C_HUMAN	0.64
PKHA1_HUMAN	MPDZ_HUMAN	10
PKHA1_HUMAN	TGON2_HUMAN	1.6
PKHA1_HUMAN	1433S_HUMAN	1.6
PKHA1_HUMAN	1433E_HUMAN	1.6
PKHA1_HUMAN	1433Z_HUMAN	1.6
PKHA1_HUMAN	PR15A_HUMAN	2.4000000000000004
PKHA1_HUMAN	RAB4A_HUMAN	0.8
PKHA1_HUMAN	FGFR1_HUMAN	1.6
PKHA1_HUMAN	RB11A_HUMAN	0.8
PKHA1_HUMAN	1433F_HUMAN	3.2
PKHA1_HUMAN	1433T_HUMAN	1.6
PKHA1_HUMAN	AFAD_HUMAN	0.8
PKHA1_HUMAN	IGF1R_HUMAN	1.6
PKHA1_HUMAN	1433B_HUMAN	1.6
PKHA1_HUMAN	INSR_HUMAN	1.6
PKHA1_HUMAN	EGFR_HUMAN	1.6
PKHA1_HUMAN	1433G_HUMAN	3.2
PKHA1_HUMAN	STX4_HUMAN	0.8
PKHA1_HUMAN	CDC42_HUMAN	0.8
PKHA1_HUMAN	RAC1_HUMAN	0.8
PKHA1_HUMAN	PBX2_HUMAN	2.4000000000000004
PKHA1_HUMAN	ELAV1_HUMAN	0.8
PKHA1_HUMAN	STX6_HUMAN	0.8
PKHA1_HUMAN	RAB5A_HUMAN	0.8
PKHA1_HUMAN	RHOA_HUMAN	0.8
PKHA1_HUMAN	EPHA7_HUMAN	1.6
PKHA1_HUMAN	EPHB2_HUMAN	1.6
PKHA1_HUMAN	EPHB6_HUMAN	1.6
PKHA1_HUMAN	CXA1_HUMAN	0.8
PKHA1_HUMAN	CXAR_HUMAN	0.8
PKHA1_HUMAN	ARF6_HUMAN	0.8
PKHA1_HUMAN	EZRI_HUMAN	1.6
PKHA1_HUMAN	RASN_HUMAN	0.8
PKHA1_HUMAN	PTEN_HUMAN	1.6
PKHA1_HUMAN	OCLN_HUMAN	0.8
PKHA1_HUMAN	RASK_HUMAN	1.6
PKHA1_HUMAN	PRKN_HUMAN	0.8
PKHA1_HUMAN	ZFPL1_HUMAN	0.8
PKHA1_HUMAN	RHOU_HUMAN	0.8
PKHA1_HUMAN	FLOT1_HUMAN	0.8
PKHA1_HUMAN	ATG5_HUMAN	0.64
PKHA1_HUMAN	RHOB_HUMAN	1.6
PKHA1_HUMAN	WIPI3_HUMAN	2.4000000000000004
PKHA1_HUMAN	MS3L1_HUMAN	2.4000000000000004
PKHA1_HUMAN	PTN13_HUMAN	9.8
PKHA1_HUMAN	UFO_HUMAN	1.6
PKHA1_HUMAN	LATS2_HUMAN	1.44
PKHA1_HUMAN	TMM17_HUMAN	2.4000000000000004
PKHA1_HUMAN	CEP19_HUMAN	1.6
PKHA1_HUMAN	SCLT1_HUMAN	1.6
PKHA1_HUMAN	LAMP1_HUMAN	2.4000000000000004
PKHA1_HUMAN	ALK_HUMAN	1.6
PKHA1_HUMAN	EPHA4_HUMAN	1.6
PKHA1_HUMAN	EPHA5_HUMAN	1.6
PKHA1_HUMAN	FGFR4_HUMAN	1.6
PKHA1_HUMAN	NTRK1_HUMAN	1.6
PKHA1_HUMAN	NTRK3_HUMAN	1.6
PKHA1_HUMAN	ROR2_HUMAN	1.6
PKHA1_HUMAN	STYK1_HUMAN	1.6
PKHA1_HUMAN	CLD14_HUMAN	2.4000000000000004
PKHA1_HUMAN	PKHA2_HUMAN	1
PKHA1_HUMAN	SNTG1_HUMAN	3
PKHA1_HUMAN	PKHA4_HUMAN	0.8
PKHA1_HUMAN	INS_HUMAN	0.8
PKHA1_HUMAN	ZN610_HUMAN	0.8
PKHA1_HUMAN	LRC61_HUMAN	0.8
PKHA1_HUMAN	F131B_HUMAN	0.8
PKHA1_HUMAN	RHOG_HUMAN	0.8
PKHA1_HUMAN	RHOJ_HUMAN	0.8
PKHA1_HUMAN	RHOQ_HUMAN	0.8
PKHA1_HUMAN	RHOC_HUMAN	0.8
PKHA1_HUMAN	RHOD_HUMAN	0.8
PKHA1_HUMAN	RHOF_HUMAN	0.8
PKHA1_HUMAN	RHOV_HUMAN	0.8
PKHA1_HUMAN	RHOH_HUMAN	0.8
PKHA1_HUMAN	RND2_HUMAN	0.8
PKHA1_HUMAN	RND3_HUMAN	0.8
PKHA1_HUMAN	DOCK7_HUMAN	0.8
PKHA1_HUMAN	ZRAN1_HUMAN	0.8
PKHA1_HUMAN	SPPL3_HUMAN	0.8
PKHA1_HUMAN	FBX7_HUMAN	0.8
PKHA1_HUMAN	CADH1_HUMAN	0.8
PKHA1_HUMAN	DNJC5_HUMAN	0.8
PKHA1_HUMAN	CK052_HUMAN	0.8
PKHA1_HUMAN	CAV1_HUMAN	0.8
PKHA1_HUMAN	DIRA3_HUMAN	0.8
PKHA1_HUMAN	RCAS1_HUMAN	0.8
PKHA1_HUMAN	E41LA_HUMAN	0.8
PKHA1_HUMAN	CXD3_HUMAN	0.8
PKHA1_HUMAN	LAMP2_HUMAN	0.8
PKHA1_HUMAN	LTOR1_HUMAN	0.8
PKHA1_HUMAN	MARCS_HUMAN	0.8
PKHA1_HUMAN	PARD3_HUMAN	0.8
PKHA1_HUMAN	RAB35_HUMAN	0.8
PKHA1_HUMAN	RAB9A_HUMAN	0.8
PKHA1_HUMAN	STX7_HUMAN	0.8
PKHA1_HUMAN	RAB7A_HUMAN	0.8
PKHA1_HUMAN	RNF43_HUMAN	0.8
PKHA1_HUMAN	RAB18_HUMAN	0.64
