UniProtID	UniProtID	score
PNKD_HUMAN	ESR1_HUMAN	2.4000000000000004
PNKD_HUMAN	PP6R2_HUMAN	0.8
PNKD_HUMAN	IF4G3_HUMAN	1.6
PNKD_HUMAN	BUB1_HUMAN	0.64
PNKD_HUMAN	PP6R1_HUMAN	1.6
PNKD_HUMAN	A4_HUMAN	1.6
PNKD_HUMAN	MK03_HUMAN	4.8
PNKD_HUMAN	PEX19_HUMAN	1.6
PNKD_HUMAN	DIAP3_HUMAN	1.6
PNKD_HUMAN	TSC2_HUMAN	1.6
PNKD_HUMAN	DICER_HUMAN	1.6
PNKD_HUMAN	VPS8_HUMAN	1.6
PNKD_HUMAN	PBIP1_HUMAN	2.4000000000000004
PNKD_HUMAN	SMN_HUMAN	0.64
PNKD_HUMAN	GBF1_HUMAN	1.6
PNKD_HUMAN	EXOC5_HUMAN	1.6
PNKD_HUMAN	TRBP2_HUMAN	1.6
PNKD_HUMAN	EXOC7_HUMAN	1.6
PNKD_HUMAN	NU160_HUMAN	0.8
PNKD_HUMAN	TFP11_HUMAN	1.6
PNKD_HUMAN	TBB5_HUMAN	0.64
PNKD_HUMAN	TBB2A_HUMAN	0.8
PNKD_HUMAN	ESR2_HUMAN	0.8
PNKD_HUMAN	EI2BB_HUMAN	0.8
PNKD_HUMAN	PPIB_HUMAN	0.8
PNKD_HUMAN	TNPO2_HUMAN	1.6
PNKD_HUMAN	HOOK2_HUMAN	1.6
PNKD_HUMAN	COX2_HUMAN	0.8
PNKD_HUMAN	STOM_HUMAN	0.8
PNKD_HUMAN	OTUB1_HUMAN	0.8
PNKD_HUMAN	ADDA_HUMAN	0.8
PNKD_HUMAN	ILK_HUMAN	1.6
PNKD_HUMAN	MK06_HUMAN	0.8
PNKD_HUMAN	DX39A_HUMAN	0.8
PNKD_HUMAN	EYA2_HUMAN	0.8
PNKD_HUMAN	KIF23_HUMAN	0.8
PNKD_HUMAN	TBCD5_HUMAN	0.8
PNKD_HUMAN	SETX_HUMAN	1.6
PNKD_HUMAN	AP1B1_HUMAN	1.6
PNKD_HUMAN	RNF31_HUMAN	0.8
PNKD_HUMAN	DYM_HUMAN	1.6
PNKD_HUMAN	DCAF7_HUMAN	0.8
PNKD_HUMAN	TBG1_HUMAN	0.64
PNKD_HUMAN	ZRAN1_HUMAN	0.8
PNKD_HUMAN	SFXN1_HUMAN	0.8
PNKD_HUMAN	PHB1_HUMAN	0.8
PNKD_HUMAN	EIF3J_HUMAN	1.6
PNKD_HUMAN	LPPRC_HUMAN	0.8
PNKD_HUMAN	IPO9_HUMAN	1.6
PNKD_HUMAN	IPO8_HUMAN	1.6
PNKD_HUMAN	STAG1_HUMAN	1.6
PNKD_HUMAN	STAG2_HUMAN	1.6
PNKD_HUMAN	CIP2A_HUMAN	1.6
PNKD_HUMAN	IPO7_HUMAN	1.6
PNKD_HUMAN	ACADM_HUMAN	1.6
PNKD_HUMAN	TBC15_HUMAN	1.6
PNKD_HUMAN	RNBP6_HUMAN	1.6
PNKD_HUMAN	RRP1_HUMAN	1.6
PNKD_HUMAN	RADIL_HUMAN	1.6
PNKD_HUMAN	ATRIP_HUMAN	1.6
PNKD_HUMAN	COA3_HUMAN	0.8
PNKD_HUMAN	MD2L2_HUMAN	1.6
PNKD_HUMAN	FARP2_HUMAN	1.6
PNKD_HUMAN	NPC1_HUMAN	1.44
PNKD_HUMAN	KCTD9_HUMAN	3.2
PNKD_HUMAN	MAGAB_HUMAN	4.0
PNKD_HUMAN	BTAF1_HUMAN	0.8
PNKD_HUMAN	RTF2_HUMAN	0.8
PNKD_HUMAN	EI2BE_HUMAN	0.8
PNKD_HUMAN	EI2BD_HUMAN	1.6
PNKD_HUMAN	KCC1A_HUMAN	1.6
PNKD_HUMAN	HEAT3_HUMAN	1.6
PNKD_HUMAN	CND1_HUMAN	1.6
PNKD_HUMAN	FDFT_HUMAN	0.8
PNKD_HUMAN	SAAL1_HUMAN	1.6
PNKD_HUMAN	CNDD3_HUMAN	0.8
PNKD_HUMAN	KBP_HUMAN	1.6
PNKD_HUMAN	GOLP3_HUMAN	1.6
PNKD_HUMAN	GLP3L_HUMAN	1.6
PNKD_HUMAN	NUP98_HUMAN	1.6
PNKD_HUMAN	XPO4_HUMAN	1.6
PNKD_HUMAN	PRGC2_HUMAN	1.6
PNKD_HUMAN	LIPB1_HUMAN	1.6
PNKD_HUMAN	NUP85_HUMAN	1.6
PNKD_HUMAN	CETN3_HUMAN	1.6
PNKD_HUMAN	SOSSC_HUMAN	1.6
PNKD_HUMAN	ANM9_HUMAN	2.4000000000000004
PNKD_HUMAN	IPO11_HUMAN	1.6
PNKD_HUMAN	DCNL5_HUMAN	1.6
PNKD_HUMAN	TAF12_HUMAN	1.6
PNKD_HUMAN	NU107_HUMAN	0.8
PNKD_HUMAN	ECD_HUMAN	1.6
PNKD_HUMAN	KIF14_HUMAN	1.6
PNKD_HUMAN	GEMI_HUMAN	1.6
PNKD_HUMAN	ASAH1_HUMAN	1.6
PNKD_HUMAN	FBX30_HUMAN	1.6
PNKD_HUMAN	CNDH2_HUMAN	0.8
PNKD_HUMAN	INT3_HUMAN	1.6
PNKD_HUMAN	MLXIP_HUMAN	1.6
PNKD_HUMAN	MIGA1_HUMAN	1.6
PNKD_HUMAN	EI2BG_HUMAN	0.8
PNKD_HUMAN	PJA1_HUMAN	0.8
PNKD_HUMAN	ARMX3_HUMAN	1.6
PNKD_HUMAN	DCA11_HUMAN	1.6
PNKD_HUMAN	LSS_HUMAN	2.4000000000000004
PNKD_HUMAN	AL14E_HUMAN	1.6
PNKD_HUMAN	HAUS7_HUMAN	1.6
PNKD_HUMAN	GEMI2_HUMAN	1.6
PNKD_HUMAN	AR2BP_HUMAN	1.6
PNKD_HUMAN	BIG3_HUMAN	1.6
PNKD_HUMAN	P4R3B_HUMAN	1.6
PNKD_HUMAN	NUP37_HUMAN	0.8
PNKD_HUMAN	GON4L_HUMAN	1.6
PNKD_HUMAN	SCRB2_HUMAN	0.8
PNKD_HUMAN	NICA_HUMAN	0.8
