UniProtID	UniProtID	score
PP1G_HUMAN	SRBS2_HUMAN	0.8
PP1G_HUMAN	GRB2_HUMAN	0.8
PP1G_HUMAN	DLG3_HUMAN	1.28
PP1G_HUMAN	ITSN2_HUMAN	1.44
PP1G_HUMAN	ESR1_HUMAN	5.279999999999999
PP1G_HUMAN	MYL6_HUMAN	0.8
PP1G_HUMAN	SCRIB_HUMAN	7.199999999999999
PP1G_HUMAN	RPR1B_HUMAN	0.8
PP1G_HUMAN	DLG1_HUMAN	0.8
PP1G_HUMAN	NMDE2_HUMAN	0.64
PP1G_HUMAN	ERBIN_HUMAN	8.799999999999999
PP1G_HUMAN	MYO1E_HUMAN	0.8
PP1G_HUMAN	CSKP_HUMAN	0.8
PP1G_HUMAN	HNRPM_HUMAN	0.8
PP1G_HUMAN	MYPN_HUMAN	0.8
PP1G_HUMAN	RBM15_HUMAN	0.8
PP1G_HUMAN	PABP1_HUMAN	0.8
PP1G_HUMAN	TRI25_HUMAN	0.8
PP1G_HUMAN	YAP1_HUMAN	1.6
PP1G_HUMAN	LATS1_HUMAN	1
PP1G_HUMAN	PIAS1_HUMAN	0.8
PP1G_HUMAN	CLH1_HUMAN	0.8
PP1G_HUMAN	P53_HUMAN	3.68
PP1G_HUMAN	K1671_HUMAN	0.8
PP1G_HUMAN	PLEC_HUMAN	0.8
PP1G_HUMAN	IMB1_HUMAN	4.0
PP1G_HUMAN	NU153_HUMAN	3.2
PP1G_HUMAN	UBP7_HUMAN	0.8
PP1G_HUMAN	GRM1_HUMAN	9.76
PP1G_HUMAN	TS101_HUMAN	1.28
PP1G_HUMAN	ITPI2_HUMAN	0.8
PP1G_HUMAN	YLPM1_HUMAN	11.200000000000001
PP1G_HUMAN	MLP3B_HUMAN	2.4000000000000004
PP1G_HUMAN	MLP3A_HUMAN	0.8
PP1G_HUMAN	SP3_HUMAN	1
PP1G_HUMAN	HNRL1_HUMAN	0.8
PP1G_HUMAN	GBRAP_HUMAN	0.8
PP1G_HUMAN	NCOR1_HUMAN	1
PP1G_HUMAN	GBRL2_HUMAN	0.8
PP1G_HUMAN	NPM_HUMAN	1.6
PP1G_HUMAN	RBM14_HUMAN	0.8
PP1G_HUMAN	CD2B2_HUMAN	5.6
PP1G_HUMAN	LIN7C_HUMAN	0.8
PP1G_HUMAN	TERA_HUMAN	10.2
PP1G_HUMAN	RAF1_HUMAN	2.8
PP1G_HUMAN	SHAN3_HUMAN	2.72
PP1G_HUMAN	MAAI_HUMAN	0.8
PP1G_HUMAN	KI67_HUMAN	10.799999999999999
PP1G_HUMAN	CDKL5_HUMAN	0.8
PP1G_HUMAN	DLGP1_HUMAN	1.92
PP1G_HUMAN	CUL7_HUMAN	0.8
PP1G_HUMAN	FLNA_HUMAN	0.8
PP1G_HUMAN	KIF22_HUMAN	0.8
PP1G_HUMAN	FLNB_HUMAN	1.28
PP1G_HUMAN	ASPP2_HUMAN	18.200000000000006
PP1G_HUMAN	TPX2_HUMAN	0.8
PP1G_HUMAN	RL13_HUMAN	2.4000000000000004
PP1G_HUMAN	PPR3D_HUMAN	5.0
PP1G_HUMAN	MYPT1_HUMAN	5.0
PP1G_HUMAN	HDAC6_HUMAN	4
PP1G_HUMAN	IL3RA_HUMAN	0.8
PP1G_HUMAN	ECT2_HUMAN	0.8
PP1G_HUMAN	PP2BB_HUMAN	0.8
PP1G_HUMAN	JAK2_HUMAN	1.6
PP1G_HUMAN	MP2K5_HUMAN	0.8
PP1G_HUMAN	TNIK_HUMAN	1.28
PP1G_HUMAN	SH3K1_HUMAN	0.64
PP1G_HUMAN	A4_HUMAN	3.4000000000000004
PP1G_HUMAN	TAU_HUMAN	1.6400000000000001
PP1G_HUMAN	DDX3X_HUMAN	1.6
PP1G_HUMAN	MK01_HUMAN	1
PP1G_HUMAN	ZFYV9_HUMAN	9.6
PP1G_HUMAN	GRM5_HUMAN	12.320000000000002
PP1G_HUMAN	GRM7_HUMAN	2.56
PP1G_HUMAN	TPRN_HUMAN	8.799999999999999
PP1G_HUMAN	NEK2_HUMAN	5.2
PP1G_HUMAN	LMTK2_HUMAN	12.800000000000002
PP1G_HUMAN	PPR18_HUMAN	7.999999999999999
PP1G_HUMAN	PR15B_HUMAN	11.600000000000003
PP1G_HUMAN	ASPP1_HUMAN	14.000000000000005
PP1G_HUMAN	RIF1_HUMAN	12.000000000000002
PP1G_HUMAN	CI050_HUMAN	1.6
PP1G_HUMAN	SIN3B_HUMAN	1.6
PP1G_HUMAN	INSY1_HUMAN	2.4000000000000004
PP1G_HUMAN	PPR35_HUMAN	1.6
PP1G_HUMAN	EST1A_HUMAN	1.6
PP1G_HUMAN	IPP2_HUMAN	24.00000000000001
PP1G_HUMAN	ZNF24_HUMAN	1.6
PP1G_HUMAN	STAR9_HUMAN	2.4000000000000004
PP1G_HUMAN	SH3R2_HUMAN	2.4000000000000004
PP1G_HUMAN	DYLT4_HUMAN	3.6
PP1G_HUMAN	SAXO4_HUMAN	3.4000000000000004
PP1G_HUMAN	RANB9_HUMAN	4.2
PP1G_HUMAN	KC1E_HUMAN	1.44
PP1G_HUMAN	CSK2B_HUMAN	1.6
PP1G_HUMAN	BHE40_HUMAN	0.8
PP1G_HUMAN	FBW1A_HUMAN	0.64
PP1G_HUMAN	RORG_HUMAN	1.6
PP1G_HUMAN	CLOCK_HUMAN	2.88
PP1G_HUMAN	2A5G_HUMAN	2
PP1G_HUMAN	GLUT4_HUMAN	0.64
PP1G_HUMAN	BRCA1_HUMAN	2.8
PP1G_HUMAN	USF1_HUMAN	1
PP1G_HUMAN	IASPP_HUMAN	6.8
PP1G_HUMAN	GSK3B_HUMAN	2.6
PP1G_HUMAN	NEB1_HUMAN	10.799999999999999
PP1G_HUMAN	NEB2_HUMAN	26.32000000000001
PP1G_HUMAN	E2AK2_HUMAN	1.6
PP1G_HUMAN	CDCA2_HUMAN	10.799999999999999
PP1G_HUMAN	CC85C_HUMAN	7.999999999999999
PP1G_HUMAN	PP1R8_HUMAN	17.800000000000004
PP1G_HUMAN	PDRG1_HUMAN	8.799999999999999
PP1G_HUMAN	PIHD1_HUMAN	6.3999999999999995
PP1G_HUMAN	PP1RA_HUMAN	14.080000000000004
PP1G_HUMAN	PP1B_HUMAN	5.4399999999999995
PP1G_HUMAN	TOX4_HUMAN	7.839999999999999
PP1G_HUMAN	PP1RB_HUMAN	15.600000000000003
PP1G_HUMAN	PFD6_HUMAN	6.3999999999999995
PP1G_HUMAN	RRP1B_HUMAN	15.000000000000005
PP1G_HUMAN	RPAP3_HUMAN	7.999999999999999
PP1G_HUMAN	ADSSP_HUMAN	5.6
PP1G_HUMAN	PFD2_HUMAN	6.3999999999999995
PP1G_HUMAN	CNST_HUMAN	5.6
PP1G_HUMAN	RPAB1_HUMAN	6.3999999999999995
PP1G_HUMAN	PP1R7_HUMAN	18.640000000000008
PP1G_HUMAN	KI18A_HUMAN	4.0
PP1G_HUMAN	RMP_HUMAN	30.80000000000002
PP1G_HUMAN	SHOC2_HUMAN	6.8
PP1G_HUMAN	CC85B_HUMAN	6.3999999999999995
PP1G_HUMAN	DAA10_HUMAN	10.4
PP1G_HUMAN	PEAK1_HUMAN	9.6
PP1G_HUMAN	NUP50_HUMAN	4.8
PP1G_HUMAN	WDR82_HUMAN	9.44
PP1G_HUMAN	PP1A_HUMAN	15.680000000000005
PP1G_HUMAN	RUVB2_HUMAN	4.8
PP1G_HUMAN	RASF7_HUMAN	7.199999999999999
PP1G_HUMAN	RASF8_HUMAN	4.0
PP1G_HUMAN	RASF9_HUMAN	1.6
PP1G_HUMAN	MNDA_HUMAN	1.6
PP1G_HUMAN	LMTK1_HUMAN	5.6
PP1G_HUMAN	RBP2_HUMAN	1.28
PP1G_HUMAN	LIMA1_HUMAN	4.0
