UniProtID	UniProtID	score
PPP5_HUMAN	GRB2_HUMAN	1.6
PPP5_HUMAN	ESR1_HUMAN	7
PPP5_HUMAN	NMDE2_HUMAN	0.64
PPP5_HUMAN	IRS4_HUMAN	5.6
PPP5_HUMAN	IF4G3_HUMAN	0.64
PPP5_HUMAN	ERF3B_HUMAN	0.64
PPP5_HUMAN	TRI25_HUMAN	0.8
PPP5_HUMAN	TPTE_HUMAN	0.8
PPP5_HUMAN	CDC37_HUMAN	15.24
PPP5_HUMAN	MTAP2_HUMAN	0.64
PPP5_HUMAN	TERA_HUMAN	0.64
PPP5_HUMAN	RAF1_HUMAN	2
PPP5_HUMAN	NFS1_HUMAN	0.64
PPP5_HUMAN	M4K1_HUMAN	0.8
PPP5_HUMAN	CDC27_HUMAN	2.6
PPP5_HUMAN	FETUA_HUMAN	0.8
PPP5_HUMAN	DLGP2_HUMAN	0.64
PPP5_HUMAN	DCE1_HUMAN	0.64
PPP5_HUMAN	P85A_HUMAN	0.8
PPP5_HUMAN	A4_HUMAN	0.8
PPP5_HUMAN	TAU_HUMAN	4.4399999999999995
PPP5_HUMAN	M3K5_HUMAN	4
PPP5_HUMAN	HSP7C_HUMAN	2.24
PPP5_HUMAN	HS90B_HUMAN	23.880000000000006
PPP5_HUMAN	SIM2_HUMAN	1.6
PPP5_HUMAN	MAP1A_HUMAN	0.64
PPP5_HUMAN	VIME_HUMAN	1
PPP5_HUMAN	TP53B_HUMAN	2
PPP5_HUMAN	BRAF_HUMAN	2
PPP5_HUMAN	1433T_HUMAN	1.6
PPP5_HUMAN	PSN2_HUMAN	0.8
PPP5_HUMAN	1433B_HUMAN	1.6
PPP5_HUMAN	NOS1_HUMAN	0.64
PPP5_HUMAN	EGFR_HUMAN	2.4000000000000004
PPP5_HUMAN	HS90A_HUMAN	30.480000000000008
PPP5_HUMAN	APBB1_HUMAN	0.64
PPP5_HUMAN	MAP1B_HUMAN	0.64
PPP5_HUMAN	GCR_HUMAN	0.8
PPP5_HUMAN	CAPS1_HUMAN	0.64
PPP5_HUMAN	KCC2A_HUMAN	0.64
PPP5_HUMAN	DDB1_HUMAN	1.6
PPP5_HUMAN	ANDR_HUMAN	0.8
PPP5_HUMAN	XRN1_HUMAN	0.64
PPP5_HUMAN	ALDOA_HUMAN	0.64
PPP5_HUMAN	ROA1_HUMAN	0.8
PPP5_HUMAN	RS27A_HUMAN	0.64
PPP5_HUMAN	AHSA1_HUMAN	5.4399999999999995
PPP5_HUMAN	G3P_HUMAN	0.8
PPP5_HUMAN	ELP1_HUMAN	1.6
PPP5_HUMAN	DHX9_HUMAN	0.64
PPP5_HUMAN	CHRD1_HUMAN	11.520000000000001
PPP5_HUMAN	SRC8_HUMAN	0.64
PPP5_HUMAN	CSN5_HUMAN	0.8
PPP5_HUMAN	DISC1_HUMAN	2.4000000000000004
PPP5_HUMAN	VHL_HUMAN	2
PPP5_HUMAN	2AAA_HUMAN	3.64
PPP5_HUMAN	GLNA_HUMAN	0.64
PPP5_HUMAN	VINC_HUMAN	0.8
PPP5_HUMAN	ACTG_HUMAN	1
PPP5_HUMAN	ACTB_HUMAN	1
PPP5_HUMAN	VCIP1_HUMAN	0.64
PPP5_HUMAN	PP1R8_HUMAN	0.8
PPP5_HUMAN	STAU1_HUMAN	0.64
PPP5_HUMAN	IRAK1_HUMAN	1.6
PPP5_HUMAN	HUWE1_HUMAN	3
PPP5_HUMAN	RTN3_HUMAN	0.64
PPP5_HUMAN	PA24A_HUMAN	0.8
PPP5_HUMAN	KS6B1_HUMAN	1.6
PPP5_HUMAN	BIRC3_HUMAN	0.8
PPP5_HUMAN	FKBP5_HUMAN	0.8
PPP5_HUMAN	YAF2_HUMAN	0.8
PPP5_HUMAN	NP1L4_HUMAN	0.64
PPP5_HUMAN	XPO2_HUMAN	2.24
PPP5_HUMAN	PTEN_HUMAN	0.8
PPP5_HUMAN	UBA1_HUMAN	0.64
PPP5_HUMAN	KC1E_HUMAN	1
PPP5_HUMAN	ENOA_HUMAN	0.8
PPP5_HUMAN	HS71B_HUMAN	2.4000000000000004
PPP5_HUMAN	HS71A_HUMAN	2.4000000000000004
PPP5_HUMAN	ANM8_HUMAN	0.64
PPP5_HUMAN	PRKN_HUMAN	1.6
PPP5_HUMAN	CLUS_HUMAN	0.8
PPP5_HUMAN	TRIM9_HUMAN	0.64
PPP5_HUMAN	FBX41_HUMAN	0.64
PPP5_HUMAN	ESR2_HUMAN	7
PPP5_HUMAN	M3K7_HUMAN	2.24
PPP5_HUMAN	PP2AA_HUMAN	0.8
PPP5_HUMAN	5HT2A_HUMAN	0.8
PPP5_HUMAN	UBP49_HUMAN	1.6
