UniProtID	UniProtID	score
PRKN_HUMAN	PCBP2_HUMAN	0.8
PRKN_HUMAN	EF1G_HUMAN	0.8
PRKN_HUMAN	CMC2_HUMAN	1.6
PRKN_HUMAN	ENAH_HUMAN	0.8
PRKN_HUMAN	PPIA_HUMAN	2.4000000000000004
PRKN_HUMAN	TPM3_HUMAN	0.8
PRKN_HUMAN	RAC1_HUMAN	1.6
PRKN_HUMAN	RS5_HUMAN	0.8
PRKN_HUMAN	HS90B_HUMAN	4.0
PRKN_HUMAN	NEDD4_HUMAN	0.6
PRKN_HUMAN	ERLN2_HUMAN	0.8
PRKN_HUMAN	MFN2_HUMAN	15.400000000000002
PRKN_HUMAN	VAT1_HUMAN	0.8
PRKN_HUMAN	LRSM1_HUMAN	0.6
PRKN_HUMAN	RL37A_HUMAN	0.8
PRKN_HUMAN	COPA_HUMAN	0.8
PRKN_HUMAN	FKBP4_HUMAN	1.6
PRKN_HUMAN	MIC19_HUMAN	1.6
PRKN_HUMAN	MYH9_HUMAN	0.8
PRKN_HUMAN	RL35_HUMAN	0.8
PRKN_HUMAN	UBC12_HUMAN	1.6
PRKN_HUMAN	TPM1_HUMAN	0.8
PRKN_HUMAN	SH3G3_HUMAN	1.6
PRKN_HUMAN	AT2B3_HUMAN	0.8
PRKN_HUMAN	RL23A_HUMAN	1.6
PRKN_HUMAN	RS26_HUMAN	0.8
PRKN_HUMAN	RS12_HUMAN	0.8
PRKN_HUMAN	ACSL4_HUMAN	0.8
PRKN_HUMAN	PHB_HUMAN	0.8
PRKN_HUMAN	RS19_HUMAN	1.6
PRKN_HUMAN	SERA_HUMAN	0.8
PRKN_HUMAN	MDHM_HUMAN	2.4000000000000004
PRKN_HUMAN	RL27_HUMAN	0.8
PRKN_HUMAN	RL7_HUMAN	1.6
PRKN_HUMAN	EF1A1_HUMAN	3.2
PRKN_HUMAN	PRDX2_HUMAN	2.4000000000000004
PRKN_HUMAN	VGF_HUMAN	0.8
PRKN_HUMAN	RN19A_HUMAN	0.6
PRKN_HUMAN	VIME_HUMAN	1.6
PRKN_HUMAN	IQEC1_HUMAN	0.8
PRKN_HUMAN	RL15_HUMAN	0.8
PRKN_HUMAN	RS9_HUMAN	0.8
PRKN_HUMAN	DNM1L_HUMAN	5.6
PRKN_HUMAN	PSMD2_HUMAN	4.2
PRKN_HUMAN	CUL3_HUMAN	0.6
PRKN_HUMAN	DNJA2_HUMAN	0.8
PRKN_HUMAN	TXTP_HUMAN	0.8
PRKN_HUMAN	ATAD1_HUMAN	1.0
PRKN_HUMAN	HOME1_HUMAN	2.0
PRKN_HUMAN	PSD11_HUMAN	0.8
PRKN_HUMAN	LMNB1_HUMAN	0.8
PRKN_HUMAN	ADT3_HUMAN	0.8
PRKN_HUMAN	CDK5_HUMAN	2.8
PRKN_HUMAN	UBL4A_HUMAN	1.0
PRKN_HUMAN	FBX31_HUMAN	0.6
PRKN_HUMAN	RL18_HUMAN	0.8
PRKN_HUMAN	RLA2_HUMAN	1.6
PRKN_HUMAN	BIP_HUMAN	1.6
PRKN_HUMAN	MIF_HUMAN	0.8
PRKN_HUMAN	RL28_HUMAN	0.8
PRKN_HUMAN	FUS_HUMAN	0.8
PRKN_HUMAN	AGK_HUMAN	1.6
PRKN_HUMAN	SH3G2_HUMAN	9.28
PRKN_HUMAN	CHIP_HUMAN	5.0
PRKN_HUMAN	EFTU_HUMAN	3.2
PRKN_HUMAN	CO3_HUMAN	0.8
PRKN_HUMAN	TCPE_HUMAN	2.4000000000000004
PRKN_HUMAN	ELAV1_HUMAN	0.8
PRKN_HUMAN	HCD2_HUMAN	3.0
PRKN_HUMAN	TCPA_HUMAN	4.0
PRKN_HUMAN	CTNB1_HUMAN	2.0
PRKN_HUMAN	GHC1_HUMAN	0.8
PRKN_HUMAN	RAB7A_HUMAN	1.0
PRKN_HUMAN	ASB7_HUMAN	0.6
PRKN_HUMAN	RS27A_HUMAN	4.8
PRKN_HUMAN	NIPS1_HUMAN	0.8
PRKN_HUMAN	RL27A_HUMAN	0.8
PRKN_HUMAN	NDUS2_HUMAN	0.8
PRKN_HUMAN	PDIA6_HUMAN	3.2
PRKN_HUMAN	SAHH_HUMAN	1.6
PRKN_HUMAN	RL26_HUMAN	0.8
PRKN_HUMAN	SFPQ_HUMAN	1.6
PRKN_HUMAN	NMDZ1_HUMAN	1.0
PRKN_HUMAN	SYT4_HUMAN	4.0
PRKN_HUMAN	PTN5_HUMAN	4.6
PRKN_HUMAN	ENPL_HUMAN	3.2
PRKN_HUMAN	ANXA2_HUMAN	0.8
PRKN_HUMAN	RL23_HUMAN	0.8
PRKN_HUMAN	SC6A3_HUMAN	4.0
PRKN_HUMAN	EF2_HUMAN	2.4000000000000004
PRKN_HUMAN	RLA0_HUMAN	3.2
PRKN_HUMAN	TRI37_HUMAN	0.6
PRKN_HUMAN	HSP72_HUMAN	0.8
PRKN_HUMAN	KC1D_HUMAN	0.8
PRKN_HUMAN	LIN7C_HUMAN	0.8
PRKN_HUMAN	PRDX6_HUMAN	0.8
PRKN_HUMAN	ARF3_HUMAN	0.8
PRKN_HUMAN	TCPZ_HUMAN	2.4000000000000004
PRKN_HUMAN	TCPB_HUMAN	3.2
PRKN_HUMAN	VDAC1_HUMAN	7.3999999999999995
PRKN_HUMAN	MARCS_HUMAN	0.8
PRKN_HUMAN	RPN1_HUMAN	0.8
PRKN_HUMAN	PSMD1_HUMAN	0.8
PRKN_HUMAN	ATD3A_HUMAN	0.8
PRKN_HUMAN	CPT1A_HUMAN	0.8
PRKN_HUMAN	RL3_HUMAN	0.8
PRKN_HUMAN	UBE3C_HUMAN	0.6
PRKN_HUMAN	VDAC3_HUMAN	2.8
PRKN_HUMAN	RS3_HUMAN	0.8
PRKN_HUMAN	RS15A_HUMAN	0.8
PRKN_HUMAN	UBE2N_HUMAN	8.6
PRKN_HUMAN	BAG5_HUMAN	2.0
PRKN_HUMAN	DNJA1_HUMAN	3.2
PRKN_HUMAN	UBR4_HUMAN	0.6
PRKN_HUMAN	DLG4_HUMAN	1.0
PRKN_HUMAN	TBG1_HUMAN	2.0
PRKN_HUMAN	PSD10_HUMAN	0.8
PRKN_HUMAN	SH3G1_HUMAN	2.88
PRKN_HUMAN	DLDH_HUMAN	0.64
PRKN_HUMAN	TBA1A_HUMAN	1.8
PRKN_HUMAN	COF1_HUMAN	2.4000000000000004
PRKN_HUMAN	NDUAA_HUMAN	0.8
PRKN_HUMAN	1433E_HUMAN	1.6
PRKN_HUMAN	RS4X_HUMAN	0.8
PRKN_HUMAN	RL31_HUMAN	0.8
PRKN_HUMAN	RS14_HUMAN	1.6
PRKN_HUMAN	CH60_HUMAN	4.2
PRKN_HUMAN	HS71A_HUMAN	5.0
PRKN_HUMAN	1433Z_HUMAN	2.4000000000000004
PRKN_HUMAN	TRIM9_HUMAN	0.6
PRKN_HUMAN	GRIK2_HUMAN	4.2
PRKN_HUMAN	1433F_HUMAN	8.399999999999999
PRKN_HUMAN	DLG1_HUMAN	1.6
PRKN_HUMAN	TKT_HUMAN	1.6
PRKN_HUMAN	RL11_HUMAN	2.4000000000000004
PRKN_HUMAN	ENOA_HUMAN	2.4000000000000004
PRKN_HUMAN	AHSA1_HUMAN	0.8
PRKN_HUMAN	RL30_HUMAN	0.8
PRKN_HUMAN	GSTP1_HUMAN	1.6
PRKN_HUMAN	PCCA_HUMAN	0.8
PRKN_HUMAN	OLA1_HUMAN	0.8
PRKN_HUMAN	C1TC_HUMAN	2.4000000000000004
PRKN_HUMAN	A4_HUMAN	2.0
PRKN_HUMAN	AT1A1_HUMAN	0.8
PRKN_HUMAN	PABP1_HUMAN	0.8
PRKN_HUMAN	MRP_HUMAN	0.8
PRKN_HUMAN	HNRPQ_HUMAN	0.8
PRKN_HUMAN	TCPD_HUMAN	2.4000000000000004
PRKN_HUMAN	PHB2_HUMAN	1.0
PRKN_HUMAN	RL24_HUMAN	0.8
PRKN_HUMAN	LPPRC_HUMAN	3.6
PRKN_HUMAN	AT2B1_HUMAN	0.8
PRKN_HUMAN	PGAM1_HUMAN	2.4000000000000004
PRKN_HUMAN	HNRPM_HUMAN	1.6
PRKN_HUMAN	NPM_HUMAN	3.2
PRKN_HUMAN	TERA_HUMAN	4.0
PRKN_HUMAN	ROA1_HUMAN	3.2
PRKN_HUMAN	DNJB1_HUMAN	0.8
PRKN_HUMAN	CALX_HUMAN	0.8
PRKN_HUMAN	XPO2_HUMAN	2.4000000000000004
PRKN_HUMAN	ROA3_HUMAN	0.8
PRKN_HUMAN	RS20_HUMAN	1.6
PRKN_HUMAN	TBB6_HUMAN	0.8
PRKN_HUMAN	TRAF3_HUMAN	2.0
PRKN_HUMAN	RL6_HUMAN	1.6
PRKN_HUMAN	LDHB_HUMAN	2.4000000000000004
PRKN_HUMAN	2AAA_HUMAN	0.8
PRKN_HUMAN	PICK1_HUMAN	6.0
PRKN_HUMAN	ANX11_HUMAN	1.6
PRKN_HUMAN	IF4B_HUMAN	0.8
PRKN_HUMAN	RL13_HUMAN	1.6
PRKN_HUMAN	UBP8_HUMAN	0.6
PRKN_HUMAN	CISD1_HUMAN	1.8
PRKN_HUMAN	RL9_HUMAN	0.8
PRKN_HUMAN	RL32_HUMAN	0.8
PRKN_HUMAN	CAH2_HUMAN	0.8
PRKN_HUMAN	TPIS_HUMAN	2.4000000000000004
PRKN_HUMAN	TCTP_HUMAN	0.8
PRKN_HUMAN	UBP15_HUMAN	2.0
PRKN_HUMAN	CUL5_HUMAN	0.6
PRKN_HUMAN	RL18A_HUMAN	0.8
PRKN_HUMAN	KCC2A_HUMAN	1.0
PRKN_HUMAN	PARP1_HUMAN	0.8
PRKN_HUMAN	RL35A_HUMAN	0.8
PRKN_HUMAN	SYFA_HUMAN	0.8
PRKN_HUMAN	UBC_HUMAN	29.200000000000006
PRKN_HUMAN	PIMT_HUMAN	0.8
PRKN_HUMAN	EPS15_HUMAN	3.6
PRKN_HUMAN	SRPRB_HUMAN	0.8
PRKN_HUMAN	PTEN_HUMAN	0.8
PRKN_HUMAN	TCPG_HUMAN	3.2
PRKN_HUMAN	TAGL2_HUMAN	0.8
PRKN_HUMAN	ACTG_HUMAN	1.6
PRKN_HUMAN	RS3A_HUMAN	0.8
PRKN_HUMAN	SSBP_HUMAN	0.8
PRKN_HUMAN	RS10_HUMAN	0.8
PRKN_HUMAN	DDX17_HUMAN	1.6
PRKN_HUMAN	NDKB_HUMAN	2.6
PRKN_HUMAN	RL34_HUMAN	0.8
PRKN_HUMAN	RLA1_HUMAN	0.8
PRKN_HUMAN	RL10_HUMAN	0.8
PRKN_HUMAN	ACTB_HUMAN	3.2
PRKN_HUMAN	1433T_HUMAN	0.8
PRKN_HUMAN	RS23_HUMAN	0.8
PRKN_HUMAN	AIFM1_HUMAN	2.4000000000000004
PRKN_HUMAN	ACLY_HUMAN	0.8
PRKN_HUMAN	PRS4_HUMAN	1.6
PRKN_HUMAN	CLUS_HUMAN	0.8
PRKN_HUMAN	PARK7_HUMAN	11.6
PRKN_HUMAN	PSA4_HUMAN	5.6
PRKN_HUMAN	G6PI_HUMAN	0.8
PRKN_HUMAN	HNRH1_HUMAN	3.2
PRKN_HUMAN	DEST_HUMAN	0.8
PRKN_HUMAN	SYT11_HUMAN	3.0
PRKN_HUMAN	HS71L_HUMAN	0.8
PRKN_HUMAN	ARRB2_HUMAN	2.0
PRKN_HUMAN	EF1A2_HUMAN	0.8
PRKN_HUMAN	HSP7C_HUMAN	4.2
PRKN_HUMAN	NDUS3_HUMAN	0.8
PRKN_HUMAN	MPCP_HUMAN	1.6
PRKN_HUMAN	PUR6_HUMAN	0.8
PRKN_HUMAN	RBX1_HUMAN	0.6
PRKN_HUMAN	MTOR_HUMAN	1.0
PRKN_HUMAN	GPDM_HUMAN	0.8
PRKN_HUMAN	RL21_HUMAN	0.8
PRKN_HUMAN	EZRI_HUMAN	1.6
PRKN_HUMAN	DDX3X_HUMAN	1.6
PRKN_HUMAN	PYR1_HUMAN	0.8
PRKN_HUMAN	SYN1_HUMAN	1.0
PRKN_HUMAN	RS11_HUMAN	0.8
PRKN_HUMAN	RS2_HUMAN	1.6
PRKN_HUMAN	NMDE2_HUMAN	2.6
PRKN_HUMAN	RS27_HUMAN	0.8
PRKN_HUMAN	RS18_HUMAN	0.8
PRKN_HUMAN	MYO6_HUMAN	2.8
PRKN_HUMAN	UB2V2_HUMAN	0.6
PRKN_HUMAN	TRI32_HUMAN	0.6
PRKN_HUMAN	RS13_HUMAN	2.4000000000000004
PRKN_HUMAN	PJA2_HUMAN	0.6
PRKN_HUMAN	ADT2_HUMAN	1.6
PRKN_HUMAN	UBE4A_HUMAN	0.6
PRKN_HUMAN	RL8_HUMAN	1.6
PRKN_HUMAN	DESP_HUMAN	0.8
PRKN_HUMAN	RL38_HUMAN	0.8
PRKN_HUMAN	PRKN_HUMAN	178.80000000000018
