UniProtID	UniProtID	score
PROF1_HUMAN	TRI37_HUMAN	0.8
PROF1_HUMAN	CALM1_HUMAN	0.8
PROF1_HUMAN	PP1A_HUMAN	0.64
PROF1_HUMAN	ENAH_HUMAN	3.2
PROF1_HUMAN	SNX6_HUMAN	0.8
PROF1_HUMAN	FMNL1_HUMAN	2.6
PROF1_HUMAN	FAS_HUMAN	0.8
PROF1_HUMAN	ZO1_HUMAN	0.8
PROF1_HUMAN	VCIP1_HUMAN	0.8
PROF1_HUMAN	RAC1_HUMAN	0.6
PROF1_HUMAN	KC1E_HUMAN	1.28
PROF1_HUMAN	NEDD4_HUMAN	1.6
PROF1_HUMAN	CYLD_HUMAN	0.8
PROF1_HUMAN	ANXA5_HUMAN	0.8
PROF1_HUMAN	PPIB_HUMAN	0.8
PROF1_HUMAN	VDAC1_HUMAN	1.6
PROF1_HUMAN	MARCS_HUMAN	0.8
PROF1_HUMAN	A16L1_HUMAN	1.44
PROF1_HUMAN	MPRIP_HUMAN	0.8
PROF1_HUMAN	AKA12_HUMAN	1.28
PROF1_HUMAN	DC1L1_HUMAN	0.8
PROF1_HUMAN	DDRGK_HUMAN	0.8
PROF1_HUMAN	MK03_HUMAN	2.24
PROF1_HUMAN	WNK1_HUMAN	0.8
PROF1_HUMAN	NBEA_HUMAN	0.8
PROF1_HUMAN	TPIS_HUMAN	0.8
PROF1_HUMAN	DAAM1_HUMAN	0.6
PROF1_HUMAN	UBC12_HUMAN	0.8
PROF1_HUMAN	ANK2_HUMAN	0.8
PROF1_HUMAN	PCLO_HUMAN	0.8
PROF1_HUMAN	GBRL2_HUMAN	0.8
PROF1_HUMAN	NF1_HUMAN	0.8
PROF1_HUMAN	ZO2_HUMAN	0.8
PROF1_HUMAN	PKHA5_HUMAN	0.8
PROF1_HUMAN	SPTB2_HUMAN	0.8
PROF1_HUMAN	GSK3B_HUMAN	1.6
PROF1_HUMAN	ANFY1_HUMAN	0.8
PROF1_HUMAN	ESYT2_HUMAN	0.8
PROF1_HUMAN	RTN3_HUMAN	0.8
PROF1_HUMAN	CDC42_HUMAN	0.6
PROF1_HUMAN	KCRB_HUMAN	0.8
PROF1_HUMAN	DOCK7_HUMAN	0.8
PROF1_HUMAN	FLII_HUMAN	0.8
PROF1_HUMAN	FMNL3_HUMAN	0.6
PROF1_HUMAN	CAP1_HUMAN	0.8
PROF1_HUMAN	RAPH1_HUMAN	0.8
PROF1_HUMAN	GIPC1_HUMAN	0.8
PROF1_HUMAN	LIMC1_HUMAN	0.8
PROF1_HUMAN	MDHM_HUMAN	0.8
PROF1_HUMAN	SRPRB_HUMAN	0.8
PROF1_HUMAN	CXA1_HUMAN	0.64
PROF1_HUMAN	FMNL2_HUMAN	0.6
PROF1_HUMAN	PTEN_HUMAN	1.6400000000000001
PROF1_HUMAN	RABE1_HUMAN	0.8
PROF1_HUMAN	WASF2_HUMAN	0.8
PROF1_HUMAN	MYO5A_HUMAN	0.8
PROF1_HUMAN	MAP1A_HUMAN	0.8
PROF1_HUMAN	TANC1_HUMAN	0.8
PROF1_HUMAN	HD_HUMAN	0.8
PROF1_HUMAN	TRIO_HUMAN	0.8
PROF1_HUMAN	ACTG_HUMAN	0.6
PROF1_HUMAN	DLG5_HUMAN	2.4000000000000004
PROF1_HUMAN	ARFG2_HUMAN	0.8
PROF1_HUMAN	PEBP1_HUMAN	0.8
PROF1_HUMAN	SNX9_HUMAN	0.8
PROF1_HUMAN	SYNJ1_HUMAN	0.8
PROF1_HUMAN	BAIP2_HUMAN	0.8
