UniProtID	UniProtID	score
PRR7_HUMAN	NMDZ1_HUMAN	1.6
PRR7_HUMAN	DLG4_HUMAN	2.4000000000000004
PRR7_HUMAN	UBC_HUMAN	0.64
PRR7_HUMAN	HNRH1_HUMAN	0.8
PRR7_HUMAN	NMDE2_HUMAN	1.6
NMDZ1_HUMAN	NMDZ1_HUMAN	53.359999999999985
NMDZ1_HUMAN	DLG4_HUMAN	27.880000000000013
NMDZ1_HUMAN	UBC_HUMAN	1.44
NMDZ1_HUMAN	NMDE2_HUMAN	93.63999999999982
DLG4_HUMAN	DLG4_HUMAN	91.68000000000002
DLG4_HUMAN	UBC_HUMAN	1.44
DLG4_HUMAN	HNRH1_HUMAN	0.8
DLG4_HUMAN	NMDE2_HUMAN	54.399999999999984
UBC_HUMAN	UBC_HUMAN	444.19999999999993
UBC_HUMAN	HNRH1_HUMAN	0.8
UBC_HUMAN	NMDE2_HUMAN	0.64
HNRH1_HUMAN	HNRH1_HUMAN	16.560000000000002
NMDE2_HUMAN	NMDE2_HUMAN	44.56
