UniProtID	UniProtID	score
PSA_HUMAN	LDHA_HUMAN	0.8
PSA_HUMAN	PDIA3_HUMAN	0.8
PSA_HUMAN	STAU1_HUMAN	1.44
PSA_HUMAN	CYFP1_HUMAN	1.28
PSA_HUMAN	CTRO_HUMAN	0.8
PSA_HUMAN	PHB_HUMAN	0.8
PSA_HUMAN	LDHB_HUMAN	0.8
PSA_HUMAN	RLA2_HUMAN	0.8
PSA_HUMAN	TAU_HUMAN	1.6400000000000001
PSA_HUMAN	KS6A3_HUMAN	0.8
PSA_HUMAN	STRAP_HUMAN	0.8
PSA_HUMAN	ARF6_HUMAN	0.8
PSA_HUMAN	DLG4_HUMAN	0.64
PSA_HUMAN	HSP7C_HUMAN	0.8
PSA_HUMAN	DMWD_HUMAN	1.6
PSA_HUMAN	CNDP2_HUMAN	0.8
PSA_HUMAN	CSKP_HUMAN	0.8
PSA_HUMAN	XPO2_HUMAN	1.44
PSA_HUMAN	ITB3_HUMAN	0.64
PSA_HUMAN	DDRGK_HUMAN	0.8
PSA_HUMAN	TNPO1_HUMAN	0.64
PSA_HUMAN	NEB2_HUMAN	0.64
PSA_HUMAN	UBC12_HUMAN	0.8
PSA_HUMAN	CUL3_HUMAN	1.6
PSA_HUMAN	UBP14_HUMAN	0.8
PSA_HUMAN	PAK2_HUMAN	1.44
PSA_HUMAN	STXB1_HUMAN	0.8
PSA_HUMAN	GSK3B_HUMAN	0.8
PSA_HUMAN	FPPS_HUMAN	0.8
PSA_HUMAN	KCRB_HUMAN	1.44
PSA_HUMAN	SRGP3_HUMAN	0.6
PSA_HUMAN	GRM2_HUMAN	0.8
LDHA_HUMAN	LDHA_HUMAN	848.3999999999999
LDHA_HUMAN	PDIA3_HUMAN	0.8
LDHA_HUMAN	STAU1_HUMAN	0.8
LDHA_HUMAN	PHB_HUMAN	0.8
LDHA_HUMAN	LDHB_HUMAN	9.399999999999999
LDHA_HUMAN	HSP7C_HUMAN	4.0
LDHA_HUMAN	CNDP2_HUMAN	0.8
LDHA_HUMAN	XPO2_HUMAN	0.8
LDHA_HUMAN	DDRGK_HUMAN	0.8
LDHA_HUMAN	NEB2_HUMAN	0.64
LDHA_HUMAN	UBC12_HUMAN	0.8
LDHA_HUMAN	CUL3_HUMAN	1.6
LDHA_HUMAN	UBP14_HUMAN	0.8
PDIA3_HUMAN	PDIA3_HUMAN	12.0
PDIA3_HUMAN	DLG4_HUMAN	0.64
PDIA3_HUMAN	HSP7C_HUMAN	2.04
PDIA3_HUMAN	CNDP2_HUMAN	1.44
PDIA3_HUMAN	XPO2_HUMAN	1.44
PDIA3_HUMAN	NEB2_HUMAN	0.64
PDIA3_HUMAN	UBC12_HUMAN	0.8
PDIA3_HUMAN	PAK2_HUMAN	0.8
PDIA3_HUMAN	GSK3B_HUMAN	0.8
PDIA3_HUMAN	KCRB_HUMAN	0.8
STAU1_HUMAN	STAU1_HUMAN	5.6
STAU1_HUMAN	CYFP1_HUMAN	0.8
STAU1_HUMAN	PHB_HUMAN	2.4000000000000004
STAU1_HUMAN	LDHB_HUMAN	0.8
STAU1_HUMAN	RLA2_HUMAN	0.8
STAU1_HUMAN	TAU_HUMAN	3.0400000000000005
STAU1_HUMAN	ARF6_HUMAN	0.8
STAU1_HUMAN	HSP7C_HUMAN	2.4000000000000004
STAU1_HUMAN	XPO2_HUMAN	0.8
STAU1_HUMAN	DDRGK_HUMAN	0.8
STAU1_HUMAN	TNPO1_HUMAN	0.8
STAU1_HUMAN	CUL3_HUMAN	1.6
CYFP1_HUMAN	ARF6_HUMAN	0.8
CYFP1_HUMAN	DLG4_HUMAN	3.2
CYFP1_HUMAN	HSP7C_HUMAN	1.6
CYFP1_HUMAN	NEB2_HUMAN	0.64
CYFP1_HUMAN	CUL3_HUMAN	1.28
CYFP1_HUMAN	GSK3B_HUMAN	1.28
CTRO_HUMAN	CTRO_HUMAN	1.6
CTRO_HUMAN	PHB_HUMAN	0.8
CTRO_HUMAN	RLA2_HUMAN	0.8
CTRO_HUMAN	DLG4_HUMAN	3.3600000000000003
CTRO_HUMAN	HSP7C_HUMAN	0.8
CTRO_HUMAN	XPO2_HUMAN	0.8
CTRO_HUMAN	CUL3_HUMAN	0.8
CTRO_HUMAN	GRM2_HUMAN	0.8
PHB_HUMAN	PHB_HUMAN	1.6
PHB_HUMAN	LDHB_HUMAN	0.8
PHB_HUMAN	RLA2_HUMAN	0.8
PHB_HUMAN	TAU_HUMAN	0.64
PHB_HUMAN	STRAP_HUMAN	0.8
PHB_HUMAN	HSP7C_HUMAN	0.8
PHB_HUMAN	DDRGK_HUMAN	0.8
