UniProtID	UniProtID	score
PSB6_HUMAN	PSA4_HUMAN	4.44
PSB6_HUMAN	UBC_HUMAN	3.2
PSB6_HUMAN	DCTN1_HUMAN	0.8
PSB6_HUMAN	TRAF3_HUMAN	0.6
PSB6_HUMAN	RL40_HUMAN	2.4
PSB6_HUMAN	CTNB1_HUMAN	2.04
PSB6_HUMAN	DVL1_HUMAN	0.6
PSB6_HUMAN	PTEN_HUMAN	0.6
PSB6_HUMAN	RS27A_HUMAN	2.4
PSB6_HUMAN	GDE_HUMAN	0.8
PSB6_HUMAN	ARHG7_HUMAN	0.8
PSB6_HUMAN	HD_HUMAN	2.4000000000000004
PSB6_HUMAN	2AAA_HUMAN	1.24
PSB6_HUMAN	CPSF2_HUMAN	0.8
PSB6_HUMAN	CAZA2_HUMAN	0.8
PSB6_HUMAN	CYLD_HUMAN	0.8
PSB6_HUMAN	TERA_HUMAN	0.64
PSB6_HUMAN	RHG39_HUMAN	0.8
PSB6_HUMAN	APC_HUMAN	0.6
PSB6_HUMAN	NUMB_HUMAN	0.6
PSB6_HUMAN	TXNL1_HUMAN	0.64
PSB6_HUMAN	PSD10_HUMAN	0.6
PSB6_HUMAN	MFN2_HUMAN	0.8
PSB6_HUMAN	TF65_HUMAN	0.6
PSB6_HUMAN	RBX1_HUMAN	0.6
PSB6_HUMAN	CAZA1_HUMAN	0.8
PSB6_HUMAN	RPN1_HUMAN	0.6
PSB6_HUMAN	2A5D_HUMAN	0.6
PSB6_HUMAN	PP2AA_HUMAN	0.6
PSB6_HUMAN	TBA1A_HUMAN	1.6
PSB6_HUMAN	RL35_HUMAN	0.8
PSB6_HUMAN	PSMD1_HUMAN	3.6400000000000006
PSB6_HUMAN	PRKN_HUMAN	0.8
PSB6_HUMAN	VPS16_HUMAN	0.8
PSB6_HUMAN	LRC47_HUMAN	0.8
PSB6_HUMAN	UBC12_HUMAN	0.8
PSB6_HUMAN	PSMD2_HUMAN	2.8400000000000003
PSB6_HUMAN	CADH1_HUMAN	0.8
PSB6_HUMAN	PRS6A_HUMAN	2.8400000000000003
PSB6_HUMAN	DCTN2_HUMAN	0.8
PSB6_HUMAN	RPN2_HUMAN	0.6
