UniProtID	UniProtID	score
PSDE_HUMAN	DGKQ_HUMAN	0.8
PSDE_HUMAN	EF1G_HUMAN	0.8
PSDE_HUMAN	TRAF3_HUMAN	0.6
PSDE_HUMAN	TBA4A_HUMAN	0.64
PSDE_HUMAN	HSP72_HUMAN	0.64
PSDE_HUMAN	SUCB1_HUMAN	1.6
PSDE_HUMAN	TCPZ_HUMAN	1.4
PSDE_HUMAN	TCPB_HUMAN	0.8
PSDE_HUMAN	2AAA_HUMAN	0.6
PSDE_HUMAN	CYLD_HUMAN	0.8
PSDE_HUMAN	IF4B_HUMAN	0.8
PSDE_HUMAN	DDRGK_HUMAN	0.8
PSDE_HUMAN	RPN1_HUMAN	1.4
PSDE_HUMAN	MLF2_HUMAN	0.8
PSDE_HUMAN	PSMD1_HUMAN	15.680000000000005
PSDE_HUMAN	UBP15_HUMAN	1.6
PSDE_HUMAN	RPN2_HUMAN	1.4
PSDE_HUMAN	PRS6A_HUMAN	9.879999999999999
PSDE_HUMAN	PCLO_HUMAN	0.8
PSDE_HUMAN	STXB3_HUMAN	0.8
PSDE_HUMAN	EGLN1_HUMAN	0.6
PSDE_HUMAN	NF1_HUMAN	0.6
PSDE_HUMAN	RAB5A_HUMAN	1.6
PSDE_HUMAN	UBP14_HUMAN	7.639999999999999
PSDE_HUMAN	UBA1_HUMAN	2.24
PSDE_HUMAN	SPTB2_HUMAN	0.8
PSDE_HUMAN	TP53B_HUMAN	1.6
PSDE_HUMAN	AL1L1_HUMAN	0.8
PSDE_HUMAN	UBE3C_HUMAN	4.0
PSDE_HUMAN	GSK3B_HUMAN	0.6
PSDE_HUMAN	RASK_HUMAN	0.8
PSDE_HUMAN	HECW1_HUMAN	0.6
PSDE_HUMAN	MTCH1_HUMAN	0.8
PSDE_HUMAN	SYFA_HUMAN	0.8
PSDE_HUMAN	DCTN1_HUMAN	2.4000000000000004
PSDE_HUMAN	UBC_HUMAN	6.879999999999999
PSDE_HUMAN	GRASP_HUMAN	0.8
PSDE_HUMAN	GSTM3_HUMAN	0.8
PSDE_HUMAN	GSLG1_HUMAN	0.8
PSDE_HUMAN	PTEN_HUMAN	0.6
PSDE_HUMAN	TMOD1_HUMAN	0.8
PSDE_HUMAN	STK38_HUMAN	0.8
PSDE_HUMAN	EF1A1_HUMAN	0.8
PSDE_HUMAN	KANK2_HUMAN	0.8
PSDE_HUMAN	HD_HUMAN	6.3999999999999995
PSDE_HUMAN	UBR4_HUMAN	1.6
PSDE_HUMAN	TCPG_HUMAN	0.8
PSDE_HUMAN	DLG2_HUMAN	0.8
PSDE_HUMAN	ACTG_HUMAN	0.8
PSDE_HUMAN	RS3A_HUMAN	0.8
PSDE_HUMAN	AINX_HUMAN	0.8
PSDE_HUMAN	HNRPK_HUMAN	0.8
PSDE_HUMAN	VIME_HUMAN	0.8
PSDE_HUMAN	DDX17_HUMAN	0.8
PSDE_HUMAN	PSD10_HUMAN	8.6
PSDE_HUMAN	PP2AA_HUMAN	0.6
PSDE_HUMAN	UB2V1_HUMAN	1.0
PSDE_HUMAN	GRB2_HUMAN	0.8
PSDE_HUMAN	TBA1A_HUMAN	0.8
PSDE_HUMAN	ACTB_HUMAN	0.8
PSDE_HUMAN	PSMD2_HUMAN	9.879999999999999
PSDE_HUMAN	CUL3_HUMAN	0.6
PSDE_HUMAN	CD9_HUMAN	0.8
PSDE_HUMAN	HS71B_HUMAN	3.84
PSDE_HUMAN	PRS4_HUMAN	12.280000000000003
PSDE_HUMAN	EHMT2_HUMAN	1.6
PSDE_HUMAN	1433B_HUMAN	0.64
PSDE_HUMAN	VPS52_HUMAN	0.8
PSDE_HUMAN	FKBP8_HUMAN	0.8
PSDE_HUMAN	PSD11_HUMAN	13.080000000000002
PSDE_HUMAN	CH60_HUMAN	0.8
PSDE_HUMAN	PSA4_HUMAN	6.679999999999999
PSDE_HUMAN	HS71A_HUMAN	3.84
PSDE_HUMAN	NFL_HUMAN	0.8
PSDE_HUMAN	FLNA_HUMAN	0.8
PSDE_HUMAN	UBL4A_HUMAN	0.8
PSDE_HUMAN	1433Z_HUMAN	0.8
PSDE_HUMAN	IF2A_HUMAN	0.6
PSDE_HUMAN	PLXA3_HUMAN	0.8
PSDE_HUMAN	HNRH1_HUMAN	0.8
PSDE_HUMAN	BIP_HUMAN	0.64
PSDE_HUMAN	EF1A2_HUMAN	0.8
PSDE_HUMAN	HSP7C_HUMAN	1.44
PSDE_HUMAN	MFF_HUMAN	0.8
PSDE_HUMAN	APC_HUMAN	0.6
PSDE_HUMAN	NUMB_HUMAN	0.6
PSDE_HUMAN	ENOA_HUMAN	0.8
PSDE_HUMAN	TCPQ_HUMAN	1.4
PSDE_HUMAN	TF65_HUMAN	0.6
PSDE_HUMAN	RL4_HUMAN	0.8
PSDE_HUMAN	RBX1_HUMAN	0.6
PSDE_HUMAN	PSN1_HUMAN	1.6
PSDE_HUMAN	NUDC2_HUMAN	0.8
PSDE_HUMAN	A4_HUMAN	0.64
PSDE_HUMAN	CHIP_HUMAN	1.6
PSDE_HUMAN	MVP_HUMAN	0.8
PSDE_HUMAN	DUS4_HUMAN	2.4000000000000004
PSDE_HUMAN	TCPE_HUMAN	0.8
PSDE_HUMAN	PLEC_HUMAN	0.8
PSDE_HUMAN	HCD2_HUMAN	1.6
PSDE_HUMAN	TCPD_HUMAN	0.8
PSDE_HUMAN	BAG6_HUMAN	1.8
PSDE_HUMAN	MP2K1_HUMAN	0.8
PSDE_HUMAN	VHL_HUMAN	0.6
PSDE_HUMAN	PSB6_HUMAN	5.879999999999999
PSDE_HUMAN	UBB_HUMAN	3.2
PSDE_HUMAN	DDX5_HUMAN	0.8
PSDE_HUMAN	TCPA_HUMAN	1.44
PSDE_HUMAN	ABCD3_HUMAN	0.8
PSDE_HUMAN	RL40_HUMAN	3.2
PSDE_HUMAN	CTNB1_HUMAN	0.6
PSDE_HUMAN	HNRPM_HUMAN	0.8
PSDE_HUMAN	DVL1_HUMAN	0.6
PSDE_HUMAN	RPGF4_HUMAN	0.8
PSDE_HUMAN	RS27A_HUMAN	3.2
PSDE_HUMAN	ZDHC5_HUMAN	1.6
PSDE_HUMAN	ANM5_HUMAN	0.8
PSDE_HUMAN	SOS1_HUMAN	0.8
PSDE_HUMAN	TERA_HUMAN	0.64
PSDE_HUMAN	TXNL1_HUMAN	4.84
PSDE_HUMAN	CISY_HUMAN	0.64
PSDE_HUMAN	CSN3_HUMAN	0.64
PSDE_HUMAN	DESP_HUMAN	0.8
PSDE_HUMAN	RL38_HUMAN	0.8
PSDE_HUMAN	RAB21_HUMAN	0.8
PSDE_HUMAN	2A5D_HUMAN	0.6
PSDE_HUMAN	TBB2B_HUMAN	0.8
PSDE_HUMAN	PRKN_HUMAN	0.8
PSDE_HUMAN	TCPH_HUMAN	0.8
PSDE_HUMAN	IKBE_HUMAN	0.6
PSDE_HUMAN	PAK2_HUMAN	0.6
PSDE_HUMAN	PSDE_HUMAN	6.3999999999999995
PSDE_HUMAN	TBA1B_HUMAN	0.8
PSDE_HUMAN	DC1I2_HUMAN	0.8
PSDE_HUMAN	AURKA_HUMAN	0.6
PSDE_HUMAN	LMNA_HUMAN	0.8
PSDE_HUMAN	HNRH2_HUMAN	0.8
EF1G_HUMAN	EF1G_HUMAN	39.2
EF1G_HUMAN	CYLD_HUMAN	0.8
EF1G_HUMAN	DDRGK_HUMAN	0.8
EF1G_HUMAN	PSMD1_HUMAN	0.8
EF1G_HUMAN	GSK3B_HUMAN	1.6
EF1G_HUMAN	UBC_HUMAN	0.6
EF1G_HUMAN	PTEN_HUMAN	0.64
EF1G_HUMAN	EF1A1_HUMAN	7.319999999999999
EF1G_HUMAN	HD_HUMAN	1.6
EF1G_HUMAN	TCPG_HUMAN	0.8
EF1G_HUMAN	RS3A_HUMAN	0.6
EF1G_HUMAN	GRB2_HUMAN	1.6
EF1G_HUMAN	CUL3_HUMAN	1.6
EF1G_HUMAN	1433B_HUMAN	0.64
EF1G_HUMAN	PSD11_HUMAN	2.24
EF1G_HUMAN	1433Z_HUMAN	0.64
EF1G_HUMAN	IF2A_HUMAN	0.6
EF1G_HUMAN	BIP_HUMAN	0.64
EF1G_HUMAN	EF1A2_HUMAN	3.8000000000000003
EF1G_HUMAN	ENOA_HUMAN	0.6
EF1G_HUMAN	RL4_HUMAN	2.04
EF1G_HUMAN	TCPE_HUMAN	0.6
EF1G_HUMAN	HCD2_HUMAN	3.2
EF1G_HUMAN	UBB_HUMAN	0.6
EF1G_HUMAN	TCPA_HUMAN	0.6
EF1G_HUMAN	RL40_HUMAN	0.6
EF1G_HUMAN	RS27A_HUMAN	0.6
EF1G_HUMAN	DESP_HUMAN	0.64
EF1G_HUMAN	RL38_HUMAN	1.4
EF1G_HUMAN	PRKN_HUMAN	0.8
EF1G_HUMAN	TCPH_HUMAN	2.24
TRAF3_HUMAN	TRAF3_HUMAN	62.00000000000001
TRAF3_HUMAN	PSMD1_HUMAN	0.6
TRAF3_HUMAN	PRS6A_HUMAN	0.6
TRAF3_HUMAN	UBC_HUMAN	3.8400000000000003
TRAF3_HUMAN	STK38_HUMAN	4.8
TRAF3_HUMAN	PSD10_HUMAN	0.6
TRAF3_HUMAN	PSMD2_HUMAN	0.6
TRAF3_HUMAN	PRS4_HUMAN	0.6
TRAF3_HUMAN	PSD11_HUMAN	0.6
TRAF3_HUMAN	PSA4_HUMAN	0.6
TRAF3_HUMAN	CHIP_HUMAN	0.8
TRAF3_HUMAN	PSB6_HUMAN	0.6
TRAF3_HUMAN	UBB_HUMAN	3.8400000000000003
TRAF3_HUMAN	RL40_HUMAN	3.8400000000000003
TRAF3_HUMAN	RS27A_HUMAN	3.8400000000000003
TRAF3_HUMAN	PRKN_HUMAN	2.0
TBA4A_HUMAN	TCPZ_HUMAN	1.4
TBA4A_HUMAN	TCPB_HUMAN	1.4
TBA4A_HUMAN	2AAA_HUMAN	0.6
TBA4A_HUMAN	CYLD_HUMAN	0.8
TBA4A_HUMAN	PSMD1_HUMAN	1.6
TBA4A_HUMAN	EGLN1_HUMAN	0.8
TBA4A_HUMAN	UBC_HUMAN	1.28
TBA4A_HUMAN	EF1A1_HUMAN	0.8
TBA4A_HUMAN	TCPG_HUMAN	1.4
TBA4A_HUMAN	RS3A_HUMAN	0.8
TBA4A_HUMAN	HNRPK_HUMAN	0.8
TBA4A_HUMAN	GRB2_HUMAN	0.8
TBA4A_HUMAN	TBA1A_HUMAN	6.639999999999999
TBA4A_HUMAN	CUL3_HUMAN	1.6
TBA4A_HUMAN	HS71B_HUMAN	0.8
TBA4A_HUMAN	HS71A_HUMAN	0.8
TBA4A_HUMAN	BIP_HUMAN	0.8
TBA4A_HUMAN	HSP7C_HUMAN	0.8
TBA4A_HUMAN	APC_HUMAN	2.0
TBA4A_HUMAN	ENOA_HUMAN	0.8
TBA4A_HUMAN	TCPQ_HUMAN	1.4
TBA4A_HUMAN	PSN1_HUMAN	2.56
TBA4A_HUMAN	A4_HUMAN	2.4000000000000004
