UniProtID	UniProtID	score
PTPRD_HUMAN	IL1AP_HUMAN	4.8
PTPRD_HUMAN	LRRT2_HUMAN	1.6
PTPRD_HUMAN	LIPA1_HUMAN	3.4
PTPRD_HUMAN	TNIK_HUMAN	1.28
PTPRD_HUMAN	LRC4B_HUMAN	1.4
PTPRD_HUMAN	LIPA4_HUMAN	0.6
PTPRD_HUMAN	KC1D_HUMAN	1.6
PTPRD_HUMAN	LIPA2_HUMAN	1.4
PTPRD_HUMAN	IRS1_HUMAN	1.6
PTPRD_HUMAN	HNRH1_HUMAN	0.8
PTPRD_HUMAN	TRIO_HUMAN	0.8
PTPRD_HUMAN	PAK6_HUMAN	1.6
PTPRD_HUMAN	PTPRS_HUMAN	3.8
PTPRD_HUMAN	KC1E_HUMAN	1.6
PTPRD_HUMAN	IRPL1_HUMAN	9.0
PTPRD_HUMAN	TBK1_HUMAN	1.6
PTPRD_HUMAN	SLIK3_HUMAN	0.6
PTPRD_HUMAN	DDX17_HUMAN	0.8
PTPRD_HUMAN	ABLM1_HUMAN	1.6
PTPRD_HUMAN	RL28_HUMAN	0.8
PTPRD_HUMAN	PEBP1_HUMAN	0.8
PTPRD_HUMAN	BIN1_HUMAN	0.8
PTPRD_HUMAN	SLIK2_HUMAN	1.4
PTPRD_HUMAN	GPC4_HUMAN	1.0
PTPRD_HUMAN	SLIK1_HUMAN	3.6
PTPRD_HUMAN	PTPRF_HUMAN	1.6400000000000001
PTPRD_HUMAN	NLGN3_HUMAN	1.6
PTPRD_HUMAN	LRFN1_HUMAN	1.6
PTPRD_HUMAN	CADH1_HUMAN	1.0
PTPRD_HUMAN	FYN_HUMAN	0.8
PTPRD_HUMAN	PTPRD_HUMAN	8.8
PTPRD_HUMAN	MARK2_HUMAN	1.6
PTPRD_HUMAN	ECHA_HUMAN	0.8
PTPRD_HUMAN	1433B_HUMAN	0.64
PTPRD_HUMAN	AURKA_HUMAN	3.5999999999999996
PTPRD_HUMAN	LRFN5_HUMAN	3.6
PTPRD_HUMAN	ECHB_HUMAN	0.8
PTPRD_HUMAN	LRFN4_HUMAN	0.6
PTPRD_HUMAN	LIPA3_HUMAN	2.84
IL1AP_HUMAN	PTPRS_HUMAN	1.0
IL1AP_HUMAN	PTPRF_HUMAN	1.0
LRRT2_HUMAN	LRRT2_HUMAN	8.0
LIPA1_HUMAN	LIPA1_HUMAN	4.0
LIPA1_HUMAN	LIPA4_HUMAN	0.6
LIPA1_HUMAN	LIPA2_HUMAN	2.6
LIPA1_HUMAN	PTPRS_HUMAN	3.5999999999999996
LIPA1_HUMAN	PTPRF_HUMAN	7.199999999999999
LIPA1_HUMAN	1433B_HUMAN	1.6
LIPA1_HUMAN	LIPA3_HUMAN	1.4
TNIK_HUMAN	TNIK_HUMAN	30.0
TNIK_HUMAN	TRIO_HUMAN	1.28
TNIK_HUMAN	PTPRS_HUMAN	1.28
TNIK_HUMAN	ABLM1_HUMAN	1.28
TNIK_HUMAN	BIN1_HUMAN	1.28
LRC4B_HUMAN	LRC4B_HUMAN	1.6
LRC4B_HUMAN	PTPRF_HUMAN	1.4
LIPA4_HUMAN	LIPA2_HUMAN	0.6
LIPA4_HUMAN	PTPRF_HUMAN	0.6
LIPA4_HUMAN	LIPA3_HUMAN	0.6
KC1D_HUMAN	KC1D_HUMAN	136.4
KC1D_HUMAN	HNRH1_HUMAN	0.8
KC1D_HUMAN	KC1E_HUMAN	4.28
KC1D_HUMAN	CADH1_HUMAN	1.6
KC1D_HUMAN	1433B_HUMAN	0.6
KC1D_HUMAN	AURKA_HUMAN	0.6
LIPA2_HUMAN	LIPA2_HUMAN	36.0
LIPA2_HUMAN	PTPRS_HUMAN	0.8
LIPA2_HUMAN	PTPRF_HUMAN	3.2
LIPA2_HUMAN	LIPA3_HUMAN	1.4
IRS1_HUMAN	IRS1_HUMAN	4.0
IRS1_HUMAN	PTPRF_HUMAN	3.4
IRS1_HUMAN	FYN_HUMAN	4.8
IRS1_HUMAN	1433B_HUMAN	4.2
HNRH1_HUMAN	HNRH1_HUMAN	16.560000000000002
HNRH1_HUMAN	DDX17_HUMAN	5.4399999999999995
HNRH1_HUMAN	PEBP1_HUMAN	0.8
HNRH1_HUMAN	ECHA_HUMAN	0.8
TRIO_HUMAN	TRIO_HUMAN	6.0
TRIO_HUMAN	PTPRS_HUMAN	0.8
TRIO_HUMAN	ABLM1_HUMAN	0.6
TRIO_HUMAN	PTPRF_HUMAN	1.8
PAK6_HUMAN	PAK6_HUMAN	5.2
PAK6_HUMAN	CADH1_HUMAN	0.8
PTPRS_HUMAN	PTPRS_HUMAN	6.8
PTPRS_HUMAN	GPC4_HUMAN	4.0
