UniProtID	UniProtID	score
PTPRZ_HUMAN	ERBB2_HUMAN	0.8
PTPRZ_HUMAN	G6PI_HUMAN	0.8
PTPRZ_HUMAN	CNTP1_HUMAN	1.6
PTPRZ_HUMAN	LCK_HUMAN	0.8
PTPRZ_HUMAN	CTNB1_HUMAN	1.0
PTPRZ_HUMAN	CNTN1_HUMAN	11.8
PTPRZ_HUMAN	ANS1B_HUMAN	0.64
PTPRZ_HUMAN	DLG2_HUMAN	0.8
PTPRZ_HUMAN	DLG4_HUMAN	1.6
PTPRZ_HUMAN	PTN_HUMAN	3.4
PTPRZ_HUMAN	PTPRZ_HUMAN	7.2
PTPRZ_HUMAN	ITB3_HUMAN	3.0
PTPRZ_HUMAN	PTPRF_HUMAN	1.0
PTPRZ_HUMAN	PRIO_HUMAN	2.4000000000000004
PTPRZ_HUMAN	CALM2_HUMAN	0.64
PTPRZ_HUMAN	FYN_HUMAN	2.0
PTPRZ_HUMAN	TENR_HUMAN	1.6400000000000001
PTPRZ_HUMAN	GIT1_HUMAN	1.0
PTPRZ_HUMAN	PGCB_HUMAN	0.6
PTPRZ_HUMAN	NCAN_HUMAN	0.6
PTPRZ_HUMAN	ERBB4_HUMAN	2.4000000000000004
PTPRZ_HUMAN	VEGFA_HUMAN	3.0
PTPRZ_HUMAN	ALK_HUMAN	2.6
PTPRZ_HUMAN	KPCZ_HUMAN	0.8
ERBB2_HUMAN	ERBB2_HUMAN	75.19999999999999
ERBB2_HUMAN	LCK_HUMAN	0.8
ERBB2_HUMAN	CTNB1_HUMAN	6.6
ERBB2_HUMAN	ANS1B_HUMAN	1.6
ERBB2_HUMAN	DLG4_HUMAN	3.0
ERBB2_HUMAN	CALM2_HUMAN	2.6
ERBB2_HUMAN	FYN_HUMAN	2.6
ERBB2_HUMAN	ERBB4_HUMAN	7.999999999999999
ERBB2_HUMAN	ALK_HUMAN	0.8
G6PI_HUMAN	G6PI_HUMAN	59.2
G6PI_HUMAN	LCK_HUMAN	0.64
G6PI_HUMAN	DLG4_HUMAN	0.64
G6PI_HUMAN	KPCZ_HUMAN	0.8
CNTP1_HUMAN	CNTN1_HUMAN	1.4
CNTP1_HUMAN	ANS1B_HUMAN	0.64
CNTP1_HUMAN	DLG4_HUMAN	1.92
CNTP1_HUMAN	FYN_HUMAN	0.8
LCK_HUMAN	LCK_HUMAN	52.88
LCK_HUMAN	CTNB1_HUMAN	0.64
LCK_HUMAN	PTPRF_HUMAN	2.0
LCK_HUMAN	FYN_HUMAN	1.6
LCK_HUMAN	ERBB4_HUMAN	0.8
LCK_HUMAN	KPCZ_HUMAN	0.6
CTNB1_HUMAN	CTNB1_HUMAN	45.28
CTNB1_HUMAN	DLG4_HUMAN	1.28
CTNB1_HUMAN	PTN_HUMAN	1.0
CTNB1_HUMAN	PTPRF_HUMAN	4.2
CTNB1_HUMAN	CALM2_HUMAN	1.44
CTNB1_HUMAN	FYN_HUMAN	5.4399999999999995
CTNB1_HUMAN	ERBB4_HUMAN	0.64
CTNB1_HUMAN	KPCZ_HUMAN	0.6
CNTN1_HUMAN	CNTN1_HUMAN	4.0
CNTN1_HUMAN	ANS1B_HUMAN	0.64
CNTN1_HUMAN	DLG4_HUMAN	2.56
